CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 1035
NOMBRE    : SAN FRANCISCO DE LOS VIVEROS
ESTADO    : AGUASCALIENTES
MUNICIPIO : EL LLANO
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 021.912°
LONGITUD  : -102.13°
ALTITUD   : 2020 msnm

EMISIÓN   : 29/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/04/1972  0       6.2    24     3      
02/04/1972  0       7.8    27     2      
03/04/1972  0       8.4    28     2      
04/04/1972  0       8.4    29     10     
05/04/1972  0       6.5    30     9      
06/04/1972  0       7.9    32     8      
07/04/1972  0       8.9    33     7      
08/04/1972  0       8.4    32     8      
09/04/1972  0       10.8   30     9      
10/04/1972  0       8.3    33     7      
11/04/1972  0       7.2    32     9      
12/04/1972  0       7.1    32     10     
13/04/1972  0       9.8    33     10     
14/04/1972  0       10.3   31     9      
15/04/1972  0       7.3    30     9      
16/04/1972  0       6.6    30     11     
17/04/1972  0       6.2    27     10     
18/04/1972  0       7.1    27     9      
19/04/1972  0       8      30     10     
20/04/1972  0       8.2    32     10     
21/04/1972  0       7.2    32     9      
22/04/1972  0       10     32     11     
23/04/1972  0       6.9    31     7      
24/04/1972  0       10.1   32     10     
25/04/1972  0       10.2   31     9      
26/04/1972  0       8.4    30     10     
27/04/1972  0       8.7    29     10     
28/04/1972  0       9.5    29     11     
29/04/1972  0       7.7    31     10     
30/04/1972  0       8.8    30     9      
01/05/1972  0       6.4    30     9      
02/05/1972  0       9.1    30     11     
03/05/1972  0       7.8    30     8      
04/05/1972  0       7.9    29     8      
05/05/1972  0       7.8    30     8      
06/05/1972  0       8.2    30     10     
07/05/1972  0       9.2    28     9      
08/05/1972  0       8.4    30     9      
09/05/1972  0       11.7   32     7      
10/05/1972  0       9.9    31     6      
11/05/1972  0       9.1    31     8      
12/05/1972  0       10.2   31     9      
13/05/1972  0       8.9    31     10     
14/05/1972  0       9.4    32     7      
15/05/1972  0       10.9   31     8      
16/05/1972  0       8.1    32     11     
17/05/1972  0       7.4    33     11     
18/05/1972  0       8.3    31     11     
19/05/1972  0       7.5    33     10     
20/05/1972  0       8.5    32     11     
21/05/1972  0       9.4    32     12     
22/05/1972  0       9.3    33     16     
23/05/1972  0       9.8    32     11     
24/05/1972  2       7.3    32     13     
25/05/1972  0       9.3    31     10     
26/05/1972  25      5.5    28     10     
27/05/1972  7       6.4    27     12     
28/05/1972  21      5      27     12     
29/05/1972  11      6.2    31     12     
30/05/1972  5       6.7    25     11     
31/05/1972  0       4.8    26     12     
01/06/1972  6       9.1    24     11     
02/06/1972  3       8.8    23     11     
03/06/1972  0       4.7    24     11     
04/06/1972  0       5.6    24     13     
05/06/1972  0       6      23     11     
06/06/1972  3       8.4    22     12     
07/06/1972  11      8.2    29     12     
08/06/1972  23      9.4    28     13     
09/06/1972  0       5      22     13     
10/06/1972  0       5.4    25     14     
11/06/1972  3.5     7.7    23     15     
12/06/1972  5.5     6.7    25     15     
13/06/1972  12      7.1    25     13     
14/06/1972  0       4.9    26     15     
15/06/1972  0       5.1    26     14     
16/06/1972  0       7.7    26     14     
17/06/1972  0       7.9    24     14     
18/06/1972  0       6.8    20     15     
19/06/1972  0       6.1    24     14     
20/06/1972  0       7.1    23     10     
21/06/1972  0       6.3    29     10     
22/06/1972  0       6      30     14     
23/06/1972  0       8.2    31     17     
24/06/1972  0       7.3    29     10     
25/06/1972  1.5     8.7    28     10     
26/06/1972  0       9.8    29     10     
27/06/1972  0       5.9    29     14     
28/06/1972  1       9.1    29     14     
29/06/1972  0       6.1    28     14     
30/06/1972  0       6.3    27     10     
01/07/1972  0       7.5    27     12     
02/07/1972  6       5.1    29     14     
03/07/1972  9       6.3    24     13     
04/07/1972  0       7.2    24     13     
05/07/1972  0       7.9    25     9      
06/07/1972  0       9      26     9      
07/07/1972  0       7.1    26     9      
08/07/1972  0       7.6    27     10     
09/07/1972  0       7.9    22     11     
10/07/1972  0       9.4    28     10     
11/07/1972  0       8.5    27     9      
12/07/1972  0       6.8    28     10     
13/07/1972  5       8.6    27     10     
14/07/1972  15      7.1    24     13     
15/07/1972  24      3.2    24     13     
16/07/1972  0       8.4    24     12     
17/07/1972  12      7.1    23     13     
18/07/1972  4       8.5    25     13     
19/07/1972  12      8.8    22     13     
20/07/1972  1       10.3   24     12     
21/07/1972  0       6.6    25     13     
22/07/1972  1       8.6    21     13     
23/07/1972  0       6.1    24     14     
24/07/1972  0       7.3    22     13     
25/07/1972  0       8.7    22     11     
26/07/1972  0       7      24     13     
27/07/1972  0       6.3    25     14     
28/07/1972  0       7.8    24     13     
29/07/1972  0       7.9    25     14     
30/07/1972  0       8.4    26     11     
31/07/1972  0       9      22     9      
01/08/1972  0       4.1    28     10     
02/08/1972  0       5.7    26     13     
03/08/1972  4.2     3.2    28     15     
04/08/1972  3       2.8    24     15     
05/08/1972  0       4.8    25     16     
06/08/1972  0       4.7    28     10     
07/08/1972  0       7.1    28     13     
08/08/1972  0       5.4    27     10     
09/08/1972  0       6      28     10     
10/08/1972  0       5.4    28     14     
11/08/1972  7       4.6    27     14     
12/08/1972  0       5.2    27     11     
13/08/1972  0       6.5    29     14     
14/08/1972  0       5.3    30     14     
15/08/1972  0       6.1    30     11     
16/08/1972  0       6.7    29     10     
17/08/1972  0       5.9    28     12     
18/08/1972  0       6.3    30     10     
19/08/1972  0       7.7    30     13     
20/08/1972  1       6.8    28     14     
21/08/1972  0       6.7    28     13     
22/08/1972  0       4.8    30     10     
23/08/1972  0       4.4    29     15     
24/08/1972  0       6.5    29     14     
25/08/1972  7       4      30     12     
26/08/1972  1       1.5    27     14     
27/08/1972  0       6.7    29     14     
28/08/1972  0       3.9    28     11     
29/08/1972  0       8.6    28     13     
30/08/1972  0       6.5    29     11     
31/08/1972  0       7      30     11     
01/10/1972  0       4      26     9      
02/10/1972  0       5.8    28     11     
03/10/1972  0       6.6    27     8      
04/10/1972  0       4.9    26     9      
05/10/1972  0       5.1    24     9      
06/10/1972  0       3.3    27     9      
07/10/1972  1       4.7    26     12     
08/10/1972  8       3      25     12     
09/10/1972  1       5.1    26     13     
10/10/1972  0       4.1    25     14     
11/10/1972  0       4.7    24     11     
12/10/1972  0       5      24     11     
13/10/1972  0       6.6    19     12     
14/10/1972  0       4.5    24     8      
15/10/1972  0       5.2    25     9      
16/10/1972  0       4.3    24     9      
17/10/1972  0       5.4    28     11     
18/10/1972  0       6.2    28     11     
19/10/1972  0       4.8    27     10     
20/10/1972  0       4      26     9      
21/10/1972  0       3.4    25     12     
22/10/1972  0       5.5    25     8      
23/10/1972  0       6.1    23     10     
24/10/1972  0       5.4    26     11     
25/10/1972  0       7.5    25     12     
26/10/1972  0       6      24     5      
27/10/1972  0       6.2    26     6      
28/10/1972  0       6.9    26     5      
29/10/1972  0       5.2    25     8      
30/10/1972  0       6.3    25     9      
31/10/1972  0       5.4    26     7      
01/11/1972  0       6.4    23     13     
02/11/1972  0       7      24     12     
03/11/1972  0       7.9    24     13     
04/11/1972  0       5.5    21     11     
05/11/1972  0       5.3    22     12     
06/11/1972  0       4.7    23     13     
07/11/1972  0       4.3    24     14     
08/11/1972  0       5.9    22     11     
09/11/1972  0       4.3    22     10     
10/11/1972  0       5.2    24     13     
11/11/1972  0       4.4    21     12     
12/11/1972  0       4      22     11     
13/11/1972  0       5.2    23     12     
14/11/1972  0       3.7    23     13     
15/11/1972  0       5.1    24     10     
16/11/1972  0       4      21     12     
17/11/1972  0       4.1    23     14     
18/11/1972  0       5.1    24     11     
19/11/1972  0       5.9    22     10     
20/11/1972  0       5.9    20     12     
21/11/1972  2       3.8    21     9      
22/11/1972  5       3.3    19     12     
23/11/1972  0       3.9    17     13     
24/11/1972  0       3      21     13     
25/11/1972  0       3.6    23     12     
26/11/1972  0       4.7    22     9      
27/11/1972  0       6.5    24     13     
28/11/1972  0       4.8    21     15     
29/11/1972  0       4.6    24     15     
30/11/1972  0       5.8    23     9      
01/12/1972  0       3.1    26     6      
02/12/1972  0       2.9    24     5      
03/12/1972  0       6.6    24     6      
04/12/1972  0       4.2    23     6      
05/12/1972  0       5.2    24     5      
06/12/1972  0       4.4    25     3      
07/12/1972  0       3.6    24     5      
08/12/1972  0       4.2    25     3      
09/12/1972  0       3.6    26     3      
10/12/1972  0       2.9    28     4      
11/12/1972  0       4.2    25     4      
12/12/1972  0       4.5    24     3      
13/12/1972  0       3.8    23     4      
14/12/1972  0       3.6    22     5      
15/12/1972  0       4.9    23     5      
16/12/1972  0       3.9    15     3      
17/12/1972  0       3.2    20     -1     
18/12/1972  0       1.8    22     1      
19/12/1972  0       3.2    22     6      
20/12/1972  0       4.8    23     3      
21/12/1972  0       6      14     3      
22/12/1972  0       6.9    20     -3     
23/12/1972  0       5.1    20     0      
24/12/1972  0       5.4    23     3      
25/12/1972  0       4.1    19     3      
26/12/1972  0       3.1    22     1      
27/12/1972  0       3.3    19     0      
28/12/1972  0       2.6    19     3      
29/12/1972  0       2.5    17     3      
30/12/1972  0       2.7    21     2      
31/12/1972  0       4.2    23     4      
01/01/1973  0       2      18     8      
02/01/1973  12      3.2    17     9      
03/01/1973  4       2      20     8      
04/01/1973  0       3.2    19     2      
05/01/1973  0       2.2    23     1      
06/01/1973  0       3.8    21     4      
07/01/1973  0       4.2    25     1      
08/01/1973  0       2.6    22     0      
09/01/1973  2       3.4    23     5      
10/01/1973  5       3.7    19     7      
11/01/1973  2       2      24     8      
12/01/1973  0       2.8    23     2      
13/01/1973  0       4.3    26     -3     
14/01/1973  0       4.5    22     2      
15/01/1973  0       5.3    24     -2     
16/01/1973  0       4.7    21     1      
17/01/1973  0       3.3    25     -3     
18/01/1973  0       5.1    23     -4     
19/01/1973  0       8.6    26     2      
20/01/1973  0       7.3    24     3      
21/01/1973  0       7      21     -1     
22/01/1973  0       5.8    22     -6     
23/01/1973  0       8.3    21     -3     
24/01/1973  0       4.3    22     -2     
25/01/1973  0       4.7    22     2      
26/01/1973  0       7      24     1      
27/01/1973  0       5.9    25     -1     
28/01/1973  0       6.3    26     -2     
29/01/1973  0       3.1    22     1      
30/01/1973  0       1.4    20     -1     
31/01/1973  0       2.4    22     2      
01/02/1973  0       5.1    24     -1     
02/02/1973  0       4.3    24.5   -1     
03/02/1973  0       7      23     0      
04/02/1973  0       7.4    24     1      
05/02/1973  0       8      25     3      
06/02/1973  0       6.4    23     4      
07/02/1973  0       5.6    24     5      
08/02/1973  0       5.5    22     3.5    
09/02/1973  0       4.9    24.5   0.5    
10/02/1973  0       5.6    22     1      
11/02/1973  0       7.5    25     4      
12/02/1973  0       5.8    24     3      
13/02/1973  0       6      23     -1     
14/02/1973  0       5.2    24     -2     
15/02/1973  0       4.8    21     -1     
16/02/1973  15      5.4    18     1      
17/02/1973  1       3.2    17     7      
18/02/1973  0       2.8    20     10     
19/02/1973  1       4.3    16     8      
20/02/1973  0       3.5    21     8      
21/02/1973  0       4.1    22     9      
22/02/1973  0       7.2    23     5      
23/02/1973  0       6.4    25     4      
24/02/1973  0       4.9    24     7      
25/02/1973  0       5.8    24     1      
26/02/1973  0       6.4    25     4      
27/02/1973  0       4.9    26     5      
28/02/1973  0       5.8    26     6      
01/03/1973  0       6.1    22     7      
02/03/1973  0       6.2    29     11     
03/03/1973  0       6.7    22     5      
04/03/1973  0       8.9    26     4      
05/03/1973  0       7.1    27     6      
06/03/1973  0       8      27     4      
07/03/1973  0       5.9    27     5      
08/03/1973  0       8.3    28     4      
09/03/1973  0       10.9   27     7      
10/03/1973  0       8.1    28     7      
11/03/1973  0       5.9    27     5      
12/03/1973  0       6.1    28     5      
13/03/1973  0       7.1    28     7      
14/03/1973  0       5.3    26     6      
15/03/1973  0       4.9    26     7      
16/03/1973  0       3.3    22     5      
17/03/1973  0       4      25     6      
18/03/1973  0       4.1    26     5      
19/03/1973  0       6.9    27     8      
20/03/1973  0       8.1    28     9      
21/03/1973  0       7.7    29     10     
22/03/1973  0       9.5    27     8      
23/03/1973  0       7.3    27     8      
24/03/1973  0       8.8    27     11     
25/03/1973  0       7.1    29     5      
26/03/1973  0       7      30     7      
27/03/1973  0       9.6    31     8      
28/03/1973  0       10.6   29     10     
29/03/1973  0       9.5    29     14     
30/03/1973  0       10.9   27     10     
31/03/1973  0       6.6    28     6      
01/04/1973  0       7.4    29     4      
02/04/1973  0       9.6    28     7      
03/04/1973  0       11     30     8      
04/04/1973  0       9.9    28     6      
05/04/1973  0       8.1    28     7      
06/04/1973  0       11.3   30     8      
07/04/1973  0       9.3    27     8      
08/04/1973  0       7.9    29     10     
09/04/1973  0       9.2    28     8      
10/04/1973  0       8.9    27     9      
11/04/1973  0       9.1    27     9      
12/04/1973  0       6      29     7      
13/04/1973  0       8      29     10     
14/04/1973  0       6.3    31     13     
15/04/1973  0       9.4    27     10     
16/04/1973  0       7      29     9      
17/04/1973  0       6.8    29     14     
18/04/1973  0       6.5    27     10     
19/04/1973  0       9.7    28     13     
20/04/1973  0       8      29     11     
21/04/1973  0       7.9    29     9      
22/04/1973  0       10.3   30     9      
23/04/1973  0       7.6    31     12     
24/04/1973  0       9      32     13     
25/04/1973  0       9.3    32     15     
26/04/1973  0       9.2    31     14     
27/04/1973  0       9.9    30     12     
28/04/1973  0       8.7    32     10     
29/04/1973  0       10.3   30     13     
30/04/1973  0       11.7   32     11     
01/05/1973  0       7.4    30     10     
02/05/1973  0       8.6    33     14     
03/05/1973  0       6.5    30     13     
04/05/1973  3       5.2    30     13     
05/05/1973  0       8.9    30     11     
06/05/1973  0       7.4    29     9      
07/05/1973  0       8.2    30     13     
08/05/1973  0       10.5   31     12     
09/05/1973  0       8.9    32     9      
10/05/1973  0       7.6    32     10     
11/05/1973  0       10     33     11     
12/05/1973  1       9.5    32     13     
13/05/1973  1       7.8    30     11     
14/05/1973  3       6.1    27     8      
15/05/1973  0       8.3    24     11     
16/05/1973  0       5.6    26     9      
17/05/1973  0       7.1    21     12     
18/05/1973  1       6.6    23     10     
19/05/1973  0       6.2    27     13     
20/05/1973  0       6.1    27     8      
21/05/1973  0       8.2    30     11     
22/05/1973  0       8.9    31     12     
23/05/1973  0       10.1   33     13     
24/05/1973  0       9.9    32     12     
25/05/1973  0       9.7    33     14     
26/05/1973  0       10.5   34     16     
27/05/1973  0       10.7   32     12     
28/05/1973  7       4.6    34     13     
29/05/1973  0       10.7   31     13     
30/05/1973  0       10.2   27     10     
31/05/1973  0       8.6    30     11     
01/06/1973  0       7.3    31     14     
02/06/1973  0       9.3    32     12     
03/06/1973  0       9.4    33     14     
04/06/1973  0       10.6   34     11     
05/06/1973  0       8.1    33     11     
06/06/1973  0       10.3   29     12     
07/06/1973  0       8.7    26     12     
08/06/1973  0       10.7   25     12     
09/06/1973  0       9.4    22     12     
10/06/1973  0       8.6    24     10     
11/06/1973  0       8.8    26     10     
12/06/1973  0       7.7    28     9      
13/06/1973  0       8.2    30     12     
14/06/1973  0       9.4    25     11     
15/06/1973  0       8.9    32     11     
16/06/1973  0       7.6    32     12     
17/06/1973  0       7.6    33     13     
18/06/1973  13      7      31     14     
19/06/1973  0       9      28     14     
20/06/1973  17      5      27     13     
21/06/1973  5.5     6.7    22     13     
22/06/1973  20.8    5.9    18     13     
23/06/1973  10.5    5.4    20     12     
24/06/1973  16      4      22     13     
25/06/1973  22.4    3.6    24     14     
26/06/1973  2       6.2    21     13     
27/06/1973  5       6.2    23     10     
28/06/1973  7       4.9    22     11     
29/06/1973  0       7.5    28     14     
30/06/1973  18.5    4.2    27     13     
01/07/1973  6       4.2    24     15     
02/07/1973  6.2     5.1    22     12.5   
03/07/1973  7.5     3.7    23     13     
04/07/1973  24      3      24     14     
05/07/1973  21.4    3.2    20     13     
06/07/1973  1       4.7    26     12     
07/07/1973  6.2     3.8    21     13     
08/07/1973  62      2.9    22     13     
09/07/1973  14.5    4.3    23     13     
10/07/1973  0       6.4    25     13     
11/07/1973  0       5.8    26     12     
12/07/1973  0       5.5    24     11     
13/07/1973  0       3.9    27     11     
14/07/1973  0       7.4    29     12     
15/07/1973  2.4     4.7    30     14     
16/07/1973  2.1     5      26     13     
17/07/1973  0       6.3    27     13     
18/07/1973  0       7.6    27     12     
19/07/1973  0       8.1    29     13     
20/07/1973  0       7      30     10     
21/07/1973  0       8.2    27     12     
22/07/1973  0       6.6    30     15     
23/07/1973  0       6.8    29     14     
24/07/1973  0       8.5    31     12     
25/07/1973  0       7.2    28     14     
26/07/1973  0       6.6    26     13     
27/07/1973  0       7.6    27     14     
28/07/1973  0       8.3    29     15     
29/07/1973  7.4     5.2    27     13     
30/07/1973  0       4.7    24     15     
31/07/1973  0       5.4    26     13     
01/08/1973  0       4.1    26     14     
02/08/1973  0       5.8    27     15     
03/08/1973  4       6.3    26     13     
04/08/1973  0       7      26     14     
05/08/1973  0       6.8    26     12     
06/08/1973  37      3.8    25     12     
07/08/1973  9       5.2    24     13     
08/08/1973  21      5      23     12     
09/08/1973  10      5.7    24     14     
10/08/1973  33      4.7    22     13     
11/08/1973  7       3.8    23     13     
12/08/1973  2.5     4.1    20     14     
13/08/1973  10.1    3.3    21     14     
14/08/1973  49.2    2.6    20     13     
15/08/1973  47      3.1    21     13     
16/08/1973  14.5    3.3    21     12     
17/08/1973  4       3      24     12     
18/08/1973  14.3    4.7    20     13     
19/08/1973  0       4.3    23     11     
20/08/1973  0       6.6    24     15     
21/08/1973  0       5.9    26     11     
22/08/1973  0       6.9    24     10     
23/08/1973  0       7.4    26     10     
24/08/1973  0       8      23     11     
25/08/1973  0       7.4    24     12     
26/08/1973  0       6.2    22     14     
27/08/1973  4.5     6.4    24     11     
28/08/1973  3       4.8    25     12     
29/08/1973  0       5.5    24     13     
30/08/1973  0       5.8    26     15     
31/08/1973  0       7.8    26     10     
01/09/1973  0       6.1    28     9      
02/09/1973  0       6.5    29     12     
03/09/1973  0       6.1    28     13     
04/09/1973  0       3.5    29     14     
05/09/1973  0       6.4    30     13     
06/09/1973  0       5      29     15     
07/09/1973  0       6.5    30     14     
08/09/1973  0       5.2    28     14     
09/09/1973  0       5.8    28     13     
10/09/1973  0       6.2    24     12     
11/09/1973  0       4.9    24     10     
12/09/1973  0       5.4    29     10     
13/09/1973  0       7.5    26     12     
14/09/1973  25      5.7    26     10     
15/09/1973  10      6.4    25     13     
16/09/1973  18      6.1    22     13     
17/09/1973  8       4.4    22     12     
18/09/1973  0       6.6    24     13     
19/09/1973  0       4.8    22     10     
20/09/1973  0       6.7    24     10     
21/09/1973  0       5.8    25     9      
22/09/1973  35      8.1    21     13     
23/09/1973  1       6.2    22     12     
24/09/1973  0       4.4    23     10     
25/09/1973  0       6.1    26     9      
26/09/1973  0       4.8    26     10     
27/09/1973  0       4.3    22     12     
28/09/1973  0       2.8    25     11     
29/09/1973  0       4.1    26     9      
30/09/1973  0       5.2    26     10     
01/10/1973  0       5.6    25     11     
02/10/1973  0       5      25     10     
03/10/1973  0       6      24     11     
04/10/1973  0       5.8    26     10     
05/10/1973  0       6.6    26     9      
06/10/1973  0       6.4    25     9      
07/10/1973  0       5.8    26     10     
08/10/1973  0       7.1    27     10     
09/10/1973  0       6      28     9      
10/10/1973  0       4.8    27     9      
11/10/1973  0       6.2    25     10     
12/10/1973  8       4.4    24     13     
13/10/1973  4.5     3.2    25     14     
14/10/1973  0       4.2    25     14     
15/10/1973  0       4      26     12     
16/10/1973  15      3.3    24     9      
17/10/1973  0       4.9    21     11     
18/10/1973  0       3      20     11     
19/10/1973  0       3      21     10     
20/10/1973  0       5.5    22     9      
21/10/1973  0       6.3    22     8      
22/10/1973  0       5.7    23     5      
23/10/1973  0       6.4    23     8      
24/10/1973  0       6.5    25     9      
25/10/1973  0       6.9    27     10     
26/10/1973  4       5.7    26     10     
27/10/1973  0       4.8    25     12     
28/10/1973  15      5.2    22     11     
29/10/1973  0       4.8    21     9      
30/10/1973  5       5      25     10     
31/10/1973  0       4.7    24     11     
01/11/1973  0       5.1    23     7      
02/11/1973  0       6.7    25     7      
03/11/1973  0       4.9    27     6      
04/11/1973  0       4.4    27     9      
05/11/1973  0       5.6    28     10     
06/11/1973  0       5.3    27     8      
07/11/1973  0       6.7    22     6      
08/11/1973  0       5.2    28     5      
09/11/1973  0       5.5    25     6      
10/11/1973  0       4.7    22     6      
11/11/1973  0       4      23     6      
12/11/1973  0       4.7    22     7      
13/11/1973  0       5.5    23     3      
14/11/1973  0       6.7    25     4      
15/11/1973  0       7      24     4      
16/11/1973  0       7.1    25     2      
17/11/1973  0       5.6    24     8      
18/11/1973  0       6.6    23     4      
19/11/1973  0       5.9    23     5      
20/11/1973  0       4.8    23     5      
21/11/1973  0       3.3    23     4      
22/11/1973  0       4.7    24     5      
23/11/1973  0       4.2    24     3      
24/11/1973  0       3.9    23     3      
25/11/1973  0       5.8    23     2      
26/11/1973  0       6.1    23     5      
