CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 2016
NOMBRE    : EL BARRIL
ESTADO    : BAJA CALIFORNIA
MUNICIPIO : ENSENADA
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 028.303°
LONGITUD  : -112.878°
ALTITUD   : 50 msnm

EMISIÓN   : 29/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/10/1955  0       Nulo   Nulo   Nulo   
02/10/1955  0       Nulo   Nulo   Nulo   
03/10/1955  0       Nulo   29     Nulo   
04/10/1955  0       Nulo   30     23.5   
05/10/1955  0       Nulo   30     19     
06/10/1955  0       Nulo   30.5   17.5   
07/10/1955  0       Nulo   32     21     
08/10/1955  0       Nulo   31.5   22.5   
09/10/1955  0       Nulo   29     23     
10/10/1955  0       Nulo   35     23     
11/10/1955  0       Nulo   31     23.5   
12/10/1955  0       Nulo   31     18.5   
13/10/1955  0       Nulo   35     19.5   
14/10/1955  0       Nulo   33.5   21.5   
15/10/1955  0       Nulo   28.5   21.5   
16/10/1955  0       Nulo   35     20.5   
17/10/1955  0       Nulo   35.5   23.5   
18/10/1955  0       Nulo   29.5   20     
19/10/1955  0       Nulo   30     22.5   
20/10/1955  0       Nulo   28.5   20     
21/10/1955  0       Nulo   29.5   21     
22/10/1955  0       Nulo   28.5   26     
23/10/1955  0       Nulo   28.5   18     
24/10/1955  0       Nulo   33     18.5   
25/10/1955  0       Nulo   34.5   20     
26/10/1955  0       Nulo   32     19.5   
27/10/1955  0       Nulo   29.5   19.5   
28/10/1955  0       Nulo   31     21     
29/10/1955  0       Nulo   32.5   18     
30/10/1955  0       Nulo   34.5   22     
31/10/1955  0       Nulo   31.5   19.5   
01/11/1955  0       Nulo   29     21     
02/11/1955  0       Nulo   29     17     
03/11/1955  0       Nulo   30.5   17     
04/11/1955  0       Nulo   29     18.5   
05/11/1955  0       Nulo   30     18     
06/11/1955  0       Nulo   31.5   12.5   
07/11/1955  0       Nulo   32     18.5   
08/11/1955  0       Nulo   23     21.5   
09/11/1955  0       Nulo   25.5   17.5   
10/11/1955  0       Nulo   25.5   14     
11/11/1955  0       Nulo   27     15.5   
12/11/1955  0       Nulo   26     15     
13/11/1955  0       Nulo   26     17     
14/11/1955  0       Nulo   25     16     
15/11/1955  0       Nulo   22     14.5   
16/11/1955  0       Nulo   22.5   12     
17/11/1955  0       Nulo   21.5   10.5   
18/11/1955  0       Nulo   24     12.5   
19/11/1955  0       Nulo   25     16     
20/11/1955  0       Nulo   26     12.5   
21/11/1955  0       Nulo   26     15     
22/11/1955  0       Nulo   22     14.5   
23/11/1955  0       Nulo   22.5   10.5   
24/11/1955  0       Nulo   22     9.5    
25/11/1955  0       Nulo   23.5   16     
26/11/1955  0       Nulo   24     12.5   
27/11/1955  0       Nulo   26.5   13     
28/11/1955  0       Nulo   29     13     
29/11/1955  0       Nulo   24.5   21     
30/11/1955  0       Nulo   21.5   20     
01/12/1955  0       Nulo   21.5   14     
02/12/1955  0       Nulo   22     15     
03/12/1955  0       Nulo   21     10.5   
04/12/1955  0       Nulo   21     9      
05/12/1955  0       Nulo   19.5   11.5   
06/12/1955  0       Nulo   21     9      
07/12/1955  0       Nulo   24.5   11.5   
08/12/1955  0       Nulo   24     15     
09/12/1955  0       Nulo   24.5   12     
10/12/1955  0       Nulo   24     11.5   
11/12/1955  0       Nulo   23.5   12.5   
12/12/1955  0       Nulo   24.5   13     
13/12/1955  0       Nulo   24.5   11     
14/12/1955  0       Nulo   23     11.5   
15/12/1955  0       Nulo   25     11.5   
16/12/1955  0       Nulo   21.5   10     
17/12/1955  0       Nulo   21     10     
18/12/1955  0       Nulo   20     9      
19/12/1955  0       Nulo   25     10     
20/12/1955  0       Nulo   24     12.5   
21/12/1955  0       Nulo   22.5   12     
22/12/1955  0       Nulo   28.5   10     
23/12/1955  0       Nulo   21.5   13     
24/12/1955  0       Nulo   20.5   11     
25/12/1955  0       Nulo   20.5   10     
26/12/1955  0       Nulo   24.5   12     
27/12/1955  0       Nulo   24     12.5   
28/12/1955  0       Nulo   25     10.5   
29/12/1955  0       Nulo   23     12     
30/12/1955  0       Nulo   24.5   13     
31/12/1955  0       Nulo   24     12     
01/01/1956  0       Nulo   24     9.5    
02/01/1956  0       Nulo   25.5   9.5    
03/01/1956  0       Nulo   25     13     
04/01/1956  0       Nulo   25     11     
05/01/1956  0       Nulo   23     11     
06/01/1956  0       Nulo   24.5   11.5   
07/01/1956  0       Nulo   24.5   13.5   
08/01/1956  0       Nulo   25.5   11.5   
09/01/1956  0       Nulo   22.5   11     
10/01/1956  0       Nulo   25.5   12     
11/01/1956  0       Nulo   28.5   12.5   
12/01/1956  0       Nulo   26     13.5   
13/01/1956  0       Nulo   23     12     
14/01/1956  0       Nulo   21     11     
15/01/1956  0       Nulo   21.5   12     
16/01/1956  0       Nulo   22.5   13     
17/01/1956  0       Nulo   21.5   11.5   
18/01/1956  0       Nulo   21.5   10     
19/01/1956  0       Nulo   22.5   9.5    
20/01/1956  0       Nulo   22     11     
21/01/1956  0       Nulo   21     15     
22/01/1956  0       Nulo   19     13     
23/01/1956  0       Nulo   23.5   11     
24/01/1956  0       Nulo   20.5   10.5   
25/01/1956  0       Nulo   21.5   10     
26/01/1956  0       Nulo   23     13     
27/01/1956  0       Nulo   24.5   14     
28/01/1956  0       Nulo   21.5   15.5   
29/01/1956  0       Nulo   21     13.5   
