CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 2020
NOMBRE    : EL MAYOR
ESTADO    : BAJA CALIFORNIA
MUNICIPIO : MEXICALI
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 032.127°
LONGITUD  : -115.278°
ALTITUD   : 15 msnm

EMISIÓN   : 29/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/01/1969  0       1.4    33     0      
02/01/1969  0       2.5    23     0      
03/01/1969  0       2.2    25     3.5    
04/01/1969  0       3.4    24     9      
05/01/1969  0       3.5    25     5      
06/01/1969  0       2.3    27     5      
07/01/1969  0       2.5    28     3.5    
08/01/1969  0       4.5    28     2      
09/01/1969  0       2      19     7      
10/01/1969  0       1.2    21     8      
11/01/1969  0       1.7    22.5   2      
12/01/1969  0       1.2    22     2.5    
13/01/1969  7.5     1      28     5      
14/01/1969  0       0.8    16     11     
15/01/1969  0       1.5    17     13     
16/01/1969  0       0.2    18     13     
17/01/1969  0       0.7    19     6      
18/01/1969  3.7     1.1    21     5      
19/01/1969  0       0.6    24     12     
20/01/1969  0       0.9    22     13     
21/01/1969  1.5     2.7    29.5   14     
22/01/1969  0       1.1    31.5   8      
23/01/1969  0       1.3    24     12     
24/01/1969  1       1.7    25     11.5   
25/01/1969  0       0.8    27     5      
26/01/1969  0       2.1    28     11.5   
27/01/1969  0       3      21     11     
28/01/1969  0       2.3    18     7      
29/01/1969  0       1.5    15     4      
30/01/1969  0       2.8    15     0      
31/01/1969  0       1.2    16     0      
01/02/1969  0       1.9    29     0      
02/02/1969  0       1.3    19     4      
03/02/1969  0       2.5    20     10     
04/02/1969  0       3.1    22.5   6      
05/02/1969  0       4.6    23     5      
06/02/1969  0       4.6    23     5      
07/02/1969  0       3.7    18     5      
08/02/1969  0       2      18     1.5    
09/02/1969  0       4.1    21.5   1      
10/02/1969  0       4      23     2      
11/02/1969  0       3      25     3      
12/02/1969  0       2.7    20     7      
13/02/1969  0       4.4    25     6      
14/02/1969  0       2.4    22     5      
15/02/1969  0       2.4    22     8.5    
16/02/1969  0       5.7    22     7      
17/02/1969  0       3.3    20     6      
18/02/1969  0       2.7    22     8.5    
19/02/1969  0       3.4    20.5   3      
20/02/1969  0       3.4    20     4      
21/02/1969  0       4.1    21     3      
22/02/1969  0       1.1    17     7.5    
23/02/1969  0       5      19     0      
24/02/1969  0       5.6    22     7      
25/02/1969  0       5.1    26     7      
26/02/1969  0       4.6    20     4      
27/02/1969  0       4.2    22     3.5    
28/02/1969  0       2      23     8      
01/03/1969  0       3.7    20.5   7      
02/03/1969  0       5.9    23     7.5    
03/03/1969  0       5.7    24     3      
04/03/1969  0       4.5    21     4      
05/03/1969  0       5.2    22     7      
06/03/1969  0       6.8    25     2      
07/03/1969  0       6.5    22     4      
08/03/1969  0       2.5    19.5   10     
09/03/1969  0       4      20     6      
10/03/1969  0       4.4    20     4      
11/03/1969  0       3.2    20     0.5    
12/03/1969  0       4.4    21     2      
13/03/1969  1       3.5    20     3      
14/03/1969  0       4.1    18     8.5    
15/03/1969  0       3.8    22     3      
16/03/1969  0       4.3    25     2      
17/03/1969  0       5.8    29     5      
18/03/1969  0       7.6    29     5.5    
19/03/1969  0       6.7    28     12     
20/03/1969  0       7.8    28     11.5   
21/03/1969  0       9.6    28     13     
22/03/1969  0       4.4    25     7      
23/03/1969  0       7.8    30.5   7      
24/03/1969  0       5.4    24     11.5   
25/03/1969  0       5.7    25     14     
26/03/1969  0       7      29     4      
27/03/1969  0       8      31.5   6.5    
28/03/1969  0       4.2    34     7.5    
29/03/1969  0       4.6    34.5   8      
30/03/1969  0       8.5    35     12     
31/03/1969  0       6.3    33     16     
01/04/1969  0       4.7    31     13.5   
02/04/1969  0       6.6    32.5   12     
03/04/1969  0       6.5    27     10.5   
04/04/1969  0       6.2    29     7.5    
05/04/1969  0       6.7    31.5   9      
06/04/1969  0       7.3    26     16     
07/04/1969  0       5.4    25     8      
08/04/1969  0       5.3    27     8      
09/04/1969  0       6.2    28     10     
10/04/1969  0       3.2    25.5   14     
11/04/1969  0       7.6    30     11.5   
