CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 2021
NOMBRE    : EL PINAL
ESTADO    : BAJA CALIFORNIA
MUNICIPIO : ENSENADA
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 032.183°
LONGITUD  : -116.292°
ALTITUD   : 1320 msnm

EMISIÓN   : 29/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/01/1969  0       Nulo   9      3      
02/01/1969  0       Nulo   13     5      
03/01/1969  0       Nulo   18     6      
04/01/1969  0       Nulo   10     5      
05/01/1969  0       Nulo   16     5      
06/01/1969  0       Nulo   20     3      
07/01/1969  0       Nulo   18     4      
08/01/1969  0       Nulo   19     5      
09/01/1969  0       Nulo   17     3      
10/01/1969  0       Nulo   12     3      
11/01/1969  0       Nulo   11     3      
12/01/1969  0       Nulo   23     3      
13/01/1969  30      Nulo   15     3      
14/01/1969  27      Nulo   Nulo   3      
15/01/1969  0       Nulo   14     2      
16/01/1969  0       Nulo   14     3      
17/01/1969  0       Nulo   16     4      
18/01/1969  0       Nulo   13     5      
19/01/1969  13.7    Nulo   17     4      
20/01/1969  27      Nulo   11     5      
21/01/1969  10      Nulo   Nulo   7      
22/01/1969  1       Nulo   9      5      
23/01/1969  40      Nulo   10     5      
24/01/1969  11      Nulo   11     6      
25/01/1969  60      Nulo   10     8      
26/01/1969  13      Nulo   12     9      
27/01/1969  3       Nulo   Nulo   3      
28/01/1969  15      Nulo   Nulo   1      
29/01/1969  0       Nulo   6      -1     
30/01/1969  0       Nulo   7      -5     
31/01/1969  0       Nulo   8      -3     
01/02/1969  0       Nulo   9      -4     
02/02/1969  0       Nulo   12     -1     
03/02/1969  0       Nulo   13     6      
04/02/1969  5       Nulo   Nulo   6      
05/02/1969  1.5     Nulo   6      3      
06/02/1969  30.5    Nulo   5      4      
07/02/1969  0       Nulo   9      1      
08/02/1969  0       Nulo   12     2      
09/02/1969  0       Nulo   14     -2     
10/02/1969  0       Nulo   16     -1     
11/02/1969  0       Nulo   18     -2     
12/02/1969  0       Nulo   16     4      
13/02/1969  0       Nulo   17     5      
14/02/1969  0       Nulo   18     6      
15/02/1969  3.5     Nulo   12     4      
16/02/1969  0       Nulo   15     2      
17/02/1969  0       Nulo   13     3      
18/02/1969  52      Nulo   8      5      
19/02/1969  10.5    Nulo   6      2      
20/02/1969  2       Nulo   8      2      
21/02/1969  12.5    Nulo   5      1      
22/02/1969  11.2    Nulo   3      -1     
23/02/1969  2       Nulo   7      -1     
24/02/1969  4       Nulo   7      2      
25/02/1969  35      Nulo   7      3      
26/02/1969  0       Nulo   8      3      
27/02/1969  0       Nulo   9      1      
28/02/1969  2.7     Nulo   12     2      
01/03/1969  0       Nulo   9      -2     
02/03/1969  0       Nulo   14     -2     
03/03/1969  4       Nulo   7      -2     
04/03/1969  0       Nulo   4      0      
05/03/1969  0       Nulo   10     0      
06/03/1969  0       Nulo   5      -2     
07/03/1969  3       Nulo   4      -1     
08/03/1969  4       Nulo   7      -3     
09/03/1969  8       Nulo   6      0      
10/03/1969  14      Nulo   Nulo   0      
11/03/1969  0       Nulo   6      0      
12/03/1969  6       Nulo   8      -3     
13/03/1969  8       Nulo   4      0      
14/03/1969  0       Nulo   7      -1     
15/03/1969  0       Nulo   12     1      
16/03/1969  0       Nulo   Nulo   Nulo   
20/03/1969  0       Nulo   Nulo   Nulo   
21/03/1969  14      Nulo   10     -3     
22/03/1969  0       Nulo   11     -2     
23/03/1969  0       Nulo   Nulo   -1     
24/03/1969  0       Nulo   Nulo   4      
25/03/1969  0       Nulo   12     3      
26/03/1969  0       Nulo   16     6      
27/03/1969  0       Nulo   18     8      
28/03/1969  0       Nulo   18     6      
29/03/1969  0       Nulo   16     5      
30/03/1969  0       Nulo   16     7      
31/03/1969  0       Nulo   Nulo   8      
01/04/1969  0       Nulo   18     9      
02/04/1969  0       Nulo   17     7      
03/04/1969  1       Nulo   15     6      
04/04/1969  0       Nulo   17     4      
05/04/1969  4       Nulo   20     4      
06/04/1969  0       Nulo   16     2      
07/04/1969  0       Nulo   15     2      
08/04/1969  0       Nulo   16     3      
09/04/1969  0       Nulo   18     5      
10/04/1969  0       Nulo   15     8      
11/04/1969  0       Nulo   17     7      
12/04/1969  0       Nulo   Nulo   9      
13/04/1969  0       Nulo   18     6      
14/04/1969  0       Nulo   20     -2     
