CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 2035
NOMBRE    : OJOS NEGROS
ESTADO    : BAJA CALIFORNIA
MUNICIPIO : ENSENADA
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 031.912°
LONGITUD  : -116.265°
ALTITUD   : 680 msnm

EMISIÓN   : 29/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
14/06/1948  0       Nulo   34     Nulo   
15/06/1948  0       Nulo   26     5      
16/06/1948  0       Nulo   25     5      
17/06/1948  0       Nulo   25.5   5      
18/06/1948  0       Nulo   28     4      
19/06/1948  0       Nulo   27     4      
20/06/1948  0       Nulo   29     6      
21/06/1948  0       Nulo   29     9      
22/06/1948  0       Nulo   23     10     
23/06/1948  0       Nulo   24     8      
24/06/1948  0       Nulo   33     9.5    
25/06/1948  0       Nulo   31     10     
26/06/1948  0       Nulo   21     8      
27/06/1948  0       Nulo   33     7.5    
28/06/1948  0       Nulo   36     8      
29/06/1948  0       Nulo   37     10     
30/06/1948  0       Nulo   39     13     
01/07/1948  0       Nulo   33     12.1   
02/07/1948  0       Nulo   34     10.5   
03/07/1948  0       Nulo   34     8      
04/07/1948  0       Nulo   25     7      
05/07/1948  0       Nulo   35     11     
06/07/1948  0       Nulo   36     14     
07/07/1948  0       Nulo   23     12     
08/07/1948  0       Nulo   25     10     
09/07/1948  0       Nulo   38     11     
10/07/1948  0       Nulo   37     12     
11/07/1948  0       Nulo   37     8      
12/07/1948  0       Nulo   39     9      
13/07/1948  0       Nulo   40     8      
14/07/1948  0       Nulo   28     12     
15/07/1948  0       Nulo   38     9      
16/07/1948  0       Nulo   41     12     
17/07/1948  0       Nulo   36     13     
18/07/1948  0       Nulo   23     9      
19/07/1948  0       Nulo   23     9      
20/07/1948  0       Nulo   23     9      
21/07/1948  0       Nulo   30     10     
22/07/1948  0       Nulo   31     17     
23/07/1948  0       Nulo   24     15     
24/07/1948  0       Nulo   35     12     
25/07/1948  0       Nulo   33     14     
26/07/1948  0       Nulo   25     13     
27/07/1948  0       Nulo   24     14     
28/07/1948  0       Nulo   26     8      
29/07/1948  0       Nulo   33     8      
30/07/1948  0       Nulo   34     14     
31/07/1948  0       Nulo   35     13     
01/08/1948  0       Nulo   23     11     
02/08/1948  0       Nulo   33     11     
03/08/1948  0       Nulo   33     15     
04/08/1948  0       Nulo   34     12     
05/08/1948  0       Nulo   34     14     
06/08/1948  0       Nulo   30     16     
07/08/1948  0       Nulo   31     13     
08/08/1948  0       Nulo   31     12     
09/08/1948  0       Nulo   31     11     
10/08/1948  0       Nulo   35     10     
11/08/1948  0       Nulo   25     11     
12/08/1948  0       Nulo   25     11     
13/08/1948  0       Nulo   27     13     
14/08/1948  0       Nulo   28     12     
15/08/1948  0       Nulo   34     10     
16/08/1948  0       Nulo   33     13     
17/08/1948  0       Nulo   22     12     
18/08/1948  0       Nulo   26     12     
19/08/1948  0       Nulo   27     13     
20/08/1948  0       Nulo   35     11     
21/08/1948  0       Nulo   34     12     
22/08/1948  0       Nulo   32     11     
23/08/1948  0       Nulo   23     10     
24/08/1948  0       Nulo   32     11     
25/08/1948  0       Nulo   32     6      
26/08/1948  0       Nulo   18     6      
27/08/1948  0       Nulo   32     8      
28/08/1948  0       Nulo   35     10     
29/08/1948  0       Nulo   37     14     
30/08/1948  0       Nulo   27     15     
31/08/1948  0       Nulo   38     16     
01/09/1948  0       Nulo   37     7      
02/09/1948  0       Nulo   38     17     
03/09/1948  0       Nulo   40     11     
04/09/1948  0       Nulo   37     15     
05/09/1948  0       Nulo   37     13     
06/09/1948  0       Nulo   21     10     
07/09/1948  0       Nulo   34     6      
08/09/1948  0       Nulo   35     9      
09/09/1948  0       Nulo   40     11     
10/09/1948  0       Nulo   38     15     
11/09/1948  0       Nulo   38     13     
12/09/1948  0       Nulo   35     11     
13/09/1948  0       Nulo   40.5   11     
14/09/1948  0       Nulo   40     15     
15/09/1948  0       Nulo   32     11     
16/09/1948  0       Nulo   30.5   13     
17/09/1948  0       Nulo   31     12     
18/09/1948  0       Nulo   32     11     
19/09/1948  0       Nulo   29     8      
20/09/1948  0       Nulo   29     6      
21/09/1948  0       Nulo   30     5      
22/09/1948  0       Nulo   25     6      
23/09/1948  0       Nulo   25     3      
24/09/1948  0       Nulo   23     5      
25/09/1948  0       Nulo   21     5      
26/09/1948  0       Nulo   27     2      
27/09/1948  0       Nulo   31     4      
28/09/1948  0       Nulo   32     7      
29/09/1948  0       Nulo   31     6      
30/09/1948  0       Nulo   31     6      
01/10/1948  0       Nulo   24     6      
02/10/1948  0       Nulo   35     7      
03/10/1948  0       Nulo   35     9      
04/10/1948  0       Nulo   21     7      
05/10/1948  0       Nulo   25     5      
06/10/1948  0       Nulo   32     5      
07/10/1948  0       Nulo   33     6      
08/10/1948  0       Nulo   35     7      
09/10/1948  0       Nulo   25     5      
10/10/1948  0       Nulo   27     6      
11/10/1948  0       Nulo   27     3      
12/10/1948  0       Nulo   32     5      
13/10/1948  0       Nulo   27     6      
14/10/1948  0       Nulo   29     5      
15/10/1948  0       Nulo   33     5      
16/10/1948  8       Nulo   33     7      
17/10/1948  10      Nulo   32     8      
18/10/1948  0       Nulo   29     5      
19/10/1948  0       Nulo   27     6      
20/10/1948  0       Nulo   32     9      
21/10/1948  0       Nulo   35     7      
22/10/1948  0       Nulo   35     8      
23/10/1948  0       Nulo   35     7      
24/10/1948  0       Nulo   36     7      
25/10/1948  0       Nulo   35     8      
26/10/1948  0       Nulo   32     7      
27/10/1948  0       Nulo   23     5      
28/10/1948  0       Nulo   21     7      
29/10/1948  0       Nulo   21     9      
30/10/1948  0       Nulo   29     6      
31/10/1948  0       Nulo   27     2      
01/11/1948  0       Nulo   30     1      
02/11/1948  0       Nulo   31     2      
03/11/1948  0       Nulo   28     4      
04/11/1948  0       Nulo   29     5      
05/11/1948  0       Nulo   31     7      
06/11/1948  0       Nulo   24     1      
07/11/1948  0       Nulo   29     2      
08/11/1948  0       Nulo   25     5      
09/11/1948  0       Nulo   31     1      
10/11/1948  0       Nulo   30     1      
11/11/1948  0       Nulo   29     4      
12/11/1948  0       Nulo   30     1      
13/11/1948  0       Nulo   31     1      
14/11/1948  0       Nulo   30     1      
15/11/1948  0       Nulo   29     -2     
16/11/1948  0       Nulo   33     -1     
17/11/1948  0       Nulo   27     1      
18/11/1948  0       Nulo   24     7      
19/11/1948  0       Nulo   26     -1     
20/11/1948  0       Nulo   25     1      
21/11/1948  0       Nulo   22     -1     
22/11/1948  0       Nulo   24     8      
23/11/1948  0       Nulo   30     -3     
24/11/1948  0       Nulo   27     1      
25/11/1948  0       Nulo   26     -1     
26/11/1948  0       Nulo   17     -1     
27/11/1948  0       Nulo   20     -2     
28/11/1948  0       Nulo   27     1      
29/11/1948  0       Nulo   30     -3     
30/11/1948  0       Nulo   27     -3     
01/12/1948  0       Nulo   28     -3     
02/12/1948  0       Nulo   29     -3     
03/12/1948  0       Nulo   25     2      
04/12/1948  0       Nulo   15     2      
05/12/1948  0       Nulo   21     -3     
06/12/1948  0       Nulo   23     -2     
07/12/1948  0       Nulo   25     -3     
08/12/1948  0       Nulo   22     -2     
09/12/1948  0       Nulo   32     1      
10/12/1948  0       Nulo   23     1      
11/12/1948  0       Nulo   25     -2     
12/12/1948  0       Nulo   27     -2     
13/12/1948  0       Nulo   27     1      
14/12/1948  0       Nulo   26     -4     
15/12/1948  0       Nulo   27     -6     
16/12/1948  3       Nulo   27     -3     
17/12/1948  3       Nulo   22     -4     
18/12/1948  0       Nulo   26     -3     
19/12/1948  0       Nulo   22     -4     
20/12/1948  0       Nulo   26     -2     
21/12/1948  0       Nulo   26     -4     
22/12/1948  0       Nulo   25     6      
23/12/1948  0       Nulo   25     -6     
24/12/1948  0       Nulo   24     -3     
25/12/1948  0       Nulo   25     -4     
26/12/1948  9       Nulo   25     -6     
27/12/1948  3       Nulo   15     -3     
28/12/1948  0       Nulo   21     -1     
29/12/1948  0       Nulo   25     -2     
30/12/1948  0       Nulo   21     -1     
31/12/1948  0       Nulo   23     4      
01/01/1949  2       Nulo   19     -1     
02/01/1949  0       Nulo   19     1      
03/01/1949  0       Nulo   9      -2     
04/01/1949  0       Nulo   14     -5     
05/01/1949  0       Nulo   15     -5     
06/01/1949  0       Nulo   20     -2     
07/01/1949  0       Nulo   21     -5     
08/01/1949  6       Nulo   19     -5     
09/01/1949  13      Nulo   12     -3     
10/01/1949  10      Nulo   9      -1     
11/01/1949  25      Nulo   8      1      
12/01/1949  37      Nulo   8      -1     
13/01/1949  6       Nulo   11     -1     
14/01/1949  0       Nulo   11     1      
15/01/1949  0       Nulo   14     -1     
16/01/1949  0       Nulo   11     1      
17/01/1949  0       Nulo   10     1      
18/01/1949  0       Nulo   17     -4     
19/01/1949  0       Nulo   18     -2     
20/01/1949  0       Nulo   16     1      
21/01/1949  1       Nulo   12     5      
22/01/1949  9       Nulo   13     4      
23/01/1949  6       Nulo   14     4      
24/01/1949  7       Nulo   8      1      
25/01/1949  0       Nulo   12     -1     
26/01/1949  0       Nulo   15     -2     
27/01/1949  0       Nulo   18     -2     
28/01/1949  0       Nulo   18     -2     
29/01/1949  0       Nulo   9      1      
30/01/1949  0       Nulo   17     -5     
31/01/1949  0       Nulo   16     -2     
01/02/1949  3       Nulo   15     -3     
02/02/1949  0       Nulo   13     -2     
03/02/1949  5       Nulo   8      -2     
04/02/1949  0       Nulo   13     -1     
05/02/1949  0       Nulo   15     2      
06/02/1949  0       Nulo   11     -1     
07/02/1949  5       Nulo   8      2      
08/02/1949  0       Nulo   9      3      
09/02/1949  0       Nulo   17     -4     
10/02/1949  0       Nulo   18     -3     
11/02/1949  2       Nulo   17     -2     
12/02/1949  0       Nulo   11     -1     
13/02/1949  0       Nulo   13     -4     
14/02/1949  0       Nulo   16     -3     
15/02/1949  0       Nulo   17     -5     
16/02/1949  0       Nulo   18     3      
17/02/1949  0       Nulo   22     -5     
18/02/1949  0       Nulo   17     -2     
19/02/1949  0       Nulo   19     1      
20/02/1949  0       Nulo   17     -5     
21/02/1949  0       Nulo   17     -2     
22/02/1949  0       Nulo   20     1      
23/02/1949  0       Nulo   22     1      
24/02/1949  0       Nulo   20     1      
25/02/1949  0       Nulo   21     4      
