CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 2054
NOMBRE    : SAN RAFAEL
ESTADO    : BAJA CALIFORNIA
MUNICIPIO : ENSENADA
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 031.033°
LONGITUD  : -115.983°
ALTITUD   : 100 msnm

EMISIÓN   : 29/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
14/09/1965  0       5.8    38     14     
15/09/1965  0       7.5    31     13     
16/09/1965  5       8.7    25     9      
17/09/1965  2       1.1    20     12     
18/09/1965  0       7.2    23     13     
19/09/1965  0       2.8    23     8      
20/09/1965  0       5.1    28     6      
21/09/1965  0       9.4    32     7      
22/09/1965  0       9.1    34     6      
23/09/1965  0       5.3    30     7      
24/09/1965  0       4.1    31     7      
25/09/1965  0       4.1    30     9      
26/09/1965  0       3.9    27     12     
27/09/1965  0       5.4    25     8      
28/09/1965  0       4.5    24     8      
29/09/1965  0       4.4    36     5      
30/09/1965  0       5.7    34     8      
01/10/1965  0       10.1   32     5      
02/10/1965  0.5     5.2    34     6      
03/10/1965  0       8.2    37     6      
04/10/1965  0       9.8    37     8      
05/10/1965  0       2.7    31     6      
06/10/1965  5       11.3   29     4      
07/10/1965  5       6.4    27     7      
08/10/1965  0       4.9    27     7      
09/10/1965  0       0.8    25     12     
10/10/1965  0.5     0.6    25     14     
11/10/1965  0       6.6    30     8      
12/10/1965  0       0.9    33     9      
13/10/1965  0       6.5    26     11     
14/10/1965  0       2.3    27     13     
15/10/1965  0       4.7    23     15     
16/10/1965  0.5     4.7    21     14     
17/10/1965  0.5     2.8    24     3      
18/10/1965  0       6.7    26     3      
19/10/1965  0       4.2    29     4      
20/10/1965  0       12.8   35     6      
21/10/1965  0       6      37     11     
22/10/1965  0       6.2    37     12     
23/10/1965  0       8.4    36     11     
24/10/1965  0       4.4    36     10     
25/10/1965  0       7.4    36     7      
26/10/1965  0       6.2    35     7      
27/10/1965  0       7.1    36     7      
28/10/1965  0       7.3    36     9      
29/10/1965  0       7.2    36     9      
30/10/1965  0       8.4    35     8      
31/10/1965  0       4.8    34     11     
01/11/1965  0       9.5    32     9      
02/11/1965  0       1.7    27     7      
03/11/1965  0       3.9    27     5      
04/11/1965  0       6.1    32     6      
05/11/1965  0       6.9    30     5      
06/11/1965  0       2.5    27     4      
07/11/1965  0       1      25     4      
08/11/1965  0       2.3    27     7      
09/11/1965  0       2.1    29     4      
10/11/1965  0       2      21     5      
11/11/1965  0       5.7    22     4      
12/11/1965  0       4.3    20     5      
13/11/1965  0       4.2    30     5      
14/11/1965  0       4.2    23     8      
15/11/1965  1       2.1    22     10     
16/11/1965  33      0.8    19     10     
17/11/1965  1       1.1    20     12     
18/11/1965  0       0.7    22     13     
19/11/1965  0       2.6    20     9      
20/11/1965  0       1.9    17     10     
21/11/1965  26      4.2    21     9      
22/11/1965  26      0.9    18     9      
23/11/1965  20      2.4    20     11     
24/11/1965  0       3.3    19     3      
25/11/1965  0       1.2    18     6      
26/11/1965  0       0.7    22     4      
27/11/1965  0       3.1    22     2      
28/11/1965  0       0.7    17     4      
29/11/1965  0       4.1    25     4      
30/11/1965  0       1.4    24     2      
01/12/1965  0       1.4    30     1      
02/12/1965  0       3.4    22     4      
03/12/1965  0       3.5    17     5      
04/12/1965  0       0.4    25     4      
05/12/1965  0       4.1    26     2      
06/12/1965  0       1.5    30     3      
07/12/1965  0       2.4    25     4      
08/12/1965  17      1.5    20     5      
09/12/1965  23      1      15     5      
10/12/1965  17      0.9    23     4      
11/12/1965  20      1      17     4      
12/12/1965  24      1.1    10     3      
13/12/1965  23      1      11     4      
14/12/1965  24      1      11     5      
15/12/1965  10      2.3    10     2      
16/12/1965  4       3.9    10     2      
17/12/1965  0       2.4    10     4      
18/12/1965  0       1.9    16     8      
19/12/1965  0       0.8    11     4      
20/12/1965  0       3      18     1      
21/12/1965  17      1.4    16     3      
22/12/1965  13      2      11     2      
23/12/1965  1       2.5    14     4      
24/12/1965  1       0.8    11     3      
25/12/1965  1       3.3    19     2      
26/12/1965  1       1.3    17     3      
27/12/1965  0       1.2    20     4      
28/12/1965  0       1.1    19     5      
29/12/1965  20      1.3    15     4      
30/12/1965  0       1      15     7      
31/12/1965  0       1.1    15     8      
01/01/1966  0       1.3    13     7      
02/01/1966  0       1      12     -1     
03/01/1966  0       1.5    13     -1     
04/01/1966  0       1.5    14     -2     
05/01/1966  0       1.8    18     -2     
06/01/1966  0       0.7    22     -2     
07/01/1966  0       2.1    26     -3     
08/01/1966  0       1.9    23     4      
09/01/1966  0       2.8    21     4      
10/01/1966  0       2.5    23     3      
11/01/1966  0       1.8    23     3.5    
12/01/1966  0       2      24     6      
13/01/1966  6       1.4    18     6      
14/01/1966  0       1.2    24     1      
15/01/1966  0       1.8    23     9      
16/01/1966  0       1.1    22     5      
17/01/1966  0       1.2    17     4      
18/01/1966  6       1.3    13     5      
19/01/1966  0       0.9    15     4      
20/01/1966  0       1.3    15     3      
21/01/1966  5       0.8    6      4      
22/01/1966  0       2.6    16     -6     
23/01/1966  0       0.6    11     -3     
24/01/1966  0       0.9    15     -4     
25/01/1966  0       1.2    19     -4     
26/01/1966  6.1     0.5    20     -3     
27/01/1966  18      1.3    20     -8     
28/01/1966  0       1.9    21     3      
29/01/1966  0       0.9    20     3      
30/01/1966  0       1.1    24     3      
31/01/1966  6       3      14     2      
01/02/1966  0       1.4    16     4      
02/02/1966  0       2      18     4      
03/02/1966  0       1.2    20     -2     
04/02/1966  0       0.9    21     4      
05/02/1966  0       0.7    20     6      
06/02/1966  20      2.1    22     9      
07/02/1966  20      2.1    21     7      
08/02/1966  20      1.1    20     6      
09/02/1966  10      2.1    21     6      
10/02/1966  3       1.8    23     -3     
11/02/1966  0       1.3    24     4      
12/02/1966  0       1      12     2      
13/02/1966  0       1.8    15     1      
14/02/1966  0       0.9    16     2      
15/02/1966  0       1      17     3      
16/02/1966  0       1.2    21     3      
17/02/1966  0       2      21     5      
18/02/1966  0       1.2    13     6      
19/02/1966  0       0.9    12     4      
20/02/1966  0       0.8    15     3      
21/02/1966  0       1.1    18     3      
22/02/1966  0       0.9    15     2      
23/02/1966  0       2      18     7      
24/02/1966  0       0.9    20     6      
25/02/1966  0       1      13     7      
26/02/1966  2       1      13     5      
27/02/1966  0       2.9    18     4      
28/02/1966  0       3.1    20     5      
01/03/1966  0       2.2    17     6      
02/03/1966  0       1.5    12     6      
03/03/1966  0       3      14     -1     
04/03/1966  0       1.1    15     -2     
05/03/1966  0       2      22     2      
06/03/1966  0       2.6    25     5      
07/03/1966  0       4.8    25     7      
08/03/1966  0       2.8    25     7      
09/03/1966  0       3      27     4      
10/03/1966  0       4.3    25     7      
11/03/1966  0       2.3    24     7      
12/03/1966  0       3      23     7      
13/03/1966  0       1      24     7      
14/03/1966  0       1.1    24     10     
15/03/1966  0       2.1    23     7      
16/03/1966  0       1      25     6      
17/03/1966  0       1.7    20     5      
18/03/1966  0       2.2    26     10     
19/03/1966  0       1.9    27     5      
20/03/1966  0       4      24     7      
21/03/1966  0       4.7    22     2      
22/03/1966  0       5      23     1      
23/03/1966  15.5    1      24     0      
24/03/1966  0       1.7    26     8      
25/03/1966  0       2.2    19     10     
26/03/1966  0       1.6    15     10     
27/03/1966  0       2      18     6      
28/03/1966  0       3.3    20     10     
29/03/1966  0       2      23     10     
30/03/1966  0       8.8    36     5      
31/03/1966  0       6.8    34     11     
01/04/1966  0       4.1    24     5      
02/04/1966  0       4.9    23     6      
03/04/1966  0       3.3    21     10     
04/04/1966  0       1.6    22     10     
05/04/1966  0       3.9    26     6      
06/04/1966  0       6.1    27     6      
07/04/1966  0       4.4    22     8      
08/04/1966  0       7      22     8      
09/04/1966  0       3.2    22     9      
10/04/1966  0       4.4    23     7      
11/04/1966  0       6.5    25     3      
12/04/1966  0       5.2    23     3      
13/04/1966  0       1.4    22     2      
14/04/1966  0       7      23     8      
15/04/1966  0       5      24     10     
16/04/1966  0       2.4    19     8      
17/04/1966  0       1.5    24     10     
18/04/1966  0       2.1    20     11     
19/04/1966  0       2.5    22     10     
20/04/1966  0       1.8    23     11     
21/04/1966  0       0.9    25     2      
22/04/1966  0       4.9    26     3      
23/04/1966  0       7.3    25     4      
24/04/1966  0       4.7    20     5      
25/04/1966  0       6.7    19     7      
26/04/1966  0       5      24     10     
27/04/1966  0       2.2    21     8      
28/04/1966  0       4.1    26     8      
29/04/1966  0       4.9    24     6      
30/04/1966  0       5.3    28     8      
01/05/1966  0       3.2    14     5      
02/05/1966  0       4.9    12     6      
03/05/1966  0       2.4    13     6      
04/05/1966  0       4.6    17     8      
05/05/1966  0       4      18     9      
06/05/1966  0       2.6    10     5      
07/05/1966  0       5.5    22     7      
08/05/1966  0       4.4    23     6      
09/05/1966  0       3      20     6      
10/05/1966  0       2.9    19     5      
11/05/1966  0       3.8    18     8      
12/05/1966  0       3.1    20     6      
13/05/1966  0       5.9    13     6      
14/05/1966  0       3      21.5   7      
15/05/1966  0       5.9    20     5      
16/05/1966  0       4      19     5      
17/05/1966  0       3.2    20     6      
18/05/1966  0       4      20     7      
19/05/1966  0       5.1    23     6      
20/05/1966  0       4.3    22     6      
21/05/1966  0       3.6    21     5      
22/05/1966  0       6.8    20     6      
23/05/1966  0       3.3    19     8      
24/05/1966  0       3.9    20     7      
25/05/1966  0       5.9    22     6      
26/05/1966  0       5      19     7      
27/05/1966  0       5.2    20     6      
28/05/1966  0       3.9    20     6      
29/05/1966  0       4      19     6      
30/05/1966  0       5      18     6      
31/05/1966  0       6.2    20     5      
01/06/1966  0       4.9    18     8      
02/06/1966  0       4      17     9      
03/06/1966  0       6      18     9      
04/06/1966  0       5.1    20     10     
05/06/1966  0       5.7    19     9      
06/06/1966  0       4.8    18     8      
07/06/1966  0       3.3    22     9      
08/06/1966  0       3.1    31     9      
09/06/1966  0       4.2    32     10     
10/06/1966  0       9.2    33     14     
11/06/1966  0       5.5    34     12     
12/06/1966  0       8.9    37     11     
13/06/1966  0       4.3    31     11     
14/06/1966  0       4.1    28     11     
15/06/1966  0       4.6    23     10     
16/06/1966  0       5.4    19     9      
17/06/1966  0       5.5    23     12     
18/06/1966  0       7.6    18     9      
19/06/1966  0       6      24     8      
20/06/1966  0       4.6    26     9      
21/06/1966  0       5.5    18     12     
22/06/1966  0       5.5    21     11     
23/06/1966  0       5.6    19     9      
24/06/1966  0       6.5    24     11     
25/06/1966  0       4.7    19     12     
26/06/1966  0       6.3    21     11     
27/06/1966  0       7.4    26     11     
28/06/1966  0       10.3   36     8      
29/06/1966  0       7.9    38     12     
30/06/1966  0       6.7    35     13     
01/07/1966  0       5.1    30     14     
02/07/1966  0       7.4    29     13     
03/07/1966  0       6.8    31     10     
04/07/1966  0       7.5    30     11.5   
05/07/1966  0       6.5    29     13     
06/07/1966  0       5.2    25     8      
07/07/1966  0       4.9    26.5   10     
08/07/1966  0       4.8    29     14     
09/07/1966  0       6.7    30     13     
10/07/1966  0       7.4    26     15     
11/07/1966  0       5.4    28     13     
12/07/1966  0       6.1    30     11     
13/07/1966  0       5.5    25     13.5   
14/07/1966  0       5.2    26     9      
15/07/1966  0       4.5    23     11     
16/07/1966  0       3.9    29     8      
17/07/1966  0       4.2    27     10.5   
18/07/1966  0       3.7    30     11     
19/07/1966  0       6.5    24     12     
20/07/1966  0       3.6    27     10     
21/07/1966  0       4.4    30     11     
22/07/1966  0       5.7    32     14     
23/07/1966  0       5.7    25.5   16     
24/07/1966  0       4.8    28     12     
25/07/1966  0       4.5    31     15     
26/07/1966  0       6.5    29     14.5   
27/07/1966  0       4.4    28     15     
28/07/1966  0       4.1    24     15     
29/07/1966  0       5.6    28     13     
30/07/1966  0       5.6    25     15     
31/07/1966  0       5.9    30     14     
01/08/1966  0       6.5    31     14     
02/08/1966  0       5.4    32     16     
03/08/1966  0       7.1    29     18     
04/08/1966  0       4.7    30     13     
05/08/1966  0       3.3    28     14     
06/08/1966  0       5      26     12     
