CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 2064
NOMBRE    : SANTO DOMINGO
ESTADO    : BAJA CALIFORNIA
MUNICIPIO : ENSENADA
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 031.633°
LONGITUD  : -116.377°
ALTITUD   : 250 msnm

EMISIÓN   : 29/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/09/1962  Nulo    Nulo   Nulo   12     
03/09/1962  0       Nulo   38.5   Nulo   
04/09/1962  0       Nulo   35     14     
05/09/1962  0       Nulo   34     16     
06/09/1962  0       Nulo   33     15     
07/09/1962  0       Nulo   28     14.5   
08/09/1962  0       Nulo   25     12     
09/09/1962  0       Nulo   25.5   13.5   
10/09/1962  0       Nulo   28     11.5   
11/09/1962  0       Nulo   28.5   11.5   
12/09/1962  0       Nulo   26.5   14     
13/09/1962  0       Nulo   30     12.5   
14/09/1962  0       Nulo   30.5   13     
15/09/1962  0       Nulo   26     10     
16/09/1962  0       Nulo   29     13     
17/09/1962  0       Nulo   31     14     
18/09/1962  0       Nulo   32     14.5   
19/09/1962  0       Nulo   35     15     
20/09/1962  0       Nulo   32     14.5   
21/09/1962  0       Nulo   30     14     
22/09/1962  0       Nulo   37     14     
23/09/1962  0       Nulo   30     21     
24/09/1962  0       4      28     21.5   
25/09/1962  0       2      22     18     
26/09/1962  0       1.9    21     17     
27/09/1962  0       5.1    24     16     
28/09/1962  0       2.8    25     14     
29/09/1962  0       2.8    26     11     
30/09/1962  0       6.1    32     11     
01/10/1962  0       5      31     13     
02/10/1962  0       3.6    27     11.5   
03/10/1962  0       4      26     13     
04/10/1962  0       3.2    22     12.5   
05/10/1962  0       6.7    21     12     
06/10/1962  0       2.3    23     10     
07/10/1962  0       2      24     11     
08/10/1962  0       4      27     11.5   
09/10/1962  0       4.7    29     11     
10/10/1962  0       3.7    28     10.5   
11/10/1962  0       4.1    26     10     
12/10/1962  0       4      29     8      
13/10/1962  0       6.7    34     9.5    
14/10/1962  0       3.9    27     13     
15/10/1962  0       4.3    19     14     
16/10/1962  0       2.4    21.5   11     
17/10/1962  0       3.5    21     11.5   
18/10/1962  0       5.3    23     11     
19/10/1962  0       3.8    25     10.5   
20/10/1962  0       5      26.5   11.5   
21/10/1962  0       6.6    29     14.5   
22/10/1962  0       4.3    30     14     
23/10/1962  0       4.3    27     9      
24/10/1962  0       4.6    25     7      
25/10/1962  0       2.3    28     7.5    
26/10/1962  0       4.5    25     9      
27/10/1962  0       5.6    32     8.5    
28/10/1962  0       6.3    33     14     
29/10/1962  0       8.1    34     12     
30/10/1962  0       8.6    28     19     
31/10/1962  0       9.7    34     16     
01/11/1962  0       6.7    34     15     
02/11/1962  0       4.1    31     16     
03/11/1962  0       2.1    25     12     
04/11/1962  0       3.1    21     13     
05/11/1962  0       3.4    22     13     
06/11/1962  0       3.2    23     9      
07/11/1962  0       5.4    28     11     
08/11/1962  0       5.5    31     15     
09/11/1962  0       7.6    24     8.5    
10/11/1962  0       1.6    24     10     
11/11/1962  0       4.4    27     6      
12/11/1962  0       4.5    24     9      
13/11/1962  0       0.6    21     14     
14/11/1962  0       1.2    19     13     
15/11/1962  0       3.3    20     12     
16/11/1962  0       3.2    27     9      
17/11/1962  0       2.4    20.5   6      
18/11/1962  0       4.3    21     6      
19/11/1962  0       4.9    22     7      
20/11/1962  0       3.8    24     9      
21/11/1962  0       2.8    24     6      
