CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 2069
NOMBRE    : VALLE DE LAS PALMAS
ESTADO    : BAJA CALIFORNIA
MUNICIPIO : TECATE
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 032.37°
LONGITUD  : -116.654°
ALTITUD   : 280 msnm

EMISIÓN   : 29/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/01/1949  5.5     Nulo   15     -2     
02/01/1949  0       Nulo   12     8      
03/01/1949  0       Nulo   7      0      
04/01/1949  0       Nulo   6.5    -1.5   
05/01/1949  0       Nulo   13     -2     
06/01/1949  0       Nulo   15     2      
07/01/1949  0       Nulo   20     4.5    
08/01/1949  0       Nulo   16.5   -1     
09/01/1949  14      Nulo   9      0      
10/01/1949  8       Nulo   8      1.5    
11/01/1949  10      Nulo   16.5   0      
12/01/1949  46      Nulo   12     2      
13/01/1949  7       Nulo   8.5    2      
14/01/1949  1.5     Nulo   10     2      
15/01/1949  0       Nulo   12     3      
16/01/1949  0       Nulo   10     -1.5   
17/01/1949  0       Nulo   11     0      
18/01/1949  0       Nulo   12     -1     
19/01/1949  0       Nulo   12     2      
20/01/1949  3       Nulo   13     3      
21/01/1949  2.5     Nulo   15     Nulo   
22/01/1949  6       Nulo   10     Nulo   
23/01/1949  3.6     Nulo   9.5    Nulo   
24/01/1949  10      Nulo   7      Nulo   
25/01/1949  0       Nulo   8      Nulo   
26/01/1949  0       Nulo   12     Nulo   
27/01/1949  0       Nulo   13     Nulo   
28/01/1949  0       Nulo   13     Nulo   
29/01/1949  0       Nulo   11     Nulo   
30/01/1949  0       Nulo   14     Nulo   
31/01/1949  0       Nulo   13     Nulo   
01/02/1949  2.2     Nulo   14     Nulo   
02/02/1949  1.5     Nulo   10     Nulo   
