CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 2148
NOMBRE    : SAN FELIPE (OBS)
ESTADO    : BAJA CALIFORNIA
MUNICIPIO : MEXICALI
SITUACION : OPERANDO
ORGANISMO : CONAGUA-SMN
CVE-OMM   : 76055.0
LATITUD   : 031.029°
LONGITUD  : -114.839°
ALTITUD   : 15 msnm

EMISIÓN   : 29/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/04/1982  0       Nulo   25     13.5   
02/04/1982  0       Nulo   21.6   13     
03/04/1982  0       Nulo   24.2   9.5    
04/04/1982  0       Nulo   24.5   14.4   
05/04/1982  0       Nulo   23.4   11     
06/04/1982  0       Nulo   25     14.2   
07/04/1982  0       Nulo   23     13.3   
08/04/1982  0       Nulo   24.9   10.5   
09/04/1982  0       Nulo   26     14     
10/04/1982  0       Nulo   30     13.8   
11/04/1982  0       Nulo   30.4   18.5   
12/04/1982  0       Nulo   29.6   18     
13/04/1982  0       Nulo   29     17.4   
14/04/1982  0       Nulo   28.5   16.3   
15/04/1982  0       Nulo   26.4   13     
16/04/1982  0       Nulo   27.5   11.4   
17/04/1982  0       Nulo   27.6   11.5   
18/04/1982  0       Nulo   31.5   13.4   
19/04/1982  0       Nulo   34     15     
20/04/1982  0       Nulo   31     18.7   
21/04/1982  0       Nulo   27     17     
22/04/1982  0       Nulo   29.8   14     
23/04/1982  0       Nulo   28     12.5   
24/04/1982  0       Nulo   32     13     
25/04/1982  0       Nulo   30     19     
26/04/1982  0       Nulo   29.6   16.8   
27/04/1982  0       Nulo   30.4   19.2   
28/04/1982  0       Nulo   30.4   16.5   
29/04/1982  0       Nulo   31.2   15     
30/04/1982  0       Nulo   27     14.4   
01/05/1982  0       Nulo   28.3   15     
02/05/1982  0       Nulo   27.3   14     
03/05/1982  0       Nulo   28     13     
04/05/1982  0       Nulo   25     12     
05/05/1982  0       Nulo   25     12     
06/05/1982  0       Nulo   32     15.9   
07/05/1982  0       Nulo   33.3   18.2   
08/05/1982  0       Nulo   31     17     
09/05/1982  0       Nulo   26.9   16.5   
10/05/1982  0       Nulo   23     14.4   
11/05/1982  0       Nulo   25     13.8   
12/05/1982  0       Nulo   26.8   16     
13/05/1982  0       Nulo   29.1   13     
14/05/1982  0       Nulo   32     16.5   
15/05/1982  0       Nulo   29.5   15.3   
16/05/1982  0       Nulo   32     18     
17/05/1982  0       Nulo   33.8   19     
18/05/1982  0       Nulo   35     19     
19/05/1982  0       Nulo   32.4   19.4   
20/05/1982  0       Nulo   31     15.8   
21/05/1982  0       Nulo   30.2   16     
22/05/1982  0       Nulo   30.4   20     
23/05/1982  0       Nulo   32.4   14     
24/05/1982  0       Nulo   31.7   18     
25/05/1982  0       Nulo   31.5   18.7   
26/05/1982  0       Nulo   27.3   18.9   
27/05/1982  0       Nulo   28.3   18.2   
28/05/1982  0       Nulo   27.5   15     
29/05/1982  0       Nulo   30.2   16     
30/05/1982  0       Nulo   30     17     
31/05/1982  0       Nulo   32     16.1   
01/06/1982  0       Nulo   32     18     
02/06/1982  0       Nulo   32.8   17.8   
03/06/1982  0       Nulo   31     17     
04/06/1982  0       Nulo   33.6   16.5   
05/06/1982  0       Nulo   32     17     
06/06/1982  0       Nulo   30     18     
07/06/1982  0       Nulo   29.5   17.3   
08/06/1982  0       Nulo   31.5   15.5   
09/06/1982  0       Nulo   31     16.5   
10/06/1982  0       Nulo   33     18.1   
11/06/1982  0       Nulo   34.3   17.5   
12/06/1982  0       Nulo   33     20     
13/06/1982  0       Nulo   32.7   20     
14/06/1982  0       Nulo   30.7   20.2   
15/06/1982  Nulo    Nulo   32.7   18     
16/06/1982  0       Nulo   31.2   16.9   
17/06/1982  0       Nulo   34     16     
18/06/1982  0       Nulo   33.4   21.5   
19/06/1982  0       Nulo   32     21.3   
20/06/1982  0       Nulo   30.6   19.2   
21/06/1982  0       Nulo   31.5   19     
22/06/1982  9       Nulo   32.8   18.3   
23/06/1982  0       Nulo   32     18     
24/06/1982  0       Nulo   34     20.5   
25/06/1982  0       Nulo   35.3   19     
26/06/1982  0       Nulo   38.1   21.3   
27/06/1982  0       Nulo   35.7   21     
28/06/1982  0       Nulo   35     21.8   
29/06/1982  0       Nulo   33.5   20     
30/06/1982  0       Nulo   33     20     
01/07/1982  0       Nulo   35.6   21.6   
02/07/1982  0       Nulo   34.6   20.4   
03/07/1982  0       Nulo   36     20     
04/07/1982  0       Nulo   39.1   22.2   
05/07/1982  0       Nulo   34.6   23     
06/07/1982  0       Nulo   34     22     
07/07/1982  0       Nulo   30.6   21.3   
08/07/1982  0       Nulo   35     23.2   
09/07/1982  0       Nulo   35.5   23     
10/07/1982  0       Nulo   37.1   22.4   
11/07/1982  0       Nulo   35     24.1   
12/07/1982  0       Nulo   37.9   25.2   
13/07/1982  0       Nulo   38.9   22     
14/07/1982  0       Nulo   36.5   24.5   
15/07/1982  0       Nulo   36     28.2   
16/07/1982  0       Nulo   38.5   23.9   
17/07/1982  0       Nulo   38     25.5   
18/07/1982  0       Nulo   38     26     
19/07/1982  0       Nulo   37.5   25     
20/07/1982  0       Nulo   35.7   25.2   
21/07/1982  0       Nulo   38     26.5   
22/07/1982  0       Nulo   34.9   27.4   
23/07/1982  0       Nulo   37     27     
24/07/1982  0       Nulo   37     27     
25/07/1982  0       Nulo   37.5   28     
26/07/1982  0.5     Nulo   32.8   26.7   
27/07/1982  0       Nulo   35.8   25     
28/07/1982  0       Nulo   38     23     
29/07/1982  0       Nulo   37     26.9   
30/07/1982  0       Nulo   39     29     
31/07/1982  0       Nulo   39     28.5   
01/08/1982  0       Nulo   39     27.5   
02/08/1982  0       Nulo   40.5   28     
03/08/1982  0       Nulo   40     26     
04/08/1982  0       Nulo   36     24     
05/08/1982  0       Nulo   38     24     
06/08/1982  0       Nulo   38.5   28     
07/08/1982  0       Nulo   40.5   26.2   
08/08/1982  0       Nulo   43.5   29     
09/08/1982  0       Nulo   42     27.5   
10/08/1982  0       Nulo   38.7   28     
11/08/1982  0       Nulo   35     28.1   
12/08/1982  0       Nulo   34.5   27     
13/08/1982  0       Nulo   38.4   23     
14/08/1982  0       Nulo   36     22.4   
15/08/1982  0       Nulo   36.5   23     
