CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A AGOSTO 2022

ESTACION  : 3115
NOMBRE    : LOS LAURELES
ESTADO    : BAJA CALIFORNIA SUR
MUNICIPIO : MULEGE
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 027.6°
LONGITUD  : -113.55°
ALTITUD   : 70 msnm

EMISIÓN   : 16/08/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/07/1977  0       2.1    36     12     
02/07/1977  0       3.2    37     12     
03/07/1977  0       6.6    36     12     
04/07/1977  0       12.5   36     11     
05/07/1977  0       4      36     13     
06/07/1977  0       7.6    35     12     
07/07/1977  0       8.6    37     12     
08/07/1977  0       9.1    36     11     
09/07/1977  0       8.7    32     12     
10/07/1977  0       2.9    32     10     
11/07/1977  0       6.4    37     13     
12/07/1977  0       4.1    32     12     
13/07/1977  0       4.3    37     12     
14/07/1977  0       6.4    36     14     
15/07/1977  0       9      31     13     
16/07/1977  0       10.6   32     11     
17/07/1977  0       7.5    36     12     
18/07/1977  0       9.2    36     12     
19/07/1977  0       8.9    36     12     
20/07/1977  0       7.2    37     12     
21/07/1977  0       8.6    36     13     
22/07/1977  0       6.7    37     13     
23/07/1977  0       6      37     12     
24/07/1977  0       7.6    37     12     
25/07/1977  0       10.5   39     11     
26/07/1977  0       8.6    40     13     
27/07/1977  0       4.4    40     14     
28/07/1977  0       5.7    39     12     
29/07/1977  0       3      40     12     
30/07/1977  0       4.1    40     13     
31/07/1977  0       4.5    40     12     
01/08/1977  0       8.1    40     12     
02/08/1977  0       8.2    40     12     
03/08/1977  0       10     40     12     
04/08/1977  0       8.4    39     12     
05/08/1977  0       7.3    39     8      
06/08/1977  0       7.9    40     12     
07/08/1977  0       3.5    40     13     
08/08/1977  0       5.5    40     13     
09/08/1977  0       4.2    39     12     
10/08/1977  0       8.3    40     8      
11/08/1977  0       9.4    39     12     
12/08/1977  0       11.6   40     12     
13/08/1977  0       10.4   40     12     
14/08/1977  15.5    11.1   40     8      
15/08/1977  17.5    10.6   39     8      
16/08/1977  0       6      39     8      
17/08/1977  0       5.6    38     9      
18/08/1977  0       7.6    38     9      
19/08/1977  0       6.9    40     8      
20/08/1977  2       3.8    40     8      
21/08/1977  0       2      39     10     
22/08/1977  0       5.7    39     10     
23/08/1977  0       7      40     8      
24/08/1977  0       6.7    40     8      
25/08/1977  0       5.5    39     12     
26/08/1977  0       7.1    40     8      
27/08/1977  0       6.3    40     8      
28/08/1977  0       5.8    38     12     
29/08/1977  0       8.5    39     12     
30/08/1977  0       5.6    40     8      
31/08/1977  0       5.9    38     12     
01/09/1977  0       9      33     14     
02/09/1977  0       5.7    35     12     
03/09/1977  0       5.4    36     12.5   
04/09/1977  0       6.8    35     15     
05/09/1977  0       6.7    34     14     
06/09/1977  0       5.7    36     14.5   
07/09/1977  0       5.8    34     16     
08/09/1977  0       6.1    32     15     
09/09/1977  0       5.1    33     14     
10/09/1977  0       4.8    34     13.5   
11/09/1977  0       3.7    33     14     
12/09/1977  0       5      35     16     
13/09/1977  0       5      34     14.5   
14/09/1977  0       5.4    34     15     
15/09/1977  0       5.7    34.5   15.5   
16/09/1977  0       6.9    35     15     
17/09/1977  0       7.5    36     16     
18/09/1977  0       5.8    35.5   16.5   
19/09/1977  0       6.8    35     15     
20/09/1977  0       6.7    36     15.5   
21/09/1977  0       6.4    34     15     
22/09/1977  0       6.6    35     14     
23/09/1977  0       6.2    33     14.5   
24/09/1977  0       7.2    33.5   16     
25/09/1977  0       6.7    35     17.5   
26/09/1977  0       6.2    34     18     
27/09/1977  0       8.1    34.5   17     
28/09/1977  0       7      33     17.5   
29/09/1977  0       6.8    31     17     
30/09/1977  0       6.2    31.5   18     
01/10/1977  0       3.6    31     13     
02/10/1977  0       3.1    33     13.5   
03/10/1977  0       2.7    31     12     
04/10/1977  0       2.9    29.5   14.5   
05/10/1977  1       3.4    30     11     
06/10/1977  2       2.7    33     11.5   
07/10/1977  0.5     1.9    31.5   12     
08/10/1977  0       3.2    30     12.5   
09/10/1977  0       2.9    29.5   13     
10/10/1977  0       3.1    28     12.5   
11/10/1977  0       2.4    29     14     
12/10/1977  0       4.7    28.5   13.5   
13/10/1977  0       5.3    27     16     
14/10/1977  0       3.9    29     15     
15/10/1977  0       6      30     14.5   
16/10/1977  0       2.7    30.5   14     
17/10/1977  0       3.4    29     14     
18/10/1977  0       5.8    28.5   15     
19/10/1977  0       3.9    27     13     
20/10/1977  0       4.6    29     16     
21/10/1977  0       4.7    29.5   14     
22/10/1977  0       3      30     14.5   
23/10/1977  0       2.6    31     12     
24/10/1977  0       3.2    30     12     
25/10/1977  0       2.2    28     10.5   
26/10/1977  0       3.9    27.5   12     
27/10/1977  0       4.5    26     11.5   
28/10/1977  0       3.4    29     10     
29/10/1977  0       4.8    30.5   12     
30/10/1977  0       3.4    29     12.5   
31/10/1977  0       3.9    28     11     
01/11/1977  0       3.3    30     12.5   
02/11/1977  0       3.4    27.5   13     
03/11/1977  0       3.3    28     13.5   
04/11/1977  0       3.8    26.5   14     
05/11/1977  0       3.2    29     11     
06/11/1977  0       2.8    26.5   11.5   
07/11/1977  0       3.9    27     12     
08/11/1977  0       3      29     10.5   
09/11/1977  0       3.4    29.5   11     
10/11/1977  0       3.2    30     10     
11/11/1977  0       4.8    31.5   9.5    
12/11/1977  0       4.5    26     8      
13/11/1977  0       3.4    27.5   9.5    
14/11/1977  0       3.7    26.5   9      
15/11/1977  0       3.5    28     10     
16/11/1977  0       5.1    28     10.5   
17/11/1977  0       4.3    26     9      
18/11/1977  0       4.4    25     10.5   
19/11/1977  0       3.7    26     11     
20/11/1977  0       2.6    26.5   10     
21/11/1977  0       3.8    27     7.5    
22/11/1977  0       3.3    28     9      
23/11/1977  0       2.5    28.5   9.5    
24/11/1977  0       2.2    29     9      
25/11/1977  0       3.9    27     10     
26/11/1977  0       3.2    27.5   10.5   
27/11/1977  0       3.1    28     11     
28/11/1977  0       3.9    26     9      
29/11/1977  0       3.2    26.5   9      
30/11/1977  0       2.8    28     9.5    
01/12/1977  0       3.7    26     10     
02/12/1977  0       2.9    26.5   10.5   
03/12/1977  0       1.4    25     9      
04/12/1977  0       3.6    28     7      
05/12/1977  0       2.2    27     5      
06/12/1977  0       3.1    26     6      
07/12/1977  0       3.6    27.5   7      
08/12/1977  0       2.7    29     7.5    
09/12/1977  0       2.7    28     9      
10/12/1977  0       3.5    27     10     
11/12/1977  0       5.1    28.5   12     
12/12/1977  0       3.9    26     10     
13/12/1977  0       1.7    24     10.5   
14/12/1977  0       2.4    26     9      
15/12/1977  0       2.9    26.5   9.5    
16/12/1977  0       3.2    25     8      
17/12/1977  0       3.3    25.5   8      
18/12/1977  0       4.8    25     8.5    
19/12/1977  0       6.1    23     9      
20/12/1977  0       3.7    26     4      
21/12/1977  0       1.5    24     7      
22/12/1977  0       4.3    24     3      
23/12/1977  0       2.2    25     5      
24/12/1977  0       3.6    23     6      
25/12/1977  0       3.2    24     7      
26/12/1977  0       5.1    23     8      
27/12/1977  0       4      24     8.5    
28/12/1977  0       2.4    23     6      
29/12/1977  0       3.2    24     6.5    
30/12/1977  0       2.6    25     5      
31/12/1977  0       3.6    25.5   5.5    
01/01/1978  0       2      23     6      
02/01/1978  0       3.1    24     6.5    
03/01/1978  0       3      24.5   4      
04/01/1978  0       2.8    23     5      
05/01/1978  0       2.5    22.5   5.5    
06/01/1978  0       3.8    22     6      
07/01/1978  0       3.2    23     5      
08/01/1978  0       2.9    24     4.5    
09/01/1978  0       3      23.5   4      
10/01/1978  0       2.9    22     5      
11/01/1978  0       2.9    21     5.5    
12/01/1978  0       5.2    21.5   4      
13/01/1978  0       3      22     4.5    
14/01/1978  0       3.3    23     5      
15/01/1978  0.5     2.2    23.5   6      
16/01/1978  0       2.6    25     3      
17/01/1978  0       2.5    27     5      
18/01/1978  0       2.7    24     6      
19/01/1978  1       2.8    24.5   7      
20/01/1978  0       2.4    22     6      
21/01/1978  0       2.9    23     5      
22/01/1978  0       2.2    24.5   4      
23/01/1978  0       2.8    22     4.5    
24/01/1978  0       2.3    21.5   3      
25/01/1978  0       2.9    23     2.5    
26/01/1978  0       2.2    22.5   2      
27/01/1978  0       2.6    23     2.5    
28/01/1978  0       2.3    24     3.5    
29/01/1978  0       2.9    25     3      
30/01/1978  0       2.6    24     5      
31/01/1978  0       2.4    24.5   5      
01/02/1978  0       3.5    25     5      
02/02/1978  0       3.1    26     6      
03/02/1978  0       2.5    25.5   4      
04/02/1978  0       3.6    24     5      
05/02/1978  5.5     0.8    28.5   7      
06/02/1978  0       2.9    24     6.5    
07/02/1978  0       2.2    26     7      
08/02/1978  0       1.8    27     4      
09/02/1978  0       2.8    25.5   3      
10/02/1978  18      1.1    24     3.5    
11/02/1978  1       1.3    23.5   4      
12/02/1978  0       2.7    24.5   4.5    
13/02/1978  1       1.8    24     4      
14/02/1978  0       3.2    25     6      
15/02/1978  0       2.2    26     5      
16/02/1978  0       3.2    25     6      
17/02/1978  0       4.7    26     5.5    
18/02/1978  0       2.2    25     4.5    
19/02/1978  0       3.1    24.5   6      
20/02/1978  0       3.7    25     7      
