CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A AGOSTO 2022

ESTACION  : 3128
NOMBRE    : SAN LUIS GONZAGA
ESTADO    : BAJA CALIFORNIA SUR
MUNICIPIO : COMONDU
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 024.907°
LONGITUD  : -111.291°
ALTITUD   : 160 msnm

EMISIÓN   : 16/08/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/09/1979  0       Nulo   38.5   22     
02/09/1979  0       Nulo   37.5   22     
03/09/1979  0       Nulo   39     22     
04/09/1979  0       Nulo   38.5   22     
05/09/1979  0       Nulo   37.5   22.5   
06/09/1979  0       Nulo   37.5   21.5   
07/09/1979  0       Nulo   38.5   23     
08/09/1979  0       Nulo   39     21     
09/09/1979  0       Nulo   39.5   23     
10/09/1979  0       Nulo   37.5   22     
11/09/1979  2.5     Nulo   36.5   23     
12/09/1979  0       Nulo   33     25     
13/09/1979  0       Nulo   32     25     
14/09/1979  79      Nulo   28.5   20     
15/09/1979  0       Nulo   27.5   21.5   
16/09/1979  0       Nulo   30.5   23     
17/09/1979  1       Nulo   32.5   20.5   
18/09/1979  0       Nulo   33     23     
19/09/1979  17      Nulo   33.5   22.5   
20/09/1979  0       Nulo   34     22     
21/09/1979  0       Nulo   34     22     
22/09/1979  0       Nulo   33.5   21     
23/09/1979  0       Nulo   34.5   21.5   
24/09/1979  0       Nulo   35.5   22     
25/09/1979  0       Nulo   37     22     
26/09/1979  0       Nulo   37.5   20.5   
27/09/1979  0       Nulo   35.5   20.5   
28/09/1979  0       Nulo   35.5   20.5   
29/09/1979  0       Nulo   36     19.5   
30/09/1979  0       Nulo   37.5   18.5   
01/10/1979  0       Nulo   37.5   18     
02/10/1979  0       Nulo   36.5   18     
03/10/1979  0       Nulo   38.5   17.5   
04/10/1979  0       Nulo   38     19     
05/10/1979  0       Nulo   37.5   20     
06/10/1979  0       Nulo   38.5   21     
07/10/1979  0       Nulo   38.5   17.5   
08/10/1979  0       Nulo   36.5   18     
09/10/1979  0       Nulo   38     18     
10/10/1979  0       Nulo   38.5   16     
11/10/1979  0       Nulo   39.5   16     
12/10/1979  0       Nulo   37     16.5   
13/10/1979  0       Nulo   35.5   14.5   
14/10/1979  0       Nulo   35.5   14.5   
15/10/1979  0       Nulo   34     14.5   
16/10/1979  0       Nulo   32     14     
17/10/1979  0       Nulo   31.5   15.5   
18/10/1979  0       Nulo   30     15.5   
19/10/1979  0       Nulo   30     16     
20/10/1979  0       Nulo   30.5   12.5   
21/10/1979  0       Nulo   30.5   15     
22/10/1979  0       Nulo   32     15     
23/10/1979  0       Nulo   32.5   11.5   
24/10/1979  0       Nulo   33     12.5   
25/10/1979  0       Nulo   34.5   13.5   
26/10/1979  0       Nulo   35     12     
27/10/1979  0       Nulo   34     12     
28/10/1979  0       Nulo   33.5   12     
29/10/1979  0       Nulo   29     10     
30/10/1979  0       Nulo   26.5   10     
31/10/1979  0       Nulo   27.5   8.5    
01/11/1979  0       Nulo   29     7.5    
02/11/1979  0       Nulo   30.5   9      
03/11/1979  0       Nulo   31     10.5   
04/11/1979  0       Nulo   30.5   11     
05/11/1979  0       Nulo   31     12.5   
06/11/1979  0       Nulo   32     15     
07/11/1979  0       Nulo   27     14.5   
08/11/1979  0       Nulo   25     11     
