CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A AGOSTO 2022

ESTACION  : 3162
NOMBRE    : LAS BARRANCAS
ESTADO    : BAJA CALIFORNIA SUR
MUNICIPIO : COMONDU
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 025.001°
LONGITUD  : -112.198°
ALTITUD   : 60 msnm

EMISIÓN   : 16/08/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/09/1979  0       Nulo   27.5   17     
02/09/1979  0       Nulo   27.5   16     
03/09/1979  0       Nulo   27     20     
04/09/1979  0       Nulo   29.5   19.5   
05/09/1979  0       Nulo   29     21.5   
06/09/1979  0       Nulo   28.5   21     
07/09/1979  0       Nulo   29.5   21.5   
08/09/1979  0       Nulo   28.5   20.5   
09/09/1979  0       Nulo   30.5   21     
10/09/1979  0       Nulo   28.5   22     
11/09/1979  0       Nulo   31.5   21     
12/09/1979  0       Nulo   30.5   14.5   
13/09/1979  0       Nulo   36     22     
14/09/1979  30      Nulo   35.5   21.5   
15/09/1979  0       Nulo   32.5   18.5   
16/09/1979  0       Nulo   33.5   23.5   
17/09/1979  0       Nulo   32.5   22     
18/09/1979  0       Nulo   34     22     
19/09/1979  0       Nulo   29     22.5   
20/09/1979  0       Nulo   29.5   20     
21/09/1979  0       Nulo   28.5   21.5   
22/09/1979  0       Nulo   29     21.5   
23/09/1979  0       Nulo   29     20     
24/09/1979  0       Nulo   29     21     
25/09/1979  0       Nulo   31.5   22.5   
26/09/1979  0       Nulo   32.5   22     
27/09/1979  0       Nulo   34     22.5   
28/09/1979  0       Nulo   30     21     
29/09/1979  0       Nulo   31     21     
30/09/1979  0       Nulo   30     19     
01/10/1979  0       Nulo   30     20     
02/10/1979  0       Nulo   29     19.5   
03/10/1979  0       Nulo   30     19.5   
04/10/1979  0       Nulo   30     19.5   
05/10/1979  0       Nulo   29     22.5   
06/10/1979  0       Nulo   29.5   20     
07/10/1979  0       Nulo   29     18.5   
08/10/1979  0       Nulo   28.5   16     
09/10/1979  0       Nulo   29.5   17     
10/10/1979  0       Nulo   29     13     
11/10/1979  0       Nulo   30.5   16.5   
12/10/1979  0       Nulo   28.5   16.5   
13/10/1979  0       Nulo   27.5   16     
14/10/1979  0       Nulo   27.5   9      
15/10/1979  0       Nulo   28     11     
16/10/1979  0       Nulo   27     9      
17/10/1979  0       Nulo   28     11     
18/10/1979  0       Nulo   27     11     
19/10/1979  0       Nulo   26     5      
20/10/1979  0       Nulo   24     8.5    
21/10/1979  0       Nulo   24     4      
22/10/1979  0       Nulo   25.5   6.5    
23/10/1979  0       Nulo   25     13     
24/10/1979  0       Nulo   24     13     
25/10/1979  0       Nulo   24.5   13.5   
26/10/1979  0       Nulo   24     14     
27/10/1979  0       Nulo   25     14.5   
28/10/1979  0       Nulo   22     14     
29/10/1979  0       Nulo   23     15     
30/10/1979  0       Nulo   26.5   10.5   
31/10/1979  0       Nulo   23     9      
01/11/1979  0       Nulo   23     10     
02/11/1979  0       Nulo   23.5   11     
03/11/1979  0       Nulo   24     11     
04/11/1979  0       Nulo   23     13     
05/11/1979  0       Nulo   24     13     
06/11/1979  0       Nulo   23.5   14     
07/11/1979  0       Nulo   22.5   17     
08/11/1979  0       Nulo   23.5   15     
09/11/1979  0       Nulo   22     13     
10/11/1979  0       Nulo   22     10     
11/11/1979  0       Nulo   27     3.5    
12/11/1979  0       Nulo   24     8.5    
13/11/1979  0       Nulo   24     9.5    
14/11/1979  0       Nulo   23     10     
15/11/1979  0       Nulo   23     11     
16/11/1979  0       Nulo   23.5   10     
17/11/1979  0       Nulo   25.5   13     
18/11/1979  0       Nulo   26     12     
19/11/1979  0       Nulo   28     13     
20/11/1979  0       Nulo   25     12     
21/11/1979  0       Nulo   23.5   9.5    
22/11/1979  0       Nulo   23.5   6      
23/11/1979  0       Nulo   24.5   7      
24/11/1979  0       Nulo   28     8      
25/11/1979  0       Nulo   29     10     
26/11/1979  0       Nulo   29     11     
27/11/1979  0       Nulo   27.5   10     
28/11/1979  0       Nulo   21.5   8.5    
29/11/1979  0       Nulo   21.5   10.5   
30/11/1979  0       Nulo   23     11     
01/12/1979  0       Nulo   30     10     
02/12/1979  0       Nulo   29     11.5   
03/12/1979  0       Nulo   30.5   11.5   
04/12/1979  0       Nulo   30     11.5   
05/12/1979  0       Nulo   29     12.5   
06/12/1979  0       Nulo   29.5   17     
07/12/1979  0       Nulo   29     18.5   
08/12/1979  0       Nulo   28.5   16     
09/12/1979  0       Nulo   29.5   17     
10/12/1979  0       Nulo   29     13     
11/12/1979  0       Nulo   30.5   13.5   
12/12/1979  0       Nulo   28.5   11.5   
13/12/1979  0       Nulo   27.5   14     
14/12/1979  0       Nulo   27     9      
15/12/1979  0       Nulo   26     11     
16/12/1979  0       Nulo   25     9      
17/12/1979  0       Nulo   24     11     
18/12/1979  0       Nulo   24     11     
19/12/1979  0       Nulo   25     5      
20/12/1979  0       Nulo   24     8.5    
21/12/1979  0       Nulo   24     4      
22/12/1979  0       Nulo   25.5   11     
23/12/1979  0       Nulo   25     13     
24/12/1979  0       Nulo   24     14     
25/12/1979  0       Nulo   24.5   11     
26/12/1979  0       Nulo   27     10     
27/12/1979  0       Nulo   25     13     
28/12/1979  0       Nulo   27     13     
29/12/1979  0       Nulo   24     12     
30/12/1979  0       Nulo   24     12     
31/12/1979  0       Nulo   25     13     
01/01/1980  0       Nulo   30     12     
02/01/1980  0       Nulo   29     17     
03/01/1980  0       Nulo   28     16     
04/01/1980  0       Nulo   30     11.5   
05/01/1980  0       Nulo   21.5   12     
06/01/1980  0       Nulo   19.5   9      
07/01/1980  0       Nulo   21.5   9.5    
08/01/1980  0       Nulo   21     6      
09/01/1980  0       Nulo   21     12     
10/01/1980  0       Nulo   21.5   7      
11/01/1980  0       Nulo   24     11     
12/01/1980  0       Nulo   23     10.5   
13/01/1980  0       Nulo   24     11     
14/01/1980  0       Nulo   21     12     
15/01/1980  0       Nulo   22     12     
16/01/1980  0       Nulo   21.5   9      
17/01/1980  0       Nulo   21.5   4      
18/01/1980  0       Nulo   21     9      
19/01/1980  0       Nulo   21     10     
20/01/1980  0       Nulo   20     7      
21/01/1980  0       Nulo   19     4      
22/01/1980  0       Nulo   22     2      
23/01/1980  0       Nulo   20     5      
24/01/1980  0       Nulo   22     8      
25/01/1980  0       Nulo   22     9.5    
26/01/1980  0       Nulo   21     9.5    
27/01/1980  0       Nulo   20     4      
28/01/1980  0       Nulo   21     8      
29/01/1980  0       Nulo   20     11     
30/01/1980  0       Nulo   21.5   12.5   
31/01/1980  0       Nulo   24     13     
01/04/1980  0       Nulo   24.5   10     
02/04/1980  0       Nulo   26.5   10     
03/04/1980  0       Nulo   24.5   10     
04/04/1980  0       Nulo   24.5   11     
05/04/1980  0       Nulo   22.5   10     
06/04/1980  0       Nulo   23.5   13     
07/04/1980  0       Nulo   27     14     
08/04/1980  0       Nulo   26     10     
09/04/1980  0       Nulo   26     11     
10/04/1980  0       Nulo   26.5   10.5   
11/04/1980  0       Nulo   23.5   10.5   
12/04/1980  0       Nulo   28.5   16.5   
13/04/1980  0       Nulo   28.5   14     
14/04/1980  0       Nulo   32.5   15     
15/04/1980  0       Nulo   27.5   11.5   
16/04/1980  0       Nulo   23.5   11.5   
17/04/1980  0       Nulo   29.5   10.5   
18/04/1980  0       Nulo   33.5   12.5   
19/04/1980  0       Nulo   30.5   11.5   
20/04/1980  0       Nulo   28.5   10     
21/04/1980  0       Nulo   27.5   11     
22/04/1980  0       Nulo   25.5   9      
23/04/1980  0       Nulo   27.5   11.5   
24/04/1980  0       Nulo   27.5   10.5   
25/04/1980  0       Nulo   23.5   9.5    
26/04/1980  0       Nulo   20     11.5   
27/04/1980  0       Nulo   26     12     
28/04/1980  0       Nulo   27     14     
29/04/1980  0       Nulo   24.5   12     
30/04/1980  0       Nulo   32     13     
01/05/1980  0       Nulo   32     20     
02/05/1980  0       Nulo   29     18     
03/05/1980  0       Nulo   29     20     
04/05/1980  0       Nulo   31     16     
05/05/1980  0       Nulo   30.5   10     
06/05/1980  0       Nulo   27     13.5   
07/05/1980  0       Nulo   28     12.5   
08/05/1980  0       Nulo   31.5   8      
09/05/1980  0       Nulo   31.5   11     
10/05/1980  0       Nulo   31     12     
11/05/1980  0       Nulo   33.5   13     
12/05/1980  0       Nulo   30.5   18.5   
13/05/1980  0       Nulo   26.5   16     
14/05/1980  0       Nulo   35.5   13.5   
15/05/1980  0       Nulo   28     12.5   
16/05/1980  0       Nulo   27.5   11.5   
17/05/1980  0       Nulo   35.5   13.5   
18/05/1980  0       Nulo   30     14.5   
19/05/1980  0       Nulo   32     15.5   
20/05/1980  0       Nulo   35.5   15.5   
21/05/1980  0       Nulo   29.5   16     
22/05/1980  0       Nulo   28     10     
23/05/1980  0       Nulo   27     9.5    
24/05/1980  0       Nulo   30     10     
25/05/1980  0       Nulo   30     7      
26/05/1980  0       Nulo   25     12     
27/05/1980  0       Nulo   27.5   10.5   
28/05/1980  0       Nulo   29.5   8      
29/05/1980  0       Nulo   30     8      
30/05/1980  0       Nulo   26     12.5   
31/05/1980  0       Nulo   28.5   9.5    
01/06/1980  0       Nulo   28.5   9      
02/06/1980  0       Nulo   25.5   6.5    
