CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A AGOSTO 2022

ESTACION  : 3172
NOMBRE    : GUAJADEMI
ESTADO    : BAJA CALIFORNIA SUR
MUNICIPIO : COMONDU
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 026.349°
LONGITUD  : -112.171°
ALTITUD   : 195 msnm

EMISIÓN   : 16/08/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/01/1982  0       Nulo   23     10     
02/01/1982  0       Nulo   20     10     
03/01/1982  0       Nulo   20     6      
04/01/1982  0       Nulo   25     4      
05/01/1982  0       Nulo   23     4      
06/01/1982  0       Nulo   25     4      
07/01/1982  0       Nulo   22     4      
08/01/1982  0       Nulo   23     10     
09/01/1982  0       Nulo   22     11     
10/01/1982  0       Nulo   23     11     
11/01/1982  8       Nulo   27     10     
12/01/1982  0       Nulo   27     9      
13/01/1982  0       Nulo   20     9      
14/01/1982  0       Nulo   25     5      
15/01/1982  0       Nulo   25     5      
16/01/1982  0       Nulo   26     4      
17/01/1982  0       Nulo   26     4      
18/01/1982  0       Nulo   25     5      
19/01/1982  0       Nulo   27     6      
20/01/1982  0       Nulo   20     10     
21/01/1982  0       Nulo   24     6      
22/01/1982  0       Nulo   21     5      
23/01/1982  0       Nulo   25     5      
24/01/1982  0       Nulo   26     5      
25/01/1982  0       Nulo   27     4      
26/01/1982  0       Nulo   27     5      
27/01/1982  0       Nulo   27     4      
28/01/1982  0       Nulo   23     4      
29/01/1982  0       Nulo   19     4      
30/01/1982  0       Nulo   19     5      
31/01/1982  0       Nulo   18     7      
01/02/1982  0       Nulo   23     7      
02/02/1982  0       Nulo   24     3      
03/02/1982  0       Nulo   24     3      
04/02/1982  0       Nulo   20     5      
05/02/1982  0       Nulo   25     9      
06/02/1982  0       Nulo   26     9      
07/02/1982  0       Nulo   23     7      
08/02/1982  0       Nulo   24     5      
09/02/1982  0       Nulo   26     6      
10/02/1982  0       Nulo   27     7      
11/02/1982  0       Nulo   27     10     
12/02/1982  0       Nulo   26     11     
13/02/1982  0       Nulo   27     7      
14/02/1982  0       Nulo   26     11     
15/02/1982  0       Nulo   27     7      
16/02/1982  0       Nulo   31     9      
17/02/1982  0       Nulo   32     10     
18/02/1982  0       Nulo   27     7      
19/02/1982  0       Nulo   25     11     
20/02/1982  0       Nulo   27     9      
21/02/1982  0       Nulo   22     10     
22/02/1982  0       Nulo   28     10     
23/02/1982  0       Nulo   27     10     
24/02/1982  0       Nulo   25     8      
25/02/1982  0       Nulo   26     8      
26/02/1982  0       Nulo   26     8      
27/02/1982  0       Nulo   26     9      
28/02/1982  0       Nulo   27     9      
01/03/1982  0       Nulo   22     11     
02/03/1982  0       Nulo   26     10     
03/03/1982  0       Nulo   26     12     
04/03/1982  0       Nulo   25     8      
05/03/1982  0       Nulo   26     9      
06/03/1982  0       Nulo   26     10     
07/03/1982  0       Nulo   27     7      
08/03/1982  0       Nulo   28     7      
09/03/1982  0       Nulo   32     10     
10/03/1982  0       Nulo   33     12     
11/03/1982  0       Nulo   31     11     
12/03/1982  0       Nulo   27     10     
13/03/1982  0       Nulo   24     10     
14/03/1982  0       Nulo   23     10     
15/03/1982  0       Nulo   23     12     
16/03/1982  0       Nulo   21     11     
17/03/1982  0       Nulo   22     10     
18/03/1982  0       Nulo   20     10     
19/03/1982  0       Nulo   21     8      
20/03/1982  0       Nulo   26     8      
21/03/1982  0       Nulo   26     7      
22/03/1982  0       Nulo   22     6      
23/03/1982  0       Nulo   26     10     
24/03/1982  0       Nulo   27     11     
25/03/1982  0       Nulo   29     9      
26/03/1982  0       Nulo   25     13     
27/03/1982  0       Nulo   30     10     
28/03/1982  0       Nulo   26     10     
29/03/1982  0       Nulo   22     12     
30/03/1982  0       Nulo   25     10     
31/03/1982  0       Nulo   25     11     
01/04/1982  0       Nulo   27     9      
02/04/1982  0       Nulo   30     9      
03/04/1982  0       Nulo   27     10     
04/04/1982  0       Nulo   30     10     
05/04/1982  0       Nulo   31     11     
06/04/1982  0       Nulo   31     7      
07/04/1982  0       Nulo   34     7      
08/04/1982  0       Nulo   31     13     
09/04/1982  0       Nulo   32     13     
10/04/1982  0       Nulo   31     13     
11/04/1982  0       Nulo   33     9      
12/04/1982  0       Nulo   33     10     
13/04/1982  0       Nulo   33     19     
14/04/1982  0       Nulo   33     14     
15/04/1982  0       Nulo   31     10     
16/04/1982  0       Nulo   30     10     
17/04/1982  0       Nulo   32     10     
18/04/1982  0       Nulo   32     10     
19/04/1982  0       Nulo   32     10     
20/04/1982  0       Nulo   31     10     
21/04/1982  0       Nulo   32     15     
22/04/1982  0       Nulo   31     14     
23/04/1982  0       Nulo   32     17     
24/04/1982  0       Nulo   32     12     
25/04/1982  0       Nulo   33     12     
26/04/1982  0       Nulo   33     14     
27/04/1982  0       Nulo   32     8      
28/04/1982  0       Nulo   27     7      
29/04/1982  0       Nulo   27     7      
30/04/1982  0       Nulo   29     13     
01/05/1982  0       Nulo   27     13     
02/05/1982  0       Nulo   24     13     
03/05/1982  0       Nulo   24     9      
