CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A AGOSTO 2022

ESTACION  : 3185
NOMBRE    : SANTA MARTHA
ESTADO    : BAJA CALIFORNIA SUR
MUNICIPIO : MULEGE
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 027.549°
LONGITUD  : -112.975°
ALTITUD   : 700 msnm

EMISIÓN   : 16/08/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/01/1991  0       Nulo   28     8      
02/01/1991  0       Nulo   24     8      
03/01/1991  0       Nulo   24     7      
04/01/1991  0       Nulo   27     3      
05/01/1991  0       Nulo   22     6      
06/01/1991  0       Nulo   28     5      
07/01/1991  0       Nulo   24     8      
08/01/1991  0       Nulo   23     8      
09/01/1991  0       Nulo   27     6      
10/01/1991  0       Nulo   26     9      
11/01/1991  0       Nulo   24     7      
12/01/1991  0       Nulo   23     7      
13/01/1991  0       Nulo   24     6      
14/01/1991  0       Nulo   22     6      
15/01/1991  0       Nulo   21     7      
16/01/1991  0       Nulo   20     7      
17/01/1991  0       Nulo   19     8      
18/01/1991  0       Nulo   19     7      
19/01/1991  0       Nulo   21     5      
20/01/1991  0       Nulo   18     8      
21/01/1991  0       Nulo   20     7      
22/01/1991  0       Nulo   19     7      
23/01/1991  0       Nulo   19     6      
24/01/1991  0       Nulo   19     5      
25/01/1991  0       Nulo   16     4      
26/01/1991  0       Nulo   19     7      
27/01/1991  0       Nulo   18     7      
28/01/1991  0       Nulo   20     6      
29/01/1991  0       Nulo   21     9      
30/01/1991  0       Nulo   17     6      
31/01/1991  0       Nulo   20     2      
01/02/1991  0       Nulo   21     4      
02/02/1991  0       Nulo   23     6      
03/02/1991  0       Nulo   25     6      
04/02/1991  0       Nulo   23     4      
05/02/1991  0       Nulo   26     6      
06/02/1991  0       Nulo   22     8      
07/02/1991  0       Nulo   27     5      
08/02/1991  0       Nulo   23     6      
09/02/1991  0       Nulo   22     10     
10/02/1991  0       Nulo   24     7      
11/02/1991  0       Nulo   26     7      
12/02/1991  0       Nulo   27     6      
13/02/1991  26      Nulo   24     9      
14/02/1991  0       Nulo   23     12     
15/02/1991  0       Nulo   26     8      
16/02/1991  0       Nulo   24     12     
17/02/1991  0       Nulo   22     12     
18/02/1991  0       Nulo   23     10     
19/02/1991  0       Nulo   19     7      
20/02/1991  0       Nulo   19     5      
21/02/1991  0       Nulo   24     7      
22/02/1991  0       Nulo   27     7      
23/02/1991  0       Nulo   27     9      
24/02/1991  0       Nulo   25     12     
25/02/1991  0       Nulo   24     10     
26/02/1991  0       Nulo   21     13     
27/02/1991  0       Nulo   24     12     
28/02/1991  0       Nulo   24     11     
01/03/1991  0       Nulo   26     11     
02/03/1991  0       Nulo   24     8      
03/03/1991  0       Nulo   23     9      
04/03/1991  0       Nulo   28     9      
