CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 4005
NOMBRE    : CAYO ARCAS
ESTADO    : CAMPECHE
MUNICIPIO : INSULAR CAMPECHE
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 020.204°
LONGITUD  : -91.962°
ALTITUD   : 6 msnm

EMISIÓN   : 01/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
11/08/1929  4       Nulo   32     26.5   
12/08/1929  0       Nulo   32     26     
13/08/1929  0       Nulo   32     25.5   
14/08/1929  0       Nulo   31.5   27.5   
15/08/1929  15.5    Nulo   32     25.5   
16/08/1929  0       Nulo   32     24.5   
17/08/1929  3.5     Nulo   32     25     
18/08/1929  0       Nulo   31.5   26     
19/08/1929  0       Nulo   31.5   26.5   
20/08/1929  0       Nulo   32     27     
21/08/1929  0       Nulo   32     25.5   
22/08/1929  0       Nulo   31.5   27.3   
23/08/1929  0       Nulo   32     28     
24/08/1929  0       Nulo   32     28     
25/08/1929  0       Nulo   32.3   27.5   
26/08/1929  0       Nulo   32.5   27     
27/08/1929  0       Nulo   32     27.5   
28/08/1929  10.5    Nulo   32     25.5   
29/08/1929  40      Nulo   31     24.5   
30/08/1929  7.5     Nulo   30     26     
31/08/1929  0       Nulo   30.5   27.5   
01/09/1929  0       Nulo   31     27.5   
02/09/1929  0       Nulo   31     28     
03/09/1929  0       Nulo   31.5   28     
04/09/1929  0       Nulo   33     28.5   
05/09/1929  0       Nulo   30     28.3   
06/09/1929  0       Nulo   31.5   28     
07/09/1929  2.5     Nulo   31.3   28     
08/09/1929  10      Nulo   31     27.5   
09/09/1929  1       Nulo   31     26     
10/09/1929  1       Nulo   31.3   25     
11/09/1929  8       Nulo   31     27     
12/09/1929  9.3     Nulo   30.3   25     
13/09/1929  4.8     Nulo   30     24     
14/09/1929  17.2    Nulo   30.5   25.3   
15/09/1929  1.8     Nulo   30     23.5   
16/09/1929  0       Nulo   30     27.5   
17/09/1929  9       Nulo   31.5   25.5   
18/09/1929  9.5     Nulo   31.3   23.8   
19/09/1929  0       Nulo   31     24     
20/09/1929  0       Nulo   31     27.3   
21/09/1929  17      Nulo   31.2   27.5   
22/09/1929  0       Nulo   32     25.5   
23/09/1929  0       Nulo   31     27     
24/09/1929  1.5     Nulo   31.2   26.8   
25/09/1929  0       Nulo   31     25     
26/09/1929  0       Nulo   31.5   27     
27/09/1929  0       Nulo   32.5   27     
28/09/1929  0       Nulo   31.3   27.3   
29/09/1929  0       Nulo   31     27     
30/09/1929  0       Nulo   32     27.3   
01/10/1929  0       Nulo   31.5   25.8   
02/10/1929  0       Nulo   31.3   26.5   
03/10/1929  0       Nulo   31.5   27.5   
04/10/1929  0       Nulo   31.3   27.5   
05/10/1929  6       Nulo   31.5   27.5   
06/10/1929  20      Nulo   31.3   27     
07/10/1929  2       Nulo   31.5   24.5   
08/10/1929  0       Nulo   29.3   25     
09/10/1929  0       Nulo   29.5   25.8   
10/10/1929  0       Nulo   30     25.5   
11/10/1929  0       Nulo   30.5   25.8   
12/10/1929  7       Nulo   31     25     
13/10/1929  7       Nulo   31.5   25     
14/10/1929  0       Nulo   31     26     
15/10/1929  0       Nulo   30     26     
16/10/1929  0       Nulo   30     26.5   
17/10/1929  0       Nulo   29     27     
18/10/1929  5       Nulo   30     26.8   
19/10/1929  0       Nulo   30.8   24.5   
20/10/1929  4       Nulo   31.8   25.5   
21/10/1929  0       Nulo   32     24     
22/10/1929  0       Nulo   30     24     
23/10/1929  0       Nulo   30     25     
24/10/1929  0       Nulo   30     25.8   
25/10/1929  0       Nulo   29.5   25.5   
26/10/1929  0       Nulo   29.5   26     
27/10/1929  0       Nulo   30.2   26     
28/10/1929  0       Nulo   30     26.5   
29/10/1929  0       Nulo   31     26.8   
30/10/1929  0       Nulo   31     23.5   
31/10/1929  0       Nulo   30.5   27     
01/11/1929  0       Nulo   30.2   26.8   
02/11/1929  0       Nulo   30     26     
03/11/1929  0       Nulo   31     26.5   
04/11/1929  27      Nulo   30     25     
05/11/1929  11      Nulo   30.5   24     
