CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 4044
NOMBRE    : PIXOYAL (SMN)
ESTADO    : CAMPECHE
MUNICIPIO : CHAMPOTON
SITUACION : OPERANDO
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 018.933°
LONGITUD  : -90.599°
ALTITUD   : 40 msnm

EMISIÓN   : 01/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
19/06/1944  0.8     Nulo   Nulo   Nulo   
20/06/1944  2.5     Nulo   Nulo   Nulo   
21/06/1944  4       Nulo   Nulo   Nulo   
22/06/1944  17.2    Nulo   Nulo   Nulo   
23/06/1944  0       Nulo   Nulo   Nulo   
24/06/1944  0       Nulo   Nulo   Nulo   
25/06/1944  0       Nulo   Nulo   Nulo   
26/06/1944  0       Nulo   Nulo   Nulo   
27/06/1944  5.5     Nulo   Nulo   Nulo   
28/06/1944  0.5     Nulo   Nulo   Nulo   
29/06/1944  5.6     Nulo   Nulo   Nulo   
30/06/1944  0       Nulo   Nulo   Nulo   
01/07/1944  1       Nulo   Nulo   Nulo   
02/07/1944  14.5    Nulo   Nulo   Nulo   
03/07/1944  0       Nulo   Nulo   Nulo   
04/07/1944  0       Nulo   Nulo   Nulo   
05/07/1944  7.2     Nulo   Nulo   Nulo   
06/07/1944  0       Nulo   Nulo   Nulo   
07/07/1944  0       Nulo   Nulo   Nulo   
08/07/1944  0       Nulo   Nulo   Nulo   
09/07/1944  5.1     Nulo   Nulo   Nulo   
10/07/1944  17.8    Nulo   Nulo   Nulo   
11/07/1944  0       Nulo   Nulo   Nulo   
12/07/1944  0       Nulo   Nulo   Nulo   
13/07/1944  5.2     Nulo   Nulo   Nulo   
14/07/1944  0       Nulo   Nulo   Nulo   
15/07/1944  9.1     Nulo   Nulo   Nulo   
16/07/1944  0       Nulo   Nulo   Nulo   
17/07/1944  0       Nulo   Nulo   Nulo   
18/07/1944  7.4     Nulo   Nulo   Nulo   
19/07/1944  0.6     Nulo   Nulo   Nulo   
20/07/1944  3.3     Nulo   Nulo   Nulo   
