CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 4064
NOMBRE    : BECAL
ESTADO    : CAMPECHE
MUNICIPIO : CALKINI
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 020.426°
LONGITUD  : -90.031°
ALTITUD   : 16 msnm

EMISIÓN   : 01/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/05/1974  0       Nulo   33     19     
02/05/1974  0       Nulo   33     19     
03/05/1974  0       Nulo   33     19     
04/05/1974  0       Nulo   34     20     
05/05/1974  0       Nulo   35     20     
06/05/1974  0       Nulo   32     21     
07/05/1974  0       Nulo   33     21     
08/05/1974  0       Nulo   35     22     
09/05/1974  0       Nulo   35     22     
10/05/1974  0       Nulo   37     22     
11/05/1974  0       Nulo   37     23     
12/05/1974  0       Nulo   35     23     
13/05/1974  13.2    Nulo   35     20     
14/05/1974  0       Nulo   37     20     
15/05/1974  0       Nulo   37     21     
16/05/1974  0       Nulo   36     21     
17/05/1974  18.5    Nulo   34     21     
18/05/1974  13      Nulo   31     19     
19/05/1974  0       Nulo   31     18     
20/05/1974  0       Nulo   32     18     
21/05/1974  4.5     Nulo   34     19     
22/05/1974  15.5    Nulo   31     18     
23/05/1974  5.7     Nulo   31     19     
24/05/1974  11.6    Nulo   32     21     
25/05/1974  7       Nulo   34     21     
26/05/1974  0       Nulo   31     20     
27/05/1974  29.5    Nulo   31     21     
28/05/1974  8.4     Nulo   32     20     
29/05/1974  12.5    Nulo   33     20     
30/05/1974  0       Nulo   33     20     
31/05/1974  2.5     Nulo   31     21     
01/06/1974  0       Nulo   35     21     
02/06/1974  51      Nulo   33     21     
03/06/1974  4.4     Nulo   31     20     
04/06/1974  0       Nulo   32     19     
05/06/1974  0       Nulo   34     19     
06/06/1974  0       Nulo   34     20     
07/06/1974  7.5     Nulo   35     20     
08/06/1974  0       Nulo   36     21     
09/06/1974  0       Nulo   36     21     
10/06/1974  19.4    Nulo   35     21     
11/06/1974  6.8     Nulo   33     19     
12/06/1974  3.3     Nulo   33     19     
13/06/1974  0       Nulo   33     19     
14/06/1974  33.3    Nulo   32     20     
15/06/1974  7.5     Nulo   30     20     
16/06/1974  3.4     Nulo   27     18     
17/06/1974  15.6    Nulo   30     18     
18/06/1974  29.8    Nulo   30     19     
19/06/1974  31.5    Nulo   30     19     
20/06/1974  48.3    Nulo   31     19     
21/06/1974  18      Nulo   29     19     
22/06/1974  1.6     Nulo   28     19     
23/06/1974  0       Nulo   28     20     
24/06/1974  55.4    Nulo   26     19     
25/06/1974  8       Nulo   27     19     
26/06/1974  8.7     Nulo   27     19     
27/06/1974  5       Nulo   28     18     
28/06/1974  27.1    Nulo   28     19     
29/06/1974  6       Nulo   30     18     
30/06/1974  9.5     Nulo   30     19     
01/07/1974  24      Nulo   30     20     
02/07/1974  13      Nulo   31     21     
03/07/1974  6.5     Nulo   31     20     
04/07/1974  0       Nulo   31     20     
05/07/1974  0       Nulo   31     20     
06/07/1974  4.5     Nulo   31     19     
07/07/1974  5       Nulo   32     20     
08/07/1974  1.5     Nulo   32     19     
09/07/1974  0       Nulo   32     18     
10/07/1974  24.7    Nulo   31     19     
11/07/1974  0       Nulo   31     19     
12/07/1974  4.4     Nulo   32     20     
13/07/1974  0       Nulo   31     21     
14/07/1974  10.3    Nulo   31     20     
15/07/1974  0       Nulo   30     20     
16/07/1974  7.9     Nulo   32     19     
17/07/1974  0       Nulo   33     18     
18/07/1974  0       Nulo   32     18     
19/07/1974  37.4    Nulo   31     19     
20/07/1974  7.5     Nulo   31     19     
21/07/1974  34      Nulo   32     20     
22/07/1974  24.2    Nulo   32     18     
23/07/1974  30.6    Nulo   32     18     
