CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 5057
NOMBRE    : EL MACHO
ESTADO    : COAHUILA
MUNICIPIO : ZARAGOZA
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 028.392°
LONGITUD  : -101.214°
ALTITUD   : 560 msnm

EMISIÓN   : 01/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/12/1961  0       4      Nulo   Nulo   
02/12/1961  0       8      Nulo   Nulo   
03/12/1961  0       6      36     10     
04/12/1961  0       0.9    38     10     
05/12/1961  0       6      19     8      
06/12/1961  0       3      19     7      
07/12/1961  0       3      16     5      
08/12/1961  2       3      9      5      
09/12/1961  0       4      8.5    6      
10/12/1961  0       3      17     5      
11/12/1961  0       4      9      5      
12/12/1961  0       1      22     8      
13/12/1961  0       1      10     2      
14/12/1961  0       0.1    15     2      
15/12/1961  0       3.9    13     2      
16/12/1961  0       6      11     3      
17/12/1961  0       1      11     5      
18/12/1961  0       3      14     10     
19/12/1961  0       2      19     7      
20/12/1961  0       5      11     2      
21/12/1961  0       1      11.5   2      
22/12/1961  0       4      15     9      
23/12/1961  0       3      16     11     
24/12/1961  0       3      15     2      
25/12/1961  0       0.1    13     2      
26/12/1961  0       1.9    12     7      
27/12/1961  0       5      20     9      
28/12/1961  0       6      15     7      
29/12/1961  0       4      17     8      
30/12/1961  0       Nulo   12     7      
31/12/1961  0       Nulo   17     4      
01/01/1962  0       4      12     7      
02/01/1962  0       2      11.5   5      
03/01/1962  0       4      14     9      
04/01/1962  0       5      21     6      
05/01/1962  0       3      7      4      
06/01/1962  0       6      15     -2.5   
07/01/1962  0       5      11     -4.5   
08/01/1962  0       5      15     1.5    
09/01/1962  0       2      8.5    3      
10/01/1962  0       1      6      -3.5   
11/01/1962  0       1      2      -5.5   
12/01/1962  0       2      2      -12    
13/01/1962  0       5      14     -10    
14/01/1962  0       5      12     -2.5   
15/01/1962  0       1.9    11     1      
16/01/1962  0       2      10     2      
17/01/1962  0       1      7      4      
18/01/1962  0       2      12     5      
19/01/1962  0       1.1    11     5.5    
20/01/1962  0       1.9    11     6      
21/01/1962  0       3      8      5.5    
22/01/1962  0       4.1    7      5      
23/01/1962  0       2      8      2      
24/01/1962  0       2.9    9      3      
25/01/1962  0       3.1    12     6      
26/01/1962  0       4.9    14     7.5    
27/01/1962  0       6      12     6      
28/01/1962  0       3      13     6      
29/01/1962  0       3.7    14     10     
30/01/1962  0       3.8    17     9      
31/01/1962  0       3.5    17     7      
01/02/1962  0       4      19     4      
02/02/1962  0       5      19     4      
03/02/1962  0       4      12     5      
04/02/1962  0       9      25     5      
05/02/1962  0       6      27     9      
06/02/1962  0       4      13     10     
07/02/1962  0       4      18     5      
08/02/1962  0       8      27     6      
09/02/1962  0       7      27     11     
10/02/1962  0       7      24     6      
11/02/1962  0       5      23     10     
12/02/1962  0       3      22     11     
13/02/1962  0       6      21     12     
14/02/1962  0       2      25     13     
15/02/1962  0       5      22     10     
16/02/1962  0       5      21     13     
17/02/1962  0       6      24     14     
18/02/1962  0       8      19     15     
19/02/1962  0       4      15     13     
20/02/1962  0       1      20     10     
21/02/1962  0       4      18     9      
22/02/1962  0       6      19     9      
23/02/1962  0       11     20     10.5   
24/02/1962  0       4      21     10     
25/02/1962  0       6      26     9      
26/02/1962  0       9      22     10     
27/02/1962  0       4      14     12     
28/02/1962  0       5      14     9      
01/03/1962  0       3      7      2      
02/03/1962  0       4      14     1.5    
03/03/1962  0       5      18     6      
04/03/1962  0       7      16     8      
05/03/1962  0       7      14     8.5    
06/03/1962  0       5      15     4.5    
07/03/1962  0       6      22     5      
08/03/1962  0       5      21     9      
09/03/1962  0       4      19     8      
10/03/1962  0       11     24     9      
11/03/1962  0       7      18     12     
12/03/1962  0       8      15     4      
13/03/1962  0       9      12     5      
14/03/1962  0       9      8      6      
15/03/1962  0       9      14     3.5    
16/03/1962  0       8      19     3.5    
17/03/1962  7       9      17     5      
18/03/1962  2.5     8      18.5   9      
19/03/1962  0       2      21     15     
20/03/1962  0       3      29     18     
21/03/1962  0       8      25     11     
22/03/1962  0       8      25     12     
23/03/1962  0       7      28     10     
24/03/1962  0       12     26     11     
25/03/1962  0       10     19     10     
26/03/1962  0       6      26     11     
27/03/1962  0       9      27     11     
28/03/1962  0       7      30     16     
29/03/1962  0       8      30     14     
30/03/1962  0       6      23     18     
31/03/1962  0       5      19     12     
01/05/1962  0       4.1    22.5   19     
02/05/1962  0       4.6    23     18     
03/05/1962  0       4.6    26     18     
04/05/1962  0       5.6    30     17.5   
05/05/1962  0       5.2    31.5   18     
06/05/1962  0       7.8    34     16     
07/05/1962  0       5.5    33     19     
08/05/1962  0       9.8    32     18.5   
