CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 5144
NOMBRE    : SANTA TERESA DE SOFIA
ESTADO    : COAHUILA
MUNICIPIO : CUATRO CIENEGAS
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 026.613°
LONGITUD  : -102.273°
ALTITUD   : 800 msnm

EMISIÓN   : 01/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
10/03/1979  0       5.2    25     13     
11/03/1979  0       6.1    21     8      
12/03/1979  0       7.1    27     7      
13/03/1979  0       7.6    32     5      
14/03/1979  0       10.4   29     9      
15/03/1979  0       11.2   28     12     
16/03/1979  0       5.8    29     9      
17/03/1979  0       6.4    31     10     
18/03/1979  0       6.1    33     4      
19/03/1979  0       2      31     5      
20/03/1979  0       0.7    31     8      
21/03/1979  0       2.3    29     9      
22/03/1979  0       1.5    29     9      
23/03/1979  0       10.3   28     5      
24/03/1979  0       11.4   28     10     
25/03/1979  0       8.4    29     8      
26/03/1979  0       9.6    32     8      
27/03/1979  0       3.6    33     7      
28/03/1979  0       1.6    29     10     
29/03/1979  0       9      35     15     
30/03/1979  0       9.4    31     15     
31/03/1979  0       12.7   30     19     
10/04/1979  0       Nulo   Nulo   Nulo   
11/04/1979  0       3.5    18     9      
12/04/1979  0       3.9    21     4      
13/04/1979  0       2.2    20     9      
14/04/1979  0       8.7    32     6      
15/04/1979  0       4.5    22     3      
16/04/1979  26.5    2.8    24     4      
17/04/1979  0       6.2    19     4      
18/04/1979  4       8.3    18     9      
19/04/1979  4       4.8    16.1   8      
20/04/1979  1.5     6      23     9      
21/04/1979  1       1.9    25     6      
22/04/1979  0       2.2    34     9      
23/04/1979  0       0.1    26     7      
24/04/1979  0       2.9    25     5      
25/04/1979  0       5.5    28     17     
26/04/1979  0       5.1    25     12     
27/04/1979  0       4.2    30     12     
28/04/1979  0       5.7    30     11     
29/04/1979  0       3      23     11     
30/04/1979  0       3.8    21     3      
01/01/1980  0       0.1    23     4      
02/01/1980  0       1.7    23     5      
03/01/1980  0       1      20     2      
04/01/1980  0       3.6    24     4      
05/01/1980  0       3.7    26     13     
06/01/1980  0       3      27     15     
07/01/1980  0       2.8    26     12     
08/01/1980  0       3.1    28     5      
09/01/1980  0       3.9    27     12     
10/01/1980  0       4.9    28     6      
11/01/1980  0       3      29     7      
12/01/1980  0       5.2    25     2      
13/01/1980  0       7.1    29     4      
14/01/1980  0       4.2    29     10     
15/01/1980  0       5      31     9      
16/01/1980  0       5.7    29     13     
17/01/1980  0       5.3    28     7      
18/01/1980  0       9.2    20     7      
19/01/1980  0       3      25     3      
20/01/1980  0       4.8    27     3      
21/01/1980  0       6.4    24     5      
22/01/1980  0       5.3    20     5      
23/01/1980  0       4.9    22     5      
24/01/1980  0       4.9    22     4      
25/01/1980  0       6.1    27     13     
26/01/1980  0       6.8    24     4      
27/01/1980  0       5.1    29     2      
28/01/1980  0       6.4    21     6      
29/01/1980  0       5.7    28     14     
30/01/1980  0       7.6    28     7      
31/01/1980  0       8.7    23     6      
31/10/1982  Nulo    Nulo   27     Nulo   
31/12/1982  Nulo    Nulo   20     Nulo   
31/01/1983  Nulo    Nulo   27     Nulo   
31/03/1983  Nulo    Nulo   24     Nulo   
31/05/1983  Nulo    Nulo   30.5   Nulo   
01/09/1983  0       13.5   25     12     
02/09/1983  0       14.4   18.9   13.2   
03/09/1983  0       16.5   15.2   12.3   
04/09/1983  0       12.6   12.9   12.1   
05/09/1983  0       13.2   13.3   12.7   
06/09/1983  0       13.6   13.8   13.2   
07/09/1983  0       13.1   Nulo   1.2    
01/10/1984  0       Nulo   Nulo   Nulo   
02/10/1984  10      Nulo   Nulo   Nulo   
03/10/1984  0       Nulo   Nulo   Nulo   
04/10/1984  0       Nulo   Nulo   Nulo   
05/10/1984  0       Nulo   Nulo   Nulo   
06/10/1984  0       Nulo   Nulo   Nulo   
07/10/1984  0       Nulo   Nulo   Nulo   
08/10/1984  0       Nulo   Nulo   Nulo   
09/10/1984  0       Nulo   Nulo   Nulo   
10/10/1984  0       Nulo   Nulo   Nulo   
11/10/1984  11      Nulo   Nulo   Nulo   
12/10/1984  0       Nulo   Nulo   Nulo   
13/10/1984  18      Nulo   Nulo   Nulo   
14/10/1984  0       Nulo   Nulo   Nulo   
15/10/1984  0       Nulo   Nulo   Nulo   
16/10/1984  0       Nulo   Nulo   Nulo   
17/10/1984  0       Nulo   Nulo   Nulo   
18/10/1984  0       Nulo   Nulo   Nulo   
19/10/1984  0       Nulo   Nulo   Nulo   
20/10/1984  0       Nulo   Nulo   Nulo   
21/10/1984  0       Nulo   Nulo   Nulo   
22/10/1984  0       Nulo   Nulo   Nulo   
23/10/1984  0       Nulo   Nulo   Nulo   
24/10/1984  0       Nulo   Nulo   Nulo   
25/10/1984  0       Nulo   Nulo   Nulo   
26/10/1984  0       Nulo   Nulo   Nulo   
27/10/1984  0       Nulo   Nulo   Nulo   
28/10/1984  0       Nulo   Nulo   Nulo   
29/10/1984  0       Nulo   Nulo   Nulo   
30/10/1984  0       Nulo   Nulo   Nulo   
31/10/1984  0       Nulo   Nulo   Nulo   
01/01/1985  0       Nulo   Nulo   Nulo   
02/01/1985  0       Nulo   Nulo   Nulo   
03/01/1985  0       Nulo   Nulo   Nulo   
04/01/1985  0       Nulo   Nulo   Nulo   
05/01/1985  0       Nulo   Nulo   Nulo   
06/01/1985  0       Nulo   Nulo   Nulo   
07/01/1985  0       Nulo   Nulo   Nulo   
08/01/1985  0       Nulo   Nulo   Nulo   
09/01/1985  0       Nulo   Nulo   Nulo   
10/01/1985  0       Nulo   Nulo   Nulo   
11/01/1985  0       Nulo   Nulo   Nulo   
12/01/1985  5       Nulo   Nulo   Nulo   
13/01/1985  0       Nulo   Nulo   Nulo   
14/01/1985  0       Nulo   Nulo   Nulo   
15/01/1985  0       Nulo   Nulo   Nulo   
16/01/1985  0       Nulo   Nulo   Nulo   
17/01/1985  0       Nulo   Nulo   Nulo   
18/01/1985  0       Nulo   Nulo   Nulo   
19/01/1985  0       Nulo   Nulo   Nulo   
20/01/1985  0       Nulo   Nulo   Nulo   
21/01/1985  0       Nulo   Nulo   Nulo   
22/01/1985  0       Nulo   Nulo   Nulo   
23/01/1985  0       Nulo   Nulo   Nulo   
24/01/1985  0       Nulo   Nulo   Nulo   
25/01/1985  0       Nulo   Nulo   Nulo   
26/01/1985  0       Nulo   Nulo   Nulo   
27/01/1985  0       Nulo   Nulo   Nulo   
28/01/1985  0       Nulo   Nulo   Nulo   
29/01/1985  0       Nulo   Nulo   Nulo   
30/01/1985  0       Nulo   Nulo   Nulo   
31/01/1985  0       Nulo   Nulo   Nulo   
01/11/1985  0       Nulo   Nulo   Nulo   
02/11/1985  0       Nulo   Nulo   Nulo   
03/11/1985  0       Nulo   Nulo   Nulo   
04/11/1985  0       Nulo   Nulo   Nulo   
05/11/1985  0       Nulo   Nulo   Nulo   
06/11/1985  0       Nulo   Nulo   Nulo   
07/11/1985  0       Nulo   Nulo   Nulo   
08/11/1985  0       Nulo   Nulo   Nulo   
09/11/1985  0       Nulo   Nulo   Nulo   
10/11/1985  0       Nulo   Nulo   Nulo   
11/11/1985  0       Nulo   Nulo   Nulo   
12/11/1985  0       Nulo   Nulo   Nulo   
13/11/1985  0       Nulo   Nulo   Nulo   
14/11/1985  0       Nulo   Nulo   Nulo   
15/11/1985  0       Nulo   Nulo   Nulo   
16/11/1985  0       Nulo   Nulo   Nulo   
17/11/1985  0       Nulo   Nulo   Nulo   
18/11/1985  0       Nulo   Nulo   Nulo   
19/11/1985  0       Nulo   Nulo   Nulo   
20/11/1985  0       Nulo   Nulo   Nulo   
21/11/1985  0       Nulo   Nulo   Nulo   
22/11/1985  0       Nulo   Nulo   Nulo   
23/11/1985  0       Nulo   Nulo   Nulo   
24/11/1985  0       Nulo   Nulo   Nulo   
25/11/1985  0       Nulo   Nulo   Nulo   
26/11/1985  0       Nulo   Nulo   Nulo   
27/11/1985  0       Nulo   Nulo   Nulo   
28/11/1985  0       Nulo   Nulo   Nulo   
29/11/1985  0       Nulo   Nulo   Nulo   
30/11/1985  0       Nulo   Nulo   Nulo   
01/02/1986  0       Nulo   Nulo   Nulo   
02/02/1986  0       Nulo   Nulo   Nulo   
03/02/1986  0       Nulo   Nulo   Nulo   
04/02/1986  0       Nulo   Nulo   Nulo   
05/02/1986  0       Nulo   Nulo   Nulo   
06/02/1986  0       Nulo   Nulo   Nulo   
07/02/1986  0       Nulo   Nulo   Nulo   
08/02/1986  0       Nulo   Nulo   Nulo   
09/02/1986  0       Nulo   Nulo   Nulo   
10/02/1986  0       Nulo   Nulo   Nulo   
11/02/1986  0       Nulo   Nulo   Nulo   
12/02/1986  0       Nulo   Nulo   Nulo   
13/02/1986  0       Nulo   Nulo   Nulo   
14/02/1986  0       Nulo   Nulo   Nulo   
15/02/1986  0       Nulo   Nulo   Nulo   
16/02/1986  0       Nulo   Nulo   Nulo   
17/02/1986  0       Nulo   Nulo   Nulo   
18/02/1986  0       Nulo   Nulo   Nulo   
19/02/1986  0       Nulo   Nulo   Nulo   
20/02/1986  0       Nulo   Nulo   Nulo   
21/02/1986  0       Nulo   Nulo   Nulo   
22/02/1986  0       Nulo   Nulo   Nulo   
23/02/1986  0       Nulo   Nulo   Nulo   
24/02/1986  0       Nulo   Nulo   Nulo   
25/02/1986  0       Nulo   Nulo   Nulo   
26/02/1986  0       Nulo   Nulo   Nulo   
27/02/1986  0       Nulo   Nulo   Nulo   
28/02/1986  0       Nulo   Nulo   Nulo   
01/03/1986  0       Nulo   Nulo   Nulo   
02/03/1986  0       Nulo   Nulo   Nulo   
03/03/1986  0       Nulo   Nulo   Nulo   
04/03/1986  0       Nulo   Nulo   Nulo   
05/03/1986  0       Nulo   Nulo   Nulo   
06/03/1986  0       Nulo   Nulo   Nulo   
07/03/1986  0       Nulo   Nulo   Nulo   
08/03/1986  0       Nulo   Nulo   Nulo   
09/03/1986  0       Nulo   Nulo   Nulo   
10/03/1986  0       Nulo   Nulo   Nulo   
11/03/1986  0       Nulo   Nulo   Nulo   
12/03/1986  0       Nulo   Nulo   Nulo   
13/03/1986  0       Nulo   Nulo   Nulo   
14/03/1986  0       Nulo   Nulo   Nulo   
