CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 5160
NOMBRE    : ARTEAGA (DGE)
ESTADO    : COAHUILA
MUNICIPIO : ARTEAGA
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 025.445°
LONGITUD  : -100.847°
ALTITUD   : 1660 msnm

EMISIÓN   : 01/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/01/1988  20      Nulo   22     5      
02/01/1988  0       Nulo   17     2      
03/01/1988  0       Nulo   20     7      
04/01/1988  0       Nulo   14     4      
05/01/1988  0       Nulo   14     3      
06/01/1988  0       Nulo   24     7      
07/01/1988  0       Nulo   22     10     
08/01/1988  0       Nulo   20     -12    
09/01/1988  0       Nulo   18     8      
10/01/1988  0       Nulo   17     3      
11/01/1988  0       Nulo   24     6      
12/01/1988  0       Nulo   23     8      
13/01/1988  0       Nulo   12     4      
14/01/1988  13      Nulo   12     4      
15/01/1988  0       Nulo   19     5      
16/01/1988  0       Nulo   22     8      
17/01/1988  0       Nulo   24     12     
18/01/1988  0       Nulo   20     12     
19/01/1988  0       Nulo   26     6      
20/01/1988  0       Nulo   7      -1     
21/01/1988  0       Nulo   12     -2     
22/01/1988  0       Nulo   7      -4     
23/01/1988  0       Nulo   13     -1     
24/01/1988  0       Nulo   14     -2     
25/01/1988  0       Nulo   11     -4     
26/01/1988  0       Nulo   15     0      
27/01/1988  0       Nulo   15     2      
28/01/1988  0       Nulo   20     1      
29/01/1988  0       Nulo   14     5      
30/01/1988  0       Nulo   23     8      
31/01/1988  0       Nulo   27     1      
01/02/1988  0       Nulo   28     10     
02/02/1988  0       Nulo   28     13     
03/02/1988  0       Nulo   24     11     
04/02/1988  0       Nulo   14     10     
05/02/1988  0       Nulo   1      -1     
06/02/1988  0       Nulo   4      -4     
07/02/1988  0       Nulo   15     -4     
08/02/1988  0       Nulo   15     3      
09/02/1988  0       Nulo   18     6      
10/02/1988  0       Nulo   22     1      
11/02/1988  0       Nulo   10     4      
12/02/1988  0       Nulo   18     0      
13/02/1988  0       Nulo   15     10     
14/02/1988  0       Nulo   25     4      
15/02/1988  0       Nulo   17     5      
16/02/1988  0       Nulo   22     8      
17/02/1988  0       Nulo   25     4      
18/02/1988  0       Nulo   20     9      
19/02/1988  0       Nulo   10     4      
20/02/1988  0       Nulo   13     4      
21/02/1988  0       Nulo   20     0      
22/02/1988  0       Nulo   26     0      
23/02/1988  0       Nulo   24     0      
24/02/1988  0       Nulo   15     2      
25/02/1988  0       Nulo   16     3      
26/02/1988  0       Nulo   20     3      
27/02/1988  0       Nulo   27     9      
28/02/1988  0       Nulo   20     10     
29/02/1988  Nulo    Nulo   23     4      
01/03/1988  0       Nulo   25     6      
02/03/1988  0       Nulo   20     8      
03/03/1988  0       Nulo   22     9      
04/03/1988  0       Nulo   14     4      
05/03/1988  0       Nulo   17     9      
06/03/1988  0.5     Nulo   21     5      
07/03/1988  0       Nulo   25     10     
08/03/1988  0       Nulo   23     9      
09/03/1988  0       Nulo   19     4      
10/03/1988  0       Nulo   27     2      
11/03/1988  0       Nulo   27     9      
12/03/1988  0       Nulo   25     9      
13/03/1988  0       Nulo   25     10     
14/03/1988  0       Nulo   16     6      
15/03/1988  0       Nulo   16     -3     
16/03/1988  0       Nulo   21     -3     
17/03/1988  0       Nulo   26     8      
18/03/1988  0       Nulo   14     4      
19/03/1988  0       Nulo   20     0      
20/03/1988  0       Nulo   20     4      
21/03/1988  0       Nulo   25     0      
22/03/1988  0       Nulo   28     10     
23/03/1988  0       Nulo   26     9      
24/03/1988  4       Nulo   28     9      
25/03/1988  0       Nulo   28     14     
26/03/1988  0       Nulo   25     10     
27/03/1988  0       Nulo   27     19     
28/03/1988  0       Nulo   30     19     
29/03/1988  0       Nulo   29     18     
30/03/1988  1.5     Nulo   27     10     
31/03/1988  0       Nulo   30     10     
01/04/1988  0       Nulo   29     15     
02/04/1988  0       Nulo   25     1      
03/04/1988  0       Nulo   27     13     
04/04/1988  0       Nulo   27     17     
05/04/1988  2.5     Nulo   28     20     
06/04/1988  14.5    Nulo   25     11     
07/04/1988  9       Nulo   20     18     
08/04/1988  0       Nulo   24     15     
09/04/1988  0       Nulo   24     12     
10/04/1988  1       Nulo   16     10     
11/04/1988  0       Nulo   19     4      
12/04/1988  0       Nulo   20     7      
13/04/1988  0       Nulo   21     10     
14/04/1988  0       Nulo   29     17     
15/04/1988  2       Nulo   25     17     
16/04/1988  0       Nulo   27     14     
17/04/1988  0       Nulo   30     15     
18/04/1988  0       Nulo   25     12     
19/04/1988  0       Nulo   28     10     
20/04/1988  0       Nulo   31     17     
21/04/1988  0       Nulo   33     20     
22/04/1988  0       Nulo   31     20     
23/04/1988  0       Nulo   35     28     
