CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 6003
NOMBRE    : CALLEJONES
ESTADO    : COLIMA
MUNICIPIO : Tecomán
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 018.816°
LONGITUD  : -103.634°
ALTITUD   : 30 msnm

EMISIÓN   : 29/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
20/12/1948  0       Nulo   29.8   21.6   
21/12/1948  0       Nulo   29.6   20.5   
22/12/1948  0       Nulo   30     19     
23/12/1948  0       Nulo   29.1   19     
24/12/1948  0       Nulo   30     18     
25/12/1948  0       Nulo   31     19.2   
26/12/1948  0       Nulo   31.1   18.7   
27/12/1948  0       Nulo   Nulo   Nulo   
28/12/1948  0       Nulo   Nulo   Nulo   
29/12/1948  0       Nulo   Nulo   Nulo   
30/12/1948  0       Nulo   Nulo   Nulo   
31/12/1948  0       Nulo   Nulo   Nulo   
01/01/1949  0       Nulo   Nulo   Nulo   
02/01/1949  0       4.8    Nulo   Nulo   
03/01/1949  0       3.9    Nulo   Nulo   
04/01/1949  0       3      Nulo   Nulo   
05/01/1949  0       4.5    Nulo   Nulo   
06/01/1949  0       4.4    Nulo   Nulo   
07/01/1949  0       5.7    Nulo   Nulo   
08/01/1949  0       5.7    Nulo   Nulo   
09/01/1949  0       4.5    Nulo   Nulo   
10/01/1949  0       4.6    Nulo   Nulo   
11/01/1949  0       5.6    Nulo   Nulo   
12/01/1949  0       6.3    Nulo   Nulo   
13/01/1949  0       4.5    Nulo   Nulo   
14/01/1949  0       4.4    Nulo   Nulo   
15/01/1949  0       4.7    Nulo   Nulo   
16/01/1949  0       4.3    Nulo   Nulo   
17/01/1949  0       Nulo   Nulo   Nulo   
20/01/1949  0       4      Nulo   18.5   
21/01/1949  0       3.7    31.8   18     
22/01/1949  0       5.8    31.7   18     
23/01/1949  0       6.4    32.7   19.4   
24/01/1949  0       4.6    33.2   16.2   
25/01/1949  0       4.4    32.5   17.1   
26/01/1949  0       3.9    32     15     
27/01/1949  0       4.6    32     15     
28/01/1949  0       4.1    32.7   14.3   
29/01/1949  0       4.1    31.9   17     
30/01/1949  0       4.8    30.2   16.1   
31/01/1949  0       5      31.3   17.7   
01/02/1949  Nulo    Nulo   Nulo   16.9   
03/02/1949  Nulo    7.3    Nulo   Nulo   
04/02/1949  0       4.6    33     16.5   
05/02/1949  0       4.7    31.5   16.5   
06/02/1949  0       4.8    30.9   17.3   
07/02/1949  0       4.4    31.5   16     
08/02/1949  0       5.6    31.5   16     
09/02/1949  0       4.9    32     15.2   
10/02/1949  0       5.7    31.9   15     
11/02/1949  0       5.6    33.2   16.5   
12/02/1949  0       6.6    34.5   17.2   
13/02/1949  0       6.8    34.5   17     
14/02/1949  0       7.2    36     15     
15/02/1949  0       7.2    35     14.9   
16/02/1949  0       6.3    35.2   16     
17/02/1949  0       5.1    35     11     
18/02/1949  0       4.9    34     12.5   
19/02/1949  0       Nulo   32.5   14.5   
20/02/1949  0       8.1    33.5   17     
21/02/1949  0       5.3    36     14.5   
22/02/1949  0       4.8    35.5   14.8   
23/02/1949  0       4.2    31.5   16.8   
24/02/1949  0       4.9    31.5   18.5   
25/02/1949  0       5.8    31     18     
26/02/1949  0       6.1    31.5   18     
27/02/1949  0       6.5    31.5   12.5   
28/02/1949  0       7.7    32.5   11.5   
01/03/1949  0       8      34.9   13.2   
02/03/1949  0       8.2    34     13.5   
03/03/1949  0       5.2    33     14.2   
04/03/1949  0       5.4    31     15.3   
05/03/1949  0       6.6    32.5   16.2   
06/03/1949  0       5.4    32     17.5   
07/03/1949  0       5.7    31     17.2   
08/03/1949  0       5.2    31.5   18.5   
09/03/1949  0       6      29.5   16.2   
10/03/1949  0       5.2    31     16.2   
11/03/1949  0       6.3    31.9   18.2   
12/03/1949  0       6.2    34     16.2   
13/03/1949  0       5      31.5   17.1   
14/03/1949  0       4.7    31.9   18     
15/03/1949  0       6.1    31.9   19.5   
16/03/1949  0       6      34.2   17.5   
17/03/1949  0       5.7    33     15.5   
18/03/1949  0       7.5    32     16.9   
19/03/1949  0       7.5    32.9   17.5   
20/03/1949  0       6.2    35.9   16     
21/03/1949  0       5.8    36     15.9   
22/03/1949  0       6      31     16.5   
23/03/1949  0       6.4    30.2   16.5   
24/03/1949  0       7.2    32.5   18.1   
25/03/1949  0       6.1    30.8   20     
26/03/1949  0       5.9    30.1   16.5   
27/03/1949  0       6.5    30.9   15.5   
28/03/1949  0       6.5    30.5   13.5   
29/03/1949  0       8.2    32.1   14.5   
30/03/1949  0       6.4    32.8   12.5   
31/03/1949  0       5.8    31     14.8   
01/04/1949  0       6.5    29.1   14.5   
02/04/1949  0       7.1    28.5   17.2   
03/04/1949  0       7.1    29.2   15     
04/04/1949  0       7      28.5   14.1   
05/04/1949  0       7.2    29     13     
06/04/1949  0       6.6    29.3   12.5   
07/04/1949  0       8.1    31     15.5   
08/04/1949  0       5.8    31.8   16     
09/04/1949  0       6.7    31.5   13     
10/04/1949  0       5.4    32     12.5   
11/04/1949  0       6.4    29.3   12     
12/04/1949  0       6.9    31     13.5   
13/04/1949  0       6.7    33     10.9   
14/04/1949  0       7      31     12     
15/04/1949  0       7.1    30     11     
16/04/1949  0       7.4    29     15     
17/04/1949  0       6.8    33.5   13     
18/04/1949  0       7      30.8   11.5   
19/04/1949  0       5.5    29.3   12.5   
20/04/1949  0       6.3    30     14.8   
21/04/1949  0       4.5    29     16.2   
22/04/1949  0       6.8    31     15     
23/04/1949  0       6.2    31     12.3   
24/04/1949  0       6.6    32.3   12.5   
25/04/1949  0       6.7    33     12.5   
26/04/1949  0       6.7    31.9   11.9   
27/04/1949  0       4.3    32.2   16     
28/04/1949  0       5.3    34.2   18     
29/04/1949  0       5.6    30.5   18.1   
30/04/1949  0       6.3    31.5   18     
01/05/1949  0       7.5    32     16.1   
02/05/1949  0       4.7    31.2   14.3   
03/05/1949  0       4.7    30     17.5   
04/05/1949  0       5.3    31.2   19.9   
05/05/1949  0       5.8    30.8   20.2   
06/05/1949  0       5.1    30     19     
07/05/1949  0       5.8    30.3   17.5   
08/05/1949  0       4.4    31.6   17.7   
09/05/1949  0       8.4    30.8   16     
10/05/1949  0       4.9    32.2   17.5   
11/05/1949  0       6.4    33.9   16.1   
12/05/1949  0       6.5    34.2   16.2   
13/05/1949  0       7      33.2   17.5   
14/05/1949  0       6.2    32     15     
15/05/1949  0       7.3    32.2   15.5   
16/05/1949  0       7      32.2   13.2   
17/05/1949  0       6.9    33     13.8   
18/05/1949  0       7.2    32.5   15.2   
19/05/1949  0       7.7    33     17.5   
20/05/1949  0       6.3    32.5   19.9   
21/05/1949  0       5.9    32     18.1   
22/05/1949  0       8.5    33     17.5   
23/05/1949  0       6.8    33     20     
24/05/1949  0       7.6    35.5   18.5   
25/05/1949  0       7      35.2   20     
26/05/1949  0       7.2    34.5   21.5   
27/05/1949  0       7.9    33.5   21     
28/05/1949  0       7.2    34     19     
29/05/1949  0       7.1    34.5   20     
30/05/1949  0       7.2    35     22     
31/05/1949  0       7.6    33     20     
01/06/1949  0       7.5    33     19.5   
02/06/1949  0       7.7    33.5   17     
03/06/1949  0       7.9    33.5   18.5   
04/06/1949  0       8.2    34     21     
05/06/1949  0       3.5    37     23     
06/06/1949  0       8.4    36     24     
07/06/1949  0       8.5    34.5   23     
08/06/1949  0       7.6    35.5   23     
09/06/1949  0.4     3.3    34     24     
10/06/1949  0.7     3.8    33     24     
11/06/1949  4.5     1.1    31     23.5   
12/06/1949  11.5    3.1    32.5   22.5   
13/06/1949  0       5      34.5   22.5   
14/06/1949  8.3     6.1    33     22     
15/06/1949  24      5.9    32     23     
16/06/1949  2.3     5.4    32.5   23     
17/06/1949  1.3     6.7    34.5   23     
18/06/1949  0       7.9    34     23.5   
19/06/1949  1.3     6.5    33.5   23.5   
20/06/1949  19      6.8    33     22     
21/06/1949  1.7     2.6    32     23     
22/06/1949  0       2.9    31.5   23     
23/06/1949  6.6     5.8    33.5   22.5   
24/06/1949  0       2.9    30.5   24.5   
25/06/1949  2       4.6    32.5   24.5   
26/06/1949  35.2    5.9    32.5   23.5   
27/06/1949  0       6.3    31     22.5   
28/06/1949  0.3     3.4    32     23     
29/06/1949  1.5     4.4    31     21     
30/06/1949  0       6.6    33.5   21     
01/07/1949  0       7.6    34.5   22     
02/07/1949  0       6.4    35     23     
03/07/1949  5.3     8      34     23.5   
04/07/1949  51.8    8.7    32.5   22     
05/07/1949  0.7     1.3    30     21.5   
06/07/1949  6       9      31.5   23.5   
07/07/1949  0       1.1    32.5   21.5   
08/07/1949  1.1     4.5    34.5   23     
09/07/1949  10      3.9    33     23     
10/07/1949  1.2     4.9    32     22.5   
11/07/1949  4       6.3    34     20     
12/07/1949  4       4.5    32     22     
13/07/1949  0.5     5.7    32.5   21.5   
14/07/1949  4.5     1.8    30     23.5   
15/07/1949  0       5.9    32     21.5   
16/07/1949  0       2.9    32     23     
17/07/1949  1.1     6.9    33     23.5   
18/07/1949  9       2.3    32     22.5   
19/07/1949  5.5     3.9    31     22     
20/07/1949  20      8.6    33.5   23.5   
21/07/1949  0.8     5.9    32     25.5   
22/07/1949  0       4.4    32     22     
23/07/1949  6.2     4      34     23.5   
24/07/1949  0       5.4    34     22     
25/07/1949  0       6.4    34.5   24     
26/07/1949  0.2     5.6    34     23     
27/07/1949  14.2    4.8    34     22     
28/07/1949  9.8     6.3    33.5   22     
29/07/1949  0       5.6    34.5   22     
30/07/1949  0.7     5.8    35     21.5   
31/07/1949  28.5    7.2    34.5   21     
01/08/1949  0       6.7    33     18.5   
02/08/1949  0       6.9    33     21.5   
03/08/1949  13.9    7.2    34.5   23     
04/08/1949  0       4.7    33     22     
05/08/1949  0.1     5.8    33     19     
06/08/1949  0       6      34     23     
07/08/1949  0       6.9    34.5   22     
08/08/1949  0       5.1    33.5   22     
09/08/1949  0.3     5.4    35     23     
10/08/1949  0.3     4.1    34     23.5   
11/08/1949  7.1     5      34.5   23     
12/08/1949  3.5     3.7    33.5   21.5   
13/08/1949  0       5.6    33     22     
14/08/1949  0       5.7    35     22.5   
15/08/1949  0       6.7    34     22.5   
16/08/1949  0.1     5      34     22.5   
17/08/1949  0       3      30     22     
18/08/1949  0       5.8    32     22     
19/08/1949  0       7.4    34     22     
20/08/1949  0.8     6.9    34     21.5   
21/08/1949  3.8     3.7    32.5   24     
22/08/1949  30.5    1.6    31     23.5   
23/08/1949  0.7     3.3    34     22     
24/08/1949  0       6.5    33.5   23     
25/08/1949  0       6.4    33.5   21.5   
26/08/1949  0       6.9    34     23     
27/08/1949  0.8     7.2    34     23     
28/08/1949  8.1     1.1    27     23.5   
29/08/1949  0.5     3.2    32     21     
30/08/1949  8.6     2.7    32     23.5   
31/08/1949  0.3     5      32.5   22     
01/09/1949  0       5.6    33.5   22     
02/09/1949  0.4     4.9    33     23     
03/09/1949  0       6.7    36     23     
04/09/1949  2       7.5    34.5   21.5   
05/09/1949  2.1     5      34.5   23.5   
06/09/1949  10.5    4.8    32     21     
07/09/1949  42      3.3    31     23     
08/09/1949  18.9    3      26     22.5   
09/09/1949  0.1     5.6    31     21     
10/09/1949  45.3    8.1    32     21.5   
11/09/1949  39.5    4      30     22     
12/09/1949  0       4.2    31     20     
13/09/1949  0       5.2    33     22     
14/09/1949  56      4.9    33     22.5   
15/09/1949  0.1     8.6    31     21     
16/09/1949  0       6.7    32     20     
17/09/1949  2.8     3.6    29     21.5   
18/09/1949  0.9     2.5    30.5   22.5   
19/09/1949  0.6     7.5    32     22     
20/09/1949  0.5     2.3    31     23     
21/09/1949  3.4     3.8    32     22     
22/09/1949  40      5      31     23.5   
23/09/1949  0.5     2.4    30.5   22.5   
24/09/1949  0       5.4    32     22     
25/09/1949  0       4.7    31.5   22     
26/09/1949  0       4.5    33     23     
27/09/1949  7       2.1    31.5   24     
28/09/1949  6       2.1    31.5   24.5   
29/09/1949  0       3.5    31     22     
30/09/1949  5.5     3.2    32     23     
01/10/1949  28      4.9    31     21.5   
02/10/1949  0       4.4    30.5   22     
03/10/1949  0       4      31.5   22.5   
04/10/1949  29      5.2    32.5   22     
05/10/1949  91      3      29     23.5   
06/10/1949  2.5     2.5    29     23     
07/10/1949  0       3.6    30.5   21     
08/10/1949  0       4.4    32     22     
09/10/1949  0.1     3.1    32     22.5   
10/10/1949  0       5.4    33     22.5   
11/10/1949  1.5     5.2    32.5   22.5   
12/10/1949  0       2.3    30     24     
13/10/1949  2.5     5.1    32.5   23     
14/10/1949  0.2     3.5    32     23.5   
15/10/1949  0       4.8    32     23     
16/10/1949  2.6     2.6    29.5   23.5   
