CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 6018
NOMBRE    : MANZANILLO (OBS)
ESTADO    : COLIMA
MUNICIPIO : Manzanillo
SITUACION : OPERANDO
ORGANISMO : CONAGUA-SMN
CVE-OMM   : 76654.0
LATITUD   : 019.049°
LONGITUD  : -104.298°
ALTITUD   : 3 msnm

EMISIÓN   : 29/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/04/1948  Nulo    Nulo   34.2   20     
02/04/1948  Nulo    Nulo   33.7   18.5   
03/04/1948  Nulo    Nulo   33.5   21.5   
04/04/1948  Nulo    Nulo   33     21     
05/04/1948  Nulo    Nulo   32.8   22.3   
06/04/1948  Nulo    Nulo   33.9   21.6   
07/04/1948  Nulo    Nulo   33.1   21.2   
08/04/1948  Nulo    Nulo   33.6   21.2   
09/04/1948  Nulo    Nulo   35.1   21.6   
10/04/1948  Nulo    Nulo   34.9   20.1   
11/04/1948  Nulo    Nulo   33.7   20.1   
12/04/1948  Nulo    Nulo   33.9   18.3   
13/04/1948  Nulo    Nulo   32.9   18.7   
14/04/1948  Nulo    Nulo   33.3   19.7   
15/04/1948  Nulo    Nulo   34.1   22.1   
16/04/1948  Nulo    Nulo   34.1   22     
17/04/1948  Nulo    Nulo   33.8   22     
18/04/1948  Nulo    Nulo   34.1   23.2   
19/04/1948  Nulo    Nulo   34.6   24     
20/04/1948  Nulo    Nulo   33.9   22.3   
21/04/1948  Nulo    Nulo   33.4   21.6   
22/04/1948  Nulo    Nulo   33.9   22.1   
23/04/1948  Nulo    Nulo   33.8   21     
24/04/1948  Nulo    Nulo   33.1   21.6   
25/04/1948  Nulo    Nulo   33.9   21.3   
26/04/1948  Nulo    Nulo   33.2   21.1   
27/04/1948  Nulo    Nulo   33     20.4   
28/04/1948  Nulo    Nulo   35     21     
29/04/1948  Nulo    Nulo   34.8   21.3   
30/04/1948  Nulo    Nulo   33.9   22.3   
01/01/1956  0       Nulo   32     19.7   
02/01/1956  0       Nulo   31.6   18.8   
03/01/1956  0       Nulo   30.5   20.7   
04/01/1956  0       Nulo   31.2   20.3   
05/01/1956  0       Nulo   31.5   20     
06/01/1956  0       Nulo   33.2   19.8   
07/01/1956  0       Nulo   31     20.6   
08/01/1956  0       Nulo   31     22.5   
09/01/1956  0       Nulo   30.5   20.4   
10/01/1956  0       Nulo   29.7   20.3   
11/01/1956  0       Nulo   30     20.2   
12/01/1956  0       Nulo   30.5   19.7   
13/01/1956  0       Nulo   30.3   18.5   
14/01/1956  0       Nulo   28.2   19.3   
15/01/1956  0       Nulo   29     15.2   
16/01/1956  0       Nulo   18.7   17.2   
17/01/1956  0       Nulo   28.5   17     
18/01/1956  0       Nulo   28.3   16.9   
19/01/1956  0       Nulo   29     15.2   
20/01/1956  0       Nulo   30     16.2   
21/01/1956  0       Nulo   28.5   16.9   
22/01/1956  0       Nulo   27.5   18     
23/01/1956  0       Nulo   27.7   17.3   
24/01/1956  0       Nulo   30     16.5   
25/01/1956  0       Nulo   30     17.9   
26/01/1956  0       Nulo   28.8   19.8   
