CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 6071
NOMBRE    : TRAPICHILLOS
ESTADO    : COLIMA
MUNICIPIO : Colima
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 019.162°
LONGITUD  : -103.524°
ALTITUD   : 552 msnm

EMISIÓN   : 29/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
28/03/1984  0       7.7    36.5   Nulo   
29/03/1984  0       6.6    33.5   Nulo   
30/03/1984  0       9.8    31     Nulo   
31/03/1984  0       5.3    36.5   Nulo   
01/04/1984  0       8.4    31     17     
02/04/1984  0       9.9    34.5   17     
03/04/1984  0       4.3    36     16.5   
04/04/1984  0       9.8    31     16.5   
05/04/1984  0       8.2    36     17     
06/04/1984  0       7      36     18     
07/04/1984  0       9.8    35.5   17     
08/04/1984  0       4.6    36.5   17.5   
09/04/1984  0       9.9    36.5   17     
10/04/1984  0       7      33.5   19.5   
11/04/1984  0       10.6   36     15     
12/04/1984  0       7      35     14.5   
13/04/1984  0       10.1   33.5   14     
14/04/1984  0       5.8    36.5   14.5   
15/04/1984  0       6.5    34     14.5   
16/04/1984  0       9.7    35.5   14.5   
17/04/1984  0       9.9    35.5   15.5   
18/04/1984  0       6      36.5   18.5   
19/04/1984  0       12.6   37     18     
20/04/1984  0       9.9    36.5   17.5   
21/04/1984  0       5.6    34     17     
22/04/1984  0       9.6    35.5   15     
23/04/1984  0       7.7    36     15.5   
24/04/1984  0       8.8    35.5   15     
25/04/1984  0       8.9    34.5   13.5   
26/04/1984  0       8.8    35.5   16     
27/04/1984  0       8.3    35     16.5   
28/04/1984  0       6.4    35.5   16     
29/04/1984  0       1.6    35.5   17.5   
30/04/1984  0       7      36     18     
01/05/1984  0       4.5    36     18     
02/05/1984  0       7.9    33     17     
03/05/1984  0       8.2    32     18.5   
04/05/1984  0       6.4    37     19     
05/05/1984  0       5.4    35.5   19     
06/05/1984  0       7.9    36     17     
07/05/1984  0       9.4    37     21     
08/05/1984  0       8.7    37.5   19     
09/05/1984  0       6.9    34     20     
10/05/1984  0       7.3    36.5   21     
11/05/1984  0       8.1    37     19     
12/05/1984  0       9.6    36.5   20     
13/05/1984  0       9.4    35.5   21     
14/05/1984  0       8.9    32.5   19     
15/05/1984  0       9.6    33.5   18.5   
16/05/1984  0       10.2   34     14.5   
17/05/1984  0       7.9    36     16     
18/05/1984  0       8.4    34     15     
19/05/1984  0       8.1    33.5   14     
20/05/1984  0       10.5   38     13.5   
21/05/1984  0       9      38     19     
22/05/1984  0       9      36     21     
23/05/1984  0       9.1    37     21     
24/05/1984  0       10.7   37     22     
25/05/1984  0       8.5    34.5   22     
26/05/1984  2.4     8.2    34.5   19.5   
27/05/1984  0       4.4    34.5   21     
28/05/1984  8.2     8      35     22.5   
29/05/1984  0       7.6    37     20     
30/05/1984  0       9      38.5   23     
31/05/1984  0       5.9    36.5   21.5   
01/06/1984  0       6.7    33     20.5   
02/06/1984  0       7.1    35.5   20.5   
03/06/1984  0       7.6    36     15.5   
04/06/1984  0       7.4    34.5   20     
05/06/1984  0       8.3    35     20.5   
06/06/1984  0       7.8    35.5   20.5   
07/06/1984  0       9.4    35.5   21     
08/06/1984  4.3     8.7    36.5   15.5   
09/06/1984  9.9     4.4    33     20.5   
10/06/1984  20      3.8    33     20     
11/06/1984  20.7    4.1    34     20     
12/06/1984  20.6    3.4    34.5   20     
13/06/1984  32.1    3.8    31.5   19.5   
14/06/1984  0       2.6    35     22     
15/06/1984  6.3     6.4    33     22.5   
16/06/1984  9.4     2      33     21     
17/06/1984  13.3    6.4    32.5   20.5   
18/06/1984  20.1    5.1    32     21     
19/06/1984  28      2.2    33.5   21.5   
20/06/1984  10.6    3.8    31.5   20     
21/06/1984  1.6     5      31.5   21     
22/06/1984  9.1     4.8    31     21     
23/06/1984  0.6     4.9    32.5   21.5   
24/06/1984  3.3     7.1    34.5   21.5   
25/06/1984  0.2     4.9    32     20     
26/06/1984  1.6     2.5    32     22.5   
27/06/1984  21.2    1.2    32.5   19.5   
28/06/1984  8.6     4.1    32.5   20     
29/06/1984  0.3     5.8    32.5   21     
30/06/1984  0       5      32.5   20.5   
01/07/1984  7.9     2      32     22     
02/07/1984  23.3    1.9    31     20     
03/07/1984  0       1.8    31.5   20     
04/07/1984  0.9     2.3    33.5   21     
05/07/1984  4.7     3      31.5   20     
06/07/1984  2.6     3.8    32     20     
07/07/1984  0.4     4.7    31     21     
08/07/1984  9.5     5.2    33     21     
09/07/1984  4.4     1.2    32     22     
10/07/1984  20.1    1.2    31.5   21     
11/07/1984  5.4     2      32     21     
12/07/1984  20      4.6    30     21     
13/07/1984  2.2     0.9    34     19     
14/07/1984  8.8     0.6    32     20     
15/07/1984  12.9    4.1    31.5   20     
16/07/1984  0.7     5.2    31.5   20     
17/07/1984  20      6      32.5   20     
18/07/1984  0       5.6    31     20     
19/07/1984  0       5.6    31     20     
20/07/1984  0       2.9    32     22     
21/07/1984  20.2    2.9    30     22.5   
22/07/1984  21.2    2.9    31     21     
23/07/1984  21      2.9    30.5   21     
24/07/1984  6.1     2.9    30.5   19.5   
25/07/1984  12.5    2.9    31     18.5   
26/07/1984  0       2.7    30     21.5   
27/07/1984  0       2.7    32     20     
28/07/1984  0.4     2.7    31     22     
29/07/1984  0       2.7    31     21     
30/07/1984  26      2.7    32     20.5   
31/07/1984  6       2.7    33     19.5   
01/08/1984  1       2.1    30     22     
02/08/1984  1.1     4.3    32     22     
03/08/1984  12.1    7.1    31.5   21.5   
04/08/1984  0.6     2.6    30     21     
05/08/1984  3.1     4      32     22     
06/08/1984  0.1     2.1    32.5   21.5   
07/08/1984  0       4.7    30.5   20.5   
08/08/1984  0       2.2    31     20.5   
09/08/1984  0       5.6    30.5   20.5   
10/08/1984  4.1     4.8    32.5   21     
11/08/1984  0.9     3.9    31     20.5   
12/08/1984  1.1     3.9    32     19     
13/08/1984  0       4.6    31.5   19     
14/08/1984  0.4     2      32     21.5   
15/08/1984  10.4    3.6    31     21     
16/08/1984  3.5     2.9    32     20     
17/08/1984  0.1     2      31.5   19.5   
18/08/1984  0       3.4    31.5   20.5   
19/08/1984  2.1     3.3    32     20     
20/08/1984  0       4.3    31.5   21.5   
21/08/1984  8.9     2.2    32     20.5   
22/08/1984  5.1     2.2    31.5   19     
23/08/1984  23      2.2    32     20     
24/08/1984  18.6    6.3    32     21     
25/08/1984  25      4.2    32     21.5   
26/08/1984  0.4     2.7    31     20     
27/08/1984  1.2     4.4    31.5   20     
28/08/1984  0.3     3.5    32.5   18.5   
29/08/1984  0.1     5.2    32     20     
30/08/1984  13.1    3.3    32     20     
31/08/1984  2.2     5      30.5   18     
01/09/1984  23.3    4.2    31.5   19     
02/09/1984  0       2.4    30     17     
03/09/1984  0       4.3    32     20     
04/09/1984  10.2    4.9    33     21.5   
05/09/1984  20      1.2    33     21     
06/09/1984  2.5     3      32     19.5   
07/09/1984  0       3.4    30.5   19     
08/09/1984  20.2    3.8    31     20.5   
09/09/1984  12.5    2      31     18.5   
10/09/1984  0.3     2.2    33.5   18.5   
11/09/1984  0.2     2.8    33     20     
12/09/1984  5.1     0.4    30     19.5   
13/09/1984  28      3.6    31.5   20     
14/09/1984  5.4     4.2    31     20.5   
15/09/1984  2.7     3.1    30     20     
16/09/1984  1.2     2.4    30.5   20     
17/09/1984  5.6     3.8    32     19.5   
18/09/1984  27      0.8    30     18     
19/09/1984  24.2    0.8    30.5   21.5   
20/09/1984  15.2    3.9    30.5   21     
21/09/1984  24.1    2.5    31.5   20     
22/09/1984  15.3    3      32     20.5   
23/09/1984  0.9     4.4    30.5   19     
