CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 7018
NOMBRE    : CACAHOATAN
ESTADO    : CHIAPAS
MUNICIPIO : CACAHOATAN
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 014.988°
LONGITUD  : -92.164°
ALTITUD   : 480 msnm

EMISIÓN   : 29/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
15/05/1944  5.2     Nulo   37     Nulo   
16/05/1944  0       Nulo   33.5   18.5   
17/05/1944  5.9     Nulo   34     19.5   
18/05/1944  0       Nulo   31     19.5   
19/05/1944  11.4    Nulo   32.5   18.5   
20/05/1944  17.5    Nulo   33     23     
21/05/1944  13.5    Nulo   32     18.5   
22/05/1944  98.5    Nulo   32     19     
23/05/1944  2.8     Nulo   31.5   20.5   
24/05/1944  11.5    Nulo   33     21     
25/05/1944  0       Nulo   33     21     
26/05/1944  6.5     Nulo   33     20.5   
27/05/1944  47      Nulo   35     24.5   
28/05/1944  20.5    Nulo   32     20.5   
29/05/1944  23.8    Nulo   30     20.5   
30/05/1944  50      Nulo   31     22     
31/05/1944  95      Nulo   30     19.5   
01/06/1944  152.5   5.2    30     20     
02/06/1944  4.5     4.5    28.5   20     
03/06/1944  49.5    5      25     20     
04/06/1944  7.5     7.5    28     19.5   
05/06/1944  28      2.8    30.5   22     
06/06/1944  5.5     5.5    36     21     
07/06/1944  45      4.5    30.5   20     
08/06/1944  8.2     8.2    28     19     
09/06/1944  14      14     29     22     
10/06/1944  17      1.7    27.5   25.5   
11/06/1944  15      1.5    27.5   21     
12/06/1944  4       4      27.5   21     
13/06/1944  0       Nulo   30     19.5   
14/06/1944  0       Nulo   32     19.5   
15/06/1944  0       Nulo   31     21     
16/06/1944  0       Nulo   30.5   21.5   
17/06/1944  13.5    1.4    31.5   20.5   
18/06/1944  12.5    1.2    30.5   21.5   
19/06/1944  30.5    3      30.5   21     
20/06/1944  4.8     4.8    29.5   21     
21/06/1944  34      3.4    35     20     
22/06/1944  45      4.5    35     20     
