CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 7056
NOMBRE    : FINCA CHIRIPA
ESTADO    : CHIAPAS
MUNICIPIO : TAPACHULA
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 015.167°
LONGITUD  : -92.3°
ALTITUD   : 991 msnm

EMISIÓN   : 29/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/06/1954  13.2    Nulo   Nulo   Nulo   
02/06/1954  34.8    Nulo   Nulo   Nulo   
03/06/1954  6       Nulo   Nulo   Nulo   
04/06/1954  28.8    Nulo   Nulo   Nulo   
05/06/1954  19.2    Nulo   Nulo   Nulo   
06/06/1954  27      Nulo   Nulo   Nulo   
07/06/1954  30.4    Nulo   Nulo   Nulo   
08/06/1954  7.2     Nulo   Nulo   Nulo   
09/06/1954  75.8    Nulo   Nulo   Nulo   
10/06/1954  20      Nulo   Nulo   Nulo   
11/06/1954  25      Nulo   Nulo   Nulo   
12/06/1954  25      Nulo   Nulo   Nulo   
13/06/1954  0       Nulo   Nulo   Nulo   
14/06/1954  46      Nulo   Nulo   Nulo   
15/06/1954  28.8    Nulo   Nulo   Nulo   
16/06/1954  113     Nulo   Nulo   Nulo   
17/06/1954  7       Nulo   Nulo   Nulo   
18/06/1954  116     Nulo   Nulo   Nulo   
19/06/1954  0       Nulo   Nulo   Nulo   
20/06/1954  43.2    Nulo   Nulo   Nulo   
21/06/1954  26.4    Nulo   Nulo   Nulo   
22/06/1954  78.2    Nulo   Nulo   Nulo   
23/06/1954  3.2     Nulo   Nulo   Nulo   
24/06/1954  11.2    Nulo   Nulo   Nulo   
25/06/1954  14.4    Nulo   Nulo   Nulo   
26/06/1954  27.6    Nulo   Nulo   Nulo   
27/06/1954  26.3    Nulo   Nulo   Nulo   
28/06/1954  26      Nulo   Nulo   Nulo   
29/06/1954  5.8     Nulo   Nulo   Nulo   
30/06/1954  52.4    Nulo   Nulo   Nulo   
01/07/1954  3.2     Nulo   Nulo   Nulo   
02/07/1954  18      Nulo   Nulo   Nulo   
03/07/1954  10      Nulo   Nulo   Nulo   
04/07/1954  10      Nulo   Nulo   Nulo   
05/07/1954  3.2     Nulo   Nulo   Nulo   
06/07/1954  11.2    Nulo   Nulo   Nulo   
07/07/1954  6.6     Nulo   Nulo   Nulo   
08/07/1954  37      Nulo   Nulo   Nulo   
09/07/1954  16      Nulo   Nulo   Nulo   
10/07/1954  22.8    Nulo   Nulo   Nulo   
11/07/1954  76.4    Nulo   Nulo   Nulo   
12/07/1954  20.4    Nulo   Nulo   Nulo   
13/07/1954  15      Nulo   Nulo   Nulo   
14/07/1954  0       Nulo   Nulo   Nulo   
15/07/1954  21      Nulo   Nulo   Nulo   
16/07/1954  11      Nulo   Nulo   Nulo   
17/07/1954  9.5     Nulo   Nulo   Nulo   
18/07/1954  29.5    Nulo   Nulo   Nulo   
19/07/1954  33.2    Nulo   Nulo   Nulo   
20/07/1954  30.5    Nulo   Nulo   Nulo   
21/07/1954  0       Nulo   Nulo   Nulo   
22/07/1954  5.6     Nulo   Nulo   Nulo   
23/07/1954  1.4     Nulo   Nulo   Nulo   
24/07/1954  14.4    Nulo   Nulo   Nulo   
25/07/1954  8.8     Nulo   Nulo   Nulo   
26/07/1954  21.8    Nulo   Nulo   Nulo   
27/07/1954  7       Nulo   Nulo   Nulo   
28/07/1954  6.8     Nulo   Nulo   Nulo   
29/07/1954  6.2     Nulo   Nulo   Nulo   
30/07/1954  10.4    Nulo   Nulo   Nulo   
31/07/1954  10.8    Nulo   Nulo   Nulo   
01/08/1954  19.6    Nulo   Nulo   Nulo   
02/08/1954  19.2    Nulo   Nulo   Nulo   
03/08/1954  0       Nulo   Nulo   Nulo   
04/08/1954  14      Nulo   Nulo   Nulo   
05/08/1954  20      Nulo   Nulo   Nulo   
06/08/1954  24      Nulo   Nulo   Nulo   
07/08/1954  10.8    Nulo   Nulo   Nulo   
08/08/1954  3.6     Nulo   Nulo   Nulo   
09/08/1954  0       Nulo   Nulo   Nulo   
10/08/1954  12.2    Nulo   Nulo   Nulo   
11/08/1954  36.8    Nulo   Nulo   Nulo   
12/08/1954  5.6     Nulo   Nulo   Nulo   
13/08/1954  26      Nulo   Nulo   Nulo   
14/08/1954  33.8    Nulo   Nulo   Nulo   
15/08/1954  1.6     Nulo   Nulo   Nulo   
16/08/1954  17      Nulo   Nulo   Nulo   
17/08/1954  2.6     Nulo   Nulo   Nulo   
18/08/1954  7.4     Nulo   Nulo   Nulo   
19/08/1954  1       Nulo   Nulo   Nulo   
20/08/1954  27      Nulo   Nulo   Nulo   
21/08/1954  9       Nulo   Nulo   Nulo   
22/08/1954  10.4    Nulo   Nulo   Nulo   
23/08/1954  14.4    Nulo   Nulo   Nulo   
24/08/1954  23      Nulo   Nulo   Nulo   
25/08/1954  32.2    Nulo   Nulo   Nulo   
26/08/1954  31.4    Nulo   Nulo   Nulo   
27/08/1954  5       Nulo   Nulo   Nulo   
28/08/1954  5       Nulo   Nulo   Nulo   
29/08/1954  39.4    Nulo   Nulo   Nulo   
30/08/1954  21.8    Nulo   Nulo   Nulo   
31/08/1954  8.8     Nulo   Nulo   Nulo   
01/09/1954  8.6     Nulo   Nulo   Nulo   
02/09/1954  26.2    Nulo   Nulo   Nulo   
03/09/1954  45      Nulo   Nulo   Nulo   
04/09/1954  94      Nulo   Nulo   Nulo   
05/09/1954  11      Nulo   Nulo   Nulo   
06/09/1954  13.4    Nulo   Nulo   Nulo   
07/09/1954  78      Nulo   Nulo   Nulo   
08/09/1954  16.2    Nulo   Nulo   Nulo   
09/09/1954  38.8    Nulo   Nulo   Nulo   
10/09/1954  12.2    Nulo   Nulo   Nulo   
11/09/1954  20.6    Nulo   Nulo   Nulo   
12/09/1954  19      Nulo   Nulo   Nulo   
13/09/1954  24.4    Nulo   Nulo   Nulo   
14/09/1954  13      Nulo   Nulo   Nulo   
15/09/1954  1.4     Nulo   Nulo   Nulo   
16/09/1954  0       Nulo   Nulo   Nulo   
17/09/1954  20.4    Nulo   Nulo   Nulo   
18/09/1954  34      Nulo   Nulo   Nulo   
19/09/1954  2.4     Nulo   Nulo   Nulo   
20/09/1954  42.4    Nulo   Nulo   Nulo   
21/09/1954  4.6     Nulo   Nulo   Nulo   
22/09/1954  2.2     Nulo   Nulo   Nulo   
23/09/1954  26.4    Nulo   Nulo   Nulo   
24/09/1954  14.8    Nulo   Nulo   Nulo   
25/09/1954  46.4    Nulo   Nulo   Nulo   
26/09/1954  83.2    Nulo   Nulo   Nulo   
27/09/1954  32      Nulo   Nulo   Nulo   
28/09/1954  6.2     Nulo   Nulo   Nulo   
29/09/1954  0       Nulo   Nulo   Nulo   
30/09/1954  34.2    Nulo   Nulo   Nulo   
01/10/1954  17.2    Nulo   22     18.5   
02/10/1954  21.6    Nulo   22     17     
03/10/1954  39.2    Nulo   26     18     
