CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 7081
NOMBRE    : IXCAN
ESTADO    : CHIAPAS
MUNICIPIO : OCOSINGO
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 016.833°
LONGITUD  : -91.067°
ALTITUD   : 200 msnm

EMISIÓN   : 29/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/06/1965  0.4     Nulo   Nulo   Nulo   
02/06/1965  8.6     Nulo   Nulo   Nulo   
03/06/1965  0       Nulo   Nulo   Nulo   
04/06/1965  10.3    Nulo   Nulo   Nulo   
05/06/1965  0.6     Nulo   Nulo   Nulo   
06/06/1965  5.2     Nulo   Nulo   Nulo   
07/06/1965  5       Nulo   Nulo   Nulo   
08/06/1965  11      Nulo   Nulo   Nulo   
09/06/1965  0       Nulo   Nulo   Nulo   
10/06/1965  0       Nulo   Nulo   Nulo   
11/06/1965  13      Nulo   Nulo   Nulo   
12/06/1965  0       Nulo   Nulo   Nulo   
13/06/1965  13.3    Nulo   Nulo   Nulo   
14/06/1965  6       Nulo   Nulo   Nulo   
15/06/1965  63      Nulo   Nulo   Nulo   
16/06/1965  2       Nulo   Nulo   Nulo   
17/06/1965  24.6    Nulo   Nulo   Nulo   
18/06/1965  7.5     Nulo   Nulo   Nulo   
19/06/1965  28      Nulo   Nulo   Nulo   
20/06/1965  58.5    Nulo   Nulo   Nulo   
21/06/1965  24.5    Nulo   Nulo   Nulo   
22/06/1965  20.2    Nulo   Nulo   Nulo   
23/06/1965  94.5    Nulo   Nulo   Nulo   
24/06/1965  28.5    Nulo   Nulo   Nulo   
25/06/1965  13      Nulo   Nulo   Nulo   
26/06/1965  1.5     Nulo   Nulo   Nulo   
27/06/1965  15.3    Nulo   Nulo   Nulo   
28/06/1965  68.2    Nulo   Nulo   Nulo   
29/06/1965  43.3    Nulo   Nulo   Nulo   
30/06/1965  112.5   Nulo   Nulo   Nulo   
01/07/1965  13      Nulo   Nulo   Nulo   
02/07/1965  3.5     Nulo   Nulo   Nulo   
03/07/1965  1.5     Nulo   Nulo   Nulo   
04/07/1965  0       Nulo   Nulo   Nulo   
05/07/1965  21.5    Nulo   Nulo   Nulo   
06/07/1965  2.7     Nulo   Nulo   Nulo   
07/07/1965  22.5    Nulo   Nulo   Nulo   
08/07/1965  1.2     Nulo   Nulo   Nulo   
09/07/1965  21.3    Nulo   Nulo   Nulo   
10/07/1965  30      Nulo   Nulo   Nulo   
11/07/1965  10.3    Nulo   Nulo   Nulo   
12/07/1965  11.5    Nulo   Nulo   Nulo   
13/07/1965  9.4     Nulo   Nulo   Nulo   
14/07/1965  16      Nulo   Nulo   Nulo   
15/07/1965  12.3    Nulo   Nulo   Nulo   
16/07/1965  6.5     Nulo   Nulo   Nulo   
17/07/1965  5.2     Nulo   Nulo   Nulo   
18/07/1965  20.2    Nulo   Nulo   Nulo   
19/07/1965  24.5    Nulo   Nulo   Nulo   
20/07/1965  164.6   Nulo   Nulo   Nulo   
21/07/1965  16.5    Nulo   Nulo   Nulo   
22/07/1965  2.5     Nulo   Nulo   Nulo   
