CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 7108
NOMBRE    : LIVINGSTON (CFE)
ESTADO    : CHIAPAS
MUNICIPIO : ALTAMIRANO
SITUACION : SUSPENDIDA
ORGANISMO : CFE
CVE-OMM   : Nulo
LATITUD   : 016.767°
LONGITUD  : -92.05°
ALTITUD   : 1200 msnm

EMISIÓN   : 29/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
06/04/1965  0       6.3    32     15     
07/04/1965  0       6.5    32     14     
08/04/1965  0       6      32.5   13.5   
09/04/1965  0       6.7    32     13     
10/04/1965  0       7.5    33     14     
11/04/1965  0       6.5    35.5   13     
12/04/1965  0       6.9    35.5   13.5   
13/04/1965  0       6.5    35     16     
14/04/1965  0       5.9    33     15.5   
15/04/1965  0       5.8    33     11.5   
16/04/1965  0       4.7    32.5   12.5   
17/04/1965  0       5      31     15     
18/04/1965  0       6.5    32.5   11.5   
19/04/1965  0       3.8    32.5   11.5   
20/04/1965  0       5.5    32     14     
21/04/1965  0       4      30.5   12     
22/04/1965  0       5.3    30     13     
23/04/1965  0       5.1    30.5   12     
24/04/1965  0       4.5    30     12     
25/04/1965  0       5.7    34     13.5   
26/04/1965  0       4.9    34     15.5   
27/04/1965  0       4.9    35.5   16.5   
28/04/1965  8       4.9    31.5   18.5   
29/04/1965  0       3.6    31     19     
30/04/1965  17      3.3    29     18     
01/05/1965  1.3     0.4    21.5   18.5   
02/05/1965  0       2.3    25     18     
03/05/1965  0       6.5    30.5   19     
04/05/1965  0       7.2    32     20     
05/05/1965  0       7.7    33     18.5   
06/05/1965  0       7.2    34     17     
07/05/1965  0       6.7    34     16     
08/05/1965  0       7.4    34.5   16.5   
09/05/1965  0       6.2    34     16.5   
10/05/1965  1       5.6    33.5   17     
11/05/1965  0.4     5.4    33     17     
12/05/1965  0       7      32     19.5   
13/05/1965  0       6.3    33.5   16     
14/05/1965  0       6      34     15     
15/05/1965  0       6.9    35     15.5   
16/05/1965  0       7.1    32.5   18     
17/05/1965  0       6.8    32.5   16.5   
18/05/1965  0       7.4    32.5   15.5   
19/05/1965  0       6.5    32     16.5   
20/05/1965  15      5.7    34.5   19     
21/05/1965  1.7     5      33     18     
22/05/1965  0       5.8    33.5   18     
23/05/1965  15      7.9    33     17     
24/05/1965  15.7    5.9    33     18     
25/05/1965  8       3.8    31     20     
26/05/1965  0       6.5    31     19.5   
27/05/1965  5.5     6.7    33     17     
28/05/1965  0       5.1    31     21     
29/05/1965  0       5.3    33     17     
30/05/1965  0.5     6.4    31     17.5   
31/05/1965  0       7.4    33     17     
01/06/1965  0       7.6    34.5   15     
02/06/1965  0       7      34     16.5   
03/06/1965  0       6.9    33.5   16.5   
04/06/1965  0       6.1    34.5   17.5   
05/06/1965  6       6      35     21.5   
06/06/1965  0       4      32.5   19.5   
07/06/1965  3.7     4.2    33.5   20     
08/06/1965  0       7.4    32     19.5   
09/06/1965  11      3.7    31     18.5   
10/06/1965  15.5    3.3    30.5   19     
11/06/1965  20      0.8    28.5   20.5   
12/06/1965  0       2.6    29.5   20.5   
13/06/1965  8.5     4.9    31.5   18.5   
14/06/1965  5       7.2    30     20     
15/06/1965  5       3.6    32     19     
16/06/1965  10      10     30     21     
17/06/1965  0       3.3    31     19.5   
18/06/1965  2.4     4.3    30.5   19     
19/06/1965  8.2     2.1    28.5   19.5   
20/06/1965  4.5     2.4    27.5   19     
21/06/1965  20      2.9    28     20     
22/06/1965  30      4.2    28     19.5   
23/06/1965  20      1.6    26.5   19     
24/06/1965  9       1      24.5   18.5   
25/06/1965  7.5     1.5    26     18.5   
26/06/1965  8.4     1.5    26.5   19.5   
27/06/1965  20      2.9    26     19     
28/06/1965  30      0.9    24     18.5   
29/06/1965  2       2.4    26.5   17.5   
30/06/1965  1.5     1.8    26.5   13     
01/07/1965  3.5     3.4    27.5   18.5   
02/07/1965  10.2    3.4    29     17     
03/07/1965  1.8     0.4    26     18.5   
04/07/1965  14.5    4.7    29.5   18.5   
05/07/1965  0.5     2.2    26.5   19.5   
06/07/1965  2.1     3.9    28     20     
07/07/1965  2       3.1    28     19     
08/07/1965  0       4.8    29.5   18.5   
09/07/1965  0       4.5    29.5   17.5   
10/07/1965  2.1     4.3    29.5   19     
11/07/1965  5       4.1    28     18     
12/07/1965  10.3    4      29     19     
13/07/1965  4       10.2   27     19     
14/07/1965  1.3     Nulo   27     20     
15/07/1965  13      4.3    29     20     
16/07/1965  5.5     5.9    29     19     
17/07/1965  0       3.7    28.5   19     
18/07/1965  0       5      30.5   20     
19/07/1965  8       5.2    30.5   17     
20/07/1965  50      5.4    28.5   18.5   
21/07/1965  6.5     2.3    26     20     
22/07/1965  2       1.7    26     18.5   
23/07/1965  2.5     1.9    26.5   18     
24/07/1965  8       1.8    26     18     
25/07/1965  11      3.5    27     19     
26/07/1965  4.5     2.3    27     20     
27/07/1965  0       3.7    29     20.5   
28/07/1965  0       5.4    30.5   16.5   
29/07/1965  8       4.6    29.5   17     
30/07/1965  41.5    6.1    29.5   19.5   
31/07/1965  5       5.4    29     19     
01/08/1965  1       6.1    30     20     
02/08/1965  4.5     6.9    30     18     
03/08/1965  1       5.9    30     18     
04/08/1965  0       3.7    29.5   18.5   
05/08/1965  5.5     5.1    30     18.5   
06/08/1965  3       3.8    29     19     
07/08/1965  24      3.3    27     18.5   
08/08/1965  0       1.5    26.5   19.5   
09/08/1965  1.5     3      30     19     
10/08/1965  1       4.8    29.5   18     
11/08/1965  0       4.9    29.5   18.5   
12/08/1965  40      5.9    30.5   18.5   
13/08/1965  8.5     3.4    28.5   18     
14/08/1965  2.5     2.2    27     20     
15/08/1965  5       4.5    28.5   19     
16/08/1965  40.5    5      27     19.5   
17/08/1965  0       4.1    29     19.5   
18/08/1965  3.5     2.1    29.5   19     
19/08/1965  2       4.1    28.5   19     
20/08/1965  0       4.4    29     17.5   
21/08/1965  0       5      29.5   16     
22/08/1965  0       5.4    30.5   17     
23/08/1965  20      1.8    27.5   18.5   
24/08/1965  10.5    2.2    27.5   19.5   
25/08/1965  2.5     3.1    28.5   20     
26/08/1965  0       3.8    27     19.5   
27/08/1965  46      2.9    27.5   18.5   
28/08/1965  17      4.4    28     19     
29/08/1965  0       2      27     19     
30/08/1965  0       5.5    29.5   17     
31/08/1965  0       5.5    30.5   16     
01/09/1965  2       3.7    31     15     
02/09/1965  6       5.9    31     17     
03/09/1965  2.5     3.6    31     18.5   
04/09/1965  3       4.1    30.5   18.5   
05/09/1965  10      4.2    29.5   19     
06/09/1965  10      3.7    29     19     
07/09/1965  7.5     3.8    30     18.5   
08/09/1965  0       4.1    30.5   18.5   
09/09/1965  7.5     5.8    30     19     
10/09/1965  7       4.5    29.5   19.5   
11/09/1965  14.5    3.5    28.5   17     
12/09/1965  12      5.3    29     18.5   
13/09/1965  15      2.4    29     18.5   
14/09/1965  21      2.6    27     20     
15/09/1965  0       4.1    28.5   18.5   
16/09/1965  0       2.7    28.5   17.5   
17/09/1965  26.5    4.5    30     18.5   
18/09/1965  5       4      28.5   20     
19/09/1965  12.5    2.7    28     19.5   
20/09/1965  7       4      29.5   20.5   
21/09/1965  12      3.6    27.5   20     
22/09/1965  38.5    4.4    29.5   20     
23/09/1965  2       4      29.5   20.5   
24/09/1965  5       3      29.5   20.5   
25/09/1965  0       2.8    30     19.5   
26/09/1965  0       3.3    29     19     
27/09/1965  3       1.6    29     20     
28/09/1965  18      3.2    29     20.5   
29/09/1965  15      3.3    28.5   19.5   
30/09/1965  12      3.9    30.5   20     
01/11/1965  0       2.2    25     16.5   
