CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 7124
NOMBRE    : OSTIONAL
ESTADO    : CHIAPAS
MUNICIPIO : OCOSINGO
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 016.417°
LONGITUD  : -91.25°
ALTITUD   : 247 msnm

EMISIÓN   : 29/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
07/06/1969  0       Nulo   Nulo   Nulo   
08/06/1969  0       Nulo   Nulo   Nulo   
09/06/1969  0       Nulo   Nulo   Nulo   
10/06/1969  0       Nulo   Nulo   Nulo   
11/06/1969  0       Nulo   Nulo   Nulo   
12/06/1969  0       Nulo   Nulo   Nulo   
13/06/1969  43.4    Nulo   Nulo   Nulo   
14/06/1969  80.6    Nulo   Nulo   Nulo   
15/06/1969  28.5    Nulo   Nulo   Nulo   
16/06/1969  0       Nulo   Nulo   Nulo   
17/06/1969  32      Nulo   Nulo   Nulo   
18/06/1969  6.5     Nulo   Nulo   Nulo   
19/06/1969  23      Nulo   Nulo   Nulo   
20/06/1969  0       Nulo   Nulo   Nulo   
21/06/1969  0       Nulo   Nulo   Nulo   
22/06/1969  0       Nulo   Nulo   Nulo   
23/06/1969  0       Nulo   Nulo   Nulo   
24/06/1969  34.5    Nulo   Nulo   Nulo   
25/06/1969  0       Nulo   Nulo   Nulo   
26/06/1969  19.5    Nulo   Nulo   Nulo   
27/06/1969  11      Nulo   Nulo   Nulo   
28/06/1969  19.2    Nulo   31     23     
29/06/1969  48.5    Nulo   29     22     
30/06/1969  3.5     Nulo   29.5   21.5   
01/07/1969  16      Nulo   33     22.5   
02/07/1969  7.5     Nulo   32     23.5   
03/07/1969  1.2     Nulo   32     23     
04/07/1969  0       Nulo   32.5   23.5   
