CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 7236
NOMBRE    : REVOLUCION MEXICANA
ESTADO    : CHIAPAS
MUNICIPIO : VILLA CORZO
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 016.163°
LONGITUD  : -93.076°
ALTITUD   : 540 msnm

EMISIÓN   : 29/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
04/03/1977  0       7.1    37     11.5   
05/03/1977  0       7.5    35.5   16     
06/03/1977  0       6.7    37.5   15.5   
07/03/1977  0       4.4    25.5   13.5   
08/03/1977  0       2.9    25     18     
09/03/1977  0       5.2    33.5   15     
10/03/1977  0       6.6    35.5   13.5   
11/03/1977  0       6.7    35     12.5   
12/03/1977  0       6.4    38     15.5   
13/03/1977  0       7.5    38     17     
14/03/1977  0       7.4    40     18.5   
15/03/1977  0       8.1    40.5   16.5   
16/03/1977  0       5.9    38.5   15     
17/03/1977  0       7.6    36     15     
18/03/1977  0       8.5    35     14.5   
19/03/1977  0       8.7    35     14     
20/03/1977  0       7      38.5   14.5   
21/03/1977  0       5.3    37     18.5   
22/03/1977  0       5.6    37     21.5   
23/03/1977  0       6.3    36.5   19.5   
24/03/1977  0       7.6    36.5   17.5   
25/03/1977  0       8.2    37     18.5   
26/03/1977  0       7.6    36.5   19.5   
27/03/1977  0       9      35.5   18.5   
28/03/1977  0       9.5    33.5   17     
29/03/1977  0       8.7    36.5   17.5   
30/03/1977  0       8.1    36.5   19     
31/03/1977  0       7.2    30     20.5   
01/04/1977  0       7      37.5   21     
02/04/1977  0       6.5    36     20     
03/04/1977  0       8.8    34     18     
04/04/1977  0       7.4    32     21.5   
05/04/1977  0       6.4    26.5   22     
06/04/1977  0       6.9    27.5   17     
07/04/1977  0       5.4    31.5   15     
08/04/1977  0       7.5    32.5   14     
09/04/1977  0       5.6    31.5   14     
10/04/1977  0       4.9    34     15.5   
11/04/1977  0       6.4    34     16     
12/04/1977  0       8.1    36     17     
13/04/1977  0       7.1    37     20     
14/04/1977  0.3     7.4    36     19.5   
15/04/1977  0       6.8    34     20     
16/04/1977  0       5.9    33     19     
17/04/1977  0       7.2    38     18.5   
18/04/1977  0       6.9    39     20     
19/04/1977  0.1     5.7    39     22     
20/04/1977  0       5.8    37     19.5   
21/04/1977  0       6.9    40     20     
22/04/1977  0       6.9    36.5   22     
23/04/1977  0       6      36     19     
24/04/1977  0       8.1    33.5   20     
25/04/1977  0       7.4    34     15     
26/04/1977  0       6      35.5   15.5   
27/04/1977  0       6.5    36.5   19     
28/04/1977  0       7.1    36     18.5   
29/04/1977  4       5.8    37.5   19     
30/04/1977  10.6    6.5    37     17.5   
01/05/1977  0       6.4    36.5   19     
02/05/1977  0       7.1    37     17.5   
03/05/1977  0       6.1    36.5   18.5   
04/05/1977  0       8.1    36     20     
05/05/1977  0       7.7    34.5   21     
06/05/1977  0       6.8    34.5   21     
07/05/1977  0       7.1    38     20     
08/05/1977  16.2    6      37     22     
09/05/1977  0       8.3    36.5   21     
10/05/1977  0       8.1    36     22.5   
11/05/1977  5.2     7.4    38.5   20     
12/05/1977  3.5     5.1    37     22.5   
13/05/1977  2.8     5.1    35     22     
14/05/1977  0       6.8    37     22     
15/05/1977  0       7.5    37.5   22.5   
16/05/1977  0.5     5.9    37     22     
17/05/1977  0       4.8    34     24     
18/05/1977  0       2.3    36     22     
19/05/1977  3.5     9.4    37.5   22     
20/05/1977  0       5.6    38     21.5   
21/05/1977  4.5     8.8    39     23     
22/05/1977  0       5.9    39.5   21     
23/05/1977  0       7.2    36.5   21     
24/05/1977  7.6     6.1    36.5   23.5   
25/05/1977  40      11.2   34.5   21     
26/05/1977  0       6      32     20     
27/05/1977  0       4.9    33     21.5   
28/05/1977  3.6     3.2    34.5   20.5   
29/05/1977  0.4     0.8    35     21.5   
30/05/1977  0       5      34     20     
31/05/1977  0       5.8    33.5   21     
01/06/1977  0       5.8    34     20.5   
02/06/1977  0       7.8    34.5   20.5   
03/06/1977  0       6.7    35     21     
04/06/1977  0       6.8    35     20     
05/06/1977  0       5.9    34     21     
06/06/1977  0       5.5    32     22     
07/06/1977  0.4     2.4    34     22     
08/06/1977  2.3     4      35.5   22     
09/06/1977  36.5    2.5    31     22     
10/06/1977  0       3.2    30     20.5   
11/06/1977  0       4.9    38     21     
12/06/1977  0       5      34     20.5   
13/06/1977  3.5     5.2    34.5   23     
14/06/1977  52.3    5.1    35     20     
15/06/1977  4.3     5.1    32.5   20.5   
16/06/1977  13.6    3.6    32     20     
17/06/1977  67.8    3.7    32.5   20     
18/06/1977  0.8     3.2    32.5   20.5   
19/06/1977  0       2.8    30.5   21.5   
20/06/1977  60.3    9.7    33     21     
21/06/1977  6.3     3.7    31.5   21     
22/06/1977  26.7    6.5    31     21     
23/06/1977  9.2     4.7    32     20.5   
24/06/1977  1.7     5.3    32.5   19     
25/06/1977  0.1     5.2    33     21.5   
26/06/1977  0       4.4    35.5   20     
27/06/1977  5       5.4    34.5   22     
28/06/1977  0.1     3.7    32.5   21     
29/06/1977  0.5     4.7    34     20.5   
30/06/1977  23.8    6      34.5   19.5   
01/07/1977  0       5      32.5   19.5   
02/07/1977  17.5    4      32.5   18     
03/07/1977  0.4     6.1    32.5   19     
04/07/1977  14.2    8.4    33.5   18.5   
05/07/1977  15.2    0.3    31     20     
06/07/1977  0       3.4    30     21     
07/07/1977  0       4.2    33     21.5   
08/07/1977  1.2     6      33     18     
09/07/1977  4.2     6.3    33     19     
10/07/1977  0       3.7    33     20     
11/07/1977  0       6.9    35.5   20.5   
12/07/1977  0       5.3    34.5   17     
13/07/1977  0       5.9    34.5   20.5   
14/07/1977  0       6.6    34.5   19     
15/07/1977  4.7     5.3    35     19     
16/07/1977  1.4     5.4    34     20     
17/07/1977  31.7    6.4    34     20.5   
18/07/1977  0.1     3      32     19.5   
19/07/1977  0       6.9    34     20.5   
20/07/1977  9.9     4.8    35.5   20.5   
21/07/1977  0.3     2.4    33.5   20     
22/07/1977  40      3.5    32     19.5   
23/07/1977  0       3.8    31     20     
