CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 7333
NOMBRE    : BUENOS AIRES
ESTADO    : CHIAPAS
MUNICIPIO : MOTOZINTLA
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 015.332°
LONGITUD  : -92.267°
ALTITUD   : 1820 msnm

EMISIÓN   : 29/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
10/04/1980  2       2.5    21     13.5   
11/04/1980  1       2.3    21     14     
12/04/1980  0       3.6    21     14     
13/04/1980  0       5.5    23     13     
14/04/1980  0       1.1    24     13     
15/04/1980  0       2.1    25     13     
16/04/1980  0       4.2    26     11     
17/04/1980  0.6     5.6    26     13     
18/04/1980  0       4.4    26     13     
19/04/1980  0       5.2    24     13     
20/04/1980  0       4.8    25     12     
21/04/1980  0       7.5    27     12     
22/04/1980  11.5    5.6    26     12     
23/04/1980  0       2.8    25     15     
24/04/1980  0       1.8    28     15     
25/04/1980  0       2.4    23     15     
26/04/1980  0       4.5    26     15     
27/04/1980  0       1.7    29     15     
28/04/1980  0       4.6    30     15     
29/04/1980  0       1      25     15     
30/04/1980  35      4.9    24     13     
01/05/1980  0       6.1    23     16     
02/05/1980  0       5.8    24     15     
03/05/1980  1       0.7    29     15     
04/05/1980  6       2.7    28     16     
05/05/1980  0       3.5    28     14     
06/05/1980  0       3.4    26     13     
07/05/1980  0       0.6    20.1   15     
08/05/1980  7.5     10     25     17     
09/05/1980  35      7.2    27     15     
10/05/1980  2       3      25.1   16     
11/05/1980  0       5      25     15     
12/05/1980  0       6.7    29     16     
13/05/1980  5.5     8.7    25     16     
14/05/1980  0       4.4    21     15     
15/05/1980  6       4.6    21     15     
16/05/1980  2.1     0.9    22     15     
17/05/1980  0       2      27     15     
18/05/1980  2       0.8    25     16     
19/05/1980  0       5.5    23     16     
20/05/1980  0       4.8    28     16     
21/05/1980  0       1.8    25     15     
22/05/1980  5.5     7.3    29     16     
23/05/1980  0       3.5    25     19     
24/05/1980  7       5.5    20     15     
25/05/1980  1       6.9    25     15     
26/05/1980  0       3.3    24     15     
27/05/1980  0       4.1    27     16     
28/05/1980  0       5.1    27     14     
29/05/1980  0       4.9    27     13     
30/05/1980  0       3.6    23     14     
31/05/1980  0       2.9    26     15     
01/06/1980  2.5     3.5    23     14     
02/06/1980  0       1.6    23     14     
03/06/1980  2.5     4.6    23     13     
04/06/1980  25.5    3.2    23     15     
05/06/1980  4       2.3    26     13     
06/06/1980  0       4.2    26     15     
07/06/1980  0       6.7    27     15     
08/06/1980  0       4.3    27     14     
09/06/1980  0       3.4    23     13     
10/06/1980  0       1.5    20     14     
11/06/1980  1       3.3    23     15     
12/06/1980  3.5     4.7    25     15     
13/06/1980  9       5.9    24     15     
14/06/1980  0       3.9    20     15     
15/06/1980  9       5.2    26     15     
16/06/1980  25      2.4    20     15     
17/06/1980  1       4.6    23     14     
18/06/1980  20      6.4    25     15     
19/06/1980  1       4.3    20     14     
20/06/1980  36      9.4    19     15     
21/06/1980  4       3.4    24     14     
22/06/1980  9.5     5.9    25     15     
23/06/1980  0       5.4    21     15     
24/06/1980  9       6.1    25     15     
25/06/1980  41.5    5.7    25     15     
26/06/1980  3.5     5.1    25     14     
27/06/1980  0       5.8    28     15     
28/06/1980  0       2.4    18     15     
29/06/1980  0       4.4    27     15     
30/06/1980  0       2.7    24     14     
01/07/1980  0       7.6    28     15     
02/07/1980  0       2.9    27     13     
03/07/1980  0       2      26     13     
04/07/1980  0       1.4    26     14     
05/07/1980  0       1.2    23     14     
06/07/1980  1       0.9    26     11     
07/07/1980  4.5     1.2    27     15     
08/07/1980  0       0.9    28     14     
09/07/1980  25.5    3.1    23     15     
10/07/1980  0       0.7    26     14     
11/07/1980  0       Nulo   27     13     
12/07/1980  0       0.6    27     13     
13/07/1980  4       6.6    24     14     
14/07/1980  5       2.4    20     15     
15/07/1980  14.5    2.5    19     17     
16/07/1980  12      2.1    23     15     
17/07/1980  0       2.3    25     13     
18/07/1980  4.5     2.3    23     15     
19/07/1980  0       2      26     15     
20/07/1980  13      0.9    26     15     
21/07/1980  2       1.1    22     14     
22/07/1980  3       3.9    22     14     
23/07/1980  3.5     1.6    22     14     
24/07/1980  8.5     0.7    19     15     
25/07/1980  15      2      19     14     
26/07/1980  10.5    2.4    23     15     
27/07/1980  14.5    8.6    25     15     
28/07/1980  8       6.9    24     14     
29/07/1980  0       3.4    23     14     
30/07/1980  13.5    6.3    23     15     
31/07/1980  0       6.6    24     14     
01/08/1980  26      5.8    23     14     
02/08/1980  16      6.2    22     14     
03/08/1980  12.5    2.5    23     14     
04/08/1980  0       6.1    20     13     
05/08/1980  5.5     4.3    22     14     
06/08/1980  0       4.1    23     14     
07/08/1980  5.5     5.5    25     13     
08/08/1980  0       5.8    20     15     
09/08/1980  9       3.4    21     15     
10/08/1980  2       2      27     14     
11/08/1980  1.5     0.8    17     14     
12/08/1980  0       4.2    23     14     
13/08/1980  0       2.9    26     15     
14/08/1980  7.6     6.3    26     15     
15/08/1980  23      6.8    25     14     
16/08/1980  4.2     3.6    23     15     
17/08/1980  4.5     7.4    22     15     
18/08/1980  0       9      25     14     
19/08/1980  8.5     3.1    24     14     
20/08/1980  27      5.7    20     14     
21/08/1980  5.5     4.1    26     15     
22/08/1980  6.5     3      23     14     
23/08/1980  8.6     3.5    25     14     
24/08/1980  20.6    6.6    26     13     
25/08/1980  1.5     3.8    24     13     
26/08/1980  0       3      25     14     
27/08/1980  0       2.2    25     15     
28/08/1980  0       2.6    27     14     
29/08/1980  10.5    3      22     14     
30/08/1980  13.6    4.4    22     13     
31/08/1980  0       1.8    23     14     
01/09/1980  12      4.3    23     14     
02/09/1980  3.5     2.3    22     15     
03/09/1980  0       1.9    24     14     
04/09/1980  0       5      27     14     
05/09/1980  1.5     3      25     14     
06/09/1980  5       2.7    25     15     
07/09/1980  2.8     4.5    25     15     
08/09/1980  0       1.6    26     15     
09/09/1980  0       1.6    26     14     
10/09/1980  6.5     3.4    23     15     
11/09/1980  3       0.4    22     15     
12/09/1980  15      4.9    19     15     
13/09/1980  14.6    2.7    22     15     
14/09/1980  36.4    6.2    22     15     
15/09/1980  2.8     3.6    20     14     
16/09/1980  10.5    2.7    21     14     
17/09/1980  1       0.9    20     14     
18/09/1980  16      0.5    21     15     
19/09/1980  18      6.9    22     18     
20/09/1980  16      5.2    22     14     
21/09/1980  0       9.4    23     15     
22/09/1980  23.6    1.9    24     13     
23/09/1980  21      2.1    18     14     
24/09/1980  28      5.7    17     14     
25/09/1980  9       8      16     13     
26/09/1980  8       3.3    17     14     
27/09/1980  6       0.7    18     14     
28/09/1980  15.3    1.5    23     14     
29/09/1980  0       1.2    23     15     
30/09/1980  0       3      20     15     
01/10/1980  15      8.6    20     14     
02/10/1980  18.4    7.8    21     14     
03/10/1980  2       6.8    26     14     
04/10/1980  3       2.6    22     12     
05/10/1980  0       1.1    23     14     
06/10/1980  2.3     0.2    21     14     
07/10/1980  0       0.6    20     13     
08/10/1980  0       7.5    23     14     
09/10/1980  19.4    6.2    24     14     
10/10/1980  4.5     3.5    23     13     
11/10/1980  0       1.7    18     15     
12/10/1980  0       8.4    23     12     
13/10/1980  5.9     2.6    23     12     
14/10/1980  0       4.1    24     14     
15/10/1980  0       1.2    24     14     
16/10/1980  0       0.1    25     15     
17/10/1980  0       3.5    24     15     
18/10/1980  0       3.6    27     15     
19/10/1980  0       1.7    26     15     
20/10/1980  3.6     0.6    24     12     
21/10/1980  1       2      24     13     
22/10/1980  0       2.7    26     14     
23/10/1980  5.9     3.2    26     Nulo   
24/10/1980  0       3      26     Nulo   
25/10/1980  0       4      25     Nulo   
26/10/1980  0       1.1    25     Nulo   
27/10/1980  0       2.5    25     Nulo   
28/10/1980  26      6.3    25     Nulo   
29/10/1980  7.5     5.5    25     Nulo   
30/10/1980  0       8.2    23     13     
31/10/1980  0       1      24     11     
01/11/1980  0       4.2    20     12     
02/11/1980  0       3.3    22     13     
03/11/1980  0       1.9    24     12     
04/11/1980  0       3.4    23     14     
05/11/1980  0       2.1    22     14     
06/11/1980  0       2.9    20     12     
07/11/1980  0       2.2    21     11     
08/11/1980  0       1.8    21     12     
09/11/1980  0       4.6    20     12     
10/11/1980  0       2.9    22     12     
11/11/1980  0       1.8    22     13     
12/11/1980  0       2.8    21     12     
13/11/1980  0       1.9    21     12     
14/11/1980  0       2.7    22     12     
15/11/1980  0       4.2    24     13     
16/11/1980  0       2.1    21     17     
17/11/1980  3       5.8    22     12     
18/11/1980  0       1.8    18     13     
19/11/1980  0       1.5    22     12     
20/11/1980  0       3.8    22     12     
21/11/1980  0       1.8    22     12     
22/11/1980  0       0.4    23     13     
23/11/1980  0       1.1    24     13     
24/11/1980  2       3.2    24     13     
25/11/1980  0       5.2    24     13     
26/11/1980  0       4.3    24     13     
27/11/1980  0       2.7    20     12     
28/11/1980  0       1.7    20     11     
29/11/1980  0       1.1    20     10     
30/11/1980  0       0.9    21     10     
01/12/1980  0       1.6    17     10     
02/12/1980  0       0.6    25     13     
03/12/1980  0       5      22     12     
04/12/1980  0       2.1    24     12     
05/12/1980  0       2      20     12     
06/12/1980  0       3.4    23     13     
07/12/1980  0       2.4    24     13     
08/12/1980  0       2.8    20     12     
09/12/1980  0       7.5    23     11     
10/12/1980  0       1.4    22     9      
11/12/1980  0       1      19     10     
12/12/1980  0       8.3    19     12     
13/12/1980  0       5.1    22     11     
14/12/1980  0       5.2    22     11     
15/12/1980  0       3      23     10     
16/12/1980  0       2      14     10     
17/12/1980  0       4.4    19     9      
18/12/1980  0       4.3    21     7      
19/12/1980  0       4.7    22     9      
20/12/1980  0       4.1    19     8      
21/12/1980  0       5.3    20     10     
22/12/1980  0       2.5    19     10     
23/12/1980  0       2.5    24     9      
24/12/1980  0       2      23     10     
25/12/1980  0       2.2    20     11     
26/12/1980  0       1      22     11     
27/12/1980  0       2.7    20     11     
28/12/1980  0       3.5    19     11     
29/12/1980  0       2.6    20     10     
30/12/1980  0       3.3    17     6      
31/12/1980  0       2.2    19     6      
01/01/1981  0       5.6    21     6      
02/01/1981  0       2.2    18     9      
03/01/1981  0       1.5    22     7      
04/01/1981  0       2.7    20     8      
05/01/1981  0       3.7    16     10     
06/01/1981  0       1.9    21     10     
07/01/1981  0       2.5    23     10     
08/01/1981  0       2      27     10     
09/01/1981  0       1.8    21     11     
10/01/1981  0       3.1    21     10     
11/01/1981  0       2.1    21     8      
12/01/1981  0       1      19     9      
13/01/1981  0       7      21     8      
14/01/1981  0       1.7    19     9      
15/01/1981  0       2.4    21     8      
16/01/1981  0       5.8    22     9      
17/01/1981  0       3.4    23     9      
18/01/1981  0       4.8    22     9      
19/01/1981  0       1.2    20     9      
20/01/1981  0       2.2    20     12     
21/01/1981  0       1.3    19     12     
22/01/1981  0       1.5    20     11     
23/01/1981  0       1.4    19     11     
24/01/1981  0       3.4    20     10     
25/01/1981  0       0.6    20     9      
26/01/1981  0       4.5    21     10     
27/01/1981  0       7.2    21     11     
28/01/1981  0       4.7    23     9      
29/01/1981  0       3.8    23     11     
30/01/1981  0       2.6    23     10     
31/01/1981  0       2.2    24     10     
01/02/1981  0       4.7    21     12     
02/02/1981  0       13.1   21     10     
03/02/1981  0       7.5    20     10     
04/02/1981  0       3.7    21     9      
05/02/1981  0       2.9    23     11     
06/02/1981  0       3.6    24     12     
07/02/1981  0       2.3    23     11     
08/02/1981  0       2      25     10     
09/02/1981  0       5.4    24     12     
10/02/1981  0       3.6    21     12     
11/02/1981  0       2.7    24     10     
12/02/1981  0       7.8    25     12     
13/02/1981  0       4.6    17     13     
14/02/1981  0       5.3    21     10     
15/02/1981  0       2.3    22     10     
16/02/1981  0       5.3    20     11     
17/02/1981  0       4.5    23     11     
18/02/1981  0       4.5    24     12     
19/02/1981  0       5.7    25     12     
20/02/1981  0       2      25     13     
21/02/1981  0       3.7    25     12     
22/02/1981  0       4.7    26     12     
23/02/1981  0       3.8    21     12     
24/02/1981  0       3.8    25     8      
25/02/1981  0       2.2    23     10     
26/02/1981  0       5.5    26     10     
27/02/1981  0       2.3    22     10     
28/02/1981  0       2      23     10     
01/03/1981  0       3.7    25     10     
02/03/1981  0       5.3    26     13     
03/03/1981  2.5     4.7    24     14     
04/03/1981  0       3.4    22     15     
05/03/1981  0       3.9    23     13     
06/03/1981  2.5     5.1    23     14     
07/03/1981  1.5     3.5    25     15     
08/03/1981  0       3.5    25     14     
09/03/1981  0       2.5    23     14     
10/03/1981  0       2.2    23     14     
11/03/1981  0       1.4    24     13     
12/03/1981  0       1.5    24     13     
13/03/1981  0       1.7    25     14     
14/03/1981  0       2.5    24     15     
15/03/1981  0       4.8    25     13     
16/03/1981  1.5     2.2    28     14     
17/03/1981  16      2.5    23     13     
