CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 7337
NOMBRE    : LACANTUN (CFE)
ESTADO    : CHIAPAS
MUNICIPIO : OCOSINGO
SITUACION : SUSPENDIDA
ORGANISMO : CFE
CVE-OMM   : Nulo
LATITUD   : 016.581°
LONGITUD  : -90.702°
ALTITUD   : 120 msnm

EMISIÓN   : 29/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
04/06/1980  0       Nulo   Nulo   Nulo   
07/06/1980  17.2    Nulo   Nulo   Nulo   
08/06/1980  16      Nulo   Nulo   Nulo   
09/06/1980  70.4    8.2    Nulo   Nulo   
10/06/1980  3.1     1.8    31     21     
11/06/1980  20.4    1      30.5   22     
12/06/1980  26      2.6    30.5   22     
13/06/1980  79.6    0.1    29     22     
14/06/1980  77.8    0.6    28     20     
15/06/1980  51.5    0.6    26.5   22     
16/06/1980  31.8    1.7    27     22     
17/06/1980  4.1     3      32     21.5   
18/06/1980  1.2     3      31     23     
19/06/1980  4       2.3    34     21     
20/06/1980  12.8    3.8    33     22.5   
21/06/1980  6.1     3      32.5   21.5   
22/06/1980  5.1     2.2    32     23     
23/06/1980  36      2.5    31     21     
24/06/1980  0.3     3.2    32.5   21     
25/06/1980  20.8    0.8    29     21.5   
26/06/1980  0.4     3.6    31     21     
27/06/1980  12.7    2.3    31.5   20.5   
28/06/1980  3.5     1.6    29.5   22.5   
29/06/1980  6.5     3.2    31     21     
30/06/1980  0       3.4    33     22     
01/07/1980  1.8     3.2    32.5   20     
02/07/1980  7.2     3.6    32     20     
03/07/1980  0.7     2.8    32     20.5   
04/07/1980  14.1    2.7    31     21.5   
05/07/1980  39.4    4.7    32.5   22.5   
06/07/1980  27.3    1.8    30     21.5   
07/07/1980  0       3.4    32     20.5   
08/07/1980  36.3    3      29.5   21     
09/07/1980  4.1     2.1    30.5   21.5   
10/07/1980  18.5    5.4    32.5   21     
11/07/1980  8.6     2.2    32.5   20.5   
12/07/1980  23.3    2.8    32.5   21     
13/07/1980  39.5    3.2    30.5   21.5   
14/07/1980  8       3.2    31.5   21.5   
15/07/1980  2.1     3.2    31.5   21.5   
16/07/1980  28.2    2.5    31.5   21     
17/07/1980  13.1    4.9    32.5   20.5   
18/07/1980  12.5    2.8    33.5   20.5   
19/07/1980  4.1     4.7    32.5   22.5   
20/07/1980  7.7     2.9    32.5   21     
21/07/1980  75.3    4.6    32.5   21.5   
22/07/1980  32.1    2.2    31.5   20.5   
23/07/1980  25      3      33     22.5   
24/07/1980  113.1   4      32.5   21.5   
25/07/1980  10.5    3.5    34     21.5   
26/07/1980  0       3      32     21.5   
27/07/1980  25.4    2.8    31.5   21.5   
28/07/1980  9.5     2.9    34.5   20.5   
29/07/1980  9.2     1.3    30     21     
30/07/1980  3.7     3.5    32     21     
31/07/1980  6.5     2.1    32     21     
01/08/1980  49.7    1.8    30     21     
02/08/1980  0       2.5    30     20.5   
03/08/1980  14.8    2.5    31     21     
04/08/1980  17.8    2.3    35     21     
05/08/1980  64.5    2.8    31.5   21     
06/08/1980  2.1     4.1    33     20.5   
07/08/1980  8.5     4.7    34     21     
08/08/1980  41.1    4.4    34.5   21     
09/08/1980  20      3.6    32.5   21.5   
10/08/1980  0.2     2.6    31     20.5   
11/08/1980  13.1    3      32.5   23     
12/08/1980  0       3      31     21.5   
13/08/1980  16.7    3      31.5   21.5   
14/08/1980  12.2    3.5    32     20.5   
15/08/1980  5.8     5.8    32.5   22     
16/08/1980  9       2.1    32.5   23     
17/08/1980  12.8    4.4    32     21.5   
18/08/1980  2.1     4      32.5   21.5   
19/08/1980  0       3.7    32     21.5   
20/08/1980  9.9     4.2    32.5   20.5   
21/08/1980  21.1    3.7    32     19.5   
22/08/1980  9.8     4      32.5   21.5   
23/08/1980  6.3     3.6    33     20     
24/08/1980  4.1     2.2    31     20.5   
25/08/1980  9.6     3.8    32     22     
26/08/1980  0.9     3      31.5   21.5   
27/08/1980  5       3.6    32.5   22     
28/08/1980  66.5    1.2    30.5   21.5   
29/08/1980  2.1     2.8    31.5   21     
30/08/1980  21.8    2      31.5   21.5   
31/08/1980  2.7     2.4    30.5   21     
01/09/1980  1.8     3.2    32.5   21     
02/09/1980  6.5     2.7    32     22     
03/09/1980  0.5     4.5    32.5   20.5   
04/09/1980  5       3.3    32.5   20.5   
05/09/1980  16.1    4.9    32.5   22     
06/09/1980  18.1    4.2    32.5   21.5   
07/09/1980  0       3      31     21     
08/09/1980  0.7     6.3    32.5   21.5   
09/09/1980  60.9    1.5    31.5   22     
10/09/1980  43.2    1.7    32.5   21     
11/09/1980  43.4    3.8    31.5   21.5   
12/09/1980  80.3    2.2    31.5   21.5   
13/09/1980  8.8     1.7    30.5   22     
14/09/1980  21.5    3.4    32     21.5   
15/09/1980  4.9     3.9    31     21     
16/09/1980  80      3.5    30.5   22     
17/09/1980  39.5    2.9    31     22     
18/09/1980  56      3.6    32     20.5   
19/09/1980  35.1    1.6    30     22     
20/09/1980  21.7    3.2    32     22.5   
21/09/1980  18.1    2.5    33     21     
22/09/1980  14.7    2      30.5   21     
23/09/1980  23.7    4.2    32.5   21.5   
24/09/1980  0       0.8    28.5   22.5   
25/09/1980  1.1     1.3    30     23     
26/09/1980  68.8    2.2    31     23     
27/09/1980  0.3     0.8    30     21.5   
28/09/1980  0       3.1    32.5   21.5   
29/09/1980  0       3      33     21.5   
30/09/1980  0.8     3      32     22.5   
01/10/1980  153.4   4.6    31.5   22     
02/10/1980  101.8   6.2    31     20.5   
03/10/1980  1.8     6.1    31     21     
04/10/1980  2.4     2.6    28.5   21     
05/10/1980  23.2    1.1    31     21.5   
06/10/1980  3.3     0.7    26.5   20.5   
07/10/1980  0       1.4    27     19     
08/10/1980  0       1.4    27.5   19     
09/10/1980  0       2.5    31     19     
10/10/1980  52.6    1.4    30.5   20     
11/10/1980  0       2.2    34     21     
12/10/1980  0.2     0.9    29.5   19.5   
13/10/1980  0.1     0.6    26.5   20     
14/10/1980  0       3      30.5   20.5   
15/10/1980  0.2     3.7    32.5   20.5   
16/10/1980  0       2.5    33.5   21     
17/10/1980  5.7     2.2    32.5   21.5   
18/10/1980  0       2.1    32.5   21.5   
19/10/1980  0       4.2    32.5   21     
20/10/1980  0       3.4    32.5   20     
21/10/1980  0       3.1    32.5   20     
22/10/1980  1.9     1.8    31     21.5   
23/10/1980  5.7     1      30     21     
24/10/1980  11.9    1.4    30.5   22.5   
25/10/1980  43.9    1.1    29.5   21.5   
26/10/1980  14.7    1.7    27     21     
27/10/1980  0       1.8    31     20     
28/10/1980  0       2.8    33     19.5   
29/10/1980  6.1     3.9    32.5   21.5   
30/10/1980  3.7     0.8    30     21     
31/10/1980  19.5    0.7    28     20.5   
01/11/1980  0       2.7    29     20     
02/11/1980  0       2.2    30     19     
03/11/1980  11.5    2.2    30.5   19     
04/11/1980  0.3     0.7    27     21     
05/11/1980  0       2.6    30     20.5   
06/11/1980  0.5     1.1    25.5   19     
07/11/1980  0       1.7    28     21     
08/11/1980  0       1.8    28.5   18     
09/11/1980  0       1.8    27.5   19.5   
10/11/1980  3.2     2.5    29.5   18.5   
11/11/1980  0       1.9    29     20.5   
