CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 7365
NOMBRE    : OCOTEPEC
ESTADO    : CHIAPAS
MUNICIPIO : OCOTEPEC
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 017.222°
LONGITUD  : -93.174°
ALTITUD   : 1460 msnm

EMISIÓN   : 29/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
04/03/1983  0       Nulo   27     19     
05/03/1983  0       Nulo   27.5   19.5   
06/03/1983  0       Nulo   27     19     
07/03/1983  0       Nulo   27     18     
08/03/1983  0       Nulo   27     8.5    
09/03/1983  0       Nulo   28     9      
10/03/1983  0       Nulo   27     13     
11/03/1983  0       Nulo   26.5   10.5   
12/03/1983  0       Nulo   18.5   9.5    
13/03/1983  0       Nulo   20.5   12     
14/03/1983  0       Nulo   22.5   14     
15/03/1983  0       Nulo   21     15     
16/03/1983  0       Nulo   22     15     
17/03/1983  0       Nulo   21.5   14     
18/03/1983  0       Nulo   24     9      
19/03/1983  0       Nulo   28     14.5   
20/03/1983  0       Nulo   29     18     
21/03/1983  0       Nulo   28.5   14.5   
22/03/1983  0       Nulo   27     11     
23/03/1983  0.9     Nulo   27.5   15     
24/03/1983  0       Nulo   27.1   19     
25/03/1983  0       Nulo   27     16.5   
26/03/1983  3.9     Nulo   27.5   19.5   
27/03/1983  0       Nulo   26     14     
28/03/1983  0       Nulo   25     15     
29/03/1983  0       Nulo   23     14     
30/03/1983  0       Nulo   27     15     
31/03/1983  0       Nulo   28     16.5   
01/10/1984  0       Nulo   Nulo   Nulo   
02/10/1984  0       Nulo   Nulo   Nulo   
03/10/1984  0       Nulo   Nulo   Nulo   
04/10/1984  0       Nulo   Nulo   Nulo   
05/10/1984  0       Nulo   Nulo   Nulo   
06/10/1984  0       Nulo   Nulo   Nulo   
07/10/1984  0       Nulo   Nulo   Nulo   
08/10/1984  0       Nulo   31     Nulo   
09/10/1984  0       2.8    26.5   16.5   
10/10/1984  2.1     3.8    30     13.5   
11/10/1984  5.4     5.1    28.5   14     
12/10/1984  0       3.2    26     13.5   
13/10/1984  0       2.2    27.5   14     
14/10/1984  1       4.8    26     13.5   
15/10/1984  0       2.2    27.5   13.5   
16/10/1984  0       3.2    28     16.5   
17/10/1984  0       2.3    28     16.5   
18/10/1984  0       2.8    27.5   16     
19/10/1984  0       4.1    28     15     
20/10/1984  0       3.9    26     15.5   
21/10/1984  0       4.3    27     17     
22/10/1984  0       2.7    27     17     
23/10/1984  0       3.8    29     14     
24/10/1984  0       1.8    27     15     
25/10/1984  0.2     2.4    24     15     
26/10/1984  0       1      22     14     
27/10/1984  0       1      23.5   13.5   
28/10/1984  0       0.8    27     14.5   
29/10/1984  0.4     1.2    28     15.5   
30/10/1984  2       1.2    26.5   14.5   
31/10/1984  0       2.4    28.5   13.5   
01/11/1984  20.2    2.2    28     14     
02/11/1984  10.5    2.4    27     13.5   
03/11/1984  73      3.8    27.5   14     
04/11/1984  3.5     2.3    26.5   13.5   
05/11/1984  18      1.6    25.5   14.5   
06/11/1984  2.5     1.2    24.5   14     
07/11/1984  0.3     6.2    25     14.5   
08/11/1984  0.2     8.3    24.5   13     
09/11/1984  0       2.2    24.5   12.5   
10/11/1984  0       2.7    24     10.5   
11/11/1984  2.1     2.2    25.5   8.5    
12/11/1984  0       3.3    26.5   9      
13/11/1984  0       2.8    27     11.5   
14/11/1984  0.2     2.6    28     9.5    
15/11/1984  0       2.4    26.5   8.5    
16/11/1984  0       5      25.5   9.5    
17/11/1984  0       1.2    26.5   10     
18/11/1984  0       1.7    27.5   14.5   
19/11/1984  11.1    1.8    28     10.5   
20/11/1984  60      4.8    27.5   13     
21/11/1984  82.5    5.3    26     11.5   
22/11/1984  60      3.1    27     9.5    
23/11/1984  0       3.9    28     10     
24/11/1984  0       1.3    29.5   9.5    
25/11/1984  0       3.2    28.5   10.5   
26/11/1984  0       5      27     10     
27/11/1984  8.7     1.1    28     11.5   
28/11/1984  0       0.9    29     9.5    
29/11/1984  0       2.1    28     10.5   
30/11/1984  0       2.8    28.5   10.5   
01/12/1984  0       Nulo   28.5   14     
02/12/1984  0       Nulo   25     15.5   
03/12/1984  0.5     Nulo   26.5   12     
04/12/1984  8       Nulo   24     14     
05/12/1984  2       Nulo   21.5   14     
06/12/1984  106.5   Nulo   25.5   11.5   
07/12/1984  0       Nulo   23     14     
08/12/1984  0       Nulo   18.5   13     
09/12/1984  0       Nulo   18     6.5    
10/12/1984  0       Nulo   20     7.5    
11/12/1984  0.2     Nulo   22     9      
12/12/1984  0       Nulo   21     11     
13/12/1984  0       Nulo   19     14     
14/12/1984  0       Nulo   24     13.5   
15/12/1984  20      Nulo   28.5   14.5   
16/12/1984  0       Nulo   26.5   14.5   
17/12/1984  0       Nulo   28     13.5   
18/12/1984  0       Nulo   26.5   9.5    
19/12/1984  0       Nulo   21     14.5   
20/12/1984  20      Nulo   22     12.5   
21/12/1984  0       Nulo   24.5   14     
22/12/1984  0       Nulo   25.5   13.5   
23/12/1984  0       Nulo   24.5   14     
24/12/1984  0       Nulo   20     10.5   
25/12/1984  0       Nulo   22.5   7.5    
26/12/1984  0       Nulo   25.5   11.5   
27/12/1984  0       Nulo   26.5   13.5   
28/12/1984  0       Nulo   28     12     
29/12/1984  0       Nulo   26.5   13.5   
30/12/1984  0       Nulo   24.5   15     
31/12/1984  0       Nulo   25.5   14.5   
01/01/1985  0       2.2    19.5   12     
02/01/1985  10      0.5    22.5   14     
03/01/1985  40      4      22.5   13     
04/01/1985  20.1    1.9    18.5   9.5    
05/01/1985  0       4      19     6.5    
06/01/1985  0       2.4    22     14.5   
07/01/1985  0       1.2    28     8      
08/01/1985  0       2.5    22     13.5   
09/01/1985  0       2.1    22     9.5    
10/01/1985  0       2.1    21.5   7.5    
11/01/1985  2.2     3.8    24.5   12.5   
12/01/1985  1.5     2.8    21.5   14     
13/01/1985  0       0.8    19     13.5   
14/01/1985  0       1      17.5   12.5   
15/01/1985  0       1.3    17     9.5    
16/01/1985  0       2      22     9.5    
17/01/1985  11.8    5.9    23.5   12     
18/01/1985  0       4      20.5   11     
19/01/1985  0       2.4    19.5   10     
20/01/1985  14      5.1    22.5   14.5   
21/01/1985  0.8     4.5    18.5   5      
