CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 7369
NOMBRE    : TZINBAC (CFE)
ESTADO    : CHIAPAS
MUNICIPIO : FRANCISCO LEON
SITUACION : SUSPENDIDA
ORGANISMO : CFE
CVE-OMM   : Nulo
LATITUD   : 017.25°
LONGITUD  : -93.25°
ALTITUD   : 740 msnm

EMISIÓN   : 29/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/05/1988  0       4.9    34     24     
02/05/1988  0       5      33.5   22.5   
03/05/1988  0       4.4    32.5   23     
04/05/1988  0       3.8    31     21.5   
05/05/1988  0       4.2    32     20     
06/05/1988  0       5.9    32.5   21.5   
07/05/1988  0       6      30.5   21     
08/05/1988  0       5.8    36.5   19.5   
09/05/1988  0       5.6    37     17.5   
10/05/1988  0       5.6    37     18     
11/05/1988  0       4.5    34.5   18     
12/05/1988  27      5.9    34     18.5   
13/05/1988  0       1.5    29.5   23     
14/05/1988  0       7.5    31.5   23.5   
15/05/1988  0       7.5    33.5   22.5   
16/05/1988  0       4.7    33.5   21.5   
17/05/1988  0       5.7    35     21     
18/05/1988  0       4.3    34     19     
19/05/1988  0       6.1    37     20     
20/05/1988  0       5.9    38     17.5   
21/05/1988  0       5.6    39.5   20     
22/05/1988  11.5    5.4    40.5   22     
23/05/1988  0       5.2    33.5   23.5   
24/05/1988  0       5.4    36     23     
25/05/1988  2.2     3.1    35     24.5   
26/05/1988  0.5     5.1    34     22     
27/05/1988  1.2     2.9    33     22.5   
28/05/1988  0       7.4    34     22     
29/05/1988  0       5.1    35     23     
30/05/1988  0       5.7    40     21     
31/05/1988  0       7.1    38     18.5   
01/06/1988  0       5.9    37     22     
02/06/1988  0       7      37     23     
03/06/1988  0       8.6    42     22     
04/06/1988  1.8     5.6    38     21.5   
05/06/1988  0       5.6    35.5   25     
06/06/1988  6.3     5.9    35.5   24     
07/06/1988  1.1     4.7    34     25     
08/06/1988  0       6.2    30     23.5   
09/06/1988  6.2     5.8    29.5   23     
10/06/1988  0       5.7    36     23.5   
11/06/1988  0       0.7    35     22.5   
12/06/1988  0       0.7    34     22     
13/06/1988  9.1     4.7    33     21.5   
14/06/1988  60.5    6.2    32.5   24.5   
15/06/1988  27.4    2.3    31.5   23     
16/06/1988  2.2     1.9    31.5   23     
17/06/1988  46      4.3    30     23.5   
18/06/1988  64.6    5.7    31.5   22.5   
19/06/1988  4       2.7    32.5   23.5   
20/06/1988  53.5    6.4    31.5   23.5   
21/06/1988  9.5     1.6    29     23.5   
22/06/1988  8       1.9    30     23.5   
23/06/1988  68.5    7.2    32.5   23.5   
24/06/1988  0       3.6    31     22.5   
25/06/1988  0.5     3.7    33     23.5   
26/06/1988  20      6.1    33     23     
27/06/1988  0       4.2    34     22     
28/06/1988  9.1     3.7    32.5   22.5   
29/06/1988  0       3.8    32.5   23.5   
30/06/1988  4.9     5.1    35     23     
01/07/1988  18.5    6.6    36     22     
02/07/1988  3       4      34     22.5   
03/07/1988  5.7     3.4    31     24     
04/07/1988  0       2.6    34     22     
05/07/1988  1.4     3      32.5   23.5   
06/07/1988  3.1     3.2    32     23     
07/07/1988  4.3     4.9    33     22.5   
08/07/1988  0       3.9    32.5   21.5   
09/07/1988  0       3.9    33     22.5   
10/07/1988  0       4.8    34.5   23.5   
11/07/1988  3.6     3.7    33     23.5   
12/07/1988  8.7     2.9    32.5   22.5   
13/07/1988  17.2    3.4    32.5   22.5   
14/07/1988  0.5     2.3    31.5   22.5   
15/07/1988  1.1     4.5    33     22     
16/07/1988  10.4    3.7    32.5   22.5   
17/07/1988  3.6     3.4    31.5   21.5   
18/07/1988  0       4.2    32     23     
19/07/1988  0       4.6    32.5   22.5   
20/07/1988  0.2     2.6    31.5   23.5   
21/07/1988  0       1.8    29.5   23     
22/07/1988  0       3.6    31.5   22.5   
23/07/1988  0       4.3    33     21.5   
24/07/1988  0.3     2.5    31.5   22.5   
25/07/1988  0.1     3      31     20.5   
26/07/1988  0       4.1    32.5   22     
27/07/1988  0       3.5    32.5   23     
28/07/1988  33.8    5.2    30     22.5   
29/07/1988  0.1     1.8    31     22     
30/07/1988  22.5    6.1    32     21     
31/07/1988  21.8    2.1    32.5   22.5   
01/08/1988  6.1     3.6    32     23.5   
02/08/1988  10.4    3.6    30     23     
03/08/1988  24.5    3.7    31.5   22     
04/08/1988  0.2     3.1    32     23.5   
05/08/1988  0       5.2    33     21.5   
06/08/1988  0.5     3.4    33     23     
07/08/1988  6.8     2      32.5   23.5   
08/08/1988  3.2     2.9    32.5   22.5   
09/08/1988  5.8     2.9    33.5   23.5   
10/08/1988  0.4     4.4    33     22.5   
11/08/1988  19.3    1.8    31     23.5   
12/08/1988  51.5    2.4    32.5   23.5   
13/08/1988  20.7    2.5    32.5   23.5   
14/08/1988  39.4    2.3    31.5   23     
15/08/1988  0.7     2      32.5   23     
16/08/1988  0       5.1    36     22     
17/08/1988  0       4.5    35     22.5   
18/08/1988  0.2     3.5    34     22     
19/08/1988  0       4.5    34.5   21.5   
20/08/1988  0       4.5    35     21.5   
21/08/1988  0       4.3    34.5   22     
22/08/1988  65.7    4.4    34     23.5   
23/08/1988  3.8     3.1    31     21.5   
24/08/1988  24.1    4.1    32.5   22.5   
25/08/1988  103     3.5    32     23.5   
26/08/1988  9       2.9    31.5   22.5   
27/08/1988  3.5     1.1    32     23.5   
28/08/1988  84.4    9.3    32.5   22.5   
29/08/1988  89.3    8.2    34     22.5   
30/08/1988  30.3    4.5    32.5   22     
31/08/1988  0       3.2    33.5   22.5   
01/09/1988  23      1.9    32.5   22.5   
02/09/1988  36.3    2.8    33.5   23     
03/09/1988  0.2     3.6    33     23     
04/09/1988  0       4.1    32.5   23     
05/09/1988  3.4     2.5    32.5   23.5   
06/09/1988  0       1.8    30     22     
07/09/1988  0       2.6    30.5   21     
08/09/1988  0       3.2    32.5   20     
09/09/1988  2.7     2.9    31.5   19.5   
10/09/1988  1.7     1.1    30     20.5   
11/09/1988  24.5    4.1    28     22.5   
12/09/1988  23.9    2.1    31     22.5   
13/09/1988  21.7    1.9    30     22.5   
14/09/1988  1.6     4      31     22     
15/09/1988  0       4.4    33     22     
16/09/1988  0       5.3    34     24     
17/09/1988  0.2     3.4    37     22.5   
18/09/1988  0       2.9    33     21.5   
19/09/1988  0.1     4.7    33     22.5   
20/09/1988  4.3     2.4    35.5   23.5   
21/09/1988  0       4.5    32     22     
22/09/1988  28.9    2.3    32.5   24     
23/09/1988  0       4.1    33     22.5   
24/09/1988  0       3.7    33     22.5   
25/09/1988  16      1.2    32.5   24.5   
26/09/1988  64.9    3.3    31     23.5   
27/09/1988  16.4    2.6    30     21.5   
28/09/1988  0       1.5    30     22.5   
29/09/1988  14      4.5    32     22.5   
30/09/1988  91.1    6.3    32     23     
01/10/1988  15.8    2.1    32     22     
02/10/1988  33.9    1.3    36     22.5   
03/10/1988  101.7   1      27.5   22.5   
04/10/1988  67.5    2.2    23     21     
05/10/1988  79.6    2      22     20.5   
06/10/1988  36.5    0.2    30     21     
07/10/1988  87.9    0.4    23.5   21.5   
08/10/1988  22.2    1.5    24     20.5   
09/10/1988  16.5    0.1    28     21     
10/10/1988  1.2     2.2    27.5   22     
11/10/1988  3.7     0.3    27.5   19     
12/10/1988  0.5     1.3    27.5   18     
13/10/1988  15.2    1.2    28     19     
14/10/1988  0.8     1.5    27.5   20     
15/10/1988  0       1.2    28     20     
16/10/1988  0       2.1    30     20.5   
17/10/1988  0       2.4    30     24     
18/10/1988  8.9     2.8    27.5   20     
19/10/1988  0       3.6    30     21.5   
20/10/1988  0       3.4    30     19     
21/10/1988  4.6     2.2    29     17.5   
22/10/1988  0.8     1.1    29     20     
23/10/1988  0       3.6    31.5   21     
24/10/1988  0.3     1.5    30     21.5   
25/10/1988  54.8    1      27.5   22.5   
26/10/1988  7.1     1.3    29     21     
27/10/1988  5       1.8    29     22     
28/10/1988  12.6    2.6    29     23     
29/10/1988  6.8     1.2    29     22     
30/10/1988  11.6    1.5    28.5   21     
31/10/1988  0       2.8    30     21.5   
01/11/1988  53.4    5.3    27     20     
02/11/1988  0       1      26.5   19     
03/11/1988  0       4.4    29     16.5   
04/11/1988  0       3.6    34     18     
05/11/1988  0.3     3.9    35     19.5   
06/11/1988  6       2.4    30     20     
07/11/1988  0       3.1    31     22     
08/11/1988  0.4     2      30     21     
09/11/1988  0       2.5    30     21.5   
10/11/1988  0       2      29     22     
11/11/1988  0       2.1    29     22.5   
12/11/1988  0       3.1    31     20     
13/11/1988  0.2     1.8    30     21     
14/11/1988  0       0.8    29     22     
15/11/1988  0       4.5    31     22     
16/11/1988  0       3.4    35     19     
17/11/1988  14.8    2.3    29     20     
18/11/1988  0       1.6    30     21.5   
19/11/1988  0       4      33     20     
20/11/1988  44      3.8    29     21     
21/11/1988  32.6    3.5    21     19     
22/11/1988  3.8     0.5    25     19     
23/11/1988  0       3      27.5   17.5   
24/11/1988  0       3.3    28     15     
25/11/1988  0       2.6    30     16     
26/11/1988  0       3.3    35     18     
27/11/1988  5.4     1.1    35     21     
28/11/1988  209.4   0.7    24     19.5   
29/11/1988  6.4     0.2    22.5   19     
30/11/1988  10.5    3.3    27.5   19     
01/12/1988  33.3    0.5    26     20     
02/12/1988  3.4     1.4    27     19     
03/12/1988  0.5     2.7    25     17     
04/12/1988  7.2     2.5    22     16.5   
05/12/1988  0.7     1.8    23     17.5   
06/12/1988  0       3.4    24.5   17     
07/12/1988  0       1.9    26.5   17     
08/12/1988  0       2.8    29     18     
09/12/1988  31.2    4.4    30     18     
10/12/1988  0.6     0.6    25     21     
11/12/1988  97.4    0.5    27.5   21     
12/12/1988  94      0.3    24     21     
13/12/1988  11.2    1.9    20     18     
14/12/1988  0       1.9    26     15.5   
15/12/1988  0.3     2.9    30     16     
16/12/1988  0.6     1.6    28     18     
17/12/1988  0.2     2.8    27     18     
18/12/1988  0       3.6    26     18     
19/12/1988  0       1.7    25     14     
20/12/1988  0       2.5    29     15     
21/12/1988  0       0.7    25     15     
22/12/1988  0       1.3    27     17     
23/12/1988  0       1.7    29     19     
24/12/1988  0       3.2    29     20     
25/12/1988  0       2      27     20     
26/12/1988  0       2.8    28     18     
27/12/1988  0       3.5    30     18     
28/12/1988  37.2    3.5    30     18     
29/12/1988  0.4     0.4    24     18     
30/12/1988  0       3.3    30     18     
31/12/1988  0       3.3    31     19     
01/01/1989  0       7.1    30     20     
02/01/1989  0       2.9    30     21.5   
03/01/1989  20      5.4    30     21     
04/01/1989  18.2    1      25     20     
05/01/1989  0       1.7    28     19     
06/01/1989  0       3.4    31     19     
07/01/1989  0       3.5    32     18     
08/01/1989  0       3.7    31     18     
09/01/1989  0       1.9    28     18     
10/01/1989  0.4     2.1    27     21     
11/01/1989  0       1.8    28     21     
12/01/1989  0       2.9    29     21     
13/01/1989  0       1.8    30     19     
14/01/1989  18      3.4    27     20     
15/01/1989  0       1.5    27.5   21     
16/01/1989  85.6    1.8    25     22     
17/01/1989  0       2      27     21     
18/01/1989  0       1.2    26     20.5   
19/01/1989  0       2.9    29     20     
