CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 7392
NOMBRE    : ZOOMAT
ESTADO    : CHIAPAS
MUNICIPIO : CHIAPA DE CORZO
SITUACION : OPERANDO
ORGANISMO : CONAGUA
CVE-OMM   : Nulo
LATITUD   : 016.723°
LONGITUD  : -93.015°
ALTITUD   : 420 msnm

EMISIÓN   : 29/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/06/2001  10.5    Nulo   28     19     
02/06/2001  16.5    Nulo   27.5   19     
03/06/2001  7       Nulo   29     19.5   
04/06/2001  0       Nulo   29.5   19     
05/06/2001  0       Nulo   30.5   19.5   
06/06/2001  0       Nulo   34     20     
07/06/2001  5       Nulo   34     19.5   
08/06/2001  40      Nulo   33     19     
09/06/2001  30      Nulo   32.5   19.5   
10/06/2001  8.8     Nulo   32.5   19     
11/06/2001  1       Nulo   32     19.5   
12/06/2001  5       Nulo   31.5   19.5   
13/06/2001  13.7    Nulo   31     20     
14/06/2001  0       Nulo   31     19     
15/06/2001  0       Nulo   33.5   19.5   
16/06/2001  1       Nulo   30.5   20.5   
17/06/2001  0       Nulo   30     18.5   
18/06/2001  0       Nulo   29     19     
19/06/2001  0.2     Nulo   31     19     
20/06/2001  0       Nulo   30.5   19.5   
21/06/2001  0       Nulo   32     20     
22/06/2001  1.7     Nulo   31     19.5   
23/06/2001  2.5     Nulo   31.5   20.5   
24/06/2001  0       Nulo   30     19.5   
25/06/2001  0       Nulo   31     19     
26/06/2001  0       Nulo   31     19.5   
27/06/2001  0       Nulo   33     19     
28/06/2001  0       Nulo   32     19     
29/06/2001  0       Nulo   33     19     
30/06/2001  0       Nulo   33.5   19.5   
01/07/2001  7.5     Nulo   32     20     
02/07/2001  27      Nulo   29.5   20     
03/07/2001  0       Nulo   30     19.5   
04/07/2001  0       Nulo   30.5   21     
05/07/2001  0       Nulo   31.5   20.5   
06/07/2001  0       Nulo   30     20     
07/07/2001  0       Nulo   32     18.5   
08/07/2001  0.5     Nulo   27.5   18.5   
09/07/2001  2       Nulo   28     20     
10/07/2001  5.5     Nulo   30     20     
11/07/2001  6       Nulo   32     20     
12/07/2001  24.5    Nulo   29     20     
13/07/2001  0       Nulo   28.5   18.5   
14/07/2001  0       Nulo   32.5   19.5   
15/07/2001  14      Nulo   31     21.5   
16/07/2001  0       Nulo   30.5   20     
17/07/2001  4.7     Nulo   31     19     
18/07/2001  0       Nulo   29     20     
19/07/2001  0       Nulo   29.5   20.5   
20/07/2001  0       Nulo   30.5   19.5   
21/07/2001  0       Nulo   31     19     
22/07/2001  0       Nulo   32.5   20     
23/07/2001  47      Nulo   32     20.5   
24/07/2001  29.5    Nulo   28.5   20.5   
25/07/2001  0       Nulo   29     20.5   
26/07/2001  32.7    Nulo   30     20     
27/07/2001  0       Nulo   29     18.5   
28/07/2001  0       Nulo   28.5   19     
29/07/2001  0       Nulo   29     20.5   
30/07/2001  3.7     Nulo   30     19     
