CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 8005
NOMBRE    : BALLEZA
ESTADO    : CHIHUAHUA
MUNICIPIO : BALLEZA
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 026.955°
LONGITUD  : -106.346°
ALTITUD   : 1567 msnm

EMISIÓN   : 01/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
20/09/1928  0       Nulo   28     Nulo   
21/09/1928  0       Nulo   30     22     
22/09/1928  0       Nulo   23     16     
23/09/1928  0       Nulo   21     11     
24/09/1928  0       Nulo   26     16     
25/09/1928  0       Nulo   40     18     
26/09/1928  0       Nulo   44     19     
27/09/1928  0       Nulo   36     18     
28/09/1928  0       Nulo   38     21     
29/09/1928  0       Nulo   45     19     
30/09/1928  0       Nulo   Nulo   17     
01/10/1928  0       Nulo   50     19     
02/10/1928  0       Nulo   50     21     
03/10/1928  0       Nulo   42.5   20     
04/10/1928  0       Nulo   50     18.5   
05/10/1928  0       Nulo   47     11     
06/10/1928  0       Nulo   46     15     
07/10/1928  0       Nulo   46     15     
08/10/1928  0       Nulo   47.5   19     
09/10/1928  0       Nulo   39     16     
10/10/1928  0       Nulo   28     18     
11/10/1928  0       Nulo   33     17     
12/10/1928  0       Nulo   43     19     
13/10/1928  0       Nulo   48     17.5   
14/10/1928  0       Nulo   37.5   17     
15/10/1928  0       Nulo   Nulo   17     
16/10/1928  0       Nulo   31     Nulo   
17/10/1928  0       Nulo   34     12     
18/10/1928  0       Nulo   39     11     
19/10/1928  0       Nulo   37     12.5   
20/10/1928  0       Nulo   38     12     
21/10/1928  0       Nulo   36     15     
22/10/1928  0       Nulo   33     14     
23/10/1928  0       Nulo   35     13     
24/10/1928  0       Nulo   34     12     
25/10/1928  0       Nulo   36     13     
26/10/1928  0       Nulo   35     14.5   
27/10/1928  0       Nulo   35     15     
28/10/1928  0       Nulo   37     14     
29/10/1928  0       Nulo   36     15     
30/10/1928  0       Nulo   33     16     
31/10/1928  0       Nulo   Nulo   18     
01/11/1928  0       Nulo   33     9.5    
02/11/1928  0       Nulo   31.5   10     
03/11/1928  0       Nulo   31     9.5    
04/11/1928  0       Nulo   26     10     
05/11/1928  0       Nulo   21.5   12     
06/11/1928  0       Nulo   27     10     
07/11/1928  0       Nulo   31     6      
08/11/1928  0       Nulo   34     9.5    
09/11/1928  0       Nulo   29     9      
10/11/1928  0       Nulo   31     11     
11/11/1928  0       Nulo   29.5   10     
12/11/1928  0       Nulo   40     10.5   
13/11/1928  0       Nulo   31     12     
14/11/1928  0       Nulo   31     12     
15/11/1928  0       Nulo   31     12     
16/11/1928  0       Nulo   30     14     
17/11/1928  0       Nulo   32     4      
18/11/1928  0       Nulo   30     7      
19/11/1928  0       Nulo   22     0      
20/11/1928  0       Nulo   21     1.5    
21/11/1928  0       Nulo   26     4      
22/11/1928  0       Nulo   19.5   8      
23/11/1928  0       Nulo   25     11     
24/11/1928  0       Nulo   26     8.8    
25/11/1928  0       Nulo   26     10.5   
26/11/1928  0       Nulo   20     13     
27/11/1928  0       Nulo   27     11     
28/11/1928  0       Nulo   25.5   9.5    
