CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 8041
NOMBRE    : CUITECO
ESTADO    : CHIHUAHUA
MUNICIPIO : URIQUE
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 027.433°
LONGITUD  : -108.0°
ALTITUD   : 1700 msnm

EMISIÓN   : 01/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/01/1961  0       Nulo   23     0      
02/01/1961  0       Nulo   26     2      
03/01/1961  0       Nulo   24     0      
04/01/1961  0       Nulo   15     5      
05/01/1961  14.5    Nulo   14     7      
06/01/1961  2       Nulo   14     0      
07/01/1961  0       Nulo   18     5      
08/01/1961  0       Nulo   14     0      
09/01/1961  0       Nulo   25     2      
10/01/1961  0       Nulo   26     0      
11/01/1961  0       Nulo   20     1      
12/01/1961  0       Nulo   27     3      
13/01/1961  0       Nulo   27     1      
14/01/1961  0       Nulo   28     0      
15/01/1961  0       Nulo   24     3      
16/01/1961  0       Nulo   24     7      
17/01/1961  0       Nulo   14     0      
18/01/1961  23      Nulo   10.5   1      
19/01/1961  16      Nulo   12     0      
20/01/1961  25      Nulo   14     2      
21/01/1961  18      Nulo   11     0      
22/01/1961  1       Nulo   10     0      
23/01/1961  44      Nulo   8      4      
24/01/1961  13      Nulo   18     0      
25/01/1961  0       Nulo   28     0      
26/01/1961  0       Nulo   22     0      
27/01/1961  0       Nulo   13     0      
28/01/1961  0       Nulo   20     5      
29/01/1961  0       Nulo   25     0      
30/01/1961  0       Nulo   18     0      
31/01/1961  0       Nulo   26     5      
01/02/1961  0       Nulo   15     0      
02/02/1961  0       Nulo   23     7      
03/02/1961  0       Nulo   24     1      
04/02/1961  0       Nulo   24     0      
05/02/1961  0       Nulo   20     0      
06/02/1961  0       Nulo   20     0      
07/02/1961  0       Nulo   25     1      
08/02/1961  0       Nulo   26     0      
09/02/1961  0       Nulo   18.5   0      
10/02/1961  0       Nulo   28     7      
11/02/1961  0       Nulo   30     0      
12/02/1961  0       Nulo   28     0      
13/02/1961  0       Nulo   23     0      
14/02/1961  0       Nulo   28     5      
15/02/1961  0       Nulo   29     0      
16/02/1961  0       Nulo   28     0      
17/02/1961  0       Nulo   25     0      
18/02/1961  0       Nulo   22     0      
19/02/1961  0       Nulo   25     6      
20/02/1961  0       Nulo   17     0      
21/02/1961  0       Nulo   27     5      
22/02/1961  0       Nulo   26     0      
23/02/1961  0       Nulo   25     0      
24/02/1961  0       Nulo   30     0      
25/02/1961  0       Nulo   32     0      
26/02/1961  0       Nulo   27     0      
27/02/1961  0       Nulo   30     0      
28/02/1961  0       Nulo   26     0      
01/03/1961  0       Nulo   30     6      
02/03/1961  0       Nulo   30     0      
03/03/1961  0       Nulo   28     0      
04/03/1961  0       Nulo   25     0      
05/03/1961  0       Nulo   30     0      
06/03/1961  0       Nulo   25     0      
07/03/1961  0       Nulo   25     0      
08/03/1961  0       Nulo   22     0      
09/03/1961  0       Nulo   28     9      
10/03/1961  0       Nulo   28     0      
11/03/1961  0       Nulo   31     0      
12/03/1961  0       Nulo   29     0      
13/03/1961  0       Nulo   29     3      
14/03/1961  0       Nulo   24     0      
15/03/1961  0       Nulo   20     5      
16/03/1961  0       Nulo   24     4      
17/03/1961  0       Nulo   29     0      
18/03/1961  0       Nulo   25     0      
19/03/1961  0       Nulo   22     0      
20/03/1961  0       Nulo   29     5      
21/03/1961  0       Nulo   29     0      
22/03/1961  0       Nulo   28     2      
23/03/1961  0       Nulo   26     0      
24/03/1961  0       Nulo   24     2      
25/03/1961  0       Nulo   24     0      
26/03/1961  0       Nulo   23     3      
27/03/1961  0       Nulo   24     0      
28/03/1961  0       Nulo   24     0      
29/03/1961  1.5     Nulo   21     0      
30/03/1961  0       Nulo   24     4      
31/03/1961  0       Nulo   28     0      
01/04/1961  0       Nulo   25     0      
02/04/1961  0       Nulo   15     3      
03/04/1961  0       Nulo   23     9      
04/04/1961  2       Nulo   17     2      
05/04/1961  0       Nulo   12     2      
06/04/1961  0       Nulo   26     0      
07/04/1961  0       Nulo   26     0      
08/04/1961  0       Nulo   27     0      
09/04/1961  0       Nulo   27     0      
10/04/1961  0       Nulo   26     0      
11/04/1961  0       Nulo   27     0      
12/04/1961  0       Nulo   31     0      
13/04/1961  0       Nulo   27     3      
14/04/1961  0       Nulo   26     3      
15/04/1961  0       Nulo   26     3      
16/04/1961  0.5     Nulo   21     3      
17/04/1961  4       Nulo   25     6      
18/04/1961  0       Nulo   25     0      
19/04/1961  0       Nulo   26     0      
20/04/1961  0       Nulo   23     0      
21/04/1961  0       Nulo   20     3      
22/04/1961  0       Nulo   25     5      
23/04/1961  0       Nulo   25     2      
24/04/1961  0       Nulo   21     5      
25/04/1961  0       Nulo   24     5      
26/04/1961  0       Nulo   24     6      
27/04/1961  0       Nulo   23     5      
28/04/1961  0       Nulo   25     5      
29/04/1961  0       Nulo   26     5      
30/04/1961  0       Nulo   27     4      
01/05/1961  0       Nulo   26     5      
02/05/1961  0       Nulo   25     5      
03/05/1961  0       Nulo   21     7      
04/05/1961  0       Nulo   23     5      
05/05/1961  0       Nulo   20     5      
06/05/1961  0       Nulo   23     7      
07/05/1961  0       Nulo   27     7      
08/05/1961  0       Nulo   18     7      
09/05/1961  0       Nulo   27     10     
10/05/1961  0       Nulo   22     5      
11/05/1961  0       Nulo   25     7      
12/05/1961  0       Nulo   22     7      
13/05/1961  0       Nulo   22     5      
14/05/1961  0       Nulo   27     8      
15/05/1961  0       Nulo   25     8      
16/05/1961  0       Nulo   13     6      
17/05/1961  0       Nulo   28     5      
18/05/1961  0       Nulo   23     8      
19/05/1961  0       Nulo   25     4      
20/05/1961  0       Nulo   25     6      
21/05/1961  0       Nulo   26     5      
22/05/1961  0       Nulo   21     5      
23/05/1961  0       Nulo   22     7      
24/05/1961  0       Nulo   22     7      
25/05/1961  0       Nulo   18     6      
26/05/1961  0       Nulo   19     9      
27/05/1961  0       Nulo   21     6      
28/05/1961  0       Nulo   22     8      
29/05/1961  0       Nulo   23     6      
30/05/1961  0       Nulo   23     6      
31/05/1961  0       Nulo   22     6      
01/06/1961  0       Nulo   21     6      
02/06/1961  0       Nulo   21     7      
