CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 8056
NOMBRE    : PRESA EL REJON (SMN)
ESTADO    : CHIHUAHUA
MUNICIPIO : CHIHUAHUA
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 028.614°
LONGITUD  : -106.119°
ALTITUD   : 1464 msnm

EMISIÓN   : 01/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/01/1969  0       0.7    8      4      
02/01/1969  0       1.8    15     4      
03/01/1969  0       3.1    14     -0.5   
04/01/1969  0       1.2    8      -3     
05/01/1969  0       1.9    14.5   -4     
06/01/1969  0       3.4    16     -1.5   
07/01/1969  0       5      25.5   1      
08/01/1969  0       8.3    26.5   2      
09/01/1969  0       5.9    24     5.5    
10/01/1969  0       2.6    13.5   3      
11/01/1969  0       3.7    19     -2     
12/01/1969  0       4.9    21     0      
13/01/1969  0       4.9    24.5   3.5    
14/01/1969  0       8      25     6      
15/01/1969  0       4.5    20     9      
16/01/1969  0       2.8    16.5   2      
17/01/1969  0       2.2    22.5   0      
18/01/1969  0       4.9    18.5   1      
19/01/1969  0       3      20.5   3      
20/01/1969  0       4.4    21     5      
21/01/1969  0       5.4    22.5   3      
22/01/1969  0       5.4    22     4      
23/01/1969  0       8.4    21     4      
24/01/1969  0       5.1    20.5   2      
25/01/1969  0       4.5    24     2.5    
26/01/1969  0       5.6    24.5   3.5    
27/01/1969  0       5.4    21.5   9      
28/01/1969  0       6.4    19.5   11.5   
29/01/1969  0       4.5    12.5   10.5   
30/01/1969  0       3      21.5   4.5    
31/01/1969  0       5.3    12.5   4.5    
01/02/1969  0       1.5    21     4.5    
02/02/1969  0       3.9    18.5   1.5    
03/02/1969  0       3.1    13.5   -2.5   
04/02/1969  0       3.2    19.5   -1.5   
05/02/1969  0       6.1    17.5   5      
06/02/1969  0       7.3    20     6.5    
07/02/1969  0       7.5    22.5   8      
08/02/1969  1       3      15.5   0.5    
09/02/1969  0       3.4    15     2      
10/02/1969  0       4.1    20     3      
11/02/1969  0       4.5    21.5   4      
12/02/1969  0       8.5    22     4      
13/02/1969  1       5.6    17     4      
14/02/1969  0       4.6    17.5   3.5    
15/02/1969  0       3.1    19     0.5    
16/02/1969  0       4.5    25.5   4      
17/02/1969  0       5.3    17     1.5    
18/02/1969  0       3.9    18     0      
19/02/1969  0       11.4   22.5   3      
20/02/1969  0       8.2    20     7.5    
21/02/1969  0       6.6    17     3.5    
22/02/1969  0       8.8    21     -2     
23/02/1969  0       4.3    13.5   -2     
24/02/1969  0       5.5    20     0.5    
25/02/1969  0       5.6    20.5   2.5    
26/02/1969  0       7.9    24     4      
27/02/1969  0       3.6    20     4.5    
28/02/1969  0       5.8    23.5   4.5    
01/03/1969  0       11     23.5   6.5    
02/03/1969  0       9.2    17     3.5    
03/03/1969  0       8.6    19     -2     
04/03/1969  0       11.5   16     -1     
05/03/1969  0       11.2   19     -2     
06/03/1969  0       9.1    21     Nulo   
07/03/1969  0       6.9    21     0.5    
08/03/1969  0       3.2    15     2      
09/03/1969  0       6.1    23     -0.5   
10/03/1969  0       8.9    21.5   2      
11/03/1969  0       10     22     7      
12/03/1969  0       6.1    16.5   1.5    
13/03/1969  0       11.1   23     -2     
14/03/1969  0       9.6    19     4      
15/03/1969  0       2.6    11     1      
16/03/1969  0       2.8    9      -2     
17/03/1969  0       5.4    19     -4     
18/03/1969  0       4.3    25.5   1      
19/03/1969  0       3.8    27     5      
20/03/1969  0       7.6    25.5   9      
21/03/1969  0       5.8    22     6.5    
22/03/1969  0       11.8   24     8.5    
23/03/1969  0       9.4    25     4.5    
24/03/1969  0       5.5    21.5   3      
25/03/1969  0       5.5    16     0.5    
26/03/1969  0       8.3    22     3      
27/03/1969  0       8.4    23     3      
28/03/1969  0       8.4    24     4      
29/03/1969  0       9.2    26.5   4.5    
30/03/1969  0       9.7    28     6      
31/03/1969  0       10.7   29.5   9      
01/04/1969  0       11.9   30.5   13     
02/04/1969  0       6.7    28     12.5   
03/04/1969  0       8.6    27     13.5   
04/04/1969  0       8      27     10.5   
05/04/1969  0       10.6   37.5   9      
06/04/1969  0       11.2   29     6.5    
07/04/1969  0       11.2   30.5   12     
08/04/1969  0       10.9   28.5   14     
09/04/1969  0       6.7    24.5   16     
10/04/1969  0       10.8   28.5   10.5   
11/04/1969  0       8      27     14     
12/04/1969  0       11.1   22     5      
13/04/1969  0       6.2    27     8.5    
14/04/1969  0       8.6    25     11.5   
15/04/1969  0       14.1   31     12     
16/04/1969  0       12.2   28     13.5   
17/04/1969  0       1.3    22.5   9      
18/04/1969  0       13.3   27.5   6.5    
19/04/1969  0       16     30.5   13     
20/04/1969  0       9      27     7.5    
21/04/1969  0       11.9   30     9      
22/04/1969  0       13.3   32     10.5   
23/04/1969  0       12.4   31     15     
24/04/1969  0       6.5    32.5   9      
25/04/1969  0       13.8   32.5   14     
26/04/1969  0       14.6   32     13     
27/04/1969  0       7.7    26.5   10     
28/04/1969  0       10.4   26.5   7      
29/04/1969  0       10.4   26.5   9.5    
30/04/1969  0       10.2   28.5   13     
01/05/1969  0       10.8   27.5   10     
02/05/1969  0       9.6    26     12     
03/05/1969  0       12.8   28     12     
04/05/1969  0       17     28     13.5   
05/05/1969  0       10.7   27.5   9.5    
06/05/1969  0       12.8   25     7.5    
07/05/1969  0       9.1    25.5   5      
08/05/1969  0       10.1   24     7.5    
09/05/1969  0       8.7    24.5   9      
10/05/1969  0       7.9    24.5   13     
11/05/1969  0       10.2   27     11     
12/05/1969  0       9.7    27.5   11.5   
13/05/1969  0       5.7    28.5   11     
14/05/1969  0       10.7   29     9.5    
15/05/1969  2.5     9.4    30     12.5   
16/05/1969  0       10.6   30     11.5   
17/05/1969  0       10.5   27.5   11.5   
18/05/1969  0       13.6   32     12     
19/05/1969  0       12.6   34.5   18.5   
20/05/1969  0       12.1   35     14.5   
21/05/1969  0       15.2   34.5   21     
22/05/1969  1       9.8    33     21     
23/05/1969  4       12.9   31.5   13     
24/05/1969  0       11.9   32     14.5   
25/05/1969  0       12.1   34.5   14     
26/05/1969  0       11.4   33     14.5   
27/05/1969  0       13.4   33     15     
28/05/1969  0       14.4   34     19     
29/05/1969  0       13     32.5   16     
30/05/1969  0       13.7   32.5   16     
31/05/1969  0       13.4   32     16.5   
01/06/1969  0       Nulo   29.5   16     
02/06/1969  11      Nulo   29     17     
03/06/1969  1       Nulo   28     14     
04/06/1969  0       Nulo   34     12     
05/06/1969  6       Nulo   31     14.5   
06/06/1969  12      Nulo   32     17     
07/06/1969  0       Nulo   32     17     
08/06/1969  0       Nulo   34     16     
09/06/1969  0       Nulo   35     17     
10/06/1969  0       Nulo   36     19     
11/06/1969  0       Nulo   33     15     
12/06/1969  0       Nulo   33     15     
13/06/1969  0       7.1    36.5   15     
14/06/1969  9.5     13.5   34.5   14.5   
15/06/1969  0       9.6    31     17.5   
16/06/1969  0       15.3   35     15.5   
17/06/1969  0       11.3   37     18.5   
18/06/1969  0       12.4   35.5   17     
19/06/1969  0       12.4   35.5   18     
20/06/1969  0       8.6    38     21     
21/06/1969  0       14.9   39     22.5   
22/06/1969  0       12.7   37.5   21.5   
23/06/1969  0       13.2   37.5   23     
24/06/1969  0       9.1    37     21.5   
25/06/1969  0       12.1   36.5   21     
26/06/1969  0       11.2   35     20.5   
27/06/1969  0       6.5    36.5   16     
28/06/1969  0       10.1   34.5   20     
29/06/1969  0       13.2   33     21.5   
30/06/1969  0       14.7   34     21.5   
01/07/1969  0       15.2   33.5   22.5   
02/07/1969  0       6.7    33     20     
03/07/1969  0       10.1   34.5   20.5   
04/07/1969  4       12.2   35.5   21.5   
05/07/1969  6       10.4   34.5   19.5   
06/07/1969  41      11.7   29     19     
07/07/1969  20      9      29.5   17.5   
08/07/1969  0       3.1    28     16.5   
09/07/1969  17.5    7.2    26.5   18     
10/07/1969  0       5.8    28.5   17     
11/07/1969  0       9.2    30.5   17.5   
12/07/1969  0       10     33     18     
13/07/1969  0       9.4    33     17.5   
14/07/1969  0       5.5    31.5   20.5   
15/07/1969  0       5.8    29     17.5   
16/07/1969  15.5    8.4    32.5   19     
17/07/1969  0       6.7    29     19     
18/07/1969  0       5.8    28     18.5   
19/07/1969  0       9.8    30     19.5   
20/07/1969  1       7.9    31     18.5   
21/07/1969  0       7.3    30     18.5   
22/07/1969  0.5     7.5    33     18     
23/07/1969  2       8.5    32.5   18     
24/07/1969  0       8.7    32.5   18.5   
25/07/1969  3.5     7.9    32.5   20     
26/07/1969  55      8.5    32.5   19     
27/07/1969  0       13.3   27.5   16     
28/07/1969  0       6.3    29     17     
29/07/1969  0       6.3    30.5   17     
30/07/1969  0       7.4    34     17     
31/07/1969  0       7.9    32.5   17.5   
01/08/1969  0       11     32.5   16     
02/08/1969  0       7      32     16     
03/08/1969  0       8.2    30     17     
04/08/1969  0       9.3    32     16     
05/08/1969  0       13.2   34     19.5   
06/08/1969  0       2.5    33     17.5   
07/08/1969  0       5.5    32     18.5   
08/08/1969  0       9.6    31.5   17.5   
09/08/1969  0       8.7    32.5   18     
10/08/1969  0       9      32     19.5   
11/08/1969  0       9.5    32     18     
12/08/1969  0       7.8    34     17     
13/08/1969  0       7.4    33     16.5   
14/08/1969  0       11.2   34     16.5   
15/08/1969  0       8.7    33.5   17.5   
16/08/1969  0       10.1   35     17.5   
17/08/1969  0       12.6   36     20.5   
18/08/1969  0       16     36     19.5   
19/08/1969  0       11.3   35     19     
20/08/1969  0       11.5   33     17     
21/08/1969  0       8.5    31.5   18.5   
22/08/1969  0       6.2    32     18.5   
23/08/1969  0       11.1   33     19     
24/08/1969  0       11.2   33.5   18.5   
25/08/1969  0       8.5    33.5   18     
26/08/1969  12      6      29     18.5   
27/08/1969  0       6.6    29     17     
28/08/1969  8       4.2    28     15.5   
29/08/1969  36      4.9    25     17     
30/08/1969  32      14.4   25.5   16.5   
31/08/1969  0       16     26     16.5   
01/09/1969  0       8.5    27.5   17.5   
02/09/1969  0       5.7    28.5   18     
03/09/1969  0       5.7    29.5   15     
04/09/1969  0       6.8    30     14.5   
05/09/1969  0       8.4    30.5   15     
06/09/1969  0       7.2    36     16     
07/09/1969  0       7.5    30     16     
08/09/1969  0       7.5    31     16     
09/09/1969  0       7.5    30.5   16.5   
10/09/1969  0       7.9    31     17     
11/09/1969  0       5.3    28.5   17.5   
12/09/1969  0       4.6    28.5   15.5   
13/09/1969  2.5     7.4    28     17.5   
14/09/1969  0       7.6    29     16     
15/09/1969  0       6.6    29     14     
16/09/1969  0       6.6    31     13.5   
17/09/1969  0       6.6    30.5   13     
18/09/1969  0       7.6    30.5   13.5   
19/09/1969  2       9      28.5   14     
20/09/1969  0       5.4    27.5   15     
21/09/1969  0       7.9    28     15     
22/09/1969  0       5.5    29     15.5   
23/09/1969  0       6.2    29.5   14     
24/09/1969  0       3.7    29.5   14.5   
25/09/1969  0       7.9    29.5   17     
26/09/1969  0       8.7    30     13     
27/09/1969  0       7.1    27.5   12.5   
28/09/1969  0       7      27.5   14     
29/09/1969  0       6.9    27     11     
30/09/1969  0       7.5    29     11     
01/10/1969  0       8.2    28     12.5   
02/10/1969  0       8.2    29.5   13     
03/10/1969  0       5.2    30     12.5   
04/10/1969  0       7.4    29     15.5   
05/10/1969  0       7.4    28     13     
06/10/1969  0       7      25     12.5   
07/10/1969  2       7.7    28     16     
08/10/1969  20      2.8    26.5   13     
09/10/1969  0       5.8    27.5   12.5   
10/10/1969  0       8.4    30     16     
11/10/1969  0       8.7    28     17     
12/10/1969  0       6.9    26     17     
13/10/1969  0       6.9    28     13     
14/10/1969  0       5.9    27.5   9      
15/10/1969  0       6.8    26.5   11.5   
16/10/1969  0       3.4    27     7.5    
17/10/1969  0       8.9    30     9      
18/10/1969  0       8.9    30     13     
19/10/1969  0       7.6    28     15.5   
20/10/1969  0       7      27.5   11.5   
21/10/1969  0       8.5    28     10     
22/10/1969  0       7      26     9      
23/10/1969  0       4.6    24     5.5    
24/10/1969  0       4.7    27     7      
25/10/1969  0       5.2    27     7.5    
26/10/1969  0       4.2    30     9.5    
27/10/1969  0       4.7    22     8      
28/10/1969  0       4.6    22     9      
29/10/1969  0       8      27.5   6.5    
30/10/1969  0       4.9    20     4.5    
31/10/1969  0       4.2    20.5   2      
01/11/1969  0       5.5    24.5   3.5    
02/11/1969  0       3.6    16     3.5    
03/11/1969  0       6      20.5   1.5    
04/11/1969  0       4      24.5   3.5    
05/11/1969  0       3.7    24.5   3.5    
06/11/1969  0       4.3    26.5   5.5    
07/11/1969  0       5      27     7      
08/11/1969  0       4.6    27     7      
09/11/1969  2.5     6.7    25.5   10.5   
10/11/1969  0       2.9    21.5   10.5   
11/11/1969  0       3.2    26.5   9      
12/11/1969  0       4.4    24     7      
13/11/1969  0       4.2    22     11.5   
14/11/1969  0       3.7    18.5   7      
15/11/1969  0       3.2    21     2      
16/11/1969  0       4.3    24.5   5      
17/11/1969  0       5.1    23     7.5    
18/11/1969  0       3.4    12     5.5    
19/11/1969  0       3.2    7.5    -7     
20/11/1969  0       3.1    11.5   -6     
21/11/1969  0       3.9    19     -2.5   
22/11/1969  0       4.1    22     1      
