CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 8110
NOMBRE    : PALOMAS
ESTADO    : CHIHUAHUA
MUNICIPIO : ASCENSION
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 031.771°
LONGITUD  : -107.636°
ALTITUD   : 1220 msnm

EMISIÓN   : 01/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
16/05/1961  0       Nulo   40     Nulo   
17/05/1961  0       Nulo   39     5.5    
18/05/1961  0       Nulo   40     11     
19/05/1961  0       Nulo   43     16     
20/05/1961  0       Nulo   42     14     
21/05/1961  0       Nulo   40.5   14     
22/05/1961  0       Nulo   39.5   15.5   
23/05/1961  0       Nulo   40.5   11.5   
24/05/1961  0       Nulo   42     10     
25/05/1961  0       Nulo   41     10     
26/05/1961  0       Nulo   36.5   12     
27/05/1961  0       Nulo   41     12.5   
28/05/1961  0       Nulo   40     16     
29/05/1961  0       Nulo   42     19     
30/05/1961  1       Nulo   44     13     
31/05/1961  0       Nulo   43     14     
01/06/1961  0       Nulo   43     18     
02/06/1961  0       Nulo   42     14     
03/06/1961  0       Nulo   41     13     
04/06/1961  0       Nulo   41     12     
05/06/1961  0       Nulo   41     13     
06/06/1961  0       Nulo   43     17     
07/06/1961  0       Nulo   41     21     
08/06/1961  0       Nulo   43     14     
09/06/1961  0       Nulo   41     13     
10/06/1961  0       Nulo   40     12     
11/06/1961  0       Nulo   40     11     
12/06/1961  0       Nulo   40     12     
13/06/1961  0       Nulo   45     11     
14/06/1961  0       Nulo   39     16     
15/06/1961  0       Nulo   31     19     
16/06/1961  0       Nulo   29     17     
17/06/1961  0       Nulo   33     14     
18/06/1961  1.5     Nulo   39     14     
19/06/1961  0       Nulo   39     17     
20/06/1961  0       Nulo   37     20     
21/06/1961  0       Nulo   35     15     
22/06/1961  0       Nulo   40     16     
23/06/1961  0       Nulo   40     20     
24/06/1961  0       Nulo   42     10     
25/06/1961  0       Nulo   39     23     
26/06/1961  0       Nulo   39     22     
27/06/1961  0       Nulo   39     22     
28/06/1961  0       Nulo   39     22     
29/06/1961  0       Nulo   38     19     
30/06/1961  0       Nulo   37     20     
01/07/1961  0       Nulo   34     19     
02/07/1961  0       Nulo   36     20     
03/07/1961  0       Nulo   36     18     
04/07/1961  2       Nulo   34     18     
05/07/1961  6.5     Nulo   33     20     
06/07/1961  3       Nulo   36     19     
07/07/1961  0       Nulo   35     18     
08/07/1961  0       Nulo   37     18     
09/07/1961  13      Nulo   36     24     
10/07/1961  0       Nulo   32     16     
11/07/1961  1       Nulo   36     18     
12/07/1961  0       Nulo   39     21     
13/07/1961  0       Nulo   40     21     
14/07/1961  0       Nulo   39     22     
15/07/1961  0       Nulo   40     20     
16/07/1961  6       Nulo   39     22     
17/07/1961  0       Nulo   39     17     
18/07/1961  0       Nulo   39     17     
19/07/1961  10      Nulo   39     21     
20/07/1961  0       Nulo   39     17     
21/07/1961  1       Nulo   38     20     
22/07/1961  0       Nulo   35     20     
23/07/1961  0       Nulo   36     19     
24/07/1961  0       Nulo   37     17     
25/07/1961  0       Nulo   36     15     
26/07/1961  0       Nulo   35     19     
27/07/1961  0       Nulo   36     18     
28/07/1961  0       Nulo   38     19     
29/07/1961  0       Nulo   37     19     
30/07/1961  0       Nulo   36     19     
31/07/1961  0       Nulo   34     19     
01/08/1961  1       Nulo   35     20     
02/08/1961  0       Nulo   34     22     
03/08/1961  0       Nulo   33     21     
04/08/1961  0       Nulo   35     23     
05/08/1961  0       Nulo   37     19     
06/08/1961  0       Nulo   37     20     
07/08/1961  0       Nulo   39     20     
08/08/1961  0       Nulo   38     23     
09/08/1961  0       Nulo   39     22     
10/08/1961  0       Nulo   39     23     
11/08/1961  11.5    Nulo   37     20     
12/08/1961  0       Nulo   34     19     
13/08/1961  4       Nulo   34     19     
14/08/1961  1.5     Nulo   31     17     
15/08/1961  5       Nulo   30     17     
16/08/1961  0       Nulo   31     17     
17/08/1961  4.5     Nulo   34     17     
18/08/1961  0       Nulo   33     17     
19/08/1961  14      Nulo   31     20     
20/08/1961  0       Nulo   30     17     
21/08/1961  0       Nulo   32     17     
22/08/1961  0       Nulo   30     22     
23/08/1961  0       Nulo   34     20     
24/08/1961  0       Nulo   35     20     
25/08/1961  0       Nulo   33     20     
26/08/1961  0       Nulo   36     20     
27/08/1961  0       Nulo   38     14     
28/08/1961  0       Nulo   31     16     
29/08/1961  0       Nulo   28     20     
30/08/1961  4.5     Nulo   32     19     
31/08/1961  0       Nulo   33     22     
01/09/1961  0       Nulo   33     17     
02/09/1961  0       Nulo   33     16     
03/09/1961  0       Nulo   26     20     
04/09/1961  0       Nulo   29     13     
05/09/1961  5       Nulo   32     12     
06/09/1961  0       Nulo   27     15     
07/09/1961  0       Nulo   29     10     
08/09/1961  2       Nulo   30     11     
09/09/1961  1.5     Nulo   30     17     
10/09/1961  0       Nulo   32     16     
11/09/1961  27.5    Nulo   34     17     
12/09/1961  0       Nulo   29     16     
13/09/1961  3.5     Nulo   28     17     
14/09/1961  0       Nulo   28     14     
15/09/1961  0       Nulo   27     15     
16/09/1961  0       Nulo   28     11     
17/09/1961  0       Nulo   29     16     
18/09/1961  0       Nulo   33     15     
19/09/1961  0       Nulo   30     11     
20/09/1961  0       Nulo   28     15     
21/09/1961  0       Nulo   31     12     
22/09/1961  0       Nulo   32     11     
23/09/1961  0       Nulo   32     13     
24/09/1961  0       Nulo   32     13     
25/09/1961  0       Nulo   28     11     
26/09/1961  0       Nulo   32     14     
27/09/1961  0       Nulo   35     13     
28/09/1961  2       Nulo   32     15     
29/09/1961  0       Nulo   32     14     
30/09/1961  0       Nulo   30     16     
01/10/1961  0       Nulo   32     15     
02/10/1961  0       Nulo   33     10     
03/10/1961  0       Nulo   23     4      
04/10/1961  0       Nulo   27     2      
05/10/1961  0       Nulo   30     3      
06/10/1961  0       Nulo   31     6      
07/10/1961  0       Nulo   31     9      
08/10/1961  0       Nulo   26     14     
09/10/1961  0       Nulo   26     6      
10/10/1961  0       Nulo   26     6      
11/10/1961  0       Nulo   26     14     
12/10/1961  0       Nulo   28     4      
13/10/1961  0       Nulo   28     4      
14/10/1961  0       Nulo   22     12     
15/10/1961  0       Nulo   20     14     
16/10/1961  0       Nulo   26     2      
17/10/1961  0       Nulo   25     12     
18/10/1961  0       Nulo   28     6      
19/10/1961  0       Nulo   24     15     
20/10/1961  0       Nulo   27     3      
21/10/1961  0       Nulo   30     3      
22/10/1961  0       Nulo   28     8      
23/10/1961  0       Nulo   26     7      
24/10/1961  0       Nulo   22     3      
25/10/1961  0       Nulo   24     2      
26/10/1961  0       Nulo   21     6      
27/10/1961  0       Nulo   28     6      
28/10/1961  0       Nulo   28     8      
29/10/1961  0       Nulo   22     6      
30/10/1961  0       Nulo   21     2      
31/10/1961  0       Nulo   24     6      
01/11/1961  0       Nulo   14     7      
02/11/1961  0       Nulo   15     2      
03/11/1961  0       Nulo   19     -2     
04/11/1961  0       Nulo   12     -4     
05/11/1961  0       Nulo   8      0      
06/11/1961  0       Nulo   6      -0.4   
07/11/1961  62      Nulo   7      -1     
08/11/1961  11      Nulo   7      2      
09/11/1961  0       Nulo   11     5      
10/11/1961  0       Nulo   11     3      
11/11/1961  6       Nulo   19     4      
12/11/1961  0       Nulo   19     1      
13/11/1961  13.5    Nulo   5      1      
14/11/1961  0       Nulo   3      0      
15/11/1961  0       Nulo   11     -9     
16/11/1961  0       Nulo   11     -9     
17/11/1961  0       Nulo   11     -2     
18/11/1961  0       Nulo   11     -2     
19/11/1961  0       Nulo   7      1      
20/11/1961  0       Nulo   11     -3     
21/11/1961  8       Nulo   11     5      
22/11/1961  0       Nulo   11     0      
23/11/1961  0       Nulo   11     -3     
24/11/1961  0       Nulo   12     -3     
25/11/1961  0       Nulo   11     -3     
26/11/1961  0       Nulo   21     -1     
27/11/1961  0       Nulo   19     3      
28/11/1961  0       Nulo   12     3      
29/11/1961  0       Nulo   11     0      
30/11/1961  0       Nulo   14     -1     
01/12/1961  0       Nulo   20     0      
02/12/1961  0       Nulo   22     0      
03/12/1961  0       Nulo   20     3      
04/12/1961  0       Nulo   10     5      
05/12/1961  0       Nulo   11     5      
06/12/1961  0       Nulo   11     -2     
07/12/1961  12      Nulo   18     3      
08/12/1961  0       Nulo   14     5      
09/12/1961  0       Nulo   16     5      
10/12/1961  0       Nulo   12     4      
11/12/1961  0       Nulo   16     -2     
12/12/1961  0       Nulo   18     0      
13/12/1961  0       Nulo   14     -2     
