CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 8121
NOMBRE    : SAMALAYUCA
ESTADO    : CHIHUAHUA
MUNICIPIO : JUAREZ
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 031.342°
LONGITUD  : -106.476°
ALTITUD   : 1246 msnm

EMISIÓN   : 01/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
22/11/1946  0       Nulo   Nulo   Nulo   
23/11/1946  0       Nulo   25     2      
24/11/1946  10      Nulo   20     10     
25/11/1946  0       Nulo   21     8      
26/11/1946  0       Nulo   12     -2     
27/11/1946  0       Nulo   11     -2     
28/11/1946  0       Nulo   8      -2     
29/11/1946  0       Nulo   22     1      
30/11/1946  0       Nulo   21     -0.5   
01/12/1946  0       Nulo   13     3      
02/12/1946  0       Nulo   18     3      
03/12/1946  0       Nulo   22     0      
04/12/1946  0       Nulo   20     -0.5   
05/12/1946  0       Nulo   21     1      
06/12/1946  0       Nulo   22     0      
07/12/1946  4.5     Nulo   16     0      
08/12/1946  0       Nulo   17     7.5    
09/12/1946  5.5     Nulo   16     3      
10/12/1946  4.5     Nulo   7      4      
11/12/1946  1       Nulo   11     4      
12/12/1946  0       Nulo   16     4      
13/12/1946  0       Nulo   17     0      
14/12/1946  0       Nulo   22     0      
15/12/1946  0       Nulo   20     2      
16/12/1946  0       Nulo   20     3.5    
17/12/1946  0       Nulo   12     4      
18/12/1946  0       Nulo   9      0      
19/12/1946  0       Nulo   13     1      
20/12/1946  0       Nulo   11     -4     
21/12/1946  0       Nulo   19     -4     
22/12/1946  0       Nulo   18     -5     
23/12/1946  0       Nulo   14     -2     
24/12/1946  0       Nulo   19     -2     
25/12/1946  0       Nulo   18     1.5    
26/12/1946  0       Nulo   22.5   1.5    
27/12/1946  0       Nulo   19     -3     
28/12/1946  0       Nulo   19     2      
29/12/1946  0       Nulo   7      -2.5   
30/12/1946  0       Nulo   9      -2     
31/12/1946  0       Nulo   -6     -9     
01/01/1947  3       Nulo   -2.5   -8.8   
02/01/1947  3       Nulo   -3     -7.5   
03/01/1947  3       Nulo   4      -8     
04/01/1947  1.5     Nulo   0.5    -15.5  
05/01/1947  0       Nulo   2      -14    
06/01/1947  0       Nulo   7      -8     
07/01/1947  4.5     Nulo   11.5   -6.5   
08/01/1947  2.5     Nulo   5      -0.5   
09/01/1947  0       Nulo   5      0      
10/01/1947  0       Nulo   9.5    -4.5   
11/01/1947  0       Nulo   12.5   -1     
12/01/1947  0       Nulo   17     -0.5   
13/01/1947  0       Nulo   15.5   6.5    
14/01/1947  0       Nulo   16.5   2.5    
15/01/1947  0       Nulo   16.5   1.5    
16/01/1947  Nulo    Nulo   4      0.5    
17/01/1947  1.5     Nulo   3      -5.5   
18/01/1947  0       Nulo   2      -5     
19/01/1947  0       Nulo   10     -7     
20/01/1947  0       Nulo   12     -4     
21/01/1947  0       Nulo   12     -4     
22/01/1947  0       Nulo   16     -3.5   
23/01/1947  0       Nulo   15.5   -2.5   
24/01/1947  0       Nulo   16     -2.5   
25/01/1947  0       Nulo   17     -3     
26/01/1947  0       Nulo   20     0      
