CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 8126
NOMBRE    : SAN JUANITO
ESTADO    : CHIHUAHUA
MUNICIPIO : BOCOYNA
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 027.97°
LONGITUD  : -107.6°
ALTITUD   : 2400 msnm

EMISIÓN   : 01/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/01/1969  Nulo    Nulo   11     -2     
02/01/1969  0       Nulo   13     -4     
03/01/1969  0       Nulo   15     -8     
04/01/1969  0       Nulo   13     -7     
05/01/1969  0       Nulo   11     -8     
06/01/1969  0       Nulo   18     -7     
07/01/1969  0       Nulo   21     -8     
08/01/1969  0       Nulo   16     -8     
09/01/1969  0       Nulo   10     -9     
10/01/1969  0       Nulo   13     -8     
11/01/1969  0       Nulo   20     -7     
12/01/1969  0       Nulo   18     -5.7   
13/01/1969  0       Nulo   17     -5.5   
14/01/1969  0       Nulo   20     -5     
15/01/1969  0       Nulo   12     4      
16/01/1969  0       Nulo   10     -5     
17/01/1969  0       Nulo   5      -5     
18/01/1969  0       Nulo   8      -6     
19/01/1969  0       Nulo   13     -6     
20/01/1969  0       Nulo   11     -6     
21/01/1969  0       Nulo   13     -6     
22/01/1969  0       Nulo   13     -5.5   
23/01/1969  0       Nulo   12     -6     
24/01/1969  0       Nulo   10     -6     
25/01/1969  0       Nulo   18     -8     
26/01/1969  0       Nulo   18     -7     
27/01/1969  0       Nulo   12     -7     
28/01/1969  7       Nulo   8      -2     
29/01/1969  10.5    Nulo   8      3      
30/01/1969  0       Nulo   8      -1     
31/01/1969  0       Nulo   9      -1     
01/02/1969  0       Nulo   8      0      
02/02/1969  3       Nulo   14     -2     
03/02/1969  0       Nulo   12     -2     
04/02/1969  3       Nulo   14     -5     
05/02/1969  20      Nulo   Nulo   -2     
06/02/1969  0       Nulo   10     -1     
07/02/1969  0       Nulo   10     0      
08/02/1969  6       Nulo   10     -5     
09/02/1969  3.5     Nulo   8      -4     
10/02/1969  0       Nulo   13     -3     
11/02/1969  0       Nulo   13     -5     
12/02/1969  4       Nulo   11     -5     
13/02/1969  7       Nulo   2      -1     
14/02/1969  0       Nulo   4      -3     
15/02/1969  0       Nulo   13     -5     
16/02/1969  0       Nulo   13     -5     
17/02/1969  0       Nulo   16     -9     
18/02/1969  0       Nulo   10     -5     
19/02/1969  0       Nulo   9      -3     
20/02/1969  2       Nulo   11     -3     
21/02/1969  0       Nulo   11     -3     
22/02/1969  0       Nulo   11     -8     
23/02/1969  0       Nulo   13     -6     
24/02/1969  0       Nulo   14     -6     
25/02/1969  0       Nulo   17     -5     
26/02/1969  0       Nulo   9      -4     
27/02/1969  0       Nulo   15     -9     
28/02/1969  0       Nulo   17     0      
01/03/1969  0       Nulo   11     2      
02/03/1969  0       Nulo   14     -5     
03/03/1969  0       Nulo   17     -9     
04/03/1969  0       Nulo   9      -5     
05/03/1969  0       Nulo   7      -5     
06/03/1969  0       Nulo   12     -12    
07/03/1969  0       Nulo   11     -1     
08/03/1969  0       Nulo   13     -6     
09/03/1969  0       Nulo   13     -5     
10/03/1969  0       Nulo   11     -5     
11/03/1969  0       Nulo   9      -9     
12/03/1969  0       Nulo   15     -8     
13/03/1969  0       Nulo   11     -10    
14/03/1969  0       Nulo   7      0      
15/03/1969  2       Nulo   13     -13    
16/03/1969  0       Nulo   16     -8     
17/03/1969  0       Nulo   15     -9     
18/03/1969  0       Nulo   21     -8     
19/03/1969  0       Nulo   19     -7     
20/03/1969  0       Nulo   21     -4     
21/03/1969  5       Nulo   14     -1     
22/03/1969  2       Nulo   18     6      
23/03/1969  0       Nulo   19     -7     
24/03/1969  0       Nulo   20     -9     
25/03/1969  0       Nulo   19     -8     
26/03/1969  0       Nulo   20     -6     
27/03/1969  0       Nulo   19     -6     
28/03/1969  0       Nulo   20     -7     
29/03/1969  0       Nulo   21     -6     
30/03/1969  0       Nulo   24     -4     
31/03/1969  0       Nulo   23     -2     
01/04/1969  0       Nulo   21     -1     
02/04/1969  0       Nulo   19     0      
03/04/1969  0       Nulo   17     2      
04/04/1969  0       Nulo   21     -1     
05/04/1969  0       Nulo   21     -2     
06/04/1969  0       Nulo   21     -2     
07/04/1969  0       Nulo   21     -2     
08/04/1969  0       Nulo   20     -2     
09/04/1969  0       Nulo   18     2      
10/04/1969  0       Nulo   15     -4     
11/04/1969  0       Nulo   13     5      
12/04/1969  0       Nulo   20     -5     
13/04/1969  0       Nulo   21     -2     
14/04/1969  0       Nulo   16     0      
15/04/1969  0       Nulo   18     -3     
16/04/1969  0       Nulo   18     -1     
17/04/1969  0       Nulo   18     -2     
18/04/1969  0       Nulo   21     -7     
19/04/1969  0       Nulo   20     -3     
20/04/1969  0       Nulo   21     -5     
21/04/1969  0       Nulo   23     -1     
22/04/1969  0       Nulo   24     -1     
23/04/1969  0       Nulo   25     -3     
24/04/1969  0       Nulo   25     -7     
25/04/1969  0       Nulo   22     -4     
26/04/1969  0       Nulo   20     -1     
27/04/1969  0       Nulo   21     4      
28/04/1969  0       Nulo   21     1      
29/04/1969  0       Nulo   21     0      
30/04/1969  0       Nulo   19     -2     
01/05/1969  0       Nulo   17     -3     
02/05/1969  0       Nulo   20     4      
03/05/1969  0       Nulo   19     -3     
04/05/1969  0       Nulo   13     -3     
05/05/1969  2.5     Nulo   10     7      
06/05/1969  0       Nulo   13     4      
07/05/1969  0       Nulo   19     -2     
08/05/1969  0       Nulo   22     -4     
09/05/1969  0       Nulo   22     0      
10/05/1969  0       Nulo   22     -1     
11/05/1969  0       Nulo   21     -2     
12/05/1969  0       Nulo   23     0      
13/05/1969  0       Nulo   21     0      
14/05/1969  0       Nulo   23     0      
15/05/1969  0       Nulo   23     1      
16/05/1969  0       Nulo   25     0      
17/05/1969  0       Nulo   26     1      
18/05/1969  0       Nulo   27     2      
19/05/1969  0       Nulo   28     1      
20/05/1969  0       Nulo   26     2      
21/05/1969  5       Nulo   27     3      
22/05/1969  0       Nulo   23     6      
