CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 8128
NOMBRE    : SAN PEDRO
ESTADO    : CHIHUAHUA
MUNICIPIO : GUADALUPE Y CALVO
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 026.183°
LONGITUD  : -106.6°
ALTITUD   : 2564 msnm

EMISIÓN   : 01/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
07/09/1970  5       0.8    24     7      
08/09/1970  4       1      28     10     
09/09/1970  7       4.5    29     9      
10/09/1970  0       3.8    27     5      
11/09/1970  12      2.6    30     8      
12/09/1970  0       2.6    29     6      
13/09/1970  0       2.1    28     7      
14/09/1970  4.5     1.3    28     9      
15/09/1970  1.5     6.2    27     11     
16/09/1970  19      0.9    28     11     
17/09/1970  10      0.5    27     8      
18/09/1970  15      1      26     10     
19/09/1970  20      2.2    26     10     
20/09/1970  2       2.4    26     6      
21/09/1970  13      2.7    27     6      
22/09/1970  2       2.6    28     7      
23/09/1970  0       3.8    29     5      
24/09/1970  2       2      25     7      
25/09/1970  2       1.6    24     13     
26/09/1970  16      0.3    19     13     
27/09/1970  9       0.1    17     6      
28/09/1970  7       0.9    25     10     
29/09/1970  10      1.3    26     8      
30/09/1970  1       0.7    20     6      
01/10/1970  0       3.1    19     5      
02/10/1970  0       5.2    18     6      
03/10/1970  0       1.9    20     0      
04/10/1970  0       4.6    20     1      
05/10/1970  0       4.2    21     0      
06/10/1970  0       9.3    22     0      
07/10/1970  0       1      21     1      
08/10/1970  0       2.7    21     -3     
09/10/1970  0       4.3    23     -4     
10/10/1970  0       3.4    20     -1     
11/10/1970  0       4.1    17     1      
12/10/1970  0       3.6    20     0      
13/10/1970  0       3      20     -1     
14/10/1970  0       3.3    21     -5     
15/10/1970  0       5.2    26     -5     
16/10/1970  0       3.5    20     -7     
17/10/1970  0       6.1    18     -4     
18/10/1970  0       3.3    17     -2     
19/10/1970  0       2.9    19     -4     
20/10/1970  0       4.4    21     -4     
21/10/1970  1       2.1    17     -5     
22/10/1970  0       0.2    14     -7     
23/10/1970  0       3.3    18     -5     
24/10/1970  0       4.2    20     -3     
25/10/1970  0       3.9    19     -2     
26/10/1970  0       3.4    19     -2     
27/10/1970  0       4.3    18     -4     
28/10/1970  0       1.7    19     -3     
29/10/1970  0       3.7    19     -7     
30/10/1970  0       4.5    20     -4     
31/10/1970  0       3.4    21     -4     
01/11/1970  0       5      21     -6     
02/11/1970  0       0.9    19     -5     
03/11/1970  0       4.1    21     -6     
04/11/1970  0       1.1    18     -5     
05/11/1970  0       3.4    22     -4     
06/11/1970  0       3      20     -3     
07/11/1970  0       2.9    18     2      
08/11/1970  0       4.1    17     4      
09/11/1970  0       1.4    20     2      
10/11/1970  0       3.7    20     -2     
11/11/1970  0       5      20     -2     
12/11/1970  0       2.2    18     -2     
13/11/1970  0       5.7    16     -2     
14/11/1970  0       2.8    14     -6     
15/11/1970  0       2.1    10     -5     
16/11/1970  0       5.3    20     -6     
17/11/1970  0       1.7    20     -9     
18/11/1970  0       0.1    18     -8     
19/11/1970  0       3.5    16     -6     
20/11/1970  0       2.3    20     -4     
21/11/1970  0       3.9    21     -3     
22/11/1970  0       3.4    22     -3     
23/11/1970  0       3      23     -5     
24/11/1970  0       4.2    22     -4     
25/11/1970  0       3.6    21     -7     
26/11/1970  0       0.3    21     -7     
27/11/1970  0       2.5    21     -5     
28/11/1970  0       3.4    21     -4     
29/11/1970  0       1.1    20     -4     
30/11/1970  0       5.6    19     -6     
01/12/1970  0       2      20     -6     
02/12/1970  0       3      21     -4     
03/12/1970  0       2.3    22     -5     
04/12/1970  0       3.2    23     -6     
05/12/1970  0       4.1    21     -6     
06/12/1970  0       2.3    22     -9     
07/12/1970  0       2.4    22     -7     
08/12/1970  0       0.8    21     -6     
09/12/1970  0       5.9    19     -6     
10/12/1970  0       0.3    18     -7     
11/12/1970  0       2.3    17     -6     
12/12/1970  30      2.6    10     -4     
13/12/1970  0       2.5    13     -1     
14/12/1970  2       2.8    10     -1     
15/12/1970  0       2.1    15     -2     
16/12/1970  0       4      19     -9     
17/12/1970  0       4.3    16     -9     
18/12/1970  0       0.6    15     -8     
19/12/1970  1       3      17     -4     
20/12/1970  0       2      12     -3     
21/12/1970  7       0.5    7      5      
22/12/1970  0       0.8    13     1      
23/12/1970  0       1.4    15     -4     
24/12/1970  0       1.7    17     -4     
25/12/1970  0       3.7    22     -5     
26/12/1970  0       3.9    21     -6     
27/12/1970  0       3      19     -6     
28/12/1970  0       5      17     -4     
29/12/1970  0       2.7    19     -5     
30/12/1970  0       2.3    17     -4     
31/12/1970  0       2.6    18     -4     
01/01/1971  0       0.5    17     -5     
02/01/1971  0       2.1    14     -4     
03/01/1971  0       7.3    14     -7     
04/01/1971  0       2      3      -8     
05/01/1971  0       3.1    12     -7     
06/01/1971  0       3.1    10     -10    
07/01/1971  0       3.1    10     -10    
08/01/1971  2       1.6    12     -3     
09/01/1971  10      1      6      -2     
10/01/1971  0       3      11     -6     
11/01/1971  0       0.9    16     -5     
12/01/1971  7.5     6.7    12     -4     
13/01/1971  0       4.7    14     -2     
14/01/1971  0       1.5    12     -7     
15/01/1971  0       1.7    16     -7     
16/01/1971  0       2.6    18     -2     
17/01/1971  0       1.7    20     -4     
18/01/1971  0       5      19     -5     
19/01/1971  0       2.1    21     -5     
20/01/1971  0       2.9    20     -4     
21/01/1971  0       1.5    19     -5     
22/01/1971  0       6.7    16     -5     
23/01/1971  0       0.7    13     -5.2   
24/01/1971  0       5.6    14     -4     
25/01/1971  0       3      17     -8     
26/01/1971  0       1.8    19     -7     
27/01/1971  0       3      21     -6     
28/01/1971  0       4.3    18     -7     
29/01/1971  0       4.3    18     -1     
30/01/1971  0       3.5    18     -7     
31/01/1971  0       3.9    20     -2     
01/02/1971  0       Nulo   20     -6     
02/02/1971  0       Nulo   18     -5     
03/02/1971  0       Nulo   15     -5     
04/02/1971  0       Nulo   15     -17    
05/02/1971  0       Nulo   15     -10    
06/02/1971  0       Nulo   13     -9     
07/02/1971  0       Nulo   12     -9     
08/02/1971  0       Nulo   18     -12    
09/02/1971  0       Nulo   18     -11    
10/02/1971  0       Nulo   17     -3     
11/02/1971  0       Nulo   18     -10    
12/02/1971  0       Nulo   25     -10    
13/02/1971  0       Nulo   19     -8     
14/02/1971  0       Nulo   17     -9     
15/02/1971  0       Nulo   17     -9     
16/02/1971  0       Nulo   13     -11    
17/02/1971  0       Nulo   16     -7     
18/02/1971  0       Nulo   16     -2     
19/02/1971  0       Nulo   17     -9     
20/02/1971  0       Nulo   15     -8     
21/02/1971  0       Nulo   12     -1     
22/02/1971  0       Nulo   19     -1     
23/02/1971  0       Nulo   16     -11    
24/02/1971  0       Nulo   11     -5     
25/02/1971  8       Nulo   10     -1     
26/02/1971  1       Nulo   18     -10    
27/02/1971  0       Nulo   23     -10    
28/02/1971  0       Nulo   17     -8     
01/03/1971  0       Nulo   16     -5     
02/03/1971  0       Nulo   16     -13    
03/03/1971  0       Nulo   18     -11    
04/03/1971  0       Nulo   19     -9     
05/03/1971  0       Nulo   19     -8     
06/03/1971  0       Nulo   17     -7     
07/03/1971  0       Nulo   21     -6     
08/03/1971  0       Nulo   18     -7     
09/03/1971  0       Nulo   20     -1     
10/03/1971  0       Nulo   20     -6     
11/03/1971  0       Nulo   20     -6     
12/03/1971  0       Nulo   20     -8     
13/03/1971  0       Nulo   22     -7     
14/03/1971  0       Nulo   20     -7     
15/03/1971  0       Nulo   21     -6     
16/03/1971  0       Nulo   21     -5     
17/03/1971  0       Nulo   21     -5     
18/03/1971  0       Nulo   20     -4     
19/03/1971  0       Nulo   22     -4     
20/03/1971  0       Nulo   21     -4     
21/03/1971  0       Nulo   19     -2     
22/03/1971  0       Nulo   21     -4     
23/03/1971  0       Nulo   23     -2     
24/03/1971  0       Nulo   20     -2     
25/03/1971  0       Nulo   22     -4     
26/03/1971  0       Nulo   23     -4     
27/03/1971  0       Nulo   20     -1     
28/03/1971  0       Nulo   25     -3     
29/03/1971  0       Nulo   24     -2     
30/03/1971  0       Nulo   24     -3     
31/03/1971  0       Nulo   21     -2     
01/04/1971  0       7      22     -2     
02/04/1971  0       3.6    22     -4     
03/04/1971  0       4.9    20     -2     
04/04/1971  0       3.6    18     -2     
05/04/1971  0       3.7    21     -7     
06/04/1971  0       4.2    22     -3     
07/04/1971  0       4.9    21     -2     
08/04/1971  0       7.7    22     -4     
09/04/1971  0       6.7    25     -7     
10/04/1971  0       8.8    25     -6     
11/04/1971  0       0.7    23     -2     
12/04/1971  0       5.2    22     -3     
13/04/1971  0       7.3    24     -3     
14/04/1971  0       6.6    23     -1     
15/04/1971  0       2.9    15     -1     
16/04/1971  2       3.1    22     -2     
17/04/1971  0       4.1    18     -5     
18/04/1971  0       9.2    18     -3     
19/04/1971  0       5.1    17     -2     
20/04/1971  0       4.7    21     -4     
21/04/1971  0       6.4    22     -2     
22/04/1971  0       6.5    21     -2     
23/04/1971  0       7.1    23     -6     
24/04/1971  0       5.6    22     -3     
25/04/1971  0       11.8   22     -2     
26/04/1971  0       10.4   22     -1     
27/04/1971  0       9.4    22     -1     
28/04/1971  0       9.1    21     0      
29/04/1971  0       9.4    24     -2     
30/04/1971  0       5.4    25     -5     
01/05/1971  0       6.9    25     0      
02/05/1971  0       6      25     -2     
03/05/1971  0       8.3    26     -3     
04/05/1971  0       8.4    25     1      
05/05/1971  0       9.3    20     4      
06/05/1971  0       12.4   20     7      
07/05/1971  0       2.9    22     -4     
08/05/1971  0       6.9    26     0      
09/05/1971  0       5.9    11     5      
10/05/1971  0       5.3    21     -3     
11/05/1971  0       6.6    20     0      
12/05/1971  0       0.8    17     0      
13/05/1971  0       3.9    17     -2     
14/05/1971  0       7.3    21     -4     
15/05/1971  0       6.1    26     1      
16/05/1971  0       4.9    27     0      
17/05/1971  0       4      25     1      
18/05/1971  0       8.4    23     -2     
19/05/1971  0       10.7   26     -3     
20/05/1971  0       6.2    22     -1     
21/05/1971  0       7.5    26     1      
22/05/1971  0       4.6    23     -2     
23/05/1971  0       7.3    24     -5     
24/05/1971  0       6      25     -5     
25/05/1971  0       9.3    27     -2     
26/05/1971  0       9.3    27     -1     
27/05/1971  0       2.9    25     -2     
28/05/1971  0       8.6    26     5      
29/05/1971  0       9.4    23     0      
30/05/1971  0       7.7    23     -7     
31/05/1971  0       7.1    20     -2     
01/06/1971  0       9.5    28     -8     
02/06/1971  0       6.5    27     -6     
03/06/1971  0       9.1    26     -2     
04/06/1971  0       2.5    25     -2     
05/06/1971  0       3.7    26     2      
06/06/1971  0       3.4    27     2      
07/06/1971  0       6.6    22     1      
08/06/1971  0       9.2    26     0      
09/06/1971  0       6.7    25     0      
10/06/1971  0       8.3    25     -1     
11/06/1971  0       8.1    23     2      
12/06/1971  0       2.6    19     -6     
13/06/1971  0       4      24     -3     
14/06/1971  0       3.6    23     2      
15/06/1971  0       4.5    25     -3     
16/06/1971  0       6.1    24     6      
17/06/1971  0       5.3    26     -5     
18/06/1971  1       0.3    24     6      
19/06/1971  8       6.6    25     8      
20/06/1971  4       6      25     7      
21/06/1971  7       2      21     4      
22/06/1971  5       4.3    17     4      
23/06/1971  8       3.1    24     8      
24/06/1971  18      4      19     9      
25/06/1971  21      3.4    20     3      
26/06/1971  2       3      21     8      
27/06/1971  5       3.3    21     8      
28/06/1971  2       4.4    21     9      
29/06/1971  25      4.9    21     9      
30/06/1971  1       9      22     7      
01/07/1971  4.5     0.6    22     10     
02/07/1971  12      4.2    24     8      
03/07/1971  5       8.7    24     7      
04/07/1971  3       6.4    24     6      
05/07/1971  3       3.2    24     11     
06/07/1971  9.5     5.3    24     10     
07/07/1971  4       1.3    22     9      
08/07/1971  0       4.7    23     6      
09/07/1971  3.5     3.1    21     8      
10/07/1971  3.5     4.9    23     6      
11/07/1971  1       6.8    24     6      
12/07/1971  0.5     2.7    24     9      
13/07/1971  0.5     5.6    22     6      
14/07/1971  9       0.5    20     8      
15/07/1971  2.5     1.8    21     10     
16/07/1971  16.5    1.5    21     10     
17/07/1971  14.5    7.9    21     6      
18/07/1971  0.5     3.3    21     6      
19/07/1971  0.5     5.4    24     6      
20/07/1971  6.5     1.4    23     6      
21/07/1971  2.5     7.5    21     6      
22/07/1971  1       8.1    23     9      
23/07/1971  1       4.1    24     10     
24/07/1971  0       6.4    22     11     
25/07/1971  15.5    3.1    22     9      
26/07/1971  6.5     0.2    20     11     
27/07/1971  2       2.7    22     9      
28/07/1971  4.5     7.8    20     11     
29/07/1971  27      5.6    22     8      
30/07/1971  2       4.5    22     7      
31/07/1971  8.5     1.6    22     10     
01/08/1971  15.5    4.6    24     6      
02/08/1971  20      5.8    25     10     
03/08/1971  0       0.9    21     10     
04/08/1971  0       6.7    22     4      
05/08/1971  0       2.6    22     5      
06/08/1971  0       3.4    22     4      
07/08/1971  0       5.1    21     4      
08/08/1971  4.5     1.8    20     7      
09/08/1971  14      2.3    22     7      
10/08/1971  2       3      18     10     
11/08/1971  10      1.2    19     10     
12/08/1971  4.5     3      18     10     
