CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 8139
NOMBRE    : SUECO
ESTADO    : CHIHUAHUA
MUNICIPIO : AHUMADA
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 029.917°
LONGITUD  : -106.383°
ALTITUD   : 1550 msnm

EMISIÓN   : 01/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/01/1962  0       Nulo   9      -6     
02/01/1962  0       Nulo   15     -2     
03/01/1962  0       Nulo   14     -6     
04/01/1962  0       Nulo   15     -4     
05/01/1962  0       Nulo   7      -6     
06/01/1962  0       Nulo   17     -12    
07/01/1962  0       Nulo   17     -3     
08/01/1962  6       Nulo   20     -6     
09/01/1962  0       Nulo   12     -5     
10/01/1962  0       Nulo   10     -18    
11/01/1962  0       Nulo   -5     -26    
12/01/1962  0       Nulo   -7     -23    
13/01/1962  0       Nulo   19     -9     
14/01/1962  0       Nulo   5      -4     
15/01/1962  0       Nulo   11     -11    
16/01/1962  0       Nulo   15     -10    
17/01/1962  0       Nulo   15     -5     
18/01/1962  0       Nulo   18     -8     
19/01/1962  0       Nulo   18     -9     
20/01/1962  0       Nulo   22     -8     
21/01/1962  0       Nulo   20     -4     
22/01/1962  0       Nulo   20     -4     
23/01/1962  0       Nulo   21     2      
24/01/1962  0       Nulo   11     3      
25/01/1962  0       Nulo   12     4      
26/01/1962  0       Nulo   11     -4     
27/01/1962  0       Nulo   14     -10    
28/01/1962  0       Nulo   11     -7     
29/01/1962  0       Nulo   14     -10    
30/01/1962  0       Nulo   15     -9     
31/01/1962  0       Nulo   17     -10    
01/02/1962  0       Nulo   10     -6     
02/02/1962  0       Nulo   12     -8     
03/02/1962  0       Nulo   22     -7     
04/02/1962  0       Nulo   21     -3     
05/02/1962  0       Nulo   20     -5     
06/02/1962  0       Nulo   22     -5     
07/02/1962  0       Nulo   23     0      
08/02/1962  0       Nulo   22     0      
09/02/1962  0       Nulo   24     0      
10/02/1962  0       Nulo   28     1      
11/02/1962  0       Nulo   28     4      
12/02/1962  0       Nulo   26     4      
13/02/1962  6       Nulo   22     2      
14/02/1962  5       Nulo   15     0      
15/02/1962  0       Nulo   17     3      
16/02/1962  0       Nulo   20     4      
17/02/1962  0       Nulo   19     4      
18/02/1962  0       Nulo   17     -3     
19/02/1962  0       Nulo   20     -5     
20/02/1962  0       Nulo   20     3      
21/02/1962  0       Nulo   20     0      
22/02/1962  0       Nulo   18     3      
23/02/1962  0       Nulo   16     -6     
24/02/1962  0       Nulo   21     -3     
25/02/1962  0       Nulo   20     1      
26/02/1962  0       Nulo   20     -2     
27/02/1962  0       Nulo   18     0      
28/02/1962  0       Nulo   12     -5     
01/03/1962  0       Nulo   17     -4     
02/03/1962  0       Nulo   20     -6     
03/03/1962  0       Nulo   19     -4     
04/03/1962  0       Nulo   16     -6     
05/03/1962  0       Nulo   18     -7     
06/03/1962  0       Nulo   24     4      
07/03/1962  0       Nulo   17     9      
08/03/1962  3       Nulo   14     -2     
09/03/1962  0       Nulo   12     2      
10/03/1962  0       Nulo   14     -2     
11/03/1962  0       Nulo   15     -4     
12/03/1962  0       Nulo   15     -8     
13/03/1962  0       Nulo   15     -6     
14/03/1962  0       Nulo   9      -6     
15/03/1962  0       Nulo   13     -13    
16/03/1962  0       Nulo   18     -9     
17/03/1962  0       Nulo   20     4      
18/03/1962  0       Nulo   22     1      
19/03/1962  0       Nulo   25     1      
20/03/1962  0       Nulo   16     3      
21/03/1962  0       Nulo   16     -5     
22/03/1962  0       Nulo   17     -3     
23/03/1962  0       Nulo   22     -3     
24/03/1962  0       Nulo   15     0      
25/03/1962  0       Nulo   21     -8     
26/03/1962  0       Nulo   25     -5     
27/03/1962  0       Nulo   26     -2     
28/03/1962  0       Nulo   25     0      
29/03/1962  0       Nulo   24     0      
30/03/1962  0       Nulo   21     3      
31/03/1962  0       Nulo   18     0      
01/04/1962  0       Nulo   22     -3     
02/04/1962  0       Nulo   22     0      
03/04/1962  0       Nulo   19     0      
04/04/1962  0       Nulo   20     3      
05/04/1962  0       Nulo   22     0      
06/04/1962  0       Nulo   18     5      
07/04/1962  0       Nulo   25     4      
08/04/1962  0       Nulo   27     4      
09/04/1962  0       Nulo   28     3      
10/04/1962  0       Nulo   28     3      
11/04/1962  0       Nulo   23     2      
12/04/1962  0       Nulo   25     1      
13/04/1962  0       Nulo   28     5      
14/04/1962  0       Nulo   29     7      
15/04/1962  0       Nulo   30     5      
16/04/1962  0       Nulo   30     10     
17/04/1962  0       Nulo   32     9      
18/04/1962  0       Nulo   31     8      
19/04/1962  0       Nulo   30     11     
20/04/1962  0       Nulo   29     12     
21/04/1962  0       Nulo   28     14     
22/04/1962  0       Nulo   31     10     
23/04/1962  0       Nulo   23     6      
24/04/1962  0       Nulo   27     3      
25/04/1962  0       Nulo   21     8      
26/04/1962  0       Nulo   23     9      
27/04/1962  0       Nulo   23     9      
28/04/1962  0       Nulo   23     3      
29/04/1962  0       Nulo   29     6      
30/04/1962  0       Nulo   24     9      
01/05/1962  0       Nulo   27     9      
02/05/1962  0       Nulo   25     7      
03/05/1962  0       Nulo   29     10     
04/05/1962  0       Nulo   30     10     
05/05/1962  0       Nulo   30     10     
06/05/1962  0       Nulo   31     13     
07/05/1962  0       Nulo   31     13     
08/05/1962  0       Nulo   31     10     
09/05/1962  0       Nulo   32     12     
10/05/1962  0       Nulo   32     13     
11/05/1962  0       Nulo   35     10     
12/05/1962  0       Nulo   39     12     
13/05/1962  0       Nulo   33     13     
14/05/1962  0       Nulo   31     12     
15/05/1962  0       Nulo   31     9      
16/05/1962  0       Nulo   32     9      
17/05/1962  0       Nulo   32     4      
18/05/1962  0       Nulo   28     7      
19/05/1962  0       Nulo   34     12     
20/05/1962  0       Nulo   30     12     
21/05/1962  0       Nulo   30     12     
22/05/1962  0       Nulo   26     10     
23/05/1962  0       Nulo   32     2      
24/05/1962  0       Nulo   32     6      
25/05/1962  0       Nulo   29     10     
26/05/1962  0       Nulo   31     9      
27/05/1962  0       Nulo   31     9      
28/05/1962  0       Nulo   24     8      
29/05/1962  0       Nulo   27     3      
30/05/1962  0       Nulo   32     3      
31/05/1962  0       Nulo   28     11     
01/06/1962  0       Nulo   30     11     
02/06/1962  0       Nulo   28     14     
03/06/1962  0       Nulo   30     9      
04/06/1962  0       Nulo   30     10     
05/06/1962  0       Nulo   34     8      
06/06/1962  0       Nulo   32     11     
07/06/1962  0       Nulo   32     8      
08/06/1962  0       Nulo   33     12     
09/06/1962  0       Nulo   35     9      
10/06/1962  0       Nulo   34     9      
11/06/1962  0       Nulo   34     8      
12/06/1962  0       Nulo   34     12     
13/06/1962  0       Nulo   32     11     
14/06/1962  0       Nulo   35     8      
15/06/1962  0       Nulo   35     19     
16/06/1962  0       Nulo   35     9      
17/06/1962  0       Nulo   34     10     
18/06/1962  3       Nulo   35     13     
19/06/1962  0       Nulo   33     11     
20/06/1962  0       Nulo   32     15     
21/06/1962  0       Nulo   34     14     
22/06/1962  0       Nulo   35     11     
23/06/1962  0       Nulo   35     17     
24/06/1962  0       Nulo   35     17     
25/06/1962  7       Nulo   33     17     
26/06/1962  0       Nulo   29     12     
27/06/1962  0       Nulo   30     14     
28/06/1962  0       Nulo   32     13     
29/06/1962  2       Nulo   32     15     
30/06/1962  0       Nulo   31     14     
01/07/1962  1       Nulo   31     16     
02/07/1962  0       Nulo   30     12     
03/07/1962  0       Nulo   31     15     
04/07/1962  0       Nulo   27     15     
05/07/1962  0       Nulo   28     15     
06/07/1962  0       Nulo   28     15     
07/07/1962  0       Nulo   31     15     
08/07/1962  0       Nulo   32     17     
09/07/1962  2       Nulo   32     16     
10/07/1962  0       Nulo   25     16     
11/07/1962  4       Nulo   30     16     
12/07/1962  0       Nulo   30     16     
13/07/1962  0       Nulo   28     15     
14/07/1962  0       Nulo   30     16     
15/07/1962  0       Nulo   33     15     
16/07/1962  2       Nulo   32     16     
17/07/1962  0       Nulo   26     14     
18/07/1962  28      Nulo   28     15     
19/07/1962  26      Nulo   26     14     
20/07/1962  0       Nulo   29     15     
21/07/1962  0       Nulo   31     16     
22/07/1962  0       Nulo   32     15     
23/07/1962  0       Nulo   31     15     
24/07/1962  20      Nulo   30     17     
25/07/1962  1.5     Nulo   26     16     
26/07/1962  0       Nulo   28     15     
27/07/1962  7       Nulo   30     16     
28/07/1962  0       Nulo   29     16     
29/07/1962  1       Nulo   30     13     
30/07/1962  0       Nulo   31     13     
31/07/1962  0       Nulo   32     15     
01/08/1962  0       Nulo   30     10     
02/08/1962  0       Nulo   30     14     
03/08/1962  10      Nulo   28     14     
04/08/1962  0       Nulo   30     15     
05/08/1962  0       Nulo   30     13     
06/08/1962  0       Nulo   32     12     
07/08/1962  0       Nulo   34     12     
08/08/1962  0       Nulo   36     15     
09/08/1962  0       Nulo   30     16     
10/08/1962  0       Nulo   35     14     
11/08/1962  0       Nulo   33     14     
12/08/1962  0       Nulo   32     17     
13/08/1962  0       Nulo   33     14     
14/08/1962  0       Nulo   32     14     
15/08/1962  0       Nulo   33     12     
16/08/1962  0       Nulo   31     11     
17/08/1962  0       Nulo   32     11     
18/08/1962  0       Nulo   31     12     
19/08/1962  0       Nulo   30     12     
20/08/1962  0       Nulo   32     11     
21/08/1962  0       Nulo   33     14     
22/08/1962  0       Nulo   32     16     
23/08/1962  0       Nulo   31     15     
24/08/1962  1.5     Nulo   32     17     
25/08/1962  0       Nulo   30     14     
26/08/1962  0       Nulo   30     9      
27/08/1962  0       Nulo   31     12     
28/08/1962  0       Nulo   34     9      
29/08/1962  0       Nulo   33     12     
30/08/1962  0       Nulo   34     13     
31/08/1962  11      Nulo   34     13     
01/09/1962  0       Nulo   27     17     
02/09/1962  0       Nulo   28     15     
03/09/1962  24      Nulo   29     15     
04/09/1962  0       Nulo   24     15     
05/09/1962  0       Nulo   24     14     
06/09/1962  0       Nulo   25     15     
07/09/1962  0       Nulo   25     14     
08/09/1962  0       Nulo   28     12     
09/09/1962  0       Nulo   26     13     
10/09/1962  0       Nulo   30     15     
11/09/1962  0       Nulo   28     14     
12/09/1962  1       Nulo   29     15     
13/09/1962  0       Nulo   29     15     
14/09/1962  0       Nulo   30     14     
15/09/1962  0       Nulo   30     12     
16/09/1962  0       Nulo   31     14     
17/09/1962  0       Nulo   32     12     
18/09/1962  0       Nulo   30     14     
19/09/1962  0       Nulo   30     10     
20/09/1962  0       Nulo   27     10     
21/09/1962  0       Nulo   27     14     
22/09/1962  0       Nulo   26     15     
23/09/1962  0       Nulo   30     13     
24/09/1962  0       Nulo   25     12     
25/09/1962  0       Nulo   23     14     
26/09/1962  0       Nulo   28     14     
27/09/1962  0       Nulo   22     10     
28/09/1962  0       Nulo   27     10     
29/09/1962  0       Nulo   26     10     
30/09/1962  0       Nulo   27     7      
01/10/1962  0       Nulo   25     6      
02/10/1962  0       Nulo   25     9      
03/10/1962  0       Nulo   27     12     
04/10/1962  12      Nulo   17     13     
05/10/1962  0       Nulo   25     8      
06/10/1962  0       Nulo   26     5      
07/10/1962  0       Nulo   25     8      
08/10/1962  0       Nulo   27     12     
09/10/1962  0       Nulo   26     10     
10/10/1962  0       Nulo   28     10     
11/10/1962  2       Nulo   24     13     
12/10/1962  0       Nulo   25     10     
13/10/1962  0       Nulo   27     6      
14/10/1962  0       Nulo   28     6      
15/10/1962  0       Nulo   28     5      
16/10/1962  10      Nulo   27     8      
17/10/1962  0       Nulo   22     9      
18/10/1962  0       Nulo   23     7      
19/10/1962  0       Nulo   25     12     
20/10/1962  0       Nulo   20     2      
21/10/1962  0       Nulo   23     2      
22/10/1962  0       Nulo   24     1      
23/10/1962  0       Nulo   25     1      
24/10/1962  0       Nulo   20     4      
25/10/1962  0       Nulo   22     10     
26/10/1962  0       Nulo   24     10     
27/10/1962  0       Nulo   23     4      
28/10/1962  0       Nulo   22     3      
29/10/1962  0       Nulo   20     2      
30/10/1962  0       Nulo   21     -3     
31/10/1962  0       Nulo   23     0      
01/11/1962  0       Nulo   22     3      
02/11/1962  0       Nulo   24     -1     
03/11/1962  0       Nulo   24     0      
04/11/1962  4       Nulo   25     2      
05/11/1962  0       Nulo   17     6      
06/11/1962  0       Nulo   20     2      
07/11/1962  0       Nulo   20     2      
08/11/1962  0       Nulo   18     -3     
09/11/1962  0       Nulo   23     -4     
10/11/1962  0       Nulo   22     0      
11/11/1962  0       Nulo   21     0      
12/11/1962  0       Nulo   22     -3     
13/11/1962  0       Nulo   23     5      
14/11/1962  0       Nulo   25     3      
15/11/1962  0       Nulo   19     6      
16/11/1962  0       Nulo   10     3      
17/11/1962  0       Nulo   19     0      
18/11/1962  0       Nulo   15     3      
19/11/1962  2       Nulo   10     0      
20/11/1962  0       Nulo   12     -5     
21/11/1962  0       Nulo   19     -3     
22/11/1962  0       Nulo   19     -5     
23/11/1962  0       Nulo   14     2      
24/11/1962  0       Nulo   20     2      
25/11/1962  0       Nulo   21     5      
26/11/1962  0       Nulo   16     6      
27/11/1962  0       Nulo   20     -5     
28/11/1962  0       Nulo   21     0      
29/11/1962  0       Nulo   18     3      
30/11/1962  0       Nulo   15     6      
01/12/1962  0       Nulo   10     3      
02/12/1962  0       Nulo   13     -5     
03/12/1962  0       Nulo   18     -7     
04/12/1962  0       Nulo   16     -4     
05/12/1962  0       Nulo   17     -3     
06/12/1962  0       Nulo   17     -3     
07/12/1962  0       Nulo   9      -4     
08/12/1962  0       Nulo   17     -10    
09/12/1962  0       Nulo   15     -6     
10/12/1962  0       Nulo   18     -4     
11/12/1962  0       Nulo   16     -4     
12/12/1962  2       Nulo   11     -2     
13/12/1962  0       Nulo   11     -2     
14/12/1962  0       Nulo   17     -6     
15/12/1962  0       Nulo   19     -5     
16/12/1962  1       Nulo   20     -5     
17/12/1962  0       Nulo   19     0      
18/12/1962  0       Nulo   20     3      
19/12/1962  0       Nulo   13     1      
20/12/1962  0       Nulo   12     0      
21/12/1962  0       Nulo   10     1      
22/12/1962  0       Nulo   19     -7     
23/12/1962  0       Nulo   11     -6     
24/12/1962  0       Nulo   14     -5     
25/12/1962  0       Nulo   14     -3     
26/12/1962  0       Nulo   12     -7     
27/12/1962  0       Nulo   15     -7     
28/12/1962  0       Nulo   11     -8     
29/12/1962  0       Nulo   12     -10    
30/12/1962  0       Nulo   14     -7     
31/12/1962  0       Nulo   16     -8     
01/01/1963  0       Nulo   17     -4     
02/01/1963  0       Nulo   13     -6     
03/01/1963  0       Nulo   14     0      
04/01/1963  0       Nulo   10     -7     
05/01/1963  0       Nulo   11     -5     
06/01/1963  0       Nulo   11     -2     
07/01/1963  0       Nulo   13     3      
08/01/1963  0       Nulo   12     -7     
09/01/1963  0       Nulo   12     -7     
10/01/1963  0       Nulo   14     -4     
11/01/1963  0       Nulo   15     2      
12/01/1963  0       Nulo   11     -6     
13/01/1963  0       Nulo   0      -8     
14/01/1963  0       Nulo   5      -13    
15/01/1963  0       Nulo   9      -15    
16/01/1963  0       Nulo   13     -16    
17/01/1963  0       Nulo   14     -12    
18/01/1963  0       Nulo   15     -8     
19/01/1963  3       Nulo   14     -9     
20/01/1963  0       Nulo   2      -10    
21/01/1963  0       Nulo   12     -14    
22/01/1963  0       Nulo   13     -11    
23/01/1963  0       Nulo   18     -10    
24/01/1963  0       Nulo   19     -8     
25/01/1963  0       Nulo   20     -5     
26/01/1963  0       Nulo   19     -5     
27/01/1963  0       Nulo   19     -8     
28/01/1963  0       Nulo   20     -5     
29/01/1963  0       Nulo   22     -3     
30/01/1963  0       Nulo   23     -1     
31/01/1963  0       Nulo   23     -3     
01/02/1963  0       Nulo   25     2      
02/02/1963  0       Nulo   19     3      
03/02/1963  0       Nulo   18     2      
04/02/1963  0       Nulo   20     -3     
05/02/1963  0       Nulo   24     -4     
06/02/1963  0       Nulo   20     -3     
07/02/1963  0       Nulo   22     -4     
08/02/1963  0       Nulo   22     -4     
09/02/1963  0       Nulo   17     0      
10/02/1963  3       Nulo   17     4      
11/02/1963  4       Nulo   5      1      
12/02/1963  0       Nulo   2      -8     
13/02/1963  0       Nulo   6      -11    
14/02/1963  0       Nulo   13     -13    
15/02/1963  0       Nulo   11     -11    
16/02/1963  0       Nulo   9      -6     
17/02/1963  0       Nulo   13     -5     
18/02/1963  0       Nulo   14     -5     
19/02/1963  0       Nulo   16     -4     
20/02/1963  0       Nulo   22     -6     
21/02/1963  0       Nulo   20     -4     
22/02/1963  0       Nulo   19     -5     
23/02/1963  0       Nulo   16     -5     
24/02/1963  0       Nulo   19     -5     
25/02/1963  0       Nulo   19     -2     
26/02/1963  0       Nulo   22     -7     
27/02/1963  0       Nulo   24     -3     
28/02/1963  0       Nulo   13     2      
01/03/1963  0       Nulo   21     -7     
02/03/1963  0       Nulo   23     -4     
03/03/1963  0       Nulo   23     0      
04/03/1963  0       Nulo   12     4      
05/03/1963  0       Nulo   11     -3     
06/03/1963  0       Nulo   18     -9     
07/03/1963  0       Nulo   21     -8     
08/03/1963  0       Nulo   20     -4     
09/03/1963  0       Nulo   23     -5     
10/03/1963  0       Nulo   16     1      
11/03/1963  0       Nulo   16     -8     
12/03/1963  0       Nulo   24     -9     
13/03/1963  0       Nulo   23     -1     
14/03/1963  0       Nulo   21     1      
15/03/1963  0       Nulo   23     -2     
16/03/1963  0       Nulo   22     0      
17/03/1963  0       Nulo   25     -1     
18/03/1963  0       Nulo   23     5      
19/03/1963  0       Nulo   15     -4     
20/03/1963  0       Nulo   20     -6     
21/03/1963  0       Nulo   20     -4     
22/03/1963  0       Nulo   19     4      
23/03/1963  0       Nulo   22     5      
24/03/1963  0       Nulo   27     2      
25/03/1963  0       Nulo   25     -3     
26/03/1963  0       Nulo   26     4      
27/03/1963  0       Nulo   28     3      
28/03/1963  0       Nulo   29     2      
29/03/1963  0       Nulo   29     5      
30/03/1963  0       Nulo   25     10     
31/03/1963  0       Nulo   27     8      
01/04/1963  0       Nulo   26     9      
02/04/1963  0       Nulo   25     11     
03/04/1963  0       Nulo   24     2      
04/04/1963  0       Nulo   23     5      
05/04/1963  0       Nulo   22     3      
06/04/1963  0       Nulo   25     -1     
07/04/1963  0       Nulo   30     3      
08/04/1963  0       Nulo   31     5      
09/04/1963  0       Nulo   30     6      
10/04/1963  0       Nulo   29     7      
11/04/1963  0       Nulo   25     6      
12/04/1963  0       Nulo   26     5      
13/04/1963  0       Nulo   26     4      
14/04/1963  0       Nulo   32     3      
15/04/1963  0       Nulo   30     3      
16/04/1963  0       Nulo   28     2      
