CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 8145
NOMBRE    : TOHAYANA (CFE)
ESTADO    : CHIHUAHUA
MUNICIPIO : GUADALUPE Y CALVO
SITUACION : SUSPENDIDA
ORGANISMO : CFE
CVE-OMM   : Nulo
LATITUD   : 026.167°
LONGITUD  : -107.683°
ALTITUD   : 360 msnm

EMISIÓN   : 01/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/01/1961  0       0.9    20.5   8      
02/01/1961  0       1      25.5   8.5    
03/01/1961  0       0.8    25     7      
04/01/1961  0       0.9    24.5   8      
05/01/1961  0       1.6    24.5   13.5   
06/01/1961  0       2.3    23     14.5   
07/01/1961  0       1.9    27     8      
08/01/1961  0       1.8    27     6.5    
09/01/1961  0.8     1.5    27.5   8      
10/01/1961  0       2      30     8      
11/01/1961  0       1.6    29.5   8.5    
12/01/1961  0       2.3    30     8      
13/01/1961  0       2      29.5   7      
14/01/1961  0       2.4    30     7      
15/01/1961  0       1.7    30     6.5    
16/01/1961  0       1.8    28.5   8      
17/01/1961  19      3.1    25     11     
18/01/1961  36      9      18     13     
19/01/1961  27      5.7    20     16     
20/01/1961  22      1.9    22     17     
21/01/1961  0       1.8    23.5   16     
22/01/1961  4.5     2.2    22     13     
23/01/1961  20      2.2    17     14     
24/01/1961  0.5     1.3    22     13     
25/01/1961  0       2.2    26     10     
26/01/1961  0       1.4    27     9      
27/01/1961  0       1.9    27.5   9      
28/01/1961  0       1.4    27     9      
29/01/1961  0       2.2    28     9      
30/01/1961  0       1.3    27     9.5    
31/01/1961  0       2.8    30     11     
01/02/1961  0       2.7    28.5   9.5    
02/02/1961  0       2.8    30     9      
03/02/1961  0       2.6    28     9.5    
04/02/1961  0       2.7    27     9      
05/02/1961  0       3.1    25     7      
06/02/1961  0       2.7    23     5      
07/02/1961  0       2.6    26     5      
08/02/1961  0       2.1    27     6      
09/02/1961  0       2.8    30     6      
10/02/1961  0       3.2    31.5   6      
11/02/1961  0       2.4    31.5   7      
12/02/1961  0       4      34     9      
13/02/1961  0       1.9    30     7      
14/02/1961  0       4.2    32.5   9      
15/02/1961  0       3      34     9      
16/02/1961  0       4.3    31     9.5    
17/02/1961  0       3.9    29     8      
18/02/1961  0       3.4    29.5   8      
19/02/1961  0       1.7    23     9      
20/02/1961  0       2.9    29     6      
21/02/1961  0       5.5    29     6      
22/02/1961  0       2.5    30     6      
23/02/1961  0       1.1    30     8      
24/02/1961  0       4      34     6      
25/02/1961  0       3.1    35     5      
26/02/1961  0       3.8    33     5      
27/02/1961  0       3.7    33     7      
28/02/1961  0       4.6    33     7      
01/03/1961  0       4.3    34     8      
02/03/1961  0       4.4    34.5   9      
03/03/1961  0       4      32     8.5    
04/03/1961  0       4.3    32.5   7      
05/03/1961  0       4.5    31.5   8      
06/03/1961  0       5.2    31.5   9.5    
07/03/1961  0       5      33.5   9.5    
08/03/1961  0       2.9    38     9      
09/03/1961  0       5.6    38.5   13.5   
10/03/1961  0       6      34     11.5   
11/03/1961  0       5.5    32     10     
12/03/1961  0       6.6    34.5   8      
13/03/1961  0       5.4    34     8.5    
14/03/1961  0       4.7    34     10     
15/03/1961  0       5.4    32.5   12     
16/03/1961  0       3.9    29     9      
17/03/1961  0       6.5    30     8.5    
18/03/1961  0       5.1    31     7.5    
19/03/1961  0       6.7    30.5   8      
20/03/1961  0       5.6    33     8      
21/03/1961  0       7.4    34.5   9      
22/03/1961  0       5.1    34.5   11     
23/03/1961  0       7.3    33     11     
24/03/1961  0       5.4    31     10     
25/03/1961  0       5.4    30     11     
26/03/1961  0       5.7    31     12     
27/03/1961  0       5.5    32     12     
28/03/1961  0       6.3    33     11.5   
29/03/1961  0       5.7    30.5   11     
30/03/1961  0       6      29     14.5   
31/03/1961  0       5.7    31     6      
01/04/1961  0       5.9    32     8      
02/04/1961  0       8      31.5   11     
03/04/1961  0       5.2    33.5   12     
04/04/1961  0       0.3    23.5   13     
05/04/1961  0       4.9    29     10     
06/04/1961  0       7      33.5   12.5   
07/04/1961  0       7.3    34     13     
08/04/1961  0       7.4    34     13     
09/04/1961  0       6.6    37     14     
10/04/1961  0       7.5    34     13     
11/04/1961  0       6.5    34.5   10.5   
12/04/1961  0       7.1    38     11.5   
13/04/1961  0       9.3    38     14     
14/04/1961  0       7.1    38     14     
15/04/1961  0       7.4    39.5   12     
16/04/1961  0.5     7.2    40.5   13.5   
17/04/1961  0       7.1    38.5   19     
18/04/1961  0       6.8    38.5   17.5   
19/04/1961  0       8.7    39     16     
20/04/1961  0       5.8    38     16.5   
21/04/1961  0       8.3    40.5   18     
22/04/1961  0       9.2    45     19.5   
23/04/1961  0       5.8    38     20.5   
24/04/1961  0       7.2    35     20.5   
25/04/1961  0       7.5    38     18     
26/04/1961  0       7.5    38.5   14     
27/04/1961  0       7.7    40     16     
28/04/1961  0       8.6    42     16     
29/04/1961  0       9.5    42     15.5   
30/04/1961  0       7.2    41     17     
01/05/1961  0       11.1   42     18     
02/05/1961  0       10.7   40.5   17     
03/05/1961  0       9.9    39     17     
04/05/1961  0       9.5    37     16.5   
