CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 8176
NOMBRE    : JANOS (DGE)
ESTADO    : CHIHUAHUA
MUNICIPIO : JANOS
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 030.867°
LONGITUD  : -108.183°
ALTITUD   : 1357 msnm

EMISIÓN   : 01/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/01/1985  0       Nulo   11     -2     
02/01/1985  0       Nulo   13     -2     
03/01/1985  0       Nulo   7      -5     
04/01/1985  0       Nulo   9      -6     
05/01/1985  0       5.4    11.5   -3     
06/01/1985  0       1.9    14     -4     
07/01/1985  0       2.1    9      -2     
08/01/1985  0       4.1    14     1      
09/01/1985  0       1.6    11     3      
10/01/1985  0       1.6    14     1      
11/01/1985  0       Nulo   13     -1.5   
12/01/1985  0       Nulo   9      0      
13/01/1985  0       Nulo   5      -6     
14/01/1985  0       Nulo   6      -5     
15/01/1985  0       Nulo   4      -2     
16/01/1985  0       Nulo   3      -3     
17/01/1985  0       Nulo   7      -3     
18/01/1985  0       Nulo   9      -3     
19/01/1985  0       Nulo   18     -3     
20/01/1985  0       Nulo   10.5   -1     
21/01/1985  0       2.6    8      -4     
22/01/1985  0       1.9    13     -3     
23/01/1985  0       Nulo   10.5   -1     
24/01/1985  0       Nulo   14     4      
25/01/1985  0       Nulo   12     8      
26/01/1985  11      Nulo   9      8      
27/01/1985  0       Nulo   10     4      
28/01/1985  0       1.7    13     3      
29/01/1985  0       8.2    14     3.5    
30/01/1985  0       4.7    11     6      
31/01/1985  0       Nulo   14     5      
01/02/1985  0       1      5      -1.5   
02/02/1985  0       1.1    8      -6.5   
03/02/1985  0       1.8    8      -6     
04/02/1985  0       6.1    10     -3     
05/02/1985  6       3.2    5      0      
06/02/1985  0       3.5    10     -3.5   
07/02/1985  0       1.2    11.5   -3     
08/02/1985  0       2.4    17     -3     
09/02/1985  0       4.6    15     -2     
10/02/1985  0       2.6    15     2.5    
11/02/1985  0       6.5    11.5   -1.5   
12/02/1985  0       4      16     -2.5   
13/02/1985  0       1.6    17     -2     
14/02/1985  0       4.6    17     -1     
15/02/1985  0       1.6    19     -1.5   
16/02/1985  0       3.6    22     -1     
17/02/1985  0       6.8    23     2      
18/02/1985  0       3.6    21     3.5    
19/02/1985  0       3.4    20     4      
20/02/1985  0       4.8    19     6      
21/02/1985  0       6      16.5   1      
22/02/1985  0       2.6    7.5    -4     
23/02/1985  0       3.1    10     -4     
24/02/1985  0       3.1    10     -2.5   
25/02/1985  0       3.6    12     -0.5   
26/02/1985  0       1.4    18     -2     
27/02/1985  5       4      16     2      
28/02/1985  0       2.6    Nulo   2      
01/03/1985  0       Nulo   19     5      
02/03/1985  0       3.8    21.5   2      
03/03/1985  0       10.4   12     2      
04/03/1985  0       4.2    13     2      
05/03/1985  0       4.6    19     2      
06/03/1985  0       4.8    23.5   3      
07/03/1985  0       5.8    23     5      
08/03/1985  0       4.2    24     2      
09/03/1985  0       4.8    24     2      
10/03/1985  0       4.9    25     9      
11/03/1985  0       5.2    23.5   9      
12/03/1985  0       9.5    20     4      
13/03/1985  4       2.2    13     10     
14/03/1985  4       3.1    12     9      
15/03/1985  0       2.5    14     8      
16/03/1985  0       3.4    15     3      
17/03/1985  0       5      16     3      
18/03/1985  0       3.8    17     4      
19/03/1985  0       3.9    12     4      
20/03/1985  0       6.6    16     4      
21/03/1985  0       4.8    20     4      
22/03/1985  0       4      17     4      
23/03/1985  0       9.2    19     2      
24/03/1985  0       5.6    24     3.5    
25/03/1985  0       5.2    24     5      
26/03/1985  0       7.4    20     9      
27/03/1985  0       7.8    22     7.5    
28/03/1985  0       11.6   20.5   8      
29/03/1985  3       10.5   11     9      
30/03/1985  0       2.3    10     -1     
31/03/1985  0       4.1    18     -3.5   
01/04/1985  0       4      21     -2     
02/04/1985  0       8.4    26     -2     
03/04/1985  0       5.6    24     3      
04/04/1985  0       7.8    22     6      
05/04/1985  0       10     24     7      
06/04/1985  0       7.3    25     6      
07/04/1985  0       8      28     7      
08/04/1985  0       7.2    22.5   9      
09/04/1985  0       6.8    21     10     
10/04/1985  0       4.9    24     9      
11/04/1985  0       3.4    22.5   9      
12/04/1985  0       8.8    28     8      
13/04/1985  0       7.2    26     9      
14/04/1985  0       8      28.5   11     
15/04/1985  0       7.7    29     7      
16/04/1985  0       8.1    28     10     
17/04/1985  0       7.6    28     12     
18/04/1985  0       6.6    25     11.5   
19/04/1985  0       12.3   23     12.5   
20/04/1985  0       9.7    24     10     
21/04/1985  0       10.5   21     11     
22/04/1985  0       10.1   21     10     
23/04/1985  0       8.3    24     6      
24/04/1985  0       6.1    28     8      
25/04/1985  0       10     23     13     
26/04/1985  17      9.7    20     13.5   
27/04/1985  2       2.2    12     4      
28/04/1985  0       2      13     6      
29/04/1985  0       5.6    22     4      
30/04/1985  0       5.8    Nulo   8      
01/05/1985  0       6.7    28     13     
02/05/1985  3       6.6    27     15     
03/05/1985  0       9.5    25     13     
04/05/1985  0       5.8    28     12     
05/05/1985  0       9.3    27     12     
06/05/1985  0       10.3   28     12     
07/05/1985  0       7.7    29     14     
08/05/1985  0       6.8    31     13     
09/05/1985  0       9      32     15     
10/05/1985  0       11.5   25     15     
11/05/1985  0       9.4    24     12     
12/05/1985  0       9      25     9      
13/05/1985  0       10.4   24     11     
14/05/1985  0       12.4   26     9      
15/05/1985  0       8.1    30     8      
16/05/1985  0       7.6    30     12     
17/05/1985  0       10     29     11     
18/05/1985  0       9      28     13     
19/05/1985  0       10     26     15     
20/05/1985  0       4.9    25     15     
21/05/1985  0       3.3    29     11.5   
22/05/1985  0       9.7    27     13     
23/05/1985  0       8.8    30.5   11     
24/05/1985  0       8.4    31.5   11     
25/05/1985  0       10     32     14     
26/05/1985  0       11.7   31     12     
27/05/1985  0       11.1   32     13     
28/05/1985  0       11     29     14     
29/05/1985  0       11.5   31     12     
30/05/1985  0       12.2   32     10     
31/05/1985  0       10.9   30     11     
06/06/1985  Nulo    Nulo   34     Nulo   
07/06/1985  0       10.6   36     15     
08/06/1985  0       11.7   38     20     
09/06/1985  0       12.2   38     20     
10/06/1985  0       11.2   35     19     
11/06/1985  0       10.6   34     22     
12/06/1985  0       10.8   34     19     
13/06/1985  0       10.5   35     21     
14/06/1985  0       11.8   36     21     
15/06/1985  0       11.4   36     17     
16/06/1985  0       12.8   37     21     
17/06/1985  0       12.3   38     23     
18/06/1985  0       12     35     21     
19/06/1985  0       11.5   33     21     
20/06/1985  0       11.6   33     18     
21/06/1985  0       10.6   31     22     
22/06/1985  0       10.2   33     21     
23/06/1985  0       8.5    33     23     
24/06/1985  0       7.9    31     21     
25/06/1985  0       8.1    31     18     
26/06/1985  0       9      32     16     
27/06/1985  0       10.9   32     16     
28/06/1985  0       10.4   32     18     
29/06/1985  0       11     34     17     
30/06/1985  0       12.3   Nulo   16     
01/07/1985  0       10.1   36     12     
02/07/1985  0       11.1   35     22     
03/07/1985  0       9.9    33     20     
04/07/1985  0       10.5   35     19     
05/07/1985  0       10.2   36     18     
06/07/1985  0       10.4   38     21     
07/07/1985  0       13.1   35     20     
08/07/1985  0       1.2    32     21     
09/07/1985  0       13.2   33     18     
10/07/1985  0       10.6   36     18     
11/07/1985  0       11.1   35.5   22     
12/07/1985  0       11.4   34     19     
13/07/1985  0       11.1   35     15     
14/07/1985  0       11.3   35     16     
15/07/1985  3       11.3   35     23     
16/07/1985  0       11.8   32     18     
17/07/1985  0       9.2    33.5   19     
18/07/1985  3       7.6    33     21     
19/07/1985  11      6.5    30     20     
20/07/1985  27      4.8    23     20     
21/07/1985  0       5.2    28     19     
22/07/1985  3       Nulo   27     18     
23/07/1985  0       Nulo   27     19     
24/07/1985  0       Nulo   30     19     
25/07/1985  0       Nulo   33     20     
26/07/1985  0       Nulo   27     23     
27/07/1985  11      Nulo   28.5   21     
28/07/1985  5       Nulo   28     19     
29/07/1985  0       Nulo   28     19     
30/07/1985  0       Nulo   32     18     
31/07/1985  4       Nulo   34     19     
01/08/1985  10      5.4    28     21     
02/08/1985  15      5.5    28     19     
03/08/1985  0       5      29     17.5   
04/08/1985  0       4.6    32     19     
05/08/1985  5       4.4    33     20     
06/08/1985  0       3.6    33.5   20     
07/08/1985  0       6.6    30     22     
08/08/1985  29      10.6   34     20     
09/08/1985  0       9.1    30     19     
10/08/1985  11      Nulo   27     20.5   
11/08/1985  3       Nulo   23     19     
12/08/1985  0       Nulo   26     19     
13/08/1985  0       Nulo   30.5   16     
14/08/1985  0       Nulo   31     17     
15/08/1985  0       Nulo   32     17     
16/08/1985  0       Nulo   32     18     
17/08/1985  0       Nulo   31     18     
18/08/1985  0       Nulo   29     19     
19/08/1985  16      Nulo   25.5   20     
20/08/1985  0       Nulo   29     19     
21/08/1985  0       Nulo   30     17     
22/08/1985  0       Nulo   33     18     
23/08/1985  0       Nulo   35     19.5   
24/08/1985  0       Nulo   34     20     
25/08/1985  0       Nulo   33     21     
26/08/1985  0       Nulo   33     19     
27/08/1985  0       Nulo   32     20     
28/08/1985  0       Nulo   33.5   18     
29/08/1985  0       Nulo   32     17     
30/08/1985  0       Nulo   32     18     
31/08/1985  0       Nulo   31.5   19     
01/09/1985  0       6.7    31     20     
02/09/1985  0       6.1    30.5   21     
03/09/1985  0       6      28     20     
04/09/1985  0       4.1    27     17     
05/09/1985  0       8.4    27     14     
06/09/1985  0       8.2    30     12     
07/09/1985  0       7.3    29     12     
08/09/1985  0       9      31     13     
