CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 8221
NOMBRE    : CAJURICHI (DGE)
ESTADO    : CHIHUAHUA
MUNICIPIO : OCAMPO
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 028.083°
LONGITUD  : -108.133°
ALTITUD   : 2180 msnm

EMISIÓN   : 01/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/02/1966  0       Nulo   22     -7     
02/02/1966  0       Nulo   14     -4     
03/02/1966  0       Nulo   18     -5     
04/02/1966  0       Nulo   13     -2     
05/02/1966  0       Nulo   17     -5     
06/02/1966  0       Nulo   16     -4     
07/02/1966  9       Nulo   9      0      
08/02/1966  0       Nulo   3      -2     
09/02/1966  0       Nulo   5      -3     
10/02/1966  0       Nulo   3      0      
11/02/1966  0       Nulo   13     -15    
12/02/1966  0       Nulo   10     -13    
13/02/1966  0       Nulo   10     -12    
14/02/1966  0       Nulo   10     -6     
15/02/1966  0       Nulo   11     -5     
16/02/1966  0       Nulo   12     -10    
17/02/1966  0       Nulo   15     -11    
18/02/1966  0       Nulo   17     -5     
19/02/1966  0       Nulo   18     -10    
20/02/1966  0       Nulo   18     -8     
21/02/1966  0       Nulo   15     -12    
22/02/1966  0       Nulo   14     -6     
23/02/1966  0       Nulo   14     -6     
24/02/1966  0       Nulo   10     -6     
25/02/1966  0       Nulo   15     -3     
26/02/1966  0       Nulo   16     -9     
27/02/1966  0       Nulo   11     -4     
28/02/1966  0       Nulo   10     -13    
01/03/1966  0       Nulo   19     -8     
02/03/1966  0       Nulo   18     -6     
03/03/1966  0       Nulo   17     -7     
04/03/1966  0       Nulo   18     -5     
05/03/1966  0       Nulo   18     -5     
06/03/1966  0       Nulo   8      -10    
07/03/1966  0       Nulo   17     -7     
08/03/1966  0       Nulo   20     -6     
09/03/1966  0       Nulo   22     -5     
10/03/1966  0       Nulo   18     -11    
11/03/1966  0       Nulo   20     -8     
12/03/1966  0       Nulo   21     -10    
13/03/1966  0       Nulo   22     -9     
14/03/1966  0       Nulo   13     -8     
15/03/1966  0       Nulo   20     -5     
16/03/1966  0       Nulo   19     -7     
17/03/1966  0       Nulo   20     -5     
18/03/1966  0       Nulo   18     0      
19/03/1966  0       Nulo   22     -8     
20/03/1966  0       Nulo   20     -5     
21/03/1966  0       Nulo   20     -5     
22/03/1966  0       Nulo   20     -6     
23/03/1966  0       Nulo   23     -5     
24/03/1966  0       Nulo   19     0      
25/03/1966  0       Nulo   14     -1     
26/03/1966  0       Nulo   15     0      
27/03/1966  0       Nulo   10     -5     
28/03/1966  0       Nulo   12     -4     
29/03/1966  0       Nulo   19     -4     
30/03/1966  0       Nulo   19     -3     
31/03/1966  0       Nulo   17     -6     
01/04/1966  0       Nulo   18     3      
02/04/1966  0       2      13     2      
03/04/1966  0       2      19     0      
04/04/1966  0       2      21     0      
05/04/1966  0       1      22     0      
06/04/1966  0       3      20     0      
07/04/1966  0       3      19     0      
08/04/1966  0       5      20     3      
09/04/1966  0       4.1    22     5      
10/04/1966  0       4      20     3      
11/04/1966  0       5      21     4      
12/04/1966  0       5      22     5      
13/04/1966  0       5      23     2      
14/04/1966  0       6.1    24     0      
15/04/1966  6       12     23     0      
16/04/1966  0       6      19     3      
17/04/1966  0       5      19     3      
18/04/1966  0       6      18     1      
19/04/1966  0       6      18     0      
20/04/1966  0       6.1    19     0      
21/04/1966  0       3.9    15     0      
22/04/1966  0       7      13     0      
23/04/1966  0       3.4    19     5      
24/04/1966  0       6.5    18     0      
25/04/1966  0       8.1    20     0      
26/04/1966  0       7      20     2      
27/04/1966  0       8.8    25     8      
28/04/1966  0       8.8    27     9      
29/04/1966  0       4.5    24     10     
30/04/1966  0       3      24     10     
01/05/1966  0       3      22     9      
02/05/1966  0       2.5    23     9      
03/05/1966  2       5.6    22     8      
04/05/1966  0       3.9    23     9      
05/05/1966  2.5     10     24     8      
06/05/1966  0       8.7    25     8      
07/05/1966  0       5.7    27     9      
08/05/1966  0       5.9    26     10     
09/05/1966  0       5.9    24     8      
10/05/1966  0       5.6    23     9      
11/05/1966  0       6      20     7      
12/05/1966  0       4.9    22     4      
13/05/1966  0       3.8    24     8      
14/05/1966  0       4.7    25     7      
15/05/1966  0       5.1    22     5      
16/05/1966  0       5.4    29     4      
17/05/1966  0       6      26     8      
18/05/1966  0       5      27     9      
19/05/1966  0       4.7    26     9      
20/05/1966  0       5.3    26     8      
21/05/1966  0       5.4    27     7      
22/05/1966  0       5.4    27     8      
23/05/1966  0       3.3    22     9      
24/05/1966  0       3.8    25     7      
25/05/1966  0       4      27     8      
26/05/1966  0       2.7    16     7      
27/05/1966  0       2.3    10     7      
28/05/1966  0       3.1    12     4      
29/05/1966  0       3.1    14     4      
30/05/1966  0       2.9    12     4      
31/05/1966  0       3.1    14     5      
01/06/1966  0       2.8    18     0      
02/06/1966  0       3.6    15     0      
03/06/1966  0       1.1    31     8      
04/06/1966  0       11.8   30     0      
05/06/1966  0       11.9   25     9      
06/06/1966  0       10.2   30     0      
07/06/1966  0       5      28     3      
08/06/1966  0       5.3    27     4      
09/06/1966  0       4.4    25     0      
10/06/1966  4.5     8.7    22     0      
11/06/1966  0       5.4    24     2      
12/06/1966  0       8.6    30     4      
13/06/1966  0       8.1    31     5      
14/06/1966  0       5.8    31     8      
15/06/1966  2       3.9    28     8      
16/06/1966  2.5     4.2    28     8      
17/06/1966  0       6.7    30     9      
18/06/1966  4       8.6    30     8      
19/06/1966  9       6.9    28     3      
20/06/1966  4       6.3    30     4      
21/06/1966  15      9.8    29     2      
22/06/1966  0       8.4    27     0      
23/06/1966  0       8.1    30     10     
24/06/1966  0       8.3    28     8      
25/06/1966  12      7.6    29     7      
26/06/1966  14      8.4    25     4      
27/06/1966  3       9.6    25     5      
28/06/1966  0       7.8    26     4      
29/06/1966  5       7.1    25     8      
30/06/1966  12      10.8   27     4      
01/07/1966  0       6.9    29     5      
02/07/1966  2       6      28     6      
03/07/1966  0       6.7    28     5      
04/07/1966  20      5.8    28     5      
05/07/1966  0       8.8    30     9      
06/07/1966  8       6.2    27     7      
07/07/1966  20      7.3    25     5      
08/07/1966  0       7.7    30     5      
09/07/1966  10      6.9    27     6      
10/07/1966  0       7.3    29     5      
11/07/1966  4       7.6    28     6      
12/07/1966  5       8.1    29     7      
13/07/1966  2       7.3    27     6      
14/07/1966  2       4.9    28     6      
15/07/1966  3       7.5    27     6      
16/07/1966  0       8.3    30     7      
17/07/1966  2       6.4    29     8      
18/07/1966  10      7.7    28     5      
19/07/1966  35      8.5    29     7      
20/07/1966  30      7.8    27     6      
21/07/1966  40      7.6    23     3      
22/07/1966  15      5.7    28     2      
23/07/1966  7       6.6    29     4      
24/07/1966  18      8.3    29     8      
25/07/1966  0       6.5    28     8      
26/07/1966  0       5.6    29     6      
27/07/1966  0       6.9    30     7      
28/07/1966  45      5.5    24     8      
29/07/1966  43      6.4    23     4      
30/07/1966  0       6.8    27     3      
31/07/1966  35      5      28     5      
01/08/1966  25      5.2    27     3      
02/08/1966  18      7      28     4      
03/08/1966  20      3.8    27     4      
04/08/1966  19      5.2    28     3      
05/08/1966  20      4      27     4      
06/08/1966  20      6.6    28     4      
07/08/1966  18      3.8    29     4      
08/08/1966  0       9.4    27     4      
09/08/1966  2       10.2   27     4      
10/08/1966  2       5.8    28     8      
11/08/1966  20      7.9    29     7      
12/08/1966  25      4.8    25     9      
13/08/1966  45      3.1    24     10     
14/08/1966  13.5    3.5    21     11     
15/08/1966  37      4.3    26     13     
16/08/1966  0       2      24     8      
17/08/1966  4       2      23     11     
18/08/1966  9.5     2.5    25     13     
19/08/1966  3       2.3    23     10     
20/08/1966  2.5     2      23     12     
21/08/1966  2.5     3.7    25     14     
22/08/1966  13      3      22     9      
23/08/1966  0       3.1    21     7      
24/08/1966  7       2.1    22     10     
25/08/1966  10      2.3    22     13     
26/08/1966  9       3      23     12     
27/08/1966  11.5    2      21     11     
28/08/1966  0       2      23     11     
29/08/1966  11.5    4.1    25     9      
30/08/1966  0       7.4    24     9      
31/08/1966  0       1.6    26     9      
01/09/1966  0       1.6    28     10     
02/09/1966  0       2      29     11     
03/09/1966  2       1      28     11     
04/09/1966  3       1.9    25     10     
05/09/1966  3       2.6    26     9      
06/09/1966  6       2      28     8      
07/09/1966  2       1.3    24     10     
08/09/1966  0       0.7    25     8      
09/09/1966  6       3.7    26     8      
10/09/1966  5.5     4.3    25     8      
11/09/1966  1       3.5    25     7      
12/09/1966  0       1      26     6      
13/09/1966  0       1      25     8      
14/09/1966  0       3.5    25     7      
15/09/1966  0       3      26     7      
16/09/1966  2       4.6    25     9      
17/09/1966  4.5     1.5    25     8      
18/09/1966  3       0.4    25     9      
19/09/1966  6       1.4    24     7      
20/09/1966  0       5.4    25     8      
21/09/1966  0       4.8    25     7      
22/09/1966  0       1.2    26     7      
23/09/1966  0       3.4    26     8      
24/09/1966  0       1.5    25     6      
25/09/1966  3       0.9    27     7      
26/09/1966  0       1.4    26     8      
27/09/1966  7       1.9    24     9      
28/09/1966  17      1.6    18     7      
29/09/1966  0       1.8    22     6      
30/09/1966  0       2.2    23     7      
01/10/1966  0       2.4    23     6      
02/10/1966  0       3.8    21     7      
03/10/1966  0       4.9    21     5      
04/10/1966  0       3.6    20     5      
05/10/1966  1.5     0.7    23     7      
06/10/1966  12      1.2    18     6      
07/10/1966  4       2      21     6      
08/10/1966  0       1.7    21     6      
09/10/1966  0       2.1    24     7      
10/10/1966  0       5.1    25     8      
11/10/1966  0       3      24     6      
12/10/1966  0       3      23     5      
13/10/1966  0       1.3    22     2      
14/10/1966  0       3.9    22     3      
15/10/1966  0       3      21     6      
16/10/1966  0       2.1    23     7      
17/10/1966  0       Nulo   20     3      
18/10/1966  0       Nulo   24     2      
19/10/1966  0       Nulo   21     3      
20/10/1966  0       Nulo   23     1      
21/10/1966  0       Nulo   20     2      
22/10/1966  0       Nulo   21     2      
23/10/1966  0       Nulo   22     2      
24/10/1966  0       6.3    23     1      
25/10/1966  0       3.5    22     2      
26/10/1966  0       5      21     1      
27/10/1966  0       Nulo   22     2      
28/10/1966  0       Nulo   23     3      
29/10/1966  0       2.1    22     1      
30/10/1966  0       Nulo   22     1      
31/10/1966  0       Nulo   23     1      
01/11/1966  0       Nulo   23     -1     
02/11/1966  0       Nulo   23     -2     
03/11/1966  0       Nulo   21     -1     
04/11/1966  0       Nulo   20     0      
05/11/1966  0       Nulo   21     -1     
06/11/1966  0       Nulo   19     -1     
07/11/1966  0       Nulo   18     -2     
08/11/1966  0       Nulo   17     2      
09/11/1966  0       Nulo   15     -1     
10/11/1966  0       Nulo   17     -5     
11/11/1966  0       Nulo   20     -6     
12/11/1966  0       Nulo   20     -6     
13/11/1966  0       Nulo   23     -3     
14/11/1966  0       Nulo   23     -2     
15/11/1966  0       Nulo   22     -5     
16/11/1966  0       Nulo   25     -6     
17/11/1966  0       Nulo   24     -1     
18/11/1966  0       Nulo   21     -5     
19/11/1966  0       Nulo   20     -6     
20/11/1966  0       Nulo   21     -6     
21/11/1966  0       Nulo   20     -3     
22/11/1966  0       Nulo   21     -4     
23/11/1966  0       Nulo   21     -5     
24/11/1966  0       Nulo   20     -3     
25/11/1966  0       Nulo   22     -4     
26/11/1966  0       Nulo   20     -1     
27/11/1966  0       Nulo   20     0      
28/11/1966  0       Nulo   22     -1     
29/11/1966  0       Nulo   21     -2     
30/11/1966  0       Nulo   22     -1     
01/12/1966  0       Nulo   21     -6     
02/12/1966  0       Nulo   20     -7     
03/12/1966  0       Nulo   21     -5     
04/12/1966  0       Nulo   23     -6     
05/12/1966  0       Nulo   20     -6     
06/12/1966  0       Nulo   20     -5     
07/12/1966  0       Nulo   21     -6     
08/12/1966  0       Nulo   19     -6     
09/12/1966  0       Nulo   20     -5     
10/12/1966  0       Nulo   18     -6     
11/12/1966  0       Nulo   19     -6     
12/12/1966  0       Nulo   19     -5     
13/12/1966  0       Nulo   20     -6     
14/12/1966  0       Nulo   21     -5     
15/12/1966  0       Nulo   19     -6     
16/12/1966  0       Nulo   17     -6     
17/12/1966  0       Nulo   20     -5     
18/12/1966  0       Nulo   21     -6     
19/12/1966  0       Nulo   20     -5     
20/12/1966  0       Nulo   20     -6     
21/12/1966  2       Nulo   15     -5     
22/12/1966  1.5     Nulo   10     -5     
23/12/1966  0       Nulo   17     -4     
24/12/1966  0       Nulo   14     -5     
25/12/1966  0       Nulo   15     -6     
26/12/1966  0       Nulo   15     -4     
27/12/1966  0       Nulo   12     -4     
28/12/1966  0       Nulo   13     -5     
29/12/1966  0       Nulo   12     -5     
30/12/1966  0       Nulo   13     -6     
31/12/1966  0       Nulo   8      -5     
01/01/1967  0       Nulo   10     -4     
02/01/1967  0       Nulo   11     -5     
03/01/1967  0       Nulo   12     -6     
04/01/1967  0       Nulo   20     -6     
05/01/1967  Nulo    Nulo   Nulo   -6     
16/01/1967  0       Nulo   17     Nulo   
17/01/1967  0       Nulo   18     -6     
18/01/1967  0       Nulo   17     -4     
19/01/1967  0       Nulo   19     -3     
20/01/1967  0       Nulo   17     -3     
21/01/1967  0       Nulo   18     -4     
22/01/1967  0       Nulo   18     -5     
23/01/1967  0       Nulo   20     -4     
24/01/1967  0       Nulo   16     -3     
25/01/1967  0       Nulo   17     -2     
26/01/1967  0       Nulo   21     -2     
27/01/1967  0       Nulo   20     -4     
28/01/1967  0       Nulo   21     -5     
29/01/1967  0       Nulo   19     -4     
30/01/1967  0       Nulo   20     -3     
31/01/1967  0       Nulo   23     -5     
01/02/1967  0       Nulo   18     -6     
02/02/1967  0       Nulo   19     -4     
03/02/1967  0       Nulo   17     -4     
04/02/1967  0       Nulo   16     -4     
05/02/1967  2       Nulo   17     -3     
06/02/1967  0       Nulo   18     -4     
07/02/1967  0       Nulo   19     -3     
08/02/1967  0       Nulo   18     -4     
09/02/1967  0       Nulo   20     -4     
10/02/1967  0       Nulo   19     -4     
11/02/1967  0       Nulo   17     -4     
12/02/1967  0       Nulo   22     -8     
13/02/1967  0       Nulo   21     -9     
14/02/1967  0       Nulo   19     -7     
15/02/1967  0       Nulo   16     -6     
16/02/1967  4       Nulo   17     -4     
17/02/1967  0       Nulo   11     -5     
18/02/1967  12      Nulo   10     -3     
19/02/1967  0       Nulo   9      -5     
20/02/1967  0       Nulo   15     -3     
21/02/1967  0       Nulo   14     -3     
22/02/1967  0       Nulo   19     -5     
23/02/1967  0       Nulo   18     -3     
24/02/1967  0       Nulo   19     -4     
25/02/1967  0       Nulo   18     -5     
26/02/1967  0       Nulo   19     -4     
27/02/1967  0       Nulo   20     -5     
28/02/1967  0       Nulo   20     -4     
01/03/1967  0       Nulo   17     -3     
02/03/1967  0       Nulo   21     -2     
03/03/1967  0       Nulo   20     -4     
04/03/1967  0       Nulo   21     -3     
05/03/1967  0       Nulo   18     -3     
06/03/1967  0       Nulo   20     -3     
07/03/1967  0       Nulo   19     -3     
08/03/1967  4       Nulo   18     -2     
09/03/1967  0       Nulo   20     -2     
10/03/1967  0       Nulo   19     -4     
11/03/1967  0       Nulo   20     -5     
12/03/1967  0       Nulo   21     -6     
13/03/1967  0       Nulo   21     -5     
14/03/1967  0       Nulo   20     -5     
15/03/1967  0       Nulo   21     -5     
16/03/1967  0       Nulo   24     -6     
17/03/1967  0       Nulo   26     -7     
18/03/1967  0       Nulo   27     -4     
19/03/1967  2       Nulo   19     -3     
20/03/1967  0       Nulo   20     -6     
21/03/1967  0       Nulo   17     -2     
22/03/1967  0       Nulo   20     -3     
23/03/1967  0       Nulo   20     -4     
24/03/1967  0       Nulo   19     -4     
25/03/1967  0       Nulo   22     -6     
26/03/1967  0       Nulo   22     -8     
27/03/1967  0       Nulo   26     -4     
28/03/1967  0       Nulo   28     -2     
29/03/1967  0       Nulo   26     -3     
30/03/1967  0       Nulo   27     -3     
31/03/1967  0       Nulo   26     -2     
01/04/1967  0       Nulo   28     -8     
02/04/1967  0       Nulo   26     -6     
03/04/1967  0       Nulo   27     -2     
04/04/1967  0       Nulo   16     6      
05/04/1967  0       Nulo   14     5      
06/04/1967  0       Nulo   15     5      
07/04/1967  0       Nulo   15     4      
08/04/1967  0       Nulo   17     3      
09/04/1967  0       Nulo   15     4      
10/04/1967  0       Nulo   13     5      
11/04/1967  10.5    Nulo   20     3      
12/04/1967  0       Nulo   10     2      
13/04/1967  0       Nulo   16     -4     
14/04/1967  0       Nulo   9      -10    
15/04/1967  0       Nulo   15     -7     
16/04/1967  0       Nulo   12     -4     
17/04/1967  0       Nulo   18     3      
18/04/1967  0       Nulo   14     4      
19/04/1967  0       Nulo   11     5      
20/04/1967  0       Nulo   16     3      
21/04/1967  0       Nulo   20     5      
22/04/1967  0       Nulo   16     4      
23/04/1967  0       Nulo   13     6      
24/04/1967  0       Nulo   15     -11    
25/04/1967  0       Nulo   22     -12    
26/04/1967  0       Nulo   15     -4     
27/04/1967  0       Nulo   16     5      
28/04/1967  0       Nulo   14     4      
29/04/1967  0       Nulo   19     5      
30/04/1967  0       Nulo   16     4      
01/05/1967  0       Nulo   11     -3     
02/05/1967  0       Nulo   13     -3     
03/05/1967  0       Nulo   14     -4     
04/05/1967  0       7.3    15     5      
05/05/1967  0       5.1    19     2      
06/05/1967  0       5      20     3      
07/05/1967  0       5      15     6      
08/05/1967  0       2      24     3      
09/05/1967  0       13     21     4      
10/05/1967  0       5      20     8      
11/05/1967  0       8.8    20     6      
12/05/1967  0       8.8    18     6      
13/05/1967  0       1.8    20     3      
14/05/1967  0       3      21     6      
15/05/1967  0       4.9    25     4      
16/05/1967  0       5.9    25     2      
17/05/1967  0       4.1    17     5      
18/05/1967  0       2.1    20     5      
19/05/1967  0       4.4    20     4      
20/05/1967  0       1.8    18     5      
21/05/1967  0       2.8    20     4      
22/05/1967  0       5.3    18     4      
23/05/1967  12      7      18     4      
24/05/1967  7       6.9    13     3      
25/05/1967  0       1.9    10     2      
26/05/1967  0       3      18     2      
27/05/1967  0       4.8    20     3      
28/05/1967  0       2.1    20     2      
29/05/1967  0       3      15     4      
30/05/1967  0       6.8    12     2      
31/05/1967  0       12     20     3      
01/06/1967  0       Nulo   20     5      
02/06/1967  1       Nulo   11     3      
03/06/1967  0       Nulo   17     4      
04/06/1967  0       Nulo   25     4      
05/06/1967  0       Nulo   27     5      
06/06/1967  0       Nulo   29     6      
07/06/1967  0       Nulo   24     7      
08/06/1967  0       Nulo   18     8      
09/06/1967  0       Nulo   19     8      
10/06/1967  0       Nulo   20     7      
11/06/1967  0       Nulo   12     8      
12/06/1967  0       Nulo   20     4      
13/06/1967  0       Nulo   25     4      
14/06/1967  0       Nulo   25     8      
15/06/1967  0       Nulo   20     10     
16/06/1967  0       Nulo   25     6      
17/06/1967  12      Nulo   18     6      
18/06/1967  0       Nulo   20     5.6    
19/06/1967  16      Nulo   19     6      
20/06/1967  2       Nulo   15     3      
21/06/1967  15      Nulo   18     5      
22/06/1967  5       Nulo   25     4      
23/06/1967  2       Nulo   18     5      
24/06/1967  4       Nulo   26     5      
25/06/1967  20      Nulo   25     7      
26/06/1967  5       Nulo   21     4      
27/06/1967  5       Nulo   12     3      
28/06/1967  6       Nulo   19     4      
29/06/1967  0       Nulo   15     5      
30/06/1967  3       Nulo   13     7      
01/07/1967  0       3.2    25     6      
02/07/1967  0       1.8    17     6      
03/07/1967  0       3.1    15     6      
04/07/1967  14      4      26     5      
05/07/1967  5       4.2    24     7      
06/07/1967  0       3.3    20     8      
07/07/1967  15      3.2    26     8      
08/07/1967  2       2.8    20     9      
09/07/1967  19      3.2    25     7      
10/07/1967  0       2.8    21     4      
11/07/1967  19.5    3.4    16     7      
