CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 8238
NOMBRE    : EL NOPAL
ESTADO    : CHIHUAHUA
MUNICIPIO : ALDAMA
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 029.113°
LONGITUD  : -106.041°
ALTITUD   : 1450 msnm

EMISIÓN   : 01/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/01/1962  0       Nulo   13     0      
02/01/1962  0       Nulo   16     0      
03/01/1962  0       Nulo   15     -5     
04/01/1962  0       Nulo   16     -5     
05/01/1962  0       Nulo   16     0      
06/01/1962  0       Nulo   10     -6     
07/01/1962  0       Nulo   12     -6     
08/01/1962  0       Nulo   19     8      
09/01/1962  0       Nulo   24     11     
10/01/1962  2       Nulo   23     15     
11/01/1962  0       Nulo   -12    -17    
12/01/1962  0       Nulo   14     -11    
13/01/1962  0       Nulo   12     -7     
14/01/1962  0       Nulo   11     -7     
15/01/1962  0       Nulo   13     -6     
16/01/1962  0       Nulo   22     -6     
17/01/1962  0       Nulo   22     -8     
18/01/1962  0       Nulo   14     -9     
19/01/1962  0       Nulo   14     -6     
20/01/1962  0       Nulo   18     -6     
21/01/1962  0       Nulo   13     -4     
22/01/1962  0       Nulo   13     -5     
23/01/1962  0       Nulo   14     -6     
24/01/1962  0       Nulo   14     -6     
25/01/1962  0       Nulo   16     -4     
26/01/1962  0       Nulo   18     -7     
27/01/1962  0       Nulo   24     -7     
28/01/1962  0       Nulo   23     -8     
29/01/1962  0       Nulo   12     -7     
30/01/1962  0       Nulo   13     -4     
31/01/1962  0       Nulo   12     -5     
01/03/1962  0       Nulo   18     -2     
02/03/1962  0       Nulo   21     -3     
03/03/1962  0       Nulo   21     -2     
04/03/1962  0       Nulo   18     -6     
05/03/1962  0       Nulo   20     -6     
06/03/1962  0       Nulo   21     -1     
07/03/1962  0       Nulo   21     1      
08/03/1962  1       Nulo   15     -2     
09/03/1962  0.5     Nulo   15     2      
10/03/1962  0       Nulo   12     -1     
11/03/1962  0       Nulo   16     -4     
12/03/1962  0       Nulo   18     -5     
13/03/1962  0       Nulo   17     -4     
14/03/1962  0       Nulo   10     -2     
15/03/1962  0       Nulo   14     -10    
16/03/1962  0       Nulo   19     -8     
17/03/1962  0       Nulo   24     -8     
18/03/1962  0       Nulo   24     11     
19/03/1962  0       Nulo   24     1      
20/03/1962  0       Nulo   17     -5     
21/03/1962  0       Nulo   20     -5     
22/03/1962  0       Nulo   17     -4     
23/03/1962  0       Nulo   24     -4     
24/03/1962  0       Nulo   16     -3     
25/03/1962  0       Nulo   22     -3     
26/03/1962  0       Nulo   25     -4     
27/03/1962  0       Nulo   22     8      
28/03/1962  0       Nulo   26     10     
29/03/1962  0       Nulo   26     12     
30/03/1962  0       Nulo   23     10     
31/03/1962  0       Nulo   22     6      
01/04/1962  0       Nulo   22     -5     
02/04/1962  0       Nulo   23     1      
03/04/1962  0       Nulo   20     2      
04/04/1962  0       Nulo   25     4      
05/04/1962  0       Nulo   24     8      
06/04/1962  0       Nulo   20     10     
07/04/1962  0       Nulo   28     4      
08/04/1962  0       Nulo   29     10     
09/04/1962  0       Nulo   29     14     
10/04/1962  0       Nulo   28     15     
11/04/1962  0       Nulo   25     16     
12/04/1962  0       Nulo   28     12     
13/04/1962  0       Nulo   29     15     
14/04/1962  0       Nulo   31     15     
15/04/1962  0       Nulo   32     15     
16/04/1962  0       Nulo   32     15     
17/04/1962  0       Nulo   34     17     
18/04/1962  0       Nulo   34     16     
19/04/1962  0       Nulo   30     15     
20/04/1962  0       Nulo   28     14     
21/04/1962  0       Nulo   28     15     
22/04/1962  0       Nulo   27     11     
23/04/1962  0       Nulo   24     12     
24/04/1962  0       Nulo   28     10     
25/04/1962  0       Nulo   27     13     
26/04/1962  0       Nulo   23     16     
27/04/1962  0       Nulo   25     11     
28/04/1962  0       Nulo   30     12     
29/04/1962  0       Nulo   28     12     
30/04/1962  0       Nulo   25     15     
01/05/1962  0       Nulo   25     10     
