CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 8249
NOMBRE    : COLONIA ALVARO OBREGON
ESTADO    : CHIHUAHUA
MUNICIPIO : CUAUHTEMOC
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 028.749°
LONGITUD  : -106.906°
ALTITUD   : 2020 msnm

EMISIÓN   : 01/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
04/04/1974  0       Nulo   24     4      
05/04/1974  0       Nulo   20     -1     
06/04/1974  0       Nulo   26     0      
07/04/1974  0       Nulo   26     2      
08/04/1974  0       Nulo   25     -1     
09/04/1974  0       Nulo   29     1      
10/04/1974  0       Nulo   22     9      
11/04/1974  0       Nulo   23     6      
12/04/1974  0       Nulo   23     4      
13/04/1974  0       Nulo   25     -2     
14/04/1974  0       Nulo   26     2      
15/04/1974  0       Nulo   26     1      
16/04/1974  0       Nulo   24     3      
17/04/1974  0       Nulo   26     3      
18/04/1974  0       Nulo   24     2      
19/04/1974  0       Nulo   24     7      
20/04/1974  0       Nulo   24     3      
21/04/1974  0       Nulo   24.5   0      
22/04/1974  0       Nulo   24     -1     
23/04/1974  0       Nulo   30     4      
24/04/1974  0       Nulo   30     9      
25/04/1974  0       Nulo   29     13     
26/04/1974  0       Nulo   29     8.5    
27/04/1974  0       Nulo   28     8      
28/04/1974  0       Nulo   28     11     
29/04/1974  0       Nulo   23     15     
30/04/1974  0       Nulo   25     8      
01/05/1974  0       Nulo   24.5   1      
02/05/1974  0       Nulo   27     3      
03/05/1974  0       Nulo   28     6      
04/05/1974  0       Nulo   26     6      
05/05/1974  6.2     Nulo   26     4      
06/05/1974  0       Nulo   24     8      
07/05/1974  0       Nulo   24     5      
08/05/1974  0       Nulo   25     5      
09/05/1974  0       Nulo   21     5      
10/05/1974  4       Nulo   28     7      
11/05/1974  3       Nulo   26     10     
12/05/1974  0       Nulo   29     7      
13/05/1974  0       Nulo   29     9      
14/05/1974  0       Nulo   28     11     
15/05/1974  0       Nulo   28     5      
16/05/1974  0       Nulo   30     11     
17/05/1974  0       Nulo   23     8      
18/05/1974  0       Nulo   32     6      
19/05/1974  0       Nulo   31     4      
20/05/1974  0       Nulo   29     11     
21/05/1974  0       Nulo   29     5      
22/05/1974  15      Nulo   29     5      
23/05/1974  0       Nulo   31     8      
24/05/1974  0       Nulo   27     7      
25/05/1974  0       Nulo   33     8      
26/05/1974  0       Nulo   31     10     
27/05/1974  4.6     Nulo   28     11     
28/05/1974  3.5     Nulo   30     11     
29/05/1974  0.2     Nulo   22.5   8      
30/05/1974  0       Nulo   27     12.5   
31/05/1974  0       Nulo   24.5   8      
01/06/1974  0       Nulo   30     7.5    
02/06/1974  0       Nulo   31     9      
03/06/1974  0       Nulo   31     10     
04/06/1974  0       Nulo   31     12     
05/06/1974  0       Nulo   30     9      
06/06/1974  0       Nulo   29     10     
07/06/1974  0       Nulo   30     13     
08/06/1974  0       Nulo   30     13     
09/06/1974  0       Nulo   30     8      
10/06/1974  0       Nulo   32     11     
11/06/1974  0       Nulo   33     12     
12/06/1974  0       Nulo   32     12     
13/06/1974  0       Nulo   32     15     
14/06/1974  0       Nulo   31     10     
15/06/1974  0       Nulo   28     13     
16/06/1974  0       Nulo   28     10     
17/06/1974  0       Nulo   30     8      
18/06/1974  0       Nulo   32     10.5   
19/06/1974  0       Nulo   32     10.5   
20/06/1974  0       Nulo   32     11.5   
21/06/1974  0       Nulo   32     12     
22/06/1974  0       Nulo   34     12.5   
23/06/1974  0       Nulo   31.5   14.5   
24/06/1974  0       Nulo   30.5   11.5   
25/06/1974  4.1     Nulo   32     11.5   
26/06/1974  0       Nulo   31     15     
27/06/1974  0       Nulo   33     11     
28/06/1974  0       Nulo   32     11.5   
29/06/1974  0       Nulo   34     12     
30/06/1974  0       Nulo   33     14.5   
01/07/1974  0       Nulo   32     14.5   
02/07/1974  0       Nulo   32.5   14.5   
03/07/1974  3.9     Nulo   31     16     
04/07/1974  0       Nulo   27.5   14.5   
05/07/1974  0       Nulo   28.5   13     
06/07/1974  8.3     Nulo   29.5   14     
07/07/1974  1.4     Nulo   23.5   14.5   
08/07/1974  6.1     Nulo   25     14.5   
09/07/1974  5.8     Nulo   20     14     
10/07/1974  0       Nulo   24     13     
11/07/1974  9.5     Nulo   25.5   12.5   
12/07/1974  7.2     Nulo   24.5   12.5   
13/07/1974  20.2    Nulo   23.5   12.5   
14/07/1974  0.5     Nulo   22     13.5   
15/07/1974  0       Nulo   25.5   12.5   
16/07/1974  0       Nulo   26.5   12     
17/07/1974  14.8    Nulo   25     12.5   
18/07/1974  2       Nulo   22     14.5   
19/07/1974  3.6     Nulo   23     14     
20/07/1974  0       Nulo   22     13.5   
21/07/1974  0       Nulo   26     12     
22/07/1974  0       Nulo   27.5   11     
23/07/1974  0       Nulo   28     11.5   
24/07/1974  0       Nulo   29.5   12.5   
25/07/1974  0       Nulo   31.5   11.5   
26/07/1974  0       Nulo   31     13     
27/07/1974  0.6     Nulo   30     17     
28/07/1974  0       Nulo   29.5   12.5   
29/07/1974  2.8     Nulo   29     12.5   
30/07/1974  0.7     Nulo   24     15     
31/07/1974  0       Nulo   27     13     
01/08/1974  1.3     Nulo   28     12.5   
02/08/1974  8       Nulo   27     16     
03/08/1974  0.5     Nulo   24     14     
04/08/1974  39.1    Nulo   26.5   14.5   
05/08/1974  4       Nulo   26     13.5   
06/08/1974  2       Nulo   23.5   13     
07/08/1974  0       Nulo   26     11.5   
08/08/1974  0       Nulo   28     11.5   
09/08/1974  0       Nulo   26.5   12     
10/08/1974  3.5     Nulo   27.5   14.5   
11/08/1974  0       Nulo   24.5   15.5   
12/08/1974  1.5     Nulo   25     15.5   
13/08/1974  0       Nulo   26.5   13.5   
14/08/1974  3       Nulo   28.5   13.5   
15/08/1974  7.5     Nulo   28.5   13.5   
16/08/1974  0       Nulo   27.5   13.5   
17/08/1974  0       Nulo   27     13     
18/08/1974  1.2     Nulo   28.5   12.5   
19/08/1974  0.2     Nulo   28.5   13     
20/08/1974  4.5     Nulo   25.2   11.5   
21/08/1974  9.5     Nulo   23.5   12     
22/08/1974  1       Nulo   28.5   12.5   
23/08/1974  7.5     Nulo   23     12.5   
24/08/1974  24.5    Nulo   22.5   11     
25/08/1974  0       Nulo   23.5   10.5   
26/08/1974  6.5     Nulo   24     10     
27/08/1974  0       Nulo   24     11.5   
28/08/1974  0       Nulo   24.5   11     
29/08/1974  0       Nulo   25.5   11.5   
30/08/1974  0       Nulo   25.5   10.5   
31/08/1974  0       Nulo   27.5   12.5   
01/09/1974  1       Nulo   26.5   13.5   
02/09/1974  1.9     Nulo   27     13     
03/09/1974  0       Nulo   20.5   12.5   
