CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 8254
NOMBRE    : OJINAGA (DGE)
ESTADO    : CHIHUAHUA
MUNICIPIO : OJINAGA
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 029.55°
LONGITUD  : -104.4°
ALTITUD   : 800 msnm

EMISIÓN   : 01/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
04/09/1974  0       7.4    33     16.5   
05/09/1974  0       6      35     18     
06/09/1974  0       8      39.5   19     
07/09/1974  0       9.5    39     20.5   
08/09/1974  0       9.2    38     17.5   
09/09/1974  0       8.2    32.5   18     
10/09/1974  0       9.6    38     18.5   
11/09/1974  0       8.8    40     18.5   
12/09/1974  0       10.2   40.5   20.5   
13/09/1974  0       8.2    28     20.5   
14/09/1974  5       5.1    29     18     
15/09/1974  20.5    3.6    28     19     
16/09/1974  18      3.4    30     20     
17/09/1974  0       3.1    29.5   18.5   
18/09/1974  6       3      23     20     
19/09/1974  38      2.6    28     19     
20/09/1974  36      2.3    26.5   17     
21/09/1974  13      3.2    22.5   17     
22/09/1974  9       3.6    20     17.5   
23/09/1974  18.5    3.2    16     14     
24/09/1974  2.4     3.1    20     13.5   
25/09/1974  0       3.5    24.5   13.5   
26/09/1974  0       3.5    30     13     
27/09/1974  0       7.6    31.5   15.5   
28/09/1974  0       6      30     15     
29/09/1974  0       5.2    29.5   13.5   
30/09/1974  0       6      31.5   16     
01/10/1974  0       6      30     14     
02/10/1974  0       6.4    29.5   14     
03/10/1974  0       5.7    30     15     
04/10/1974  0       6.5    34     17     
05/10/1974  0       6.8    33     18     
06/10/1974  0       6.4    33     17.5   
07/10/1974  0       6.6    30     17.5   
08/10/1974  0       5      32     16     
09/10/1974  0       6.5    33.5   17     
10/10/1974  0       5.7    32.5   17.5   
11/10/1974  0       6.9    33     18     
12/10/1974  1.5     3.8    30.5   19     
13/10/1974  4.5     5.6    28.5   18     
14/10/1974  0       7.4    26     15     
15/10/1974  0       4.2    21     10.5   
16/10/1974  0       4.1    25     8.5    
17/10/1974  0       3.9    28     10     
18/10/1974  0       5.5    29.5   11.5   
19/10/1974  0       3.9    30     14     
20/10/1974  0       4.1    28     13.5   
21/10/1974  0       3.2    27     15     
22/10/1974  0       4.7    27.5   16     
23/10/1974  12.3    6.5    28     17     
24/10/1974  0       3.5    27     15     
25/10/1974  0       4.8    27     14     
26/10/1974  0       5      26     13.5   
27/10/1974  0       3      27     14     
28/10/1974  0       4      25.5   11     
29/10/1974  0       7.6    32     10     
30/10/1974  0       6.6    29     11     
31/10/1974  0       3.4    24     11     
01/11/1974  0       5      24     9      
02/11/1974  0       4.7    26     10     
03/11/1974  0       4.3    31.5   11     
04/11/1974  0       3.4    21.5   9      
05/11/1974  0.6     4.4    23     9.5    
06/11/1974  17.7    2.5    12     10     
07/11/1974  0       2.3    14     10     
08/11/1974  11.6    2.6    15     11     
09/11/1974  0       4.3    22     12     
10/11/1974  0       3.9    21     14     
11/11/1974  0       3.5    22     7      
12/11/1974  0       2.2    21     7      
13/11/1974  0       2.6    24     6      
14/11/1974  0       3.4    16.5   8      
15/11/1974  0       1.9    20     5      
16/11/1974  0       2.6    24     6      
17/11/1974  0       0.9    21     6      
18/11/1974  0       1.1    18     7      
19/11/1974  0       2.3    24     7      
20/11/1974  0       4.1    25     7.5    
21/11/1974  0       1.9    24.5   7.5    
22/11/1974  0       2.5    25     9      
23/11/1974  0.8     3.1    26     11.5   
24/11/1974  0       3.2    17     7.5    
25/11/1974  0       2.3    17     2      
26/11/1974  0       2.9    20     1      
27/11/1974  0       1.9    21     2      
28/11/1974  0       1.6    22     1      
29/11/1974  0       2.8    12     2      
30/11/1974  0       1.6    14     -1     
01/12/1974  0       2.6    19     2      
02/12/1974  0       2.3    18     7      
03/12/1974  0       2.2    20     5      
04/12/1974  0       1.8    22     6      
05/12/1974  0       4.1    22     7      
06/12/1974  0       4      18     7      
07/12/1974  0       2.6    19.5   2      
08/12/1974  0       6.2    12     5      
09/12/1974  0       2.8    13     5      
10/12/1974  0       2.1    13     3      
11/12/1974  0       1.3    17     -1.5   
12/12/1974  0       2.1    19.5   -2     
13/12/1974  0       2.4    19     -1     
14/12/1974  0       1.9    20     0.5    
15/12/1974  0       2.4    19     0      
16/12/1974  0       2.3    18     -0.5   
17/12/1974  0       2      17     -1     
18/12/1974  0       1.8    19     -1     
19/12/1974  0       2.5    20     0.5    
20/12/1974  0       3.2    21     0      
21/12/1974  0       2.2    21     -1     
22/12/1974  0       1.5    25     0      
23/12/1974  0       5.1    21     -1     
24/12/1974  4.5     2.1    13     9      
25/12/1974  10      2      4      3      
26/12/1974  0       2      8      3      
27/12/1974  0       2.6    12     4      
28/12/1974  0       0.9    14     7      
29/12/1974  0       1.4    22     4      
30/12/1974  0       2.8    22     5      
31/12/1974  0       3.6    15     4      
01/01/1975  0       1.7    6.5    5      
02/01/1975  0       0.7    13     4      
03/01/1975  0       1.9    15     0      
04/01/1975  0       1.9    17     -3     
05/01/1975  0       1.5    17     -2     
06/01/1975  0       1.6    18.5   -2     
07/01/1975  0       2.2    23.5   0      
08/01/1975  0       3.2    23     2      
09/01/1975  0       8.7    27     5      
10/01/1975  0       3.5    19     5      
11/01/1975  0       2.2    18     2.5    
12/01/1975  0       Nulo   11     0      
13/01/1975  0       Nulo   12     -6     
14/01/1975  0       Nulo   17     -5     
15/01/1975  0       Nulo   21     -2     
16/01/1975  0       1.3    19     -1     
17/01/1975  0       3.7    17     0      
18/01/1975  0       3      18     -1     
19/01/1975  0       2.8    21     -1.5   
20/01/1975  0       1.5    21.5   -2     
21/01/1975  0       3.5    22     -1     
