CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 8262
NOMBRE    : E.T.A. 014 COLONIA SOTO MAYNEZ
ESTADO    : CHIHUAHUA
MUNICIPIO : NAMIQUIPA
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 029.032°
LONGITUD  : -107.47°
ALTITUD   : 1880 msnm

EMISIÓN   : 01/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/02/1973  0       Nulo   11     -6     
02/02/1973  0       Nulo   16     -7     
03/02/1973  0       Nulo   11     -4     
04/02/1973  0       Nulo   10     -6     
05/02/1973  0       Nulo   9      -9     
06/02/1973  6       Nulo   21     -5     
07/02/1973  7       Nulo   13     3      
08/02/1973  10      Nulo   11     3      
09/02/1973  0       Nulo   15     -8     
10/02/1973  0       Nulo   16     -4     
11/02/1973  0       Nulo   16     -2     
12/02/1973  0       Nulo   17     -5     
13/02/1973  0       Nulo   13     -2     
14/02/1973  0       Nulo   12     -5     
15/02/1973  0       Nulo   15     -5     
16/02/1973  0       Nulo   18     -6     
17/02/1973  0       Nulo   12     -5     
18/02/1973  0       Nulo   14     -4     
19/02/1973  0       Nulo   11     -4     
20/02/1973  15      Nulo   15     -5     
21/02/1973  12      Nulo   14     1      
22/02/1973  0       Nulo   11     3      
23/02/1973  0       Nulo   13     -6     
24/02/1973  0       Nulo   20     -5     
25/02/1973  0       Nulo   21     -3     
26/02/1973  0       Nulo   21     -2     
27/02/1973  0       Nulo   23     -2     
28/02/1973  0       Nulo   Nulo   -2     
01/03/1973  0       Nulo   20     -3     
02/03/1973  0       Nulo   19     1      
03/03/1973  0       Nulo   22     2      
04/03/1973  0       Nulo   19     -1     
05/03/1973  0       Nulo   18     -1     
06/03/1973  0       Nulo   14     4      
07/03/1973  0       Nulo   20     -4     
08/03/1973  0       Nulo   18     -2     
09/03/1973  1.6     Nulo   17     -3     
10/03/1973  0       Nulo   12     -2     
11/03/1973  0       Nulo   21     -4     
12/03/1973  1.5     Nulo   20     -3     
13/03/1973  0       Nulo   19     -2     
14/03/1973  0       Nulo   21     -5     
15/03/1973  0       Nulo   20     3      
16/03/1973  0       Nulo   19     -3     
17/03/1973  0       Nulo   21     -1     
18/03/1973  0       Nulo   22     -2     
19/03/1973  3.5     Nulo   21     3      
20/03/1973  0       Nulo   19     3.5    
21/03/1973  0       Nulo   18     -2     
22/03/1973  0       Nulo   18     -4     
23/03/1973  3       Nulo   18     -4     
24/03/1973  0       Nulo   22     -2     
25/03/1973  0       Nulo   22     -2     
26/03/1973  0       Nulo   21     -3     
27/03/1973  0       Nulo   18     0      
28/03/1973  0       Nulo   16     -1     
29/03/1973  0       Nulo   16     2      
30/03/1973  0       Nulo   16     3      
31/03/1973  0       Nulo   16     -3     
01/04/1973  0       Nulo   20     2      
02/04/1973  0       Nulo   17     2      
03/04/1973  0       Nulo   16     -4     
04/04/1973  0       Nulo   14     1      
05/04/1973  0       Nulo   10     -4     
06/04/1973  0       Nulo   16     -3     
07/04/1973  0       Nulo   16     -1     
08/04/1973  0       Nulo   15     -2     
09/04/1973  0       Nulo   20     -6     
10/04/1973  0       Nulo   25     -1     
11/04/1973  0       Nulo   22     -3     
12/04/1973  0       Nulo   23     -2     
13/04/1973  0       Nulo   23     1      
14/04/1973  0       Nulo   22     -3     
15/04/1973  0       Nulo   8      -4     
16/04/1973  0       Nulo   22     -3     
17/04/1973  0       Nulo   23     -4     
18/04/1973  0       Nulo   24     -3     
19/04/1973  0       Nulo   21     2      
20/04/1973  0       Nulo   23     5      
21/04/1973  0       Nulo   20     4      
22/04/1973  0       Nulo   24     0      
23/04/1973  0       Nulo   26     2      
24/04/1973  0       Nulo   23     5      
25/04/1973  0       Nulo   24     2      
26/04/1973  0       Nulo   21     4      
27/04/1973  0       Nulo   23     5      
28/04/1973  0       Nulo   25     6      
29/04/1973  0       Nulo   25     3      
30/04/1973  0       Nulo   Nulo   9      
01/05/1973  0       Nulo   23     8      
02/05/1973  0       Nulo   22     3      
03/05/1973  0       Nulo   28     5      
04/05/1973  0       Nulo   25     2      
05/05/1973  6       Nulo   26     3      
06/05/1973  2       Nulo   23     4      
07/05/1973  0       Nulo   26     -2     
08/05/1973  0       Nulo   28     2      
09/05/1973  0       Nulo   27     -2     
10/05/1973  0       Nulo   29     4      
11/05/1973  0       Nulo   27     7      
12/05/1973  0       Nulo   29     6      
13/05/1973  0       Nulo   25     5      
14/05/1973  0       Nulo   24     5      
15/05/1973  4       Nulo   22     9      
16/05/1973  0       Nulo   24     3      
17/05/1973  23      Nulo   24     7      
18/05/1973  0       Nulo   26     4      
19/05/1973  0       Nulo   28     8      
20/05/1973  0       Nulo   28     7      
21/05/1973  0       Nulo   29     8      
22/05/1973  0       Nulo   29     7      
23/05/1973  0       Nulo   23     7      
24/05/1973  0       Nulo   25     9      
25/05/1973  0       Nulo   23     10     
26/05/1973  0       Nulo   29     9      
27/05/1973  0       Nulo   24     11     
28/05/1973  0       Nulo   27     8      
29/05/1973  0       Nulo   27     10     
30/05/1973  0       Nulo   31     13     
31/05/1973  0       Nulo   28     13     
01/06/1973  0       Nulo   21     4      
02/06/1973  0       Nulo   30     7      
03/06/1973  0       Nulo   30     4      
04/06/1973  0       Nulo   31     10     
05/06/1973  0       Nulo   32     12     
06/06/1973  0       Nulo   33     11     
07/06/1973  0       Nulo   33     12     
08/06/1973  0       Nulo   31     13     
