CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 8271
NOMBRE    : LAGO DE ARARECO
ESTADO    : CHIHUAHUA
MUNICIPIO : BOCOYNA
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 027.703°
LONGITUD  : -107.595°
ALTITUD   : 2321 msnm

EMISIÓN   : 01/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/09/1976  6.5     1      19     11     
02/09/1976  0       2.4    21     10     
03/09/1976  0.5     2.4    22     10     
04/09/1976  3.5     1      21     8      
05/09/1976  20.5    2.4    22     9      
06/09/1976  1       0.2    22     10     
07/09/1976  4.5     1.4    21     9.5    
08/09/1976  1       1.6    21     11     
09/09/1976  0       4.8    21.5   12     
10/09/1976  3       2.3    21     12.5   
11/09/1976  1       2.5    21     7      
12/09/1976  0       2.4    22     8      
13/09/1976  8       4.2    24     8      
14/09/1976  8       4      25     9.5    
15/09/1976  25      2.6    24     9      
16/09/1976  0       3      24     10     
17/09/1976  0       1.2    12     8      
18/09/1976  32      1.1    22     6.5    
19/09/1976  0       3.1    23     6      
20/09/1976  5.5     3.6    21     6.5    
21/09/1976  3.5     0.4    11.1   9      
22/09/1976  11.5    0.5    15     11     
23/09/1976  2.5     3      15     11.5   
24/09/1976  0       2      12.5   10     
25/09/1976  0       2.2    14.5   8      
26/09/1976  0       2.4    12.5   10     
27/09/1976  0       3.1    19     4      
28/09/1976  0       3      21     3      
29/09/1976  0       3.5    20.5   4.5    
30/09/1976  5       2.7    12     6      
01/10/1976  14.5    1      14     12     
02/10/1976  0       3      19     7      
03/10/1976  0       3.3    20.5   6      
04/10/1976  0       3.5    19     6.5    
05/10/1976  0       4.2    21     -2     
06/10/1976  0       3.8    22     -2.5   
07/10/1976  0       5      14     -2.5   
08/10/1976  0       6.5    15     0      
09/10/1976  0       7      12     -2     
10/10/1976  0       6      20     -5     
