CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 8300
NOMBRE    : EL SOCORRO
ESTADO    : CHIHUAHUA
MUNICIPIO : MEOQUI
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 028.417°
LONGITUD  : -105.617°
ALTITUD   : 1180 msnm

EMISIÓN   : 01/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/01/1976  0       Nulo   Nulo   Nulo   
02/01/1976  0       Nulo   Nulo   Nulo   
03/01/1976  0       Nulo   Nulo   Nulo   
04/01/1976  0       Nulo   Nulo   Nulo   
05/01/1976  0       Nulo   Nulo   Nulo   
06/01/1976  0       Nulo   Nulo   Nulo   
07/01/1976  0       Nulo   Nulo   Nulo   
08/01/1976  0       Nulo   Nulo   Nulo   
09/01/1976  0       Nulo   Nulo   Nulo   
10/01/1976  0       Nulo   Nulo   Nulo   
11/01/1976  0       Nulo   Nulo   Nulo   
12/01/1976  0       Nulo   Nulo   Nulo   
13/01/1976  0       Nulo   Nulo   Nulo   
14/01/1976  0       Nulo   Nulo   Nulo   
15/01/1976  0       Nulo   Nulo   Nulo   
16/01/1976  0       Nulo   Nulo   Nulo   
17/01/1976  0       Nulo   Nulo   Nulo   
18/01/1976  0       Nulo   Nulo   Nulo   
19/01/1976  0       Nulo   Nulo   Nulo   
20/01/1976  0       Nulo   Nulo   Nulo   
21/01/1976  0       Nulo   24     Nulo   
22/01/1976  0       Nulo   24     15     
23/01/1976  0       Nulo   28     15     
24/01/1976  0       Nulo   30     14     
25/01/1976  0       Nulo   27     7      
26/01/1976  0       Nulo   28     8      
27/01/1976  0       Nulo   32     8      
28/01/1976  0       Nulo   29     10     
29/01/1976  0       Nulo   27     13     
30/01/1976  0       Nulo   26     14     
31/01/1976  0       Nulo   Nulo   Nulo   
22/09/1976  0       1.5    24     15     
23/09/1976  0       2.8    28     15     
24/09/1976  0       3.3    30     14     
25/09/1976  0       4      27     7      
26/09/1976  0       7.2    28     8      
27/09/1976  0       4.1    32     8      
28/09/1976  0       6      29     10     
29/09/1976  0       2.9    27     13     
30/09/1976  0       3      26     14     
01/10/1976  0       1.5    25     16     
02/10/1976  0       3      29     14     
03/10/1976  0       4.4    28     14     
04/10/1976  0       3.9    27     12     
05/10/1976  0       5.3    25     7      
06/10/1976  0       3      27     8      
07/10/1976  0       7.7    20     9      
08/10/1976  0       3.5    18     -4     
09/10/1976  0       3.5    21     -3     
10/10/1976  0       4.1    25     -2     
11/10/1976  0       3.9    27     -1     
12/10/1976  0       3.1    28     3      
13/10/1976  1       3.5    27     5      
14/10/1976  1.5     2.5    21     0      
15/10/1976  0       3.3    24     2      
16/10/1976  0       3.8    20     8      
17/10/1976  0       5.3    20     11     
18/10/1976  0       2.1    27     5      
19/10/1976  0       2.9    27     5      
20/10/1976  0       3.2    20     0      
21/10/1976  0       3      22     3      
22/10/1976  1.3     3.1    27     5      
23/10/1976  0       2.3    22     2      
24/10/1976  0       1.5    26     9      
25/10/1976  0       2.8    23     8      
26/10/1976  0       3.3    25     3      
27/10/1976  0       3.3    22     4      
28/10/1976  2.5     1.6    8.1    0      
29/10/1976  0       1.4    15     0      
30/10/1976  0       2.7    21     -1     
31/10/1976  0       2.9    23     -2     
01/11/1976  0       2.9    22     3      
02/11/1976  0       3.2    21     1      
03/11/1976  0       2      22     -1     
04/11/1976  0       1.7    20     2      
05/11/1976  0       3.1    20     -2     
06/11/1976  0       3      20     -3     
07/11/1976  0       1.7    23     2      
08/11/1976  0       3.4    18     -2     
09/11/1976  0       2      22     0      
10/11/1976  0       2.2    24     2      
11/11/1976  0       2.3    22     0      
12/11/1976  0       2.6    18     4      
13/11/1976  0       1.7    5      0      
14/11/1976  0       1.5    10     1      
15/11/1976  0       1.7    15     -2     
16/11/1976  10      1.7    7      4      
17/11/1976  6       1.5    6      0      
18/11/1976  0       1.3    10     2      
19/11/1976  0       1      14     5      
20/11/1976  0       1      18     2      
21/11/1976  0       0.7    19     -1     
22/11/1976  0       0.9    21     1      
23/11/1976  0       0.6    20     1      
24/11/1976  5       0.9    18     1      
25/11/1976  0       0.5    20     2      
26/11/1976  0       4.5    24     9      
27/11/1976  0       4.7    19     3      
28/11/1976  0       2.1    22     4      
29/11/1976  0       4.7    13     -6     
30/11/1976  0       3.5    10     -5     
01/12/1976  0       0.7    13     -8     
02/12/1976  0       2.3    10     -9     
03/12/1976  0       0.8    15     -2     
04/12/1976  0       1.6    19     -1     
05/12/1976  0       3      21     0      
06/12/1976  0       3.2    17     -1     
07/12/1976  0       0.4    13     0      
08/12/1976  0       3.4    18     -7     
09/12/1976  0       4      14     -3     
10/12/1976  6       3.4    18     2      
11/12/1976  5       1.8    6      0      
12/12/1976  6.5     1.2    5      1      
13/12/1976  0       2.1    7      2      
14/12/1976  0       2.4    12     3      
15/12/1976  0       1      16     -0.5   
16/12/1976  0       3.2    12     -2     
17/12/1976  0       1.3    20     -2     
18/12/1976  0       0.8    17     0      
19/12/1976  0       1.7    15     0      
20/12/1976  0       3.2    20     4      
21/12/1976  0       2.1    19     3      
22/12/1976  0       2      21     5      
23/12/1976  0       1.7    10     6      
24/12/1976  0       2.2    20     3      
25/12/1976  0       1.8    21     3      
26/12/1976  0       1.2    18     4      
27/12/1976  0       2.4    20     7      
28/12/1976  0       2.3    21     8      
29/12/1976  0       3.1    23     5      
30/12/1976  0       3.6    20     7      
31/12/1976  0       5.7    24     8      
01/01/1977  0       Nulo   21     5      
02/01/1977  0       Nulo   22     6      
03/01/1977  0       Nulo   20     -5     
04/01/1977  0       Nulo   19     1      
05/01/1977  0       Nulo   25     5      
06/01/1977  0       Nulo   15.1   11     
07/01/1977  0       Nulo   13     5      
08/01/1977  0       Nulo   12     -2     
09/01/1977  0       Nulo   18     -3     
10/01/1977  0       Nulo   10     -6     
11/01/1977  0       Nulo   9      -3     
12/01/1977  0       Nulo   10     3      
13/01/1977  0       Nulo   9      4      
14/01/1977  0       Nulo   15     -2     
15/01/1977  0       Nulo   10     -2     
16/01/1977  0       Nulo   15     -2     
17/01/1977  0       Nulo   10     -5     
18/01/1977  0       Nulo   14     -3     
19/01/1977  0       Nulo   18     -5     
20/01/1977  0       Nulo   13     6      
21/01/1977  0       Nulo   14     4      
22/01/1977  0       Nulo   15     3      
23/01/1977  0       Nulo   19     1      
24/01/1977  0       Nulo   15.1   3      
25/01/1977  0       Nulo   15     7      
26/01/1977  0       Nulo   21     10     
27/01/1977  0       Nulo   22     2      
28/01/1977  0       Nulo   20     10     
29/01/1977  0       Nulo   14     7      
30/01/1977  0       Nulo   19     6      
31/01/1977  0       Nulo   20     0      
01/02/1977  0       2.4    24     0      
02/02/1977  0       3.3    20     4      
03/02/1977  0       4.7    Nulo   4      
04/02/1977  0       1.1    Nulo   5      
05/02/1977  0       1      Nulo   6      
06/02/1977  0       1      Nulo   5      
07/02/1977  0       7.5    Nulo   5      
08/02/1977  0       3.1    Nulo   4      
09/02/1977  0       1.7    Nulo   4      
10/02/1977  0       4      19     5      
11/02/1977  0       4.9    20     5      
12/02/1977  0       3      18     8      
13/02/1977  0       5.9    21     4      
14/02/1977  0       2      22     4      
15/02/1977  0       4.9    15     5      
16/02/1977  0       5.1    18     2      
17/02/1977  0       4.3    25     3      
18/02/1977  0       3.5    23     4      
19/02/1977  0       7      22     4      
20/02/1977  0       5.2    23     4      
21/02/1977  0       3.5    25     5      
22/02/1977  0       8.9    23     4      
23/02/1977  0       6.2    25     8      
24/02/1977  0       7.6    28     7      
25/02/1977  0       6.3    26     4      
26/02/1977  0       7.2    24     6      
27/02/1977  0       6.6    21     4      
28/02/1977  0       6.7    20     -3     
01/03/1977  0       4      21     4      
02/03/1977  0       5.1    25     7      
03/03/1977  0       9.7    20     4      
04/03/1977  0       6.4    22     4      
05/03/1977  0       4.6    21     6      
06/03/1977  0       5.2    20     5      
07/03/1977  0       4.1    18     4      
08/03/1977  0       4.9    23     5      
09/03/1977  0       2.9    24     5      
10/03/1977  0       4.3    30     6      
11/03/1977  0       9.4    21     6      
12/03/1977  0       3.2    20     9      
13/03/1977  0       2.5    27     10     
14/03/1977  0       3.2    28     11     
15/03/1977  0       6.1    28     9      
16/03/1977  0       5.3    32     6      
17/03/1977  0       2.2    30     4      
18/03/1977  0       13.8   28     3      
19/03/1977  0       8.8    30     7      
20/03/1977  0       7.5    28     7      
21/03/1977  0       5.7    30     7      
22/03/1977  0       6      26     9      
23/03/1977  0       4.9    26     5      
24/03/1977  0       5.2    23     7      
25/03/1977  0       3.5    24     6      
26/03/1977  0       7.4    21     6      
27/03/1977  0       3      25     5      
28/03/1977  0       4.6    25     11     
29/03/1977  0       6.1    28     8      
30/03/1977  0       9.7    25     7      
31/03/1977  0       8.2    26     8      
01/05/1977  0       9.6    30     10     
02/05/1977  0       10.2   31     9      
03/05/1977  0       9.7    35     5      
04/05/1977  0       8      31     6      
05/05/1977  0       9.1    32     7      
06/05/1977  0       7.9    31     9      
07/05/1977  0       8.1    31     10     
08/05/1977  0       7.1    31     9      
09/05/1977  0       8.9    33     9      
10/05/1977  0       7.7    32     8      
11/05/1977  0       7.2    32     6      
12/05/1977  0       6.5    29     8      
13/05/1977  0       7.8    30     5      
14/05/1977  0       8.4    31     5      
15/05/1977  0       8      32     7      
16/05/1977  0       7.6    35     8      
17/05/1977  0       7.9    31     11     
18/05/1977  0       10     33     10     
19/05/1977  0       9.7    34     6      
20/05/1977  0       9      32     12     
21/05/1977  0       9      34     9      
22/05/1977  0       10.1   34     10     
23/05/1977  0       10     35     12     
24/05/1977  0       10.6   33     10     
25/05/1977  0       10.9   35     9      
26/05/1977  0       9.5    32     9      
27/05/1977  0       10.5   34     5      
28/05/1977  0       9.5    31     6      
29/05/1977  0       10.2   36     5      
30/05/1977  0       10.4   36     7      
31/05/1977  0       10.4   35     5      
01/11/1977  0       Nulo   24.4   6.5    
02/11/1977  0       Nulo   22.5   4      
03/11/1977  0       Nulo   25.5   3      
04/11/1977  0       Nulo   26.5   6.5    
05/11/1977  0       Nulo   27.5   4      
06/11/1977  0       Nulo   29     5      
07/11/1977  0       Nulo   22     9.5    
08/11/1977  0       3.5    23.5   1.5    
09/11/1977  0       4.2    17     1      
10/11/1977  0       3.4    19     -1     
11/11/1977  0       2.7    21     0.5    
12/11/1977  0       3.7    24     1.5    
13/11/1977  0       2.7    25     3      
14/11/1977  0       3.3    26     4      
15/11/1977  0       4.1    25     5      
