CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 8309
NOMBRE    : RANCHO LOS CERRITOS
ESTADO    : CHIHUAHUA
MUNICIPIO : ASCENSION
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 031.66°
LONGITUD  : -107.088°
ALTITUD   : 1250 msnm

EMISIÓN   : 01/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/01/1980  0       Nulo   13     -5     
02/01/1980  0       Nulo   17     -2     
03/01/1980  0       Nulo   12     -3     
04/01/1980  0       Nulo   14     -5     
05/01/1980  0       Nulo   16     -4     
06/01/1980  0       Nulo   16     -2     
07/01/1980  0       Nulo   18     -4     
08/01/1980  0       Nulo   17     -1     
09/01/1980  0       Nulo   12     -1.5   
10/01/1980  0       Nulo   16     2      
11/01/1980  1       Nulo   14     3      
12/01/1980  0       Nulo   16.5   2      
13/01/1980  0       Nulo   20     1      
14/01/1980  0       Nulo   23     2      
15/01/1980  0       Nulo   17     2      
16/01/1980  0       Nulo   16     1      
17/01/1980  0       Nulo   17.5   -1     
18/01/1980  0       Nulo   19     2      
19/01/1980  0       Nulo   17     5      
20/01/1980  0       Nulo   20     -2     
21/01/1980  8.5     Nulo   10     0      
22/01/1980  0       Nulo   5      0      
23/01/1980  0       Nulo   10     -6     
24/01/1980  0       Nulo   11     -6     
25/01/1980  0       Nulo   17     -3.5   
26/01/1980  0       Nulo   17     0      
27/01/1980  0       Nulo   18     0      
28/01/1980  0       Nulo   17.5   2      
29/01/1980  0       Nulo   20     1      
30/01/1980  5       Nulo   18.5   7.5    
31/01/1980  2.5     Nulo   16     8      
01/02/1980  0       Nulo   11     1.5    
02/02/1980  0       Nulo   16     -1     
03/02/1980  0       Nulo   19.5   -1     
04/02/1980  0       Nulo   24     1      
05/02/1980  0       Nulo   18     4      
06/02/1980  0       Nulo   20     0      
07/02/1980  0       Nulo   20.5   6      
08/02/1980  1       Nulo   3.9    1      
09/02/1980  0       Nulo   2      -10    
10/02/1980  0       Nulo   8.5    -7.5   
11/02/1980  0       Nulo   11.5   -6     
12/02/1980  0       Nulo   15     -4     
13/02/1980  11      Nulo   15     4      
14/02/1980  0       Nulo   16.5   4      
15/02/1980  0       Nulo   19     8      
16/02/1980  4       Nulo   16     5      
17/02/1980  0       Nulo   15     5      
18/02/1980  0       Nulo   20     5      
19/02/1980  4.5     Nulo   20     7.5    
20/02/1980  0       Nulo   16.5   7      
21/02/1980  0       Nulo   18.5   0      
22/02/1980  0       Nulo   17.9   2      
23/02/1980  0       Nulo   19     1.5    
24/02/1980  0       Nulo   19.9   1      
25/02/1980  0       Nulo   20     1      
26/02/1980  0       Nulo   21.5   4      
27/02/1980  0       Nulo   23     3.5    
28/02/1980  0       Nulo   25     1      
29/02/1980  0       Nulo   23.5   1      
01/03/1980  0       Nulo   9      -1     
02/03/1980  0       Nulo   14     -3     
03/03/1980  0       Nulo   21.5   4      
04/03/1980  0       Nulo   19     5      
05/03/1980  0       Nulo   20.5   1      
06/03/1980  0       Nulo   23     2.5    
07/03/1980  0       Nulo   21     5      
08/03/1980  0       Nulo   20     1.5    
09/03/1980  0       Nulo   21     2      
10/03/1980  3       Nulo   19     8      
11/03/1980  4       Nulo   16     8.5    
12/03/1980  0       Nulo   18     5.5    
13/03/1980  0       Nulo   20     2      
14/03/1980  0       Nulo   24     3.5    
15/03/1980  0       Nulo   23     5      
16/03/1980  0       Nulo   22     5      
17/03/1980  0       Nulo   13.5   1.5    
18/03/1980  0       Nulo   21     1.5    
19/03/1980  0       Nulo   22     5      
20/03/1980  0       Nulo   20     1.5    
21/03/1980  0       Nulo   24     1      
22/03/1980  0       Nulo   23.9   5      
23/03/1980  0       Nulo   15     2      
24/03/1980  0       Nulo   15.5   -1     
25/03/1980  0       Nulo   20     1      
26/03/1980  0.5     Nulo   22     0      
27/03/1980  0       Nulo   15.5   4      
28/03/1980  0       Nulo   18.5   -2     
29/03/1980  0       Nulo   18     -1     
30/03/1980  0       Nulo   20     -1     
31/03/1980  0       Nulo   21.5   7      
01/04/1980  0       Nulo   25     -2     
02/04/1980  0       Nulo   21.5   4      
03/04/1980  0       Nulo   20     0      
04/04/1980  0       Nulo   26     2.5    
05/04/1980  0       Nulo   27     4      
06/04/1980  0       Nulo   25     3      
07/04/1980  0       Nulo   25.5   4.5    
08/04/1980  0       Nulo   23.5   2.5    
09/04/1980  0       Nulo   28     4      
10/04/1980  0       Nulo   30     7      
11/04/1980  0       Nulo   27     7      
12/04/1980  18.5    Nulo   2.5    0      
13/04/1980  0       Nulo   11     -3     
14/04/1980  0       Nulo   20     -1     
15/04/1980  0       Nulo   26     2      
16/04/1980  0       Nulo   28.5   6.5    
17/04/1980  0       Nulo   25.5   10.5   
18/04/1980  0       Nulo   27.5   7      
19/04/1980  0       Nulo   30     5      
20/04/1980  0       Nulo   30.5   12     
21/04/1980  1       Nulo   26.5   14     
22/04/1980  0       Nulo   28.9   10.5   
23/04/1980  0       Nulo   27     10.5   
24/04/1980  0       Nulo   17     3      
25/04/1980  0       Nulo   18.5   8      
26/04/1980  0       Nulo   22.9   7      
27/04/1980  0       Nulo   26.5   8      
28/04/1980  0       Nulo   29     8      
29/04/1980  0       Nulo   28     11     
30/04/1980  0.5     Nulo   18.5   7      
01/05/1980  0       Nulo   23     7      
02/05/1980  17.5    Nulo   21     7.9    
03/05/1980  4       Nulo   17.5   9.5    
04/05/1980  0       Nulo   23.5   6.9    
05/05/1980  0       Nulo   29.5   10     
06/05/1980  0       Nulo   29     11     
07/05/1980  0       Nulo   30     12.5   
08/05/1980  0       Nulo   29     12     
09/05/1980  0       Nulo   30     10     
10/05/1980  0       Nulo   30     13     
11/05/1980  0       Nulo   24.5   13.5   
12/05/1980  0       Nulo   26.9   10     
13/05/1980  0       Nulo   28     6      
14/05/1980  0       Nulo   29     10     
15/05/1980  0       Nulo   22.9   7      
16/05/1980  0       Nulo   25.5   7      
17/05/1980  0       Nulo   29.9   8.5    
18/05/1980  0       Nulo   31     9.5    
19/05/1980  0       Nulo   30.9   12     
20/05/1980  0       Nulo   33.9   12     
21/05/1980  0       Nulo   34     12.5   
22/05/1980  0       Nulo   33.5   14.5   
