CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 8318
NOMBRE    : ESCUELA SEC. JUAREZ
ESTADO    : CHIHUAHUA
MUNICIPIO : JUAREZ
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 031.633°
LONGITUD  : -106.433°
ALTITUD   : 1171 msnm

EMISIÓN   : 01/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/11/1978  0       Nulo   19.1   13     
02/11/1978  0       Nulo   23     14     
03/11/1978  0       Nulo   19     10     
04/11/1978  0.2     Nulo   18     10     
05/11/1978  0       Nulo   22.7   9      
06/11/1978  0       Nulo   22     9      
07/11/1978  0       Nulo   19     7      
08/11/1978  0       Nulo   21     6      
09/11/1978  0       Nulo   23     7      
10/11/1978  5       Nulo   22     7      
11/11/1978  0       Nulo   22     11     
12/11/1978  0       Nulo   24.5   5      
13/11/1978  0       Nulo   19     6      
14/11/1978  0       Nulo   21     6      
15/11/1978  1.5     Nulo   18     6      
16/11/1978  0       Nulo   12     6      
17/11/1978  0       Nulo   15     0      
18/11/1978  0       Nulo   20.9   2      
19/11/1978  0       Nulo   21.3   4.6    
20/11/1978  0       Nulo   18     6.1    
21/11/1978  0.5     Nulo   14     5      
22/11/1978  0       Nulo   16     10     
23/11/1978  0       Nulo   23     12     
24/11/1978  0.2     Nulo   17     7      
25/11/1978  0       Nulo   18     9      
26/11/1978  0       Nulo   13     4.1    
27/11/1978  0       Nulo   10     1      
28/11/1978  0       Nulo   10     -1     
29/11/1978  0       Nulo   15     -1     
30/11/1978  0       Nulo   16     2      
01/12/1978  0       4.2    19     4      
02/12/1978  0       7.2    21     8      
03/12/1978  0       0.9    10     6      
04/12/1978  0       6.8    10     -2     
05/12/1978  0       4.6    18     -2     
06/12/1978  0       6.4    18     1      
07/12/1978  0       0.5    12     0      
08/12/1978  0       0.3    11     -2     
09/12/1978  0       2.2    13     -10    
10/12/1978  0       2.2    14     -8     
11/12/1978  0       1.4    12     -8     
12/12/1978  0       2.9    12     -6     
13/12/1978  0       0.7    12     -6     
14/12/1978  0       3.5    12     -2     
15/12/1978  0       0.7    11     -3     
16/12/1978  0.8     0.9    14     -2     
17/12/1978  0.9     1.8    10     3      
18/12/1978  0.5     0.8    20     4      
19/12/1978  1       3.5    18     5      
20/12/1978  0       5.2    18     2      
21/12/1978  0       0.1    20     -1     
22/12/1978  0       3.6    21     -4     
23/12/1978  0       1.2    15     -3     
24/12/1978  0       1.4    17     -4     
25/12/1978  0       3.4    25     -3     
26/12/1978  0       2.4    24     -3     
27/12/1978  0       0.2    23     -3     
28/12/1978  0       2.8    20     -1     
29/12/1978  0.1     5.4    15     0      
30/12/1978  80      2.9    11     7      
31/12/1978  30      2.6    10     7      
01/01/1979  0       Nulo   Nulo   Nulo   
02/01/1979  0       Nulo   Nulo   Nulo   
03/01/1979  0       Nulo   Nulo   Nulo   
04/01/1979  0       Nulo   Nulo   Nulo   
05/01/1979  0       Nulo   Nulo   Nulo   
06/01/1979  0       Nulo   Nulo   Nulo   
07/01/1979  0       Nulo   Nulo   Nulo   
08/01/1979  0       Nulo   Nulo   Nulo   
09/01/1979  0       Nulo   Nulo   Nulo   
10/01/1979  0       Nulo   Nulo   Nulo   
11/01/1979  0       Nulo   Nulo   Nulo   
12/01/1979  0       Nulo   Nulo   Nulo   
13/01/1979  0       Nulo   Nulo   Nulo   
14/01/1979  0       Nulo   Nulo   Nulo   
15/01/1979  0       Nulo   Nulo   Nulo   
16/01/1979  0       Nulo   Nulo   Nulo   
17/01/1979  0       Nulo   Nulo   Nulo   
18/01/1979  0       Nulo   Nulo   Nulo   
19/01/1979  0       Nulo   Nulo   Nulo   
20/01/1979  0       Nulo   Nulo   Nulo   
21/01/1979  0       Nulo   Nulo   Nulo   
22/01/1979  0       Nulo   Nulo   Nulo   
23/01/1979  0       Nulo   Nulo   Nulo   
24/01/1979  0       Nulo   Nulo   Nulo   
25/01/1979  0       Nulo   Nulo   Nulo   
26/01/1979  0       Nulo   Nulo   Nulo   
27/01/1979  0       Nulo   Nulo   Nulo   
28/01/1979  0       Nulo   Nulo   Nulo   
