CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 8348
NOMBRE    : PEÑASCOS
ESTADO    : CHIHUAHUA
MUNICIPIO : CAMARGO
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 027.918°
LONGITUD  : -104.661°
ALTITUD   : 1410 msnm

EMISIÓN   : 01/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/02/1982  0       Nulo   20     0      
02/02/1982  0       Nulo   15     -2     
03/02/1982  0       Nulo   24     -2     
04/02/1982  0       Nulo   20     5      
05/02/1982  0       Nulo   27     4      
06/02/1982  0       Nulo   19     3      
07/02/1982  0       Nulo   25     3      
08/02/1982  0       Nulo   21     2      
09/02/1982  0       Nulo   21     2      
10/02/1982  0       Nulo   20     3      
11/02/1982  0       Nulo   19     2      
12/02/1982  0       Nulo   20     2      
13/02/1982  0       Nulo   18     5      
14/02/1982  0       Nulo   20     5      
15/02/1982  0       Nulo   18     5      
16/02/1982  0       Nulo   20     5      
17/02/1982  0       Nulo   21     6      
18/02/1982  0       Nulo   27     3      
19/02/1982  0       Nulo   20     8      
20/02/1982  0       Nulo   25     8      
21/02/1982  0       Nulo   20     3      
22/02/1982  0       Nulo   21     7      
23/02/1982  0       Nulo   24     3      
24/02/1982  0       Nulo   22     3      
25/02/1982  0       Nulo   25     7      
26/02/1982  0       Nulo   21     3      
27/02/1982  0       Nulo   19     4      
28/02/1982  0       Nulo   18     5      
01/03/1982  0       Nulo   21     4      
02/03/1982  0       Nulo   21     3      
03/03/1982  0       Nulo   22     8      
04/03/1982  0       Nulo   20     3      
05/03/1982  0       Nulo   19     7      
06/03/1982  0       Nulo   20     5      
07/03/1982  0       Nulo   23     8      
08/03/1982  0       Nulo   22     6      
09/03/1982  0       Nulo   24     6      
10/03/1982  0       Nulo   22     5      
