CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 9021
NOMBRE    : EGIPTO 7
ESTADO    : DISTRITO FEDERAL
MUNICIPIO : Azcapotzalco
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 019.475°
LONGITUD  : -99.186°
ALTITUD   : 2248 msnm

EMISIÓN   : 29/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/01/1959  1.9     3.3    16     9      
02/01/1959  0       4.9    21.5   7      
03/01/1959  0       4.2    22.5   4      
04/01/1959  0       3      24     6      
05/01/1959  0       1.7    20     5      
06/01/1959  0       1.4    19     7.5    
07/01/1959  0       3      22     6      
08/01/1959  0       3.7    18     8      
09/01/1959  0       2.3    14     8      
10/01/1959  0       3.2    19.5   7      
11/01/1959  0       2.1    19     2      
12/01/1959  0       2.9    19.5   2.5    
13/01/1959  0.5     2      19.5   4      
14/01/1959  0       2      21     4      
15/01/1959  0       2.7    23.5   5      
16/01/1959  0       3.5    22     6      
17/01/1959  0       3.3    24     7.5    
18/01/1959  0       3.8    22.5   6      
19/01/1959  0       2.1    23     7      
20/01/1959  0       2.9    18.5   6.5    
21/01/1959  0       1.9    19     7      
22/01/1959  0       3.8    23     5      
23/01/1959  0       3.7    22.5   5      
24/01/1959  0       2      25     6      
25/01/1959  0       3.5    19     7      
26/01/1959  0       3.2    20.5   4      
27/01/1959  0       3.4    22     4      
28/01/1959  0       3.8    23     5      
29/01/1959  0       4.9    22     6.5    
30/01/1959  0       3.4    23     7      
31/01/1959  0       3.5    22     6      
01/02/1959  0       4.5    22     6.5    
02/02/1959  0       4.1    25     6      
03/02/1959  0       4.8    22.5   8      
04/02/1959  0       5.1    22.5   9      
05/02/1959  0       5.1    25     6.5    
06/02/1959  0       4      22     7      
07/02/1959  0       4.6    23.5   8.5    
08/02/1959  0       4.8    25     9      
09/02/1959  0       4.4    25     7.5    
10/02/1959  0       3.7    24     9      
11/02/1959  0       4.8    23.5   9      
12/02/1959  0       4      22     9      
13/02/1959  0       4.7    25     9.5    
14/02/1959  0       4.4    24     8.5    
15/02/1959  0       4.3    24     8.5    
16/02/1959  0       4.3    22     8      
17/02/1959  0       5.5    24     6      
18/02/1959  0       4.3    25     8      
19/02/1959  0       5.3    25     9      
20/02/1959  0.7     2.5    24     10     
21/02/1959  0       4.3    22.5   10     
22/02/1959  0       5.8    24     9      
23/02/1959  0       5.8    24     7      
24/02/1959  1.9     1.6    22     10     
25/02/1959  0       5.2    25     8.5    
26/02/1959  0       5.8    24.5   10     
27/02/1959  0       5.9    25     9.5    
28/02/1959  0       6.1    24     10     
01/03/1959  0.4     1.8    20.5   9      
02/03/1959  0       2.9    22.5   7      
03/03/1959  0       3.6    22     9      
04/03/1959  0       6      25     9      
05/03/1959  0       5.9    26.5   8      
06/03/1959  0       5.8    26     10     
07/03/1959  0       6.2    26     8      
08/03/1959  0       4.5    25     9      
09/03/1959  0       5.4    25     10     
10/03/1959  0       6.4    26     12.5   
11/03/1959  0       6      27.5   12     
12/03/1959  0       4.3    23     12     
13/03/1959  0       5.4    27     9      
14/03/1959  0       8.3    27     11     
15/03/1959  0       5.4    26     10     
16/03/1959  0       7.6    26     10     
17/03/1959  0       6.9    22.5   8.5    
18/03/1959  0       4.7    23.5   5      
19/03/1959  0       4.5    24     6      
20/03/1959  0       4.1    25     8      
21/03/1959  0       7.7    26     9      
22/03/1959  0       6.3    27     8      
23/03/1959  0       6.7    26.5   10     
24/03/1959  0       5.6    27.5   10     
25/03/1959  0       6.9    28     11.5   
26/03/1959  0       7.6    29     11.5   
27/03/1959  0       7.8    27     12     
28/03/1959  0       7.6    27     10.5   
29/03/1959  0       8.2    26     11     
30/03/1959  0       6.2    26.5   10     
31/03/1959  0       7.5    27     10     
01/04/1959  0       6.3    26.5   10.5   
02/04/1959  0       6.8    24.5   11     
03/04/1959  0       5.7    25     13     
04/04/1959  0       4.5    22     10.5   
05/04/1959  0       8.1    26     12.5   
06/04/1959  0       7.4    27     8      
07/04/1959  1.2     4.9    25     10     
08/04/1959  0       6.8    24     10     
09/04/1959  0       3.7    23.5   9.5    
10/04/1959  3.4     3.8    23.5   10     
11/04/1959  5.8     5.4    23     10     
12/04/1959  0.5     5      24.5   12     
13/04/1959  14.8    2.8    19     11     
14/04/1959  8.5     0.7    14     11     
15/04/1959  18.3    1.5    20.5   11     
16/04/1959  0.4     2.3    18     11.5   
17/04/1959  0       1.8    20     10     
18/04/1959  0       4.3    22     12     
19/04/1959  0       4.7    27     11     
20/04/1959  0.5     4.2    25     12     
21/04/1959  2.9     2.7    22     14     
22/04/1959  0       3.7    22.5   12     
23/04/1959  4.2     4.1    24.5   12     
24/04/1959  0       6.3    23     14     
25/04/1959  0       8.4    26     9.5    
26/04/1959  0       7.5    26.5   9      
27/04/1959  0       7.5    27.5   10     
28/04/1959  0       9.6    28     10.5   
29/04/1959  0       7.2    29     11.5   
30/04/1959  0       6      27     15     
01/05/1959  4.7     4      26.5   14     
02/05/1959  0       5.2    25     13     
03/05/1959  0.1     4.5    26     12     
04/05/1959  0       7.6    26     11     
05/05/1959  0       8.1    27     12     
06/05/1959  0       7.1    25     12.5   
07/05/1959  0       7.1    25     14.5   
08/05/1959  0       6.8    24     10.5   
09/05/1959  0.5     3.3    26     10     
10/05/1959  0       6.4    27     14     
11/05/1959  0       6      26     13     
12/05/1959  0       7.2    26.5   12     
13/05/1959  8.5     3.8    27     13.5   
14/05/1959  1.7     1.5    20     13     
15/05/1959  7.6     3.3    19     12     
16/05/1959  7.7     7.6    21.5   8.5    
17/05/1959  0.2     3.5    22     10     
18/05/1959  8.4     5.8    24     10     
19/05/1959  0       3.9    25.5   11     
20/05/1959  10.9    5.8    25.5   11.5   
21/05/1959  0       7.6    26     12     
22/05/1959  1.1     5      25.5   12     
23/05/1959  0       5.4    26     12     
24/05/1959  0       5      27     13     
25/05/1959  0       6.2    25     13     
26/05/1959  0       6.5    26     11.5   
27/05/1959  0       6.9    25.5   11.5   
28/05/1959  0       6.8    26     14     
29/05/1959  0       7.2    25.5   10.5   
30/05/1959  0       8.6    25.5   11.5   
31/05/1959  0       7.5    26     12     
01/06/1959  0       7.4    26     10     
02/06/1959  12.4    6.4    26     12.5   
03/06/1959  13.6    7.2    26     15     
04/06/1959  8.1     4.6    24.5   15     
05/06/1959  0       5.8    25     15     
06/06/1959  25.5    2.8    22     14.5   
07/06/1959  5.5     1.7    20.5   15     
08/06/1959  4.2     2.3    22.5   15     
09/06/1959  5.4     4.4    25     14.5   
10/06/1959  2.5     4.5    24     15     
11/06/1959  2       4.8    24.5   15     
12/06/1959  7.6     4      24.5   16     
13/06/1959  4.7     3.6    23     15.5   
14/06/1959  0       6.1    22.5   13.5   
15/06/1959  0       5.2    22     12     
16/06/1959  0       6.9    22     14.5   
17/06/1959  5.2     3.8    22     13     
18/06/1959  0.1     4.2    23.5   15     
19/06/1959  3.1     3.2    22     16     
20/06/1959  1.2     5.4    22.5   15     
21/06/1959  2       5.7    25     14     
