CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 10002
NOMBRE    : CANATLAN (SMN)
ESTADO    : DURANGO
MUNICIPIO : CANATLAN
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 024.554°
LONGITUD  : -104.742°
ALTITUD   : 1960 msnm

EMISIÓN   : 01/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
07/03/1961  0       Nulo   Nulo   Nulo   
08/03/1961  0       Nulo   Nulo   Nulo   
09/03/1961  0       Nulo   Nulo   Nulo   
10/03/1961  0       Nulo   Nulo   Nulo   
11/03/1961  0       Nulo   Nulo   Nulo   
12/03/1961  0       Nulo   Nulo   Nulo   
13/03/1961  0       Nulo   Nulo   Nulo   
14/03/1961  0       Nulo   Nulo   Nulo   
15/03/1961  0       Nulo   Nulo   Nulo   
16/03/1961  0       Nulo   Nulo   Nulo   
17/03/1961  0       Nulo   Nulo   Nulo   
18/03/1961  0       Nulo   Nulo   Nulo   
19/03/1961  0       Nulo   Nulo   Nulo   
20/03/1961  0       Nulo   Nulo   Nulo   
21/03/1961  0       Nulo   Nulo   Nulo   
22/03/1961  0       Nulo   Nulo   Nulo   
23/03/1961  0       Nulo   Nulo   Nulo   
24/03/1961  0       Nulo   Nulo   Nulo   
25/03/1961  0       Nulo   Nulo   Nulo   
26/03/1961  0       Nulo   Nulo   Nulo   
27/03/1961  0       Nulo   Nulo   Nulo   
28/03/1961  0       Nulo   Nulo   Nulo   
29/03/1961  0       Nulo   Nulo   Nulo   
30/03/1961  0       Nulo   Nulo   Nulo   
31/03/1961  0       Nulo   Nulo   Nulo   
01/05/1961  0       Nulo   Nulo   Nulo   
02/05/1961  0       Nulo   Nulo   Nulo   
03/05/1961  0       Nulo   24.5   Nulo   
04/05/1961  0       Nulo   35     16     
05/05/1961  0       Nulo   27     15     
06/05/1961  0       Nulo   30     15     
07/05/1961  0       Nulo   25     15     
08/05/1961  0       Nulo   28     14     
09/05/1961  0       Nulo   33     17     
10/05/1961  0       Nulo   27     16     
11/05/1961  0       Nulo   31     22     
12/05/1961  0       Nulo   32     17     
13/05/1961  0       Nulo   29     20     
14/05/1961  0       Nulo   25     17     
15/05/1961  0       Nulo   38     15.5   
16/05/1961  0       Nulo   31     15.5   
17/05/1961  0       Nulo   28     22     
18/05/1961  0       Nulo   25     20     
19/05/1961  0       Nulo   27     20     
20/05/1961  0       Nulo   26     17     
21/05/1961  0       Nulo   30     20     
22/05/1961  0       Nulo   26     16     
23/05/1961  0       Nulo   26     20     
24/05/1961  0       Nulo   34     19     
25/05/1961  25.5    Nulo   35     13     
26/05/1961  0       Nulo   29     19     
27/05/1961  0       Nulo   30     21     
28/05/1961  0       Nulo   22     18     
29/05/1961  0       Nulo   30     20     
30/05/1961  0       Nulo   29     17     
31/05/1961  0       Nulo   28     18     
01/06/1961  0       Nulo   31     16     
02/06/1961  0       Nulo   32     13     
03/06/1961  0       Nulo   31     16     
04/06/1961  0       Nulo   31     15     
05/06/1961  15.5    Nulo   34     20     
06/06/1961  0       Nulo   28     17     
07/06/1961  20      Nulo   27     17     
08/06/1961  0       Nulo   28     18     
09/06/1961  0       Nulo   29     17     
10/06/1961  0       Nulo   28     16     
11/06/1961  0       Nulo   28     17     
12/06/1961  9       Nulo   29     15     
13/06/1961  40      Nulo   25     16     
14/06/1961  11      Nulo   20     18     
15/06/1961  44      Nulo   30     17     
16/06/1961  10      Nulo   22     19     
17/06/1961  39      Nulo   28     16     
18/06/1961  0       Nulo   24     15.5   
19/06/1961  0       Nulo   30     16     
20/06/1961  0       Nulo   23     15     
21/06/1961  0       Nulo   28     16     
22/06/1961  0       Nulo   23     18     
23/06/1961  0       Nulo   22     17     
24/06/1961  0       Nulo   30     15     
25/06/1961  0       Nulo   24.5   14     
26/06/1961  8       Nulo   26     16     
27/06/1961  0       Nulo   25     15     
28/06/1961  15      Nulo   28     16     
29/06/1961  0       Nulo   24.5   17     
30/06/1961  0       Nulo   23     16     
01/07/1961  8       Nulo   24.5   15     
02/07/1961  0       Nulo   20     16     
03/07/1961  30      Nulo   21     10     
04/07/1961  60      Nulo   21     15     
05/07/1961  50      Nulo   24     14     
06/07/1961  34      Nulo   24     15     
07/07/1961  20      Nulo   25     14     
08/07/1961  24      Nulo   29     15     
09/07/1961  30      Nulo   28     11     
10/07/1961  12      Nulo   28     11     
11/07/1961  9       Nulo   20     11     
12/07/1961  8       Nulo   21     12     
13/07/1961  2       Nulo   22     13     
14/07/1961  2       Nulo   19.2   16     
15/07/1961  1.6     Nulo   22     14     
16/07/1961  1.2     Nulo   27     14     
17/07/1961  2.5     Nulo   28     17     
18/07/1961  0       Nulo   20     11     
19/07/1961  0       Nulo   24.5   12     
20/07/1961  0       Nulo   21     15     
21/07/1961  0       Nulo   28     13     
22/07/1961  23      Nulo   22     11     
23/07/1961  8       Nulo   22     16     
24/07/1961  5       Nulo   27     14     
25/07/1961  0       Nulo   27     10     
26/07/1961  0       Nulo   21     17     
27/07/1961  8       Nulo   24.5   13     
28/07/1961  24      Nulo   20     16     
29/07/1961  25      Nulo   22     15     
30/07/1961  3       Nulo   20     15     
31/07/1961  0       Nulo   23     16     
01/08/1961  5       Nulo   18     15     
02/08/1961  0       Nulo   19     14     
03/08/1961  0       Nulo   17     15     
04/08/1961  0       Nulo   18     14     
05/08/1961  0       Nulo   19     14     
06/08/1961  0.5     Nulo   18     12     
07/08/1961  0       Nulo   28     16     
08/08/1961  8       Nulo   25     14     
09/08/1961  2       Nulo   20     10     
10/08/1961  0       Nulo   24     17     
11/08/1961  25      Nulo   23     13     
12/08/1961  5       Nulo   18     13     
13/08/1961  0       Nulo   25     19     
14/08/1961  0       Nulo   29     19     
15/08/1961  26      Nulo   25     18     
16/08/1961  3       Nulo   19     17     
