CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 10040
NOMBRE    : LAS BAYAS
ESTADO    : DURANGO
MUNICIPIO : DURANGO
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 023.504°
LONGITUD  : -104.824°
ALTITUD   : 2643 msnm

EMISIÓN   : 01/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
16/11/1963  0       Nulo   27     Nulo   
17/11/1963  0       Nulo   22     2      
18/11/1963  0       Nulo   13     0      
19/11/1963  0       Nulo   15     1      
20/11/1963  0       Nulo   20     5      
21/11/1963  0       Nulo   16     0      
22/11/1963  0       Nulo   23     1      
23/11/1963  0       Nulo   22     2      
24/11/1963  0       Nulo   28     3      
25/11/1963  0       Nulo   24     3      
26/11/1963  12.7    Nulo   26     0      
27/11/1963  0       Nulo   20     5      
28/11/1963  0       Nulo   17     0      
29/11/1963  0.1     Nulo   11     2      
30/11/1963  0       Nulo   19     1      
01/12/1963  0       Nulo   16     0      
02/12/1963  0       Nulo   11     0      
03/12/1963  0       Nulo   15     10     
04/12/1963  0       Nulo   20     0      
05/12/1963  4.3     Nulo   15     2      
06/12/1963  19.5    Nulo   19     0      
07/12/1963  0       Nulo   11     0      
08/12/1963  0       Nulo   10     1      
09/12/1963  6.1     Nulo   14     0      
10/12/1963  10.2    Nulo   8      0      
11/12/1963  35.1    Nulo   7      3      
12/12/1963  55.8    Nulo   8      0      
13/12/1963  0.3     Nulo   8      0      
14/12/1963  7.8     Nulo   11     0      
15/12/1963  0       Nulo   12     4      
16/12/1963  0       Nulo   5      0      
17/12/1963  0       Nulo   10     0      
18/12/1963  0       Nulo   15     10     
19/12/1963  5.6     Nulo   16     10     
20/12/1963  0       Nulo   15     4      
21/12/1963  0       Nulo   14     5      
