CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 10090
NOMBRE    : CANATLAN (DGE)
ESTADO    : DURANGO
MUNICIPIO : CANATLAN
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 024.518°
LONGITUD  : -104.783°
ALTITUD   : 2000 msnm

EMISIÓN   : 01/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/08/1963  0       3.6    28     10     
02/08/1963  0       4.8    21     11     
03/08/1963  0       4.5    25     10     
04/08/1963  0       4      18     11     
05/08/1963  9       2.5    24.5   12     
06/08/1963  0       3.3    26     12     
07/08/1963  0       2.8    20     12     
08/08/1963  0       2.8    20     12     
09/08/1963  7       3.5    26     13     
10/08/1963  13.5    4.4    26     12     
11/08/1963  0       4.6    28     11     
12/08/1963  5.5     4.6    26     12     
13/08/1963  4.5     2.9    19.5   13     
14/08/1963  18.5    5      24.5   13     
15/08/1963  0       2.9    25.5   9      
16/08/1963  0       3.1    26     9      
17/08/1963  0       2.4    22     9      
18/08/1963  0       2.6    20     11     
19/08/1963  4.5     3.4    26     10.5   
20/08/1963  0       3.3    26     11     
21/08/1963  0       1.2    27     13     
22/08/1963  0       4.4    29     9      
23/08/1963  0       3.8    28     12     
24/08/1963  0       3.8    28     11     
25/08/1963  0       4.4    28     10     
26/08/1963  0       4.3    28     11     
27/08/1963  32      2.8    27     12     
28/08/1963  3.5     4.1    24     12     
29/08/1963  0       4.1    26     12     
30/08/1963  0       4.4    27     12     
31/08/1963  35.5    3.4    26     13     
01/09/1963  12.5    3.9    25     11     
02/09/1963  0       6.3    24     10     
03/09/1963  17      4.9    26     11.5   
04/09/1963  18.5    3.8    25     12     
05/09/1963  0       1.7    27     11     
06/09/1963  0       4.1    25     12     
07/09/1963  0       4.1    26     10     
08/09/1963  0       3.5    27     11     
09/09/1963  0       4.3    19     10     
10/09/1963  0       4.7    19     11     
11/09/1963  0       4.5    27.5   9      
12/09/1963  6.5     3.3    27     9      
13/09/1963  0       4.1    26     11     
14/09/1963  17      3.1    26     10     
15/09/1963  0       4.5    25     12     
16/09/1963  0       4.3    26     12     
17/09/1963  0       4.1    26.5   12     
18/09/1963  0       4.1    28     11     
19/09/1963  0       4.1    27.5   12     
20/09/1963  0       2.9    27.5   9      
21/09/1963  42      3.5    26     11     
22/09/1963  0       3.8    24     12     
23/09/1963  0       5.5    24.5   12     
24/09/1963  0       4.2    25     7      
25/09/1963  0       4.8    19.5   12     
26/09/1963  12.5    3.6    18     11     
27/09/1963  33      0.6    16     11     
28/09/1963  17      0.9    13     7      
29/09/1963  0       1.3    20     7      
30/09/1963  0       3.3    23     9      
01/11/1963  0       2.6    25     3      
02/11/1963  0       3.1    20.5   4      
03/11/1963  0       2.5    26     6      
04/11/1963  0       2.1    17     7      
05/11/1963  0       2.8    23.5   5      
06/11/1963  0       3.1    25     0      
07/11/1963  0       1.1    23     1      
08/11/1963  0       5.5    21     4      
09/11/1963  0       3.7    21     -2     
10/11/1963  0       3.8    21.5   -1.5   
11/11/1963  0       4.6    22     -2.5   
12/11/1963  0       3.8    21     -3.5   
13/11/1963  0       2.6    22     -4     
14/11/1963  0       4.6    24     -5     
15/11/1963  0       4.8    22.5   -6     
16/11/1963  0       4.8    24.5   -4     
17/11/1963  0       5.6    24     -3.5   
18/11/1963  0       4.1    24     -2     
19/11/1963  0       5.8    23     -1     
20/11/1963  0       3.2    23     -3     
21/11/1963  0       2.8    25     1      
22/11/1963  0       1.4    27     0      
23/11/1963  0       3.7    21     -3     
24/11/1963  0       5.6    25     -1     
25/11/1963  0       4.5    21     2      
26/11/1963  6       4.9    20     0      
27/11/1963  0       5.5    19     3      
28/11/1963  0       5      21     -5     
29/11/1963  0       4.3    21     -4     
30/11/1963  0       3.3    19     -1     
01/12/1963  0       4.7    20     -1     
02/12/1963  0       3.8    19.5   2      
03/12/1963  0       4.1    19.5   -2     
04/12/1963  0       Nulo   21     0      
05/12/1963  0       4.5    18     2      
06/12/1963  0       4.1    18     4      
07/12/1963  0       2.3    23     6      
08/12/1963  8.5     1.9    17     3      
09/12/1963  0       4.8    19     6      
10/12/1963  0       4.5    21     8.5    
11/12/1963  5       1.5    19     6      
12/12/1963  5       2.6    17     8      
13/12/1963  0       4.1    12     7      
14/12/1963  0       1.6    12     3      
15/12/1963  0       2.4    11     4      
16/12/1963  0       2.1    16     3      
17/12/1963  0       2.1    18     2      
18/12/1963  0       1.1    15     2      
19/12/1963  0       3.7    16     4      
20/12/1963  0       2.5    21     3      
21/12/1963  0       3.9    19     1      
22/12/1963  0       7.4    20     -3     
23/12/1963  0       2.9    21     -4     
24/12/1963  0       4.3    22     -6     
25/12/1963  0       4.2    18     -7     
26/12/1963  0       3.9    22     -6.5   
27/12/1963  0       2.5    23     -3     
28/12/1963  0       4.3    21     -3     
29/12/1963  0       3.2    21     -6     
30/12/1963  0       3.6    21     -3.5   
31/12/1963  0       4.4    11     -4     
01/01/1964  0       4.2    14     -7     
02/01/1964  0       5      17     -6.5   
03/01/1964  0       5.1    20     -5     
04/01/1964  0       4.3    18.5   -4     
05/01/1964  0       3.5    19     -3     
06/01/1964  0       5.3    18     -5     
07/01/1964  0       3.4    19.5   -3     
08/01/1964  0       5.6    20     -4     
09/01/1964  0       4.7    14     -4     
10/01/1964  0       4.8    19     -6     
11/01/1964  0       5.3    20     -4     
12/01/1964  0       4.2    20     -6     
13/01/1964  0       4.9    15     -5     
14/01/1964  0       5.1    21     -5     
15/01/1964  0       3.5    16     -1     
16/01/1964  0       4.2    11     -7     
17/01/1964  0       4.3    19.5   -6     
18/01/1964  0       5.1    20     -5     
19/01/1964  0       4.7    20     4      
20/01/1964  0       2.3    19     -1     
21/01/1964  0       5.5    21.5   2      
22/01/1964  0       4.4    24     0      
23/01/1964  0       5.6    24     0      
24/01/1964  0       4.4    24     1      
25/01/1964  0       5.3    23     2      
26/01/1964  0       5.3    14     3      
27/01/1964  0       5.5    16     -1     
28/01/1964  0       6      24     -4     
29/01/1964  0       4.8    22     0      
30/01/1964  0       4.8    22     0      
31/01/1964  12      6.1    18     2      
01/02/1964  6.5     5.3    17     3      
02/02/1964  0       4.3    18     3      
03/02/1964  0       3.3    19     1      
04/02/1964  0       5.6    20     -2     
05/02/1964  0       4.8    19     -3     
06/02/1964  0       4.5    21     -3     
07/02/1964  0       5.8    22     0      
08/02/1964  0       3.7    22     -1     
09/02/1964  0       4.6    20     -1     
10/02/1964  0       4.4    25     -1     
11/02/1964  0       5.1    21     2      
12/02/1964  0       5.8    25     2      
13/02/1964  0       5.5    20     3      
14/02/1964  0       5      20     3      
15/02/1964  0       5.5    22     -3     
16/02/1964  0       6.6    24     1      
17/02/1964  0       5.8    23     0      
18/02/1964  0       5.2    20     -1     
19/02/1964  0       5.1    21     -4     
20/02/1964  0       5.2    21     -3     
21/02/1964  0       6.6    18     -4     
22/02/1964  0       4.7    18.5   -2     
23/02/1964  0       6.1    22     -3     
24/02/1964  0       5.1    19     -2     
25/02/1964  0       5.1    18     -5     
26/02/1964  0       4.4    22.5   -3     
27/02/1964  0       4.6    24     2      
28/02/1964  0       6.2    24     3      
29/02/1964  0       6      25     4      
01/03/1964  0       6.1    22     2      
02/03/1964  0       4.9    23     -4     
03/03/1964  0       4.2    19     1      
04/03/1964  0       3.2    20     -3     
05/03/1964  0       5.3    25     -5     
06/03/1964  0       5.3    25     1      
07/03/1964  0       4      26     0      
08/03/1964  0       4.4    24     2      
09/03/1964  0       5.4    25     4      
10/03/1964  0       3.9    24.5   -3     
11/03/1964  0       4.6    25.5   0      
12/03/1964  0       4.8    27     1      
13/03/1964  0       4.9    24     4      
14/03/1964  0       4.7    27     0      
15/03/1964  0       3.9    23     0      
16/03/1964  0       5.5    22     4      
17/03/1964  0       3.8    22     0      
18/03/1964  0       5.2    21     4      
19/03/1964  0       4.2    23     -6     
20/03/1964  0       0.9    24     -3     
21/03/1964  0       4.7    25     -1     
22/03/1964  0       2.9    22     4      
23/03/1964  0       4.7    25     5      
24/03/1964  0       5.4    23     4      
25/03/1964  0       5.9    22     4      
26/03/1964  0       5.5    25     3      
27/03/1964  0       5.3    23     4      
28/03/1964  0       5.1    23     3      
29/03/1964  0       5.3    26     2      
30/03/1964  0       4.2    26     4      
31/03/1964  0       5.8    27     3      
01/04/1964  0       8.1    27     4      
02/04/1964  0       2.5    26     4      
