CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 10124
NOMBRE    : LA FLOR
ESTADO    : DURANGO
MUNICIPIO : DURANGO
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 023.525°
LONGITUD  : -104.723°
ALTITUD   : 2840 msnm

EMISIÓN   : 01/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/04/1975  0       Nulo   18     4.5    
02/04/1975  0       Nulo   18     6      
03/04/1975  0       Nulo   22     4      
04/04/1975  0       Nulo   21     6      
05/04/1975  0       Nulo   16     6      
06/04/1975  0       Nulo   18     4      
07/04/1975  0       Nulo   18     3      
08/04/1975  0       Nulo   17     5      
09/04/1975  0       Nulo   19     4      
10/04/1975  0       Nulo   20     2      
11/04/1975  0       Nulo   17     4      
12/04/1975  0       Nulo   16     4      
13/04/1975  0       Nulo   18     5      
14/04/1975  0       Nulo   20     6      
15/04/1975  0       Nulo   23     7      
16/04/1975  0       Nulo   25     10     
17/04/1975  0       Nulo   22     9      
18/04/1975  0       Nulo   21     8      
19/04/1975  0       Nulo   24     6      
20/04/1975  0       Nulo   23     9      
21/04/1975  0       Nulo   24     11.5   
22/04/1975  0       Nulo   25     8      
23/04/1975  0       Nulo   24     7      
24/04/1975  0       Nulo   24     8      
25/04/1975  0       Nulo   23     9      
26/04/1975  0       Nulo   22     8      
27/04/1975  0       Nulo   21     7      
28/04/1975  0       Nulo   19     6      
29/04/1975  0       Nulo   20     5      
30/04/1975  0       Nulo   20     5      
01/05/1975  0       Nulo   21     6.5    
02/05/1975  0       Nulo   20     7      
03/05/1975  0       Nulo   21     7      
04/05/1975  0       Nulo   21     8      
05/05/1975  0       Nulo   19     6.5    
06/05/1975  0       Nulo   21     5      
07/05/1975  0       Nulo   20     7      
08/05/1975  0       Nulo   20     6      
09/05/1975  0       Nulo   19     7      
10/05/1975  0       Nulo   24     5      
11/05/1975  0       Nulo   24     10     
12/05/1975  0       Nulo   23     9      
13/05/1975  0       Nulo   23     7      
14/05/1975  0       Nulo   25     7      
15/05/1975  0       Nulo   23     7      
16/05/1975  0       Nulo   20     6      
17/05/1975  0       Nulo   20     7      
18/05/1975  0       Nulo   21     7      
19/05/1975  0       Nulo   22.5   9      
20/05/1975  0       Nulo   20     8      
21/05/1975  0       Nulo   21     7      
22/05/1975  0       Nulo   21     8      
23/05/1975  0       Nulo   23     9      
24/05/1975  0       Nulo   23     8      
25/05/1975  0       Nulo   19     7      
26/05/1975  12      Nulo   19     8      
27/05/1975  0       Nulo   21     7      
28/05/1975  0       Nulo   21     8      
29/05/1975  0       Nulo   23     6      
30/05/1975  0       Nulo   24     7      
31/05/1975  0       Nulo   24     8      
01/06/1975  0       Nulo   25     8      
02/06/1975  0       Nulo   23     9      
03/06/1975  0       Nulo   23     8      
04/06/1975  20.6    Nulo   21     10     
05/06/1975  5       Nulo   20     5      
06/06/1975  0       Nulo   20     10     
07/06/1975  0       Nulo   22     8      
08/06/1975  0       Nulo   23     7      
09/06/1975  0       Nulo   22     6      
10/06/1975  0       Nulo   23     9      
11/06/1975  6.8     Nulo   23     8      
12/06/1975  0       Nulo   21     9      
13/06/1975  0       Nulo   20     7      
14/06/1975  0       Nulo   23     8      
15/06/1975  1       Nulo   25     9      
16/06/1975  0       Nulo   21     8      
17/06/1975  10      Nulo   22     9      
18/06/1975  0       Nulo   19.5   7      
19/06/1975  3       Nulo   21     6      
20/06/1975  0.2     Nulo   20     6      
21/06/1975  0.7     Nulo   21.5   5      
22/06/1975  2.1     Nulo   22     8.5    
23/06/1975  0       Nulo   22     8      
24/06/1975  0       Nulo   21     9      
25/06/1975  0       Nulo   22     9      
26/06/1975  8.5     Nulo   22     7      
27/06/1975  0.5     Nulo   21     8      
28/06/1975  2.1     Nulo   20     7.5    
29/06/1975  0       Nulo   20     7.5    
30/06/1975  6.8     Nulo   27     6.5    
01/07/1975  10      Nulo   17     9      
02/07/1975  0       Nulo   20     6.5    
03/07/1975  0       Nulo   21     7.5    
04/07/1975  0       Nulo   20     8.5    
05/07/1975  0       Nulo   21     7.5    
06/07/1975  7.5     Nulo   18     7.5    
07/07/1975  0       Nulo   19.5   8      
08/07/1975  0       Nulo   20     8.5    
09/07/1975  6       Nulo   17     7.5    
10/07/1975  8       Nulo   22     6      
11/07/1975  0       Nulo   15     6      
12/07/1975  0.8     Nulo   18     8      
13/07/1975  4.2     Nulo   15     8.5    
14/07/1975  23.5    Nulo   15     8      
15/07/1975  8.5     Nulo   14     9.5    
16/07/1975  5.3     Nulo   16.5   7      
17/07/1975  0       Nulo   16     8      
18/07/1975  3.5     Nulo   19.5   7      
19/07/1975  0       Nulo   16     7      
20/07/1975  5.4     Nulo   17.5   8      
21/07/1975  0       Nulo   17     8.5    
22/07/1975  5       Nulo   17     8      
23/07/1975  2.3     Nulo   20     7      
24/07/1975  4       Nulo   19     8      
25/07/1975  1       Nulo   18     8      
26/07/1975  2.3     Nulo   19     7      
27/07/1975  15.1    Nulo   16.5   9      
28/07/1975  2       Nulo   20     8      
29/07/1975  0       Nulo   21     9      
30/07/1975  2       Nulo   20.5   8      
31/07/1975  5.2     Nulo   21     9      
01/08/1975  27      Nulo   19     8      
02/08/1975  11      Nulo   20     8      
03/08/1975  20      Nulo   20     7      
04/08/1975  60      Nulo   16     8.5    
05/08/1975  24.5    Nulo   17     8      
06/08/1975  20      Nulo   13     6      
07/08/1975  40      Nulo   15     8      
08/08/1975  15      Nulo   17     9      
09/08/1975  6.1     Nulo   16     9      
10/08/1975  1.5     Nulo   13     7      
11/08/1975  0       Nulo   19     8      
12/08/1975  8.6     Nulo   18     7      
13/08/1975  6       Nulo   17     8      
14/08/1975  0       Nulo   16     7      
15/08/1975  5.6     Nulo   19     7      
16/08/1975  1       Nulo   18     7      
17/08/1975  5.5     Nulo   19     7      
18/08/1975  0       Nulo   18.5   8.5    
19/08/1975  1.2     Nulo   17     7      
20/08/1975  2       Nulo   18.5   8      
21/08/1975  0       Nulo   19     7      
22/08/1975  0.5     Nulo   19     8      
23/08/1975  0       Nulo   19     8      
24/08/1975  8.4     Nulo   20     7      
25/08/1975  12.3    Nulo   16     9      
26/08/1975  27      Nulo   18.5   7      
27/08/1975  10.5    Nulo   19     7.5    
28/08/1975  10.4    Nulo   13     8      
29/08/1975  0       Nulo   18     7      
30/08/1975  22.5    Nulo   20     7.5    
31/08/1975  5.9     Nulo   18     9      
01/09/1975  13      Nulo   17     8      
02/09/1975  1.5     Nulo   18     7      
03/09/1975  2.4     Nulo   18     8      
04/09/1975  9       Nulo   16     8      
05/09/1975  10      Nulo   17     7      
06/09/1975  0       Nulo   18     8      
07/09/1975  0       Nulo   18     6.5    
08/09/1975  0       Nulo   19     7      
09/09/1975  0       Nulo   19     8      
10/09/1975  0       Nulo   18     8      
11/09/1975  0.2     Nulo   18     9      
12/09/1975  0       Nulo   20     9      
13/09/1975  4.5     Nulo   17     10     
14/09/1975  0       Nulo   19     5      
15/09/1975  2       Nulo   19     7      
16/09/1975  0       Nulo   20     7      
17/09/1975  0       Nulo   20     8      
18/09/1975  0       Nulo   21     9      
19/09/1975  0       Nulo   20.5   8      
20/09/1975  0       Nulo   21     8      
21/09/1975  4       Nulo   20     7      
22/09/1975  5       Nulo   19     8      
23/09/1975  0       Nulo   18     6      
24/09/1975  0       Nulo   16     7      
25/09/1975  0       Nulo   16     4      
