CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 10137
NOMBRE    : GUATIMAPE (DGE)
ESTADO    : DURANGO
MUNICIPIO : NUEVO IDEAL
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 024.807°
LONGITUD  : -104.922°
ALTITUD   : 1974 msnm

EMISIÓN   : 08/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
19/09/1977  0       Nulo   Nulo   Nulo   
20/09/1977  0       Nulo   31     10     
21/09/1977  0       Nulo   30     9      
22/09/1977  0       Nulo   32     8      
23/09/1977  0       Nulo   32     8      
24/09/1977  0       Nulo   32     12     
25/09/1977  0       Nulo   28     11     
26/09/1977  0       Nulo   33     13     
27/09/1977  0       Nulo   33     11     
28/09/1977  0       Nulo   32     10     
29/09/1977  0       Nulo   33     8      
30/09/1977  0       Nulo   32     9      
01/10/1977  0       Nulo   31     9      
02/10/1977  0       Nulo   33     9      
03/10/1977  11      Nulo   30     9      
04/10/1977  0       Nulo   30     8      
05/10/1977  0       Nulo   32     9      
06/10/1977  0       Nulo   33     9.5    
07/10/1977  0       Nulo   32     12     
08/10/1977  0       Nulo   30     10     
09/10/1977  0       Nulo   31     7      
10/10/1977  0       Nulo   34     5      
11/10/1977  0       Nulo   32     9      
12/10/1977  0       Nulo   26     10     
13/10/1977  0       Nulo   29     9      
14/10/1977  0       Nulo   30     9      
15/10/1977  0       Nulo   24     9      
16/10/1977  0       Nulo   31     7      
17/10/1977  0       Nulo   29     5      
18/10/1977  0       Nulo   29     7      
19/10/1977  0       Nulo   26     7      
20/10/1977  3.5     Nulo   28     11     
21/10/1977  0       Nulo   29     7      
22/10/1977  0       Nulo   28     3      
23/10/1977  0       Nulo   25     3      
24/10/1977  0       Nulo   25     3      
25/10/1977  18      Nulo   17     3      
26/10/1977  6       Nulo   20     11     
27/10/1977  0       Nulo   25     7      
28/10/1977  0       Nulo   27     7      
29/10/1977  0       Nulo   28     8      
30/10/1977  0       Nulo   30     8      
31/10/1977  0       Nulo   29     7      
01/11/1977  0       Nulo   28     8      
02/11/1977  0       Nulo   28     4      
03/11/1977  0       Nulo   28     4      
04/11/1977  0       Nulo   28     2      
05/11/1977  0       Nulo   27     2      
06/11/1977  0       Nulo   27     2      
07/11/1977  0       Nulo   28     3      
08/11/1977  0       Nulo   27     3      
09/11/1977  0       Nulo   25     1      
10/11/1977  0       Nulo   24     0      
11/11/1977  0       Nulo   25     1      
12/11/1977  0       Nulo   25     0      
13/11/1977  0       Nulo   27     0      
14/11/1977  0       Nulo   26     1      
15/11/1977  0       Nulo   23     4      
16/11/1977  0       Nulo   24.5   6      
17/11/1977  0       Nulo   24.5   3      
18/11/1977  0       Nulo   24     3.5    
19/11/1977  0       Nulo   25.5   2      
20/11/1977  0       Nulo   25     1.5    
21/11/1977  0       Nulo   27     0      
22/11/1977  0       Nulo   27     1      
23/11/1977  0       Nulo   27     -0.5   
24/11/1977  0       Nulo   26.5   2      
25/11/1977  0       Nulo   27     -1     
26/11/1977  0       Nulo   27     -1     
27/11/1977  0       Nulo   28     -1     
28/11/1977  0       Nulo   27     0      
29/11/1977  0       Nulo   25     0      
30/11/1977  0       Nulo   25     -0.5   
01/12/1977  0       Nulo   27     -2     
02/12/1977  0       Nulo   27     -4     
03/12/1977  0       Nulo   27     -2.5   
04/12/1977  0       Nulo   27     -2     
05/12/1977  0       Nulo   27     0      
06/12/1977  0       Nulo   25     -1     
07/12/1977  0       Nulo   25     -3     
08/12/1977  0       Nulo   26     -4     
09/12/1977  0       Nulo   25     -2     
10/12/1977  0       Nulo   26     -1.5   
11/12/1977  0       Nulo   25     -3.5   
12/12/1977  0       Nulo   24     -4     
13/12/1977  0       Nulo   25     -4     
14/12/1977  0       Nulo   26     -3     
15/12/1977  0       Nulo   24.5   -2.5   
16/12/1977  0       Nulo   22     -2.5   
17/12/1977  0       Nulo   21     -2     
18/12/1977  0       Nulo   27     -3     
19/12/1977  0       Nulo   27     -2.5   
20/12/1977  0       Nulo   22     -2.5   
21/12/1977  0       Nulo   17.5   -2.5   
22/12/1977  0       Nulo   19     -3     
23/12/1977  0       Nulo   21     -1     
24/12/1977  0       Nulo   26     0      
25/12/1977  0       Nulo   24     0      
26/12/1977  0       Nulo   28     -1     
27/12/1977  0       Nulo   29     0      
28/12/1977  0       Nulo   27     0      
29/12/1977  0       Nulo   24     0      
30/12/1977  0       Nulo   27     0      
31/12/1977  0       Nulo   25     -2     
01/01/1978  0       Nulo   24     -3     
02/01/1978  0       Nulo   25     -2     
03/01/1978  0       Nulo   25     -1.5   
04/01/1978  0       Nulo   25     -2     
05/01/1978  0       Nulo   26     -3     
06/01/1978  0       Nulo   23     -2     
07/01/1978  0       Nulo   23     -6     
08/01/1978  0       Nulo   24     -5     
09/01/1978  0       Nulo   23     -5     
10/01/1978  0       Nulo   22.5   -4.5   
11/01/1978  0       Nulo   23     -2.5   
12/01/1978  0       Nulo   21     -2     
13/01/1978  0       Nulo   24     -2     
14/01/1978  0       Nulo   25     -4     
15/01/1978  0       Nulo   26     -3     
16/01/1978  0       Nulo   25     -1     
17/01/1978  0       Nulo   22     -1     
18/01/1978  0       Nulo   19     -2     
19/01/1978  0       Nulo   21     -1.5   
20/01/1978  0       Nulo   23     -1     
21/01/1978  0       Nulo   23.5   -1     
22/01/1978  0       Nulo   24     -3     
23/01/1978  0       Nulo   21     -1     
24/01/1978  0       Nulo   22     -1     
25/01/1978  0       Nulo   21     -2     
26/01/1978  0       Nulo   21     -3     
27/01/1978  0       Nulo   23     -6     
28/01/1978  0       Nulo   21     -6     
29/01/1978  0       Nulo   30     -2     
30/01/1978  0       Nulo   30     2      
31/01/1978  0       Nulo   27     4      
01/02/1978  0       Nulo   27     0      
02/02/1978  0       Nulo   26     -1     
03/02/1978  0       Nulo   26     2      
04/02/1978  0       Nulo   25     1      
05/02/1978  0       Nulo   23     0      
06/02/1978  0       Nulo   24     1      
07/02/1978  0       Nulo   18     0      
08/02/1978  0       Nulo   24     -4     
09/02/1978  0       Nulo   24     -2     
10/02/1978  0       Nulo   23     -3     
