CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 10159
NOMBRE    : PIEDRA HERRADA
ESTADO    : DURANGO
MUNICIPIO : SUCHIL
SITUACION : OPERANDO
ORGANISMO : CONAGUA
CVE-OMM   : Nulo
LATITUD   : 023.388°
LONGITUD  : -104.247°
ALTITUD   : 2492 msnm

EMISIÓN   : 08/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/01/2007  0       1.4    17     -5     
02/01/2007  0       3.7    18     -5     
03/01/2007  0       1.5    16     -6     
04/01/2007  0       3.4    15     -5     
05/01/2007  0       2.2    18     -5     
06/01/2007  0       2.3    17     -4     
07/01/2007  0       3.1    17     -5     
08/01/2007  0       3.6    18     -3     
09/01/2007  0       2.9    16     -4     
10/01/2007  0       1.2    18     -2     
11/01/2007  0       2.3    16     -1     
12/01/2007  0       1.9    15     2      
13/01/2007  0       2.2    17     0      
14/01/2007  0       3.4    16     -1     
15/01/2007  0       2      18     -1     
16/01/2007  0       2.8    19     1      
17/01/2007  0       2      18     0      
18/01/2007  0       2.1    18     -1     
19/01/2007  0       1.3    16     -2     
20/01/2007  0       0.3    8      0      
21/01/2007  0       3.3    12     2      
22/01/2007  7.3     6.6    19     -2     
23/01/2007  0       3.2    10     3      
24/01/2007  0       2.8    14     0      
25/01/2007  0       1.5    16     -2     
26/01/2007  0       2.6    14     -2     
27/01/2007  0       2.2    15     -7     
28/01/2007  0       1.8    15     -7     
29/01/2007  0       0.4    11     2      
30/01/2007  0       3.6    14     -5     
31/01/2007  0       3.1    14     -5     
01/02/2007  0       2.6    13     -5     
02/02/2007  0       3      15     -8     
03/02/2007  0       3.1    15     -5     
04/02/2007  0       3.2    15     -3     
05/02/2007  0       1.7    14     -4     
06/02/2007  0       2.2    16     -5     
07/02/2007  0       1.6    15     -3     
08/02/2007  0       3.5    14     -5     
09/02/2007  0       3.4    16     -4     
10/02/2007  0       3.5    17     -6     
11/02/2007  0       3.8    18     -6     
12/02/2007  0       2.6    16     -6     
13/02/2007  0       5.6    15     -8     
14/02/2007  0       4.8    11     -8     
15/02/2007  0       3.6    15     -5     
16/02/2007  0       3.4    16     -6     
17/02/2007  0       4.2    16     -5     
18/02/2007  0       2.9    17     -3     
19/02/2007  0       2.8    17     -3     
20/02/2007  0       4.2    18     -3     
21/02/2007  0       2.8    21     -4     
22/02/2007  0       3.4    23     -4     
23/02/2007  0       3.5    21     -3     
24/02/2007  0       4.1    21     -4     
25/02/2007  0       2.3    17     -6     
26/02/2007  0       4.3    21     -4     
27/02/2007  0       3.4    21     -6     
28/02/2007  0       3.5    22     -5     
01/03/2007  0       3.3    22     -5     
02/03/2007  0       4.2    22     -3     
03/03/2007  0       2.6    22     -3     
04/03/2007  0       3.5    14     -5     
05/03/2007  0       2.5    17     -8     
06/03/2007  0       4      20     -2     
07/03/2007  0       3.5    20     -3     
08/03/2007  0       3.7    21     -3     
09/03/2007  0       3.2    22     -2     
10/03/2007  0       2.5    21     -3     
11/03/2007  0       3.9    22     -4     
12/03/2007  0       3.2    17     -4     
13/03/2007  0       2.8    19     -5     
14/03/2007  0       4.5    21     -6     
15/03/2007  0       4.7    23     -7     
16/03/2007  0       3.3    22     -2     
17/03/2007  0       4      21     -1     
18/03/2007  0       1.8    22     0      
19/03/2007  0       1.6    22     -3     
20/03/2007  0       4.4    25     -4     
21/03/2007  0       4      23     -2     
22/03/2007  0       1.8    19     3      
23/03/2007  0       3.8    20     5      
24/03/2007  0       4.4    19     -2     
25/03/2007  0       1.6    14     3      
26/03/2007  0       6      20     -4     
27/03/2007  0       5.7    22     -6     
28/03/2007  0       5.8    20     -2     
