CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 11046
NOMBRE    : MINAS DE MAGUEY
ESTADO    : GUANAJUATO
MUNICIPIO : VICTORIA
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 021.55°
LONGITUD  : -100.133°
ALTITUD   : 1000 msnm

EMISIÓN   : 13/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/01/1961  0       3.6    23.5   14     
02/01/1961  0       3.4    16     11     
03/01/1961  0       3.3    17     12     
04/01/1961  0       3.7    18     12     
05/01/1961  0       3.6    27.5   12     
06/01/1961  0       4      26     13     
07/01/1961  0       3.6    31.5   11     
08/01/1961  0       5      28     11     
09/01/1961  0       4.6    28     9      
10/01/1961  0       4      23     9      
11/01/1961  0       3.7    20     8      
12/01/1961  0       3.3    18.5   8      
13/01/1961  0       3.9    20.5   7      
14/01/1961  0       4.2    19     7      
15/01/1961  0       3      22     8      
16/01/1961  0       3.7    15     10     
17/01/1961  0       5      17.5   13     
18/01/1961  0       2.1    22     14     
19/01/1961  0       6.4    23     11     
20/01/1961  9       4.1    20     8      
21/01/1961  0       5      18     8      
22/01/1961  0.5     3.4    21     9      
23/01/1961  1       5.6    25     8.5    
24/01/1961  0.1     4      28     11     
25/01/1961  0       3.5    30     11     
26/01/1961  0       5.3    30.5   11     
27/01/1961  0       5.1    31     13     
28/01/1961  0       6.6    34     10     
29/01/1961  0       5.6    30     10     
30/01/1961  0       4.4    32     10     
31/01/1961  0       5.5    31     8      
01/02/1961  0       Nulo   32     9      
02/02/1961  0       Nulo   31     9      
03/02/1961  1       Nulo   28     11     
04/02/1961  0       Nulo   29     11.5   
05/02/1961  0       Nulo   30     9      
06/02/1961  0       Nulo   30     14     
07/02/1961  0       Nulo   23     8      
