CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 11057
NOMBRE    : RIO LAJAS
ESTADO    : GUANAJUATO
MUNICIPIO : DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 021.2°
LONGITUD  : -100.917°
ALTITUD   : 1906 msnm

EMISIÓN   : 13/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
14/05/1944  0       Nulo   Nulo   Nulo   
15/05/1944  0       Nulo   27     15     
16/05/1944  0       Nulo   27     12     
17/05/1944  0       Nulo   24     11     
18/05/1944  0       Nulo   26     15     
19/05/1944  0       Nulo   29     18     
20/05/1944  0       Nulo   26     13     
21/05/1944  0       Nulo   28     15     
22/05/1944  0       Nulo   26     16     
23/05/1944  0       Nulo   29     17     
24/05/1944  0       Nulo   28     14     
25/05/1944  0       Nulo   27     15     
26/05/1944  0       Nulo   27     14     
27/05/1944  0       Nulo   28     16     
28/05/1944  0       Nulo   27     16     
29/05/1944  0       Nulo   31.5   12     
30/05/1944  0       Nulo   31.5   12     
31/05/1944  0       Nulo   32     13     
01/06/1944  0       Nulo   30     16     
02/06/1944  0       Nulo   34     14     
03/06/1944  0       Nulo   30     11.5   
04/06/1944  0       Nulo   34     12     
05/06/1944  0       Nulo   31     15     
06/06/1944  0       Nulo   28     14     
07/06/1944  0       Nulo   31     13     
08/06/1944  0       Nulo   30     10     
09/06/1944  0       Nulo   31     15     
10/06/1944  0       Nulo   26     13     
11/06/1944  0       Nulo   30     15     
12/06/1944  0       Nulo   31     13     
13/06/1944  0       Nulo   29     15     
14/06/1944  0       Nulo   28     16     
15/06/1944  0       Nulo   29     16     
16/06/1944  0       Nulo   29     15     
17/06/1944  0       Nulo   30     15     
18/06/1944  7       Nulo   31     16.5   
19/06/1944  7       Nulo   24     16.5   
20/06/1944  0       Nulo   25.5   14.5   
21/06/1944  8       Nulo   31     12.5   
22/06/1944  0       Nulo   28.5   16.5   
23/06/1944  0       Nulo   26     15.5   
24/06/1944  0       Nulo   30     11     
25/06/1944  0       Nulo   29     12.5   
26/06/1944  0       Nulo   28     13     
27/06/1944  0       Nulo   31     16     
28/06/1944  0       Nulo   29     11     
29/06/1944  0       Nulo   28     14     
30/06/1944  0       Nulo   27     15     
01/07/1944  5.5     Nulo   28     15     
02/07/1944  2       Nulo   30     13     
03/07/1944  2       Nulo   27.5   15     
04/07/1944  104     Nulo   24.5   15     
05/07/1944  3       Nulo   22     15     
06/07/1944  5       Nulo   22.5   15     
07/07/1944  0       Nulo   25     12     
08/07/1944  0       Nulo   21     13     
09/07/1944  0       Nulo   28     15     
10/07/1944  0       Nulo   30     15     
11/07/1944  0       Nulo   28     12     
12/07/1944  0       Nulo   29     9      
13/07/1944  0       Nulo   28     13     
14/07/1944  5       Nulo   26     16     
15/07/1944  0       Nulo   29.5   14.5   
16/07/1944  22      Nulo   27.5   15.5   
17/07/1944  0       Nulo   28.5   15     
18/07/1944  5.5     Nulo   28.5   13.5   
19/07/1944  0       Nulo   23.5   13.5   
20/07/1944  1       Nulo   27     14     
21/07/1944  0       Nulo   29     16.5   
22/07/1944  0       Nulo   30     16     
23/07/1944  0       Nulo   29     17     
24/07/1944  0       Nulo   30.5   18     
25/07/1944  0       Nulo   30     14     
26/07/1944  0       Nulo   31     16     
27/07/1944  0       Nulo   29     13.5   
28/07/1944  0       Nulo   28     14.5   
29/07/1944  0       Nulo   30     14     
30/07/1944  0       Nulo   29.5   11     
31/07/1944  0       Nulo   29.5   10     
01/08/1944  1       Nulo   28     12     
02/08/1944  3.5     Nulo   27     16.5   
03/08/1944  33      Nulo   26.5   16     
04/08/1944  36      Nulo   28     15     
05/08/1944  0       Nulo   26.5   13     
06/08/1944  0       Nulo   26     15     
07/08/1944  0       Nulo   25     15     
08/08/1944  0       Nulo   29     16     
09/08/1944  0       Nulo   27.5   11     
10/08/1944  0       Nulo   27.5   13.5   
11/08/1944  37      Nulo   29     13     
12/08/1944  35.5    Nulo   28.5   16     
13/08/1944  0       Nulo   25     13     
14/08/1944  14      Nulo   24     14     
15/08/1944  6       Nulo   26     14.5   
16/08/1944  0       Nulo   25     14     
17/08/1944  0       Nulo   24     15.5   
18/08/1944  0       Nulo   23.5   12.5   
19/08/1944  0       Nulo   24.5   11.5   
20/08/1944  0       Nulo   24.5   13     
21/08/1944  0       Nulo   27     13.5   
22/08/1944  0       Nulo   29     13     
23/08/1944  5       Nulo   26     16     
24/08/1944  0       Nulo   22     15.5   
25/08/1944  0       Nulo   27     15.5   
26/08/1944  5.5     Nulo   26     14.5   
27/08/1944  1       Nulo   24.5   16     
28/08/1944  0       Nulo   24     15.5   
29/08/1944  0       Nulo   23     15     
30/08/1944  17      Nulo   24     15.5   
31/08/1944  6       Nulo   19     15     
01/09/1944  7.5     Nulo   22     14.5   
02/09/1944  0       Nulo   23.5   11     
03/09/1944  0       Nulo   23.5   14     
04/09/1944  3.5     Nulo   22     14     
05/09/1944  1.5     Nulo   21.5   14     
06/09/1944  3.5     Nulo   23     15     
07/09/1944  21.5    Nulo   25.5   15.5   
08/09/1944  27.5    Nulo   25     14.5   
09/09/1944  28      Nulo   23.5   15     
10/09/1944  0       Nulo   23.5   15     
11/09/1944  8       Nulo   24     16     
12/09/1944  0       Nulo   22     16     
13/09/1944  0       Nulo   21     14.5   
14/09/1944  0       Nulo   24     15     
15/09/1944  0       Nulo   23     13     
16/09/1944  0       Nulo   22     14     
17/09/1944  0       Nulo   21     16     
18/09/1944  0       Nulo   26.5   16     
19/09/1944  2       Nulo   24.5   10.5   
20/09/1944  3       Nulo   23     13     
21/09/1944  0       Nulo   22     13     
22/09/1944  0       Nulo   23     12     
23/09/1944  0       Nulo   20.5   10     
24/09/1944  8       Nulo   20     13.5   
25/09/1944  3       Nulo   20     11     
26/09/1944  0       Nulo   20     13.5   
27/09/1944  1       Nulo   26     14     
28/09/1944  0       Nulo   27     16.5   
29/09/1944  0       Nulo   23.5   15.5   
30/09/1944  0       Nulo   27     15     
01/10/1944  0       Nulo   28     12.5   
02/10/1944  0       Nulo   26     16     
03/10/1944  0.5     Nulo   26     11.5   
04/10/1944  0       Nulo   24     14     
05/10/1944  0       Nulo   25     14     
06/10/1944  0       Nulo   24     12     
07/10/1944  2       Nulo   22.5   14     
08/10/1944  0       Nulo   21.5   11     
09/10/1944  0       Nulo   21.5   13.5   
