CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 11165
NOMBRE    : CHICHIMEQUILLAS
ESTADO    : GUANAJUATO
MUNICIPIO : SILAO
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 021.042°
LONGITUD  : -101.436°
ALTITUD   : 1898 msnm

EMISIÓN   : 13/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/09/1970  35.5    Nulo   Nulo   Nulo   
02/09/1970  20.5    Nulo   Nulo   Nulo   
03/09/1970  12.5    Nulo   Nulo   Nulo   
04/09/1970  0.4     Nulo   Nulo   Nulo   
05/09/1970  0.6     Nulo   Nulo   Nulo   
06/09/1970  0       Nulo   Nulo   Nulo   
07/09/1970  0       Nulo   Nulo   Nulo   
08/09/1970  0       Nulo   Nulo   Nulo   
09/09/1970  0       Nulo   Nulo   Nulo   
10/09/1970  0       Nulo   Nulo   Nulo   
11/09/1970  0       Nulo   Nulo   Nulo   
12/09/1970  0       Nulo   Nulo   Nulo   
13/09/1970  0.2     Nulo   Nulo   Nulo   
14/09/1970  17      Nulo   Nulo   Nulo   
15/09/1970  1.4     Nulo   Nulo   Nulo   
16/09/1970  21.4    Nulo   Nulo   Nulo   
17/09/1970  0       Nulo   Nulo   Nulo   
18/09/1970  0       Nulo   Nulo   Nulo   
19/09/1970  0       Nulo   Nulo   Nulo   
20/09/1970  1.7     Nulo   Nulo   Nulo   
21/09/1970  15.9    Nulo   Nulo   Nulo   
22/09/1970  7.9     Nulo   Nulo   Nulo   
23/09/1970  0       Nulo   Nulo   Nulo   
24/09/1970  0       Nulo   Nulo   Nulo   
25/09/1970  5.5     Nulo   Nulo   Nulo   
26/09/1970  1.5     Nulo   Nulo   Nulo   
27/09/1970  20.7    Nulo   Nulo   Nulo   
28/09/1970  0       Nulo   Nulo   Nulo   
29/09/1970  0       Nulo   Nulo   Nulo   
30/09/1970  0       Nulo   Nulo   Nulo   
01/10/1970  25      Nulo   Nulo   Nulo   
